100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4676.1 at 16:47 16/12/2009  Report at 19:05 Wednesday 16/12/2009. Processed 19:21 Wednesday 16/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.01,1.445,Adelaide Brighton,2.61,3,2.61,2.63,14,f,1.49,1.15,5.36,12.5
15.80,12.83,AGL Energy Ltd,13.80,15,13.78,13.82,54,f,6.63,6.00,3.91,3.9
6.29,3.50,Amcor Ltd,6.17,-6,6.14,6.18,34,,0.74,1.61,5.51,24.4
6.97,3.52,AMP Ltd,6.10,-10,6.09,6.11,30,p,0.99,0.67,4.92,20.6
12.80,7.51,Ansell Ltd,10.51,1,10.50,10.60,28,,3.19,1.98,2.66,11.8
25.25,11.83,ANZ Banking Grp,21.50,7,21.45,21.52,102,f,1.67,10.72,4.74,12.6
3.38,2.50,APA Grp stpld,3.22,-1,3.22,3.29,31,,0.52,1.18,9.63,19.9
2.61,0.866,APN News & Media,2.18,-3,2.16,2.18,12,,-,-1.23,5.50,-
6.91,4.52,Argo Invest,6.60,-1,6.62,6.64,27,f,-,6.33,4.09,-
5.75,3.16,Aristocrat Leisure,3.97,7,3.96,3.98,14.5,f,-,0.35,3.65,-
1.79,0.32,Asciano Grp stpld,1.71,-5,1.705,1.71,23,,-,-1.41,13.45,-
37.90,23.52,ASX Ltd,34.27,22,33.99,34.49,164.9,f,1.11,2.66,4.81,18.7
5.35,3.45,Aust Foundation,5.17,5,5.15,5.17,21,f,0.51,4.86,4.06,48.7
1.465,0.60,Austar United,1.335,,1.32,1.34,-,,-,-0.33,-,-
0.585,0.174,Australand Prop stpld,0.49,-0.5,0.485,0.495,10,,-,0.92,20.41,-
6.01,2.52,AXA Asia Pacific,5.65,-13,5.59,5.65,18.5,p,-,0.96,3.27,-
13.49,6.228,Bank of Qld,10.79,-21,10.77,10.84,52,f,1.46,6.62,4.82,14.2
12.157,5.733,Bendigo & Adelaide,8.81,-9,8.81,8.85,43,f,0.60,4.03,4.88,34.4
12.19,5.815,Billabong Intl,10.93,-4,10.84,11.08,45,p,1.54,0.70,4.12,15.8
3.48,1.675,BlueScope Steel,2.83,-2,2.83,2.84,5,,-,2.46,1.77,-
0.375,0.054,Boart Longyear,0.34,,0.335,0.34,2.87,,2.38,-0.10,8.44,5.0
6.40,2.29,Boral Ltd,5.71,-4,5.70,5.71,13,f,1.85,4.12,2.28,23.7
8.37,4.08,Brambles Ltd,6.27,-9,6.25,6.35,30,p,1.34,0.58,4.78,15.6
16.80,9.00,Brickworks Ltd,12.30,-8,12.28,12.31,39,f,5.89,8.27,3.17,5.4
14.00,6.79,Caltex Aust,8.30,-14,8.28,8.30,36,,0.43,10.60,4.34,53.2
30.608,8.29,Campbell Brothers,28.91,-9,28.85,28.95,95,p,1.71,2.96,3.29,17.8
2.12,1.415,CFS Retail Prop unt,1.875,-1.5,1.87,1.92,12.5,p,-,2.02,6.67,-
4.38,0.865,Challenger FSG Ltd,4.01,-8,3.97,4.02,12.5,,-,1.81,3.12,-
11.50,8.02,Coca-Cola Amatil,11.29,-4,11.25,11.35,40.5,f,1.35,1.14,3.59,20.6
68.54,46.21,Cochlear Ltd,64.01,-32,63.97,64.96,175,f,1.34,2.78,2.73,27.4
56.24,24.03,C'wlth Bank  of Aust ,52.67,-5,52.61,52.67,228,f,1.44,13.65,4.33,16.0
1.215,0.67,C'wlth Prop ord unt   ,0.91,-4,0.91,0.915,8.8,,-,1.15,9.67,-
11.32,6.41,Computershare Ltd,10.98,17,10.81,10.98,22,p,2.58,-1.95,2.00,19.3
0.536,0.244,ConnectEast stpld,0.42,-0.5,0.42,0.425,2,,-,-,4.76,-
3.44,1.71,Consolidated Media,3.03,,3.01,3.10,16.5,,3.75,0.66,5.45,4.9
9.39,4.56,Crown Ltd,7.68,-13,7.65,7.68,37,p,-,3.42,4.82,-
38.52,28.43,CSL Ltd,30.54,-6,30.54,30.77,70,,2.75,7.49,2.29,15.9
2.18,0.905,CSR Ltd,1.73,1.5,1.72,1.73,4,f,-,0.87,2.31,-
5.96,2.02,David Jones Ltd,5.33,-6,5.30,5.37,28,f,1.13,1.16,5.25,16.9
0.89,0.519,Dexus Prop Grp stpld,0.80,-1.5,0.795,0.80,7.3,,-,1.01,9.13,-
9.24,3.01,Downer EDI Ltd,8.74,19,8.73,8.74,29,,1.88,2.18,3.32,16.1
2.319,1.28,DUET Grp forus,1.78,-5,1.775,1.81,20,,-,1.70,11.24,-
1.805,0.795,Fairfax Media Ltd,1.60,-4.5,1.595,1.605,2,,-,-0.37,1.25,-
18.86,3.39,Flight Centre,17.47,4,17.47,17.56,9,,4.26,1.92,0.52,45.6
5.89,4.80,Foster's Grp,5.49,2,5.47,5.49,27.25,f,0.84,0.46,4.96,24.1
1.78,0.93,Goodman Fielder,1.545,0.5,1.54,1.56,10.5,p,1.27,-0.20,6.80,11.6
0.949,0.123,Goodman Grp forus,0.565,-2,0.565,0.57,9.65,,-,0.84,17.08,-
0.851,0.191,GPT Grp stpld,0.565,-0.5,0.565,0.57,5.6,,-,0.71,9.91,-
4.85,1.805,Harvey Norman,4.23,-3,4.20,4.24,11,f,1.83,2.01,2.60,21.0
5.00,3.61,Healthscope Ltd,4.77,-10,4.75,4.84,21.5,f,1.34,0.06,4.51,16.5
0.145,0.079,Hutchison,0.125,0.5,0.125,0.13,-,,-,0.11,-,-
3.42,1.63,Incitec Pivot,3.31,-1,3.29,3.31,4.4,,-,0.14,1.33,-
0.899,0.184,ING Office Fd stpld,0.575,-0.5,0.575,0.58,7.92,,-,0.99,13.77,-
4.21,2.94,Insurance Aust Grp,3.78,-6,3.76,3.78,10,f,0.93,1.16,2.65,40.6
6.07,2.112,IOOF Hldgs Ltd,5.61,-10,5.58,5.74,4,f,4.17,0.55,0.71,33.6
8.59,2.89,James Hardie Ind cdi,7.94,-24,7.90,7.99,-,,-,-0.40,-,42.0
23.71,8.41,JB Hi-Fi Ltd,22.46,-31,22.43,22.50,44,f,2.01,1.21,1.96,25.4
38.99,16.15,Leighton Hldgs,36.56,-39,36.50,36.70,115,f,1.30,7.43,3.15,24.5
11.29,4.85,Lend Lease Grp stpld,9.50,,9.40,9.55,41,f,-,4.20,4.32,-
58.80,15.00,Macq Grp Ltd,47.55,2,47.50,47.59,126,,1.93,23.72,2.65,19.6
1.82,0.95,Macq Infra stpld,1.315,,1.31,1.33,20,p,-,1.73,15.21,-
0.355,0.071,Macq Office unt,0.29,-0.5,0.285,0.29,3.75,,-,0.49,12.93,-
2.95,1.291,MAP Grp forus,2.85,6,2.80,2.85,21,,5.66,-,7.37,2.4
4.74,3.80,Metcash Ltd,4.38,3,4.37,4.42,25,f,1.21,0.11,5.71,14.5
18.18,12.00,Milton Corp,17.55,-12,17.54,17.74,78,f,0.74,17.82,4.44,30.4
1.745,0.542,Mirvac Grp stpld,1.495,-2,1.495,1.505,5,,-,1.73,3.34,-
3.98,3.60,Myer Hldgs Ltd,3.77,,3.76,3.77,-,,-,-,-,-
32.37,15.85,National Aust Bank,27.95,-4,27.83,27.98,146,f,1.80,12.66,5.22,10.6
4.24,2.01,Navitas Ltd,3.95,4,3.91,4.00,14.3,f,1.00,-0.23,3.62,27.6
17.07,8.93,News Corp b voting,16.90,45,16.85,16.98,5.14,,14.51,-0.04,0.30,22.7
14.46,8.71,Nufarm Ltd,10.67,-1,10.65,10.67,27,,1.24,3.59,2.53,31.9
3.49,1.40,OneSteel Ltd,3.18,3,3.17,3.18,10,,2.26,1.66,3.14,14.1
25.91,10.75,Orica Ltd,25.17,11,24.98,25.18,97,p,1.50,1.71,3.85,17.3
17.30,12.34,Origin Energy,16.12,11,16.05,16.20,50,f,15.82,8.31,3.10,2.0
41.39,21.60,Perpetual Ltd,35.43,-146,35.40,35.49,100,f,0.96,3.46,2.82,36.9
6.34,2.90,Platinum Asset,5.15,5,5.09,5.18,20,f,1.12,-,3.88,22.9
