100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4588.8 at 16:39 12/2/2010  Report at 19:05 Friday 12/2/2010. Processed 19:21 Friday 12/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.01,1.445,Adelaide Brighton,2.47,2,2.46,2.50,14,f,1.49,1.15,5.67,11.9
15.46,12.83,AGL Energy Ltd,13.74,-12,13.73,13.74,54,f,6.63,6.00,3.93,3.8
6.35,3.50,Amcor Ltd,6.00,-2,5.99,6.00,34,,0.74,1.61,5.67,23.7
6.97,3.52,AMP Ltd,6.16,-9,6.16,6.18,30,p,0.99,0.67,4.87,20.8
10.98,7.51,Ansell Ltd,10.32,9,10.13,10.35,28,,3.19,1.98,2.71,11.6
25.25,12.06,ANZ Banking Grp,20.59,-16,20.58,20.60,102,f,1.67,10.72,4.95,12.1
3.68,2.50,APA Grp stpld,3.24,-1,3.22,3.25,31,,0.52,1.18,9.57,20.0
2.61,0.866,APN News & Media,2.31,-1,2.26,2.34,12,,-,-1.23,5.19,-
7.05,4.52,Argo Invest,6.46,-4,6.45,6.49,25,f,-,6.56,3.87,-
5.75,3.16,Aristocrat Leisure,4.39,-5,4.37,4.40,14.5,f,-,0.35,3.30,-
1.94,0.32,Asciano Grp stpld,1.735,-0.5,1.725,1.74,-,,-,-1.41,-,-
37.90,24.57,ASX Ltd,35.85,25,35.72,35.85,164.9,f,1.11,2.66,4.60,19.6
5.41,3.45,Aust Foundation,5.04,-1,5.03,5.04,21,f,0.43,5.04,4.17,56.4
1.465,0.65,Austar United,1.24,-1.5,1.235,1.255,-,,-,-0.33,-,-
0.585,0.174,Australand Prop stpld,0.47,-1,0.47,0.475,8,,-,0.68,17.02,-
6.72,2.52,AXA Asia Pacific,6.34,5,6.33,6.34,18.5,p,-,0.96,2.92,-
13.49,6.228,Bank of Qld,10.49,4,10.44,10.53,52,f,1.46,6.62,4.96,13.8
10.44,5.733,Bendigo & Adelaide,9.90,6,9.83,9.90,43,f,0.60,4.03,4.34,38.7
12.19,5.815,Billabong Intl,10.43,-11,10.35,10.45,45,p,1.54,0.70,4.31,15.1
3.48,1.675,BlueScope Steel,2.56,-8,2.56,2.57,5,,-,2.46,1.95,-
0.41,0.054,Boart Longyear,0.35,,0.345,0.35,-,,-,-0.10,-,5.1
6.40,2.29,Boral Ltd,5.60,-9,5.57,5.64,12.5,f,1.82,4.23,2.23,24.7
8.37,4.08,Brambles Ltd,7.00,28,6.81,7.01,30,p,1.34,0.58,4.29,17.4
16.80,9.02,Brickworks Ltd,12.12,2,12.11,12.20,39,f,5.89,8.27,3.22,5.3
14.00,8.01,Caltex Aust,9.53,33,9.45,9.53,-,,-,10.60,-,61.1
32.00,8.29,Campbell Brothers,29.10,112,28.36,29.10,95,p,1.71,2.96,3.26,17.9
2.12,1.415,CFS Retail Prop unt,1.905,2,1.90,1.915,12.5,,-,2.02,6.56,-
4.50,0.865,Challenger FSG Ltd,3.81,-1,3.72,3.81,12.5,,-,1.81,3.28,-
11.72,8.02,Coca-Cola Amatil,10.88,14,10.83,10.90,40.5,f,1.35,1.14,3.72,19.9
69.79,46.21,Cochlear Ltd,62.80,-85,62.72,63.40,190,f,1.27,3.25,3.03,25.9
58.65,26.43,C'wlth Bank  of Aust ,52.30,-70,52.30,52.38,235,f,1.41,-,4.49,15.8
1.045,0.675,C'wlth Prop ord unt   ,0.92,-1,0.915,0.925,8.8,,-,1.15,9.57,-
12.64,6.85,Computershare Ltd,12.00,27,11.95,12.01,25,p,2.27,-1.54,2.08,21.1
0.49,0.244,ConnectEast stpld,0.435,-1,0.43,0.435,2,,-,-,4.60,-
3.44,1.76,Consolidated Media,3.02,2,3.01,3.03,16.5,,3.75,0.66,5.46,4.9
9.39,4.56,Crown Ltd,7.78,8,7.75,7.81,37,p,-,3.42,4.76,-
38.52,28.43,CSL Ltd,31.10,-25,31.00,31.12,70,,2.75,7.49,2.25,16.2
2.18,0.905,CSR Ltd,1.66,-3,1.66,1.69,4,f,-,0.87,2.41,-
5.96,2.02,David Jones Ltd,4.84,,4.83,4.85,28,f,1.13,1.16,5.79,15.4
0.89,0.519,Dexus Prop Grp stpld,0.83,-1,0.825,0.83,6.15,,-,1.01,7.41,-
