100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4673.9 at 16:34 18/2/2010  Report at 19:05 Thursday 18/2/2010. Processed 19:33 Thursday 18/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.01,1.445,Adelaide Brighton,2.50,-11,2.49,2.50,14,f,1.49,1.15,5.60,12.0
15.46,12.83,AGL Energy Ltd,13.79,4,13.78,13.82,54,f,6.63,6.00,3.92,3.9
6.35,3.50,Amcor Ltd,5.96,1,5.95,5.96,34,,0.74,1.61,5.70,23.6
6.97,3.52,AMP Ltd,6.16,-11,6.15,6.17,30,p,0.99,0.67,4.87,20.8
11.18,7.51,Ansell Ltd,11.00,,10.96,11.02,29,,2.82,1.92,2.64,13.5
25.25,12.06,ANZ Banking Grp,22.05,-2,22.02,22.05,102,f,1.67,10.72,4.63,12.9
3.68,2.50,APA Grp stpld,3.24,3,3.24,3.28,31,,0.52,1.18,9.57,20.0
2.61,0.866,APN News & Media,2.30,1,2.27,2.34,12,,-,-1.23,5.22,-
7.05,4.52,Argo Invest,6.58,3,6.55,6.58,25,f,-,6.56,3.80,-
5.75,3.16,Aristocrat Leisure,4.41,-25,4.41,4.46,14.5,f,-,0.35,3.29,-
1.94,0.32,Asciano Grp stpld,1.78,1,1.76,1.79,-,,-,-1.41,-,-
37.90,25.20,ASX Ltd,36.92,107,36.82,36.98,164.9,f,1.11,2.66,4.47,20.2
5.41,3.45,Aust Foundation,5.05,-5,5.05,5.08,21,f,0.43,5.04,4.16,56.6
1.465,0.65,Austar United,1.235,-1,1.23,1.27,-,,-,-0.33,-,-
0.585,0.174,Australand Prop stpld,0.485,-0.5,0.48,0.485,8,,-,0.68,16.49,-
6.72,2.52,AXA Asia Pacific,6.38,6,6.36,6.39,18.5,p,-,0.96,2.90,-
13.49,6.228,Bank of Qld,10.80,12,10.76,10.85,52,f,1.46,6.62,4.81,14.2
10.48,5.733,Bendigo & Adelaide,9.98,-2,9.97,9.98,43,f,0.83,5.16,4.31,28.1
12.19,5.815,Billabong Intl,10.64,-12,10.52,10.80,45,p,1.54,0.70,4.23,15.4
3.48,1.675,BlueScope Steel,2.55,5,2.54,2.55,5,,-,2.47,1.96,-
0.41,0.054,Boart Longyear,0.345,-0.5,0.345,0.35,-,,-,-0.10,-,5.0
6.40,2.29,Boral Ltd,5.54,2,5.54,5.58,12.5,f,1.82,4.23,2.26,24.4
8.37,4.08,Brambles Ltd,6.99,-5,6.90,7.00,25,p,1.38,0.66,3.58,20.3
16.80,9.02,Brickworks Ltd,12.30,5,12.25,12.30,39,f,5.89,8.27,3.17,5.4
14.00,8.01,Caltex Aust,9.92,,9.86,9.95,-,,-,10.60,-,63.6
32.00,8.29,Campbell Brothers,29.15,-5,28.80,29.15,95,p,1.71,2.96,3.26,18.0
2.12,1.415,CFS Retail Prop unt,1.87,-1,1.865,1.89,12.5,,-,1.99,6.68,-
4.50,0.865,Challenger FSG Ltd,3.76,-4,3.74,3.78,12.5,,-,1.81,3.32,-
11.72,8.02,Coca-Cola Amatil,11.00,43,10.98,11.05,43.5,f,1.39,1.38,3.95,18.2
69.79,46.21,Cochlear Ltd,63.51,73,63.01,63.60,190,f,1.27,3.25,2.99,26.2
58.65,26.43,C'wlth Bank  of Aust ,53.00,-18,52.90,53.00,235,f,1.41,-,4.43,16.0
1.045,0.675,C'wlth Prop ord unt   ,0.94,1.5,0.93,0.94,6.85,,-,1.11,7.29,-
12.64,6.85,Computershare Ltd,12.14,9,12.11,12.30,25,p,2.27,-1.54,2.06,21.4
0.49,0.244,ConnectEast stpld,0.43,,0.425,0.43,2,,-,-,4.65,-
3.44,1.76,Consolidated Media,3.07,1,3.06,3.08,16.5,,3.75,0.66,5.37,5.0
9.39,4.56,Crown Ltd,7.78,-2,7.71,7.84,37,p,-,3.42,4.76,-
38.52,28.43,CSL Ltd,34.00,10,33.96,34.00,75,,2.85,6.11,2.21,15.9
2.18,0.905,CSR Ltd,1.665,-1.5,1.665,1.675,4,f,-,0.87,2.40,-
5.96,2.02,David Jones Ltd,4.87,-3,4.87,4.89,28,f,1.13,1.16,5.75,15.5
0.89,0.519,Dexus Prop Grp stpld,0.835,1.5,0.83,0.835,6.15,,-,0.95,7.37,-
9.44,3.38,Downer EDI Ltd,8.37,-2,8.28,8.45,29,,1.88,2.18,3.46,15.4
2.251,1.28,DUET Grp forus,1.765,1.5,1.76,1.79,20,,-,1.70,11.33,-
1.885,0.795,Fairfax Media Ltd,1.79,5,1.785,1.79,2,,-,-0.37,1.12,-
20.15,3.39,Flight Centre,19.12,-23,18.90,19.21,9,,4.26,1.92,0.47,49.9
5.89,4.80,Foster's Grp,5.65,10,5.61,5.67,27.25,f,0.73,0.52,4.82,28.5
1.78,0.93,Goodman Fielder,1.53,-5,1.53,1.535,10.5,p,1.27,-0.20,6.86,11.5
0.71,0.123,Goodman Grp forus,0.59,0.5,0.585,0.59,9.65,,-,0.84,16.36,-
0.71,0.191,GPT Grp stpld,0.605,1.5,0.60,0.605,5.6,,-,0.71,9.26,-
8.85,3.931,Graincorp Ltd,6.30,,6.28,6.34,7.27,f,11.96,6.79,1.15,7.2
4.85,1.805,Harvey Norman,3.79,,3.79,3.80,11,f,1.83,2.01,2.90,18.8
5.18,3.61,Healthscope Ltd,4.40,4,4.38,4.40,22.5,f,1.32,0.66,5.11,14.8
0.14,0.085,Hutchison,0.12,0.5,0.115,0.125,-,,-,0.11,-,-
3.83,1.925,Incitec Pivot,3.55,-4,3.54,3.58,4.4,,-,0.14,1.24,-
0.67,0.184,ING Office Fd stpld,0.56,-0.5,0.555,0.56,6.2,,-,0.99,11.07,-
4.21,2.94,Insurance Aust Grp,3.94,-2,3.90,3.95,10,f,0.93,1.16,2.54,42.3
1.71,0.95,Intoll Grp stpld,1.10,-3,1.085,1.10,12,,-,1.73,10.91,-
6.68,2.112,IOOF Hldgs Ltd,5.54,22,5.49,5.57,4,f,4.17,0.55,0.72,33.2
8.86,2.89,James Hardie Ind cdi,7.76,10,7.74,7.76,-,,-,-0.40,-,41.1
23.71,9.53,JB Hi-Fi Ltd,19.99,-22,19.98,20.06,62,f,1.67,1.71,3.10,19.3
41.70,17.69,Leighton Hldgs,37.87,-8,37.80,38.01,120,f,1.73,7.52,3.17,18.2
11.29,4.85,Lend Lease Grp stpld,9.08,-1,9.06,9.20,41,f,-,4.20,4.52,-
58.80,15.00,Macq Grp Ltd,47.18,-12,47.15,47.18,126,,1.93,23.72,2.67,19.4
0.355,0.071,Macq Office unt,0.28,,0.275,0.28,3.75,,-,0.49,13.39,-
3.19,1.291,MAP Grp forus,3.04,-2,3.03,3.05,21,,5.66,-,6.91,2.6
4.74,3.80,Metcash Ltd,4.09,1,4.08,4.11,25,f,1.21,0.11,6.11,13.5
19.40,12.00,Milton Corp,17.98,48,17.66,17.98,70,f,0.64,18.37,3.89,40.2
1.745,0.542,Mirvac Grp stpld,1.465,1.5,1.455,1.465,4.2,,-,-,2.87,-
15.20,6.43,Monadelphous Grp,14.40,29,14.40,14.50,79,f,1.15,1.52,5.49,15.8
3.98,3.12,Myer Hldgs Ltd,3.38,1,3.37,3.38,-,,-,-,-,-
32.37,15.85,National Aust Bank,25.95,4,25.90,25.95,146,f,1.80,12.66,5.63,9.9
5.06,2.13,Navitas Ltd,4.66,-1,4.60,4.70,16.9,f,0.99,-0.25,3.63,27.7
18.41,8.93,News Corp b voting,17.53,1,17.41,17.64,5.14,,14.51,0.45,0.29,23.5
14.46,8.71,Nufarm Ltd,9.97,5,9.94,10.05,27,,1.24,3.59,2.71,29.8
3.65,1.40,OneSteel Ltd,3.44,1,3.43,3.45,9,,0.61,1.72,2.62,63.1
26.77,11.80,Orica Ltd,24.78,-2,24.74,24.79,97,p,1.50,1.71,3.91,17.1
17.94,12.51,Origin Energy,16.44,-10,16.44,16.59,50,f,15.82,8.31,3.04,2.1
41.39,21.60,Perpetual Ltd,34.51,-28,34.50,34.60,100,f,0.96,3.46,2.90,35.9
6.34,2.90,Platinum Asset,5.43,10,5.33,5.47,20,f,1.12,-,3.68,24.1
6.56,3.61,Primary Health Care,4.68,-2,4.67,4.68,22,f,1.91,-1.15,4.70,11.1
3.06,1.38,Qantas Airways,2.73,-24,2.73,2.74,6,,0.93,2.25,2.20,48.8
25.70,15.01,QBE Insurance Grp,23.00,-20,22.92,23.01,127,p,1.68,5.17,5.52,10.8
12.49,9.12,Ramsay Health Care,12.40,-2,12.35,12.45,38,f,1.35,0.09,3.06,24.2
9.92,3.50,REA Grp,9.68,4,9.45,9.75,10,f,0.07,0.30,1.03,1308.1
25.78,15.50,Reece Aust Ltd,25.78,,25.78,26.00,51,f,1.90,5.35,1.98,26.6
6.55,4.46,ResMed Inc cdi 10:1,6.28,17,6.15,6.35,-,,-,-,-,25.0
7.54,2.02,Seek Ltd,7.40,25,7.21,7.53,9.9,f,1.86,0.55,1.34,40.2
7.29,5.03,Seven Network   ,7.25,10,7.12,7.25,34,f,0.19,7.27,4.69,113.6
29.15,14.97,Sims Metal Mgmt,19.79,-171,19.71,19.80,38,f,-,8.09,1.92,-
15.64,9.96,Sonic Healthcare,14.18,-1,14.15,14.28,57,p,0.82,-1.72,4.02,30.2
14.50,7.018,Soul Pattinson,13.32,6,13.32,13.38,32,f,14.57,10.91,2.40,2.9
1.095,0.725,SP AusNet stpld,0.895,-1,0.89,0.895,9.92,p,0.81,0.91,11.08,11.1
1.445,0.83,Spark Infrastructure stpld,1.365,,1.365,1.37,15.98,,0.47,1.70,11.71,18.2
4.19,1.955,Stockland stpld,3.96,6,3.93,3.97,27.8,,-,-,7.02,-
9.59,4.36,Suncorp-Metway,9.10,-14,9.10,9.12,40,f,0.79,5.11,4.40,28.8
7.70,6.05,Tabcorp Hldgs Ltd,6.79,-3,6.78,6.82,60,f,1.44,-1.53,8.84,7.9
2.93,2.19,Tatts Grp Ltd,2.35,-2,2.34,2.36,21,f,1.04,-0.56,8.94,10.7
3.84,2.93,Telstra Corp,3.13,3,3.12,3.13,28,f,1.16,0.36,8.95,9.7
1.845,0.615,Ten Network Hldgs,1.83,1.5,1.825,1.84,2,,-,-0.35,1.09,-
9.33,4.38,Toll Hldgs Ltd,8.50,-24,8.50,8.58,25,f,1.60,1.58,2.94,21.3
4.80,1.52,Transfield Services,3.88,8,3.85,3.95,12,,-,0.02,3.09,-
5.64,3.51,Transurban stpld,5.27,17,5.27,5.30,23,,0.08,2.75,4.36,284.9
15.97,6.77,UGL Ltd,14.00,,14.00,14.09,64,f,1.36,-0.82,4.57,16.1
0.655,0.127,Virgin Blue Hldgs,0.62,-1.5,0.615,0.62,-,,-,0.50,-,-
32.16,16.45,Wesfarmers Ltd,30.60,95,30.60,30.62,110,f,1.45,3.14,3.59,19.1
8.48,3.62,West Aust News,7.52,7,7.35,7.60,29,f,1.29,-,3.86,20.2
14.33,8.68,Westfield Grp stpld,11.64,-11,11.64,11.65,94,,-,10.47,8.08,-
27.57,15.47,Westpac Banking,25.39,-4,25.30,25.40,116,f,1.08,7.89,4.57,20.3
30.57,24.36,Woolworths Ltd,26.06,-6,26.05,26.14,104,f,1.45,1.54,3.99,17.3
31.79,12.80,WorleyParsons Ltd,24.15,15,24.13,24.20,93,f,1.73,-0.03,3.85,15.0
7.45,3.10,Wotif Com Hldgs,6.97,-3,6.95,7.00,20,f,1.05,-0.08,2.87,33.3
