100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4866.9 at 16:34 17/3/2010  Report at 19:06 Wednesday 17/3/2010. Processed 19:24 Wednesday 17/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.01,1.84,Adelaide Brighton,2.55,-1,2.51,2.57,13.5,f,1.51,1.21,5.29,12.5
15.46,13.07,AGL Energy Ltd,14.88,6,14.85,14.90,57,f,0.47,6.21,3.83,55.1
6.35,4.024,Amcor Ltd,5.99,7,5.94,5.99,29.5,,0.71,2.25,4.92,28.7
6.97,4.27,AMP Ltd,6.27,12,6.20,6.27,30,p,1.24,0.80,4.78,16.9
12.25,7.58,Ansell Ltd,11.65,-19,11.65,11.73,29,,2.82,1.92,2.49,14.3
25.25,14.18,ANZ Banking Grp,24.61,46,24.60,24.62,102,f,1.67,10.72,4.14,14.4
3.68,2.59,APA Grp stp,3.36,1,3.36,3.41,31.75,,0.79,-,9.45,13.4
2.61,1.09,APN News & Media,2.30,-2,2.30,2.33,4,f,4.17,-0.78,1.74,13.8
7.05,4.95,Argo Invest,6.44,-1,6.43,6.44,25,f,-,6.26,3.88,-
5.75,3.24,Aristocrat Leisure,4.44,14,4.40,4.45,4.5,,-,0.07,1.01,-
1.94,0.576,Asciano Grp stp,1.92,5.5,1.90,1.925,-,,-,0.10,-,-
37.90,28.80,ASX Ltd,36.38,43,36.11,36.38,163.6,f,1.10,3.19,4.50,20.1
5.41,3.98,Aust Foundation,5.06,,5.06,5.07,21,f,0.43,4.76,4.15,56.7
1.465,0.65,Austar United,1.22,4,1.195,1.225,-,,-,-0.31,-,26.0
0.585,0.216,Australand Prop stp,0.52,0.5,0.52,0.525,8,,-,0.68,15.38,-
6.72,3.25,AXA Asia Pacific,6.26,4,6.26,6.28,18.5,p,1.89,1.12,2.96,17.9
13.49,7.384,Bank of Qld,11.40,,11.33,11.45,52,f,1.46,6.62,4.56,15.0
10.48,5.901,Bendigo & Adelaide,9.88,18,9.80,9.89,43,f,0.83,5.16,4.35,27.8
12.19,7.276,Billabong Intl,10.74,44,10.73,10.79,36,p,1.59,0.84,3.35,18.8
3.48,1.812,BlueScope Steel,2.90,8,2.89,2.90,5,,-,2.47,1.72,-
0.41,0.069,Boart Longyear,0.32,0.5,0.315,0.32,-,,-,0.14,-,-
6.40,3.19,Boral Ltd,5.52,13,5.42,5.53,12.5,f,1.82,4.23,2.26,24.3
8.37,4.74,Brambles Ltd,7.41,8,7.40,7.42,25,p,1.38,0.66,3.37,21.5
16.80,9.16,Brickworks Ltd,12.62,2,12.60,12.62,39,f,5.89,8.27,3.09,5.5
14.00,8.01,Caltex Aust,11.26,16,11.21,11.32,25,f,4.65,10.48,2.22,9.7
32.00,10.957,Campbell Brothers,28.83,,28.83,29.00,95,p,1.71,2.96,3.30,17.8
2.12,1.415,CFS Retail Prop unt,1.885,,1.885,1.89,12.5,,-,1.99,6.63,-
4.50,1.01,Challenger FSG Ltd,4.05,1,4.05,4.06,13.5,,2.61,3.36,3.33,11.5
0.355,0.14,Charter Hall Office unt,0.28,,0.28,0.285,2.5,,4.01,0.44,8.93,2.8
11.72,8.08,Coca-Cola Amatil,11.16,7,11.10,11.19,43.5,f,1.39,1.38,3.90,18.4
69.79,46.21,Cochlear Ltd,67.91,191,67.73,67.95,190,f,1.27,3.25,2.80,28.0
58.65,32.80,C'wlth Bank  of Aust ,56.14,46,56.10,56.20,235,f,1.41,-,4.19,17.0
1.045,0.675,C'wlth Prop ord unt   ,0.945,-0.5,0.94,0.945,6.85,,-,1.11,7.25,-
12.74,8.03,Computershare Ltd,12.69,39,12.66,12.70,25,p,2.27,-1.54,1.97,22.3
0.49,0.273,ConnectEast stp,0.45,1,0.445,0.45,2,,-,-,4.44,-
3.44,1.90,Consolidated Media,3.31,11,3.30,3.33,16.5,f,3.48,0.88,4.98,5.8
9.39,5.77,Crown Ltd,8.32,27,8.24,8.33,37,p,-,3.24,4.45,-
36.74,28.43,CSL Ltd,36.34,38,36.26,36.35,75,,2.85,6.11,2.06,17.0
2.18,1.10,CSR Ltd,1.675,-0.5,1.67,1.68,4,f,-,0.87,2.39,-
5.96,2.70,David Jones Ltd,5.13,6,5.11,5.13,28,f,1.13,1.16,5.46,16.3
0.89,0.653,DEXUS Prop Grp stp,0.795,-1,0.795,0.80,6.15,,-,0.95,7.74,-
9.44,4.22,Downer EDI Ltd,7.60,12,7.51,7.65,29.1,,1.87,2.15,3.83,14.0
1.90,1.42,DUET Grp forus,1.795,0.5,1.785,1.80,20,p,0.22,-,11.14,40.9
1.885,0.96,Fairfax Media Ltd,1.79,3,1.77,1.795,1.1,,8.45,-0.31,0.61,19.2
20.39,4.60,Flight Centre,20.11,10,19.98,20.13,26,f,2.44,2.56,1.29,31.7
5.89,4.80,Foster's Grp,5.32,-1,5.31,5.34,27.25,f,0.73,0.52,5.12,26.9
1.78,0.965,Goodman Fielder,1.53,2,1.525,1.535,11.25,,1.28,-0.16,7.35,10.6
0.71,0.182,Goodman Grp forus,0.625,,0.62,0.625,1.5,,-,0.50,2.40,-
0.71,0.247,GPT Grp stp,0.56,-1,0.56,0.565,4.5,,-,0.69,8.04,-
4.85,2.35,Harvey Norman,3.74,-3,3.73,3.74,13,f,1.98,2.10,3.48,14.5
5.18,3.61,Healthscope Ltd,4.45,14,4.40,4.45,22.5,f,1.32,0.66,5.06,14.9
0.14,0.088,Hutchison,0.12,,0.115,0.12,-,,-,0.10,-,1.9
3.83,2.03,Incitec Pivot,3.63,-1,3.61,3.64,4.4,,-,0.14,1.21,-
0.67,0.341,ING Office Fd stp,0.605,-1,0.60,0.61,6.2,,-,0.74,10.25,-
4.21,3.29,Insurance Aust Grp,4.03,4,3.95,4.03,14.5,f,1.73,1.29,3.60,16.1
1.71,1.07,Intoll Grp stp,1.165,2,1.15,1.165,12,,-,1.78,10.30,-
6.84,2.829,IOOF Hldgs Ltd,6.84,29,6.80,6.85,21,f,0.93,0.56,3.07,35.1
8.86,3.73,James Hardie Ind cdi,7.67,26,7.65,7.70,-,,-,-0.40,-,40.6
23.71,10.92,JB Hi-Fi Ltd,20.05,29,20.04,20.08,62,f,1.67,1.71,3.09,19.4
41.70,18.94,Leighton Hldgs,39.85,148,39.40,39.85,120,f,1.73,7.52,3.01,19.1
10.907,5.884,Lend Lease Grp stp,8.65,19,8.64,8.68,36,f,1.20,3.99,4.16,20.1
58.80,22.70,Macq Grp Ltd,49.37,73,49.34,49.40,126,,1.93,23.72,2.55,20.3
3.38,1.568,MAP Grp forus,3.10,,3.09,3.10,21,,-,-0.30,6.77,-
4.74,3.86,Metcash Ltd,4.11,,4.10,4.11,25,f,1.21,0.11,6.08,13.6
19.40,12.90,Milton Corp,17.75,-10,17.70,17.75,70,f,0.64,18.37,3.94,39.7
1.745,0.697,Mirvac Grp stp,1.475,-2.5,1.465,1.48,4.2,,-,-,2.85,-
15.34,7.64,Monadelphous Grp,15.19,21,15.01,15.20,79,f,1.15,1.52,5.20,16.7
3.98,3.12,Myer Hldgs Ltd,3.53,2,3.52,3.53,10.5,f,0.39,-0.21,2.97,86.1
32.37,18.87,National Aust Bank,26.83,8,26.80,26.83,146,f,1.80,12.66,5.44,10.2
5.40,2.18,Navitas Ltd,5.29,19,5.26,5.35,16.9,f,0.99,-0.25,3.19,31.5
18.49,10.01,News Corp b voting,18.26,10,18.12,18.34,5.14,,14.51,0.45,0.28,24.5
14.46,8.28,Nufarm Ltd,8.75,14,8.75,8.78,27,,1.24,3.59,3.09,26.1
3.85,1.867,OneSteel Ltd,3.82,13,3.80,3.82,9,,0.61,1.72,2.36,70.1
26.77,13.66,Orica Ltd,25.81,34,25.75,25.85,97,p,1.50,1.71,3.76,17.8
17.94,13.32,Origin Energy,16.65,33,16.55,16.67,50,f,1.45,8.48,3.00,23.0
41.39,25.23,Perpetual Ltd,36.20,100,36.08,36.30,165,f,1.11,4.46,4.56,19.7
6.34,3.12,Platinum Asset,5.55,29,5.48,5.55,20,f,1.17,-,3.60,23.7
6.56,3.61,Primary Health Care,4.18,10,4.15,4.18,22,f,1.91,-1.15,5.26,9.9
3.06,1.68,Qantas Airways,2.83,3,2.83,2.84,6,,-,2.25,2.12,-
25.70,18.35,QBE Insurance Grp,21.22,19,21.18,21.24,128,p,1.54,5.16,6.03,10.8
13.85,9.12,Ramsay Health Care,13.57,39,13.31,13.68,40,f,1.61,1.70,2.95,21.1
11.68,4.01,REA Grp,11.50,15,11.45,11.55,10,,1.00,0.45,0.87,114.5
26.65,15.60,Reece Aust Ltd,26.50,,25.00,25.90,53,f,2.06,5.41,2.00,24.3
6.71,4.46,ResMed Inc cdi  10:1,6.70,5,6.58,6.71,-,,-,-,-,26.7
8.18,2.70,Seek Ltd,8.00,29,7.89,8.09,9.9,f,1.86,0.55,1.24,43.5
8.09,5.03,Seven Network   ,7.97,-3,7.90,8.00,34,f,7.60,9.70,4.27,3.1
29.15,16.56,Sims Metal Mgmt,20.05,18,19.90,20.10,20,f,-,8.87,1.00,-
15.64,10.55,Sonic Healthcare,13.97,8,13.92,14.01,59,p,0.81,-1.48,4.22,29.3
14.50,8.196,Soul Pattinson,13.45,,13.45,13.60,32,f,14.57,10.91,2.38,2.9
1.002,0.725,SP AusNet stp,0.90,1.5,0.90,0.905,9.92,p,0.81,0.91,11.02,11.2
4.23,2.598,Stockland stp,3.92,-3,3.91,3.94,27.8,,-,-,7.09,-
9.59,5.49,Suncorp-Metway,8.63,,8.62,8.64,35,f,0.98,5.43,4.06,25.2
7.70,6.21,Tabcorp Hldgs Ltd,6.76,,6.75,6.80,60,f,1.44,-1.53,8.88,7.9
2.87,2.19,Tatts Grp Ltd,2.45,2,2.44,2.45,21,f,1.04,-0.51,8.57,11.2
3.71,2.88,Telstra Corp,3.13,2,3.13,3.14,28,f,1.16,0.36,8.95,9.7
1.89,0.685,Ten Network Hldgs,1.83,0.5,1.815,1.835,2,,-,-0.35,1.09,-
9.33,5.54,Toll Hldgs Ltd,7.29,17,7.27,7.29,25,f,1.26,1.44,3.43,23.2
1.995,0.16,TPG Telecom Ltd,1.95,7,1.91,1.97,2,f,1.30,-0.01,1.03,75.0
4.80,1.655,Transfield Services,4.23,2,4.18,4.25,12.25,f,-,0.29,2.90,-
1.785,1.03,Transpacific Indust,1.33,3.5,1.30,1.33,-,,-,-0.23,-,-
5.64,3.85,Transurban stp,5.20,4,5.17,5.22,23,,0.08,2.75,4.42,281.1
15.97,7.77,UGL Ltd,15.20,18,15.10,15.25,64,f,1.26,-0.43,4.21,18.8
0.80,0.165,Virgin Blue Hldgs,0.72,-2,0.72,0.725,-,,-,0.39,-,-
33.21,18.03,Wesfarmers Ltd,31.10,-45,31.08,31.10,115,f,1.13,3.47,3.70,23.9
8.48,3.96,West Aust News,7.72,27,7.66,7.81,29,f,1.29,-,3.76,20.7
14.33,9.46,Westfield Grp stp,11.84,-3,11.83,11.86,94,,-,10.47,7.94,-
27.57,17.86,Westpac Banking,27.34,43,27.26,27.34,116,f,1.08,7.89,4.24,21.8
30.57,24.36,Woolworths Ltd,28.72,44,28.70,28.76,109,f,1.46,1.99,3.80,18.1
31.79,17.05,WorleyParsons Ltd,26.20,101,26.01,26.25,90.5,f,1.51,0.16,3.45,19.2
7.87,3.30,Wotif Com Hldgs,7.68,18,7.51,7.69,20,f,1.21,-0.06,2.60,31.7
