100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4913.3 at 16:37 27/4/2010  Report at 19:06 Tuesday 27/4/2010. Processed 19:46 Tuesday 27/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.01,1.935,Adelaide Brighton,2.89,,2.86,2.90,13.5,f,1.51,1.21,4.67,14.2
15.69,13.07,AGL Energy Ltd,15.38,10,15.29,15.41,57,f,0.47,6.21,3.71,57.0
6.63,4.201,Amcor Ltd,6.32,-9,6.25,6.33,29.5,,0.71,2.25,4.67,30.2
6.97,4.55,AMP Ltd,6.36,7,6.34,6.36,30,p,1.24,0.80,4.72,17.1
12.87,7.71,Ansell Ltd,12.30,6,12.26,12.40,29,,2.82,1.92,2.36,15.1
26.23,14.90,ANZ Banking Grp,25.17,-3,25.14,25.18,102,f,1.67,10.72,4.05,14.8
3.79,2.60,APA Grp stp,3.71,-4,3.70,3.73,31.75,,0.79,-,8.56,14.8
2.61,1.129,APN News & Media,2.46,3,2.44,2.50,4,f,4.17,-0.78,1.63,14.7
7.05,5.50,Argo Invest,6.49,,6.48,6.49,25,f,-,6.23,3.85,-
5.75,3.30,Aristocrat Leisure,4.43,4,4.41,4.47,4.5,,-,0.07,1.02,-
1.94,1.037,Asciano Grp stp,1.765,,1.76,1.77,-,,-,0.10,-,-
37.90,31.01,ASX Ltd,33.08,-42,33.03,33.19,163.6,f,1.10,3.19,4.95,18.3
5.41,4.14,Aust Foundation,5.20,,5.20,5.22,21,f,0.43,4.80,4.04,58.2
1.465,0.715,Austar United,1.155,-0.5,1.15,1.16,-,,-,-0.31,-,24.6
3.05,2.55,Australand Prop stp  d,2.94,1,2.93,2.96,-,,-,0.68,-,-
6.72,3.51,AXA Asia Pacific,6.20,,6.17,6.21,18.5,p,1.89,1.12,2.98,17.8
13.49,7.384,Bank of Qld,12.72,-3,12.70,12.77,52,f,1.78,7.20,4.09,13.8
10.48,5.901,Bendigo & Adelaide,9.98,-10,9.91,9.98,43,f,0.83,5.16,4.31,28.1
12.32,7.64,Billabong Intl,11.80,36,11.63,11.84,36,p,1.59,0.84,3.05,20.6
3.48,1.812,BlueScope Steel,2.76,-2,2.76,2.77,5,,-,2.47,1.81,-
0.41,0.089,Boart Longyear,0.35,1,0.345,0.35,-,,-,0.14,-,-
6.40,3.68,Boral Ltd,5.89,5,5.88,5.89,12.5,f,1.82,4.23,2.12,25.9
8.37,5.54,Brambles Ltd,7.39,1,7.35,7.39,25,p,1.38,0.66,3.38,21.5
16.80,10.52,Brickworks Ltd,13.19,-11,13.14,13.23,39.5,f,2.54,9.06,2.99,13.1
14.00,8.01,Caltex Aust,12.10,23,12.07,12.13,25,f,4.65,10.48,2.07,10.4
32.00,13.942,Campbell Brothers,28.58,-19,28.20,28.60,95,p,1.71,2.96,3.32,17.6
2.12,1.415,CFS Retail Prop unt,1.915,0.5,1.91,1.92,12.5,,-,1.99,6.53,-
4.50,1.76,Challenger FSG Ltd,4.34,,4.34,4.40,13.5,,2.61,3.36,3.11,12.3
0.355,0.14,Charter Hall Office unt,0.30,1,0.30,0.305,2.5,,4.01,0.44,8.33,3.0
11.81,8.26,Coca-Cola Amatil,11.35,10,11.27,11.36,43.5,f,1.39,1.38,3.83,18.8
