100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4401.2 at 16:37 8/6/2010  Report at 19:05 Tuesday 8/6/2010. Processed 21:06 Tuesday 8/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.01,2.03,Adelaide Brighton,2.75,5,2.69,2.75,13.5,f,1.51,1.21,4.91,13.5
15.69,13.07,AGL Energy Ltd,14.56,7,14.45,14.57,57,f,0.47,6.21,3.91,53.9
6.76,4.276,Amcor Ltd,6.23,13,6.15,6.23,29.5,,0.71,2.25,4.74,29.8
6.97,4.55,AMP Ltd,5.56,5,5.56,5.59,30,p,1.24,0.80,5.40,15.0
13.48,8.16,Ansell Ltd,12.95,,12.82,12.98,29,,2.82,1.92,2.24,15.9
26.23,15.68,ANZ Banking Grp,22.31,29,22.30,22.33,108,f,1.34,9.99,4.84,15.4
3.79,2.60,APA Grp stp,3.68,21,3.63,3.68,31.75,,0.79,-,8.63,14.7
2.61,1.32,APN News & Media,2.23,7,2.15,2.25,4,f,4.17,-0.78,1.79,13.4
7.05,5.61,Argo Invest,5.90,-5,5.89,5.90,25,f,-,5.99,4.24,-
5.75,3.37,Aristocrat Leisure,3.93,-7,3.92,3.97,4.5,,-,0.07,1.15,-
1.94,1.24,Asciano Grp stp,1.555,2.5,1.55,1.555,-,,-,0.10,-,-
37.90,29.24,ASX Ltd,30.07,56,30.03,30.10,163.6,f,1.10,3.19,5.44,16.7
5.41,4.26,Aust Foundation,4.73,1,4.72,4.80,21,f,0.43,4.98,4.44,53.0
1.465,0.73,Austar United,0.995,3,0.96,1.00,-,,-,-0.31,-,21.2
3.05,1.835,Australand Prop stp,2.41,2,2.40,2.41,5,,-,0.68,2.07,-
6.72,3.51,AXA Asia Pacific,5.84,-1,5.80,5.87,18.5,p,1.89,1.12,3.17,16.7
13.49,8.056,Bank of Qld,11.16,44,11.01,11.20,52,f,1.78,7.20,4.66,12.1
10.48,6.00,Bendigo & Adelaide,8.76,22,8.69,8.79,43,f,0.83,5.16,4.91,24.7
12.32,7.93,Billabong Intl,9.41,,9.39,9.51,36,p,1.59,0.84,3.83,16.5
3.48,2.06,BlueScope Steel,2.23,6,2.22,2.24,5,,-,2.47,2.24,-
4.10,1.493,Boart Longyear,2.65,1,2.64,2.65,-,,-,0.14,-,-
6.40,3.77,Boral Ltd,5.11,-7,5.10,5.12,12.5,f,1.82,4.23,2.45,22.5
8.37,5.54,Brambles Ltd,6.26,9,6.12,6.27,25,p,1.38,0.66,3.99,18.2
16.80,10.88,Brickworks Ltd,12.25,5,12.20,12.30,39.5,f,2.54,9.06,3.22,12.2
14.00,8.01,Caltex Aust,10.28,11,10.22,10.31,25,f,4.65,10.48,2.43,8.8
32.00,17.981,Campbell Brothers,27.98,6,27.75,28.05,100,p,1.29,3.76,3.57,21.7
2.12,1.575,CFS Retail Prop unt,1.90,,1.90,1.905,12.5,,-,1.99,6.58,-
4.50,2.02,Challenger FSG Ltd,3.45,-1,3.41,3.45,13.5,,2.61,3.36,3.91,9.8
0.355,0.19,Charter Hall Office unt,0.25,-0.5,0.25,0.255,2.5,,4.01,0.44,10.00,2.5
11.81,8.26,Coca-Cola Amatil,11.48,28,11.43,11.49,43.5,f,1.39,1.38,3.79,19.0
77.66,51.25,Cochlear Ltd,74.60,15,74.45,75.00,190,f,1.27,3.25,2.55,30.8
60.00,36.20,C'wlth Bank  of Aust ,50.75,67,50.73,50.77,235,f,1.41,-,4.63,15.4
1.045,0.735,C'wlth Prop ord unt   ,0.945,1.5,0.94,0.945,6.85,,-,1.11,7.25,-
12.90,8.45,Computershare Ltd,11.02,2,10.92,11.09,25,p,2.27,-1.54,2.27,19.4
0.49,0.282,ConnectEast stp,0.38,0.5,0.375,0.38,2,,-,-,5.26,-
3.44,2.17,Consolidated Media,3.23,1,3.22,3.24,16.5,f,3.48,0.88,5.11,5.6
9.39,6.41,Crown Ltd,7.83,2,7.60,7.85,37,p,-,3.24,4.73,-
37.56,29.27,CSL Ltd,33.27,42,33.10,33.29,75,,2.85,6.11,2.25,15.6
2.18,1.48,CSR Ltd,1.71,2.5,1.705,1.71,8.5,f,-,1.04,4.97,-
5.96,3.86,David Jones Ltd,4.23,1,4.22,4.24,29,f,1.14,1.22,6.86,12.8
0.89,0.66,DEXUS Prop Grp stp,0.785,1,0.785,0.79,6.15,,-,0.95,7.83,-
9.44,4.37,Downer EDI Ltd,4.69,7,4.68,4.70,29.1,,1.87,2.15,6.20,8.6
