100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4504.4 at 16:36 26/7/2010  Report at 19:05 Monday 26/7/2010. Processed 19:08 Monday 26/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.20,2.31,Adelaide Brighton,3.19,4,3.14,3.20,13.5,f,1.51,1.21,4.23,15.6
15.69,13.37,AGL Energy Ltd,14.67,-24,14.65,14.70,57,f,0.47,6.21,3.89,54.3
7.04,4.473,Amcor Ltd,6.84,,6.83,6.87,29.5,,0.71,2.25,4.31,32.7
6.97,5.06,AMP Ltd,5.41,6,5.39,5.41,30,p,1.24,0.80,5.55,14.6
13.73,8.60,Ansell Ltd,13.29,-30,13.23,13.34,29,,2.82,1.92,2.18,16.3
26.23,17.06,ANZ Banking Grp,22.73,32,22.72,22.73,108,f,1.34,9.99,4.75,15.7
3.83,2.63,APA Grp stp,3.71,,3.70,3.73,31.75,,0.79,-,8.56,14.8
2.61,1.63,APN News & Media,2.05,5,2.03,2.08,4,f,4.17,-0.78,1.95,12.3
7.05,5.61,Argo Invest,5.90,2,5.88,5.93,25,f,-,5.99,4.24,-
5.75,3.39,Aristocrat Leisure,3.59,1,3.58,3.59,4.5,,-,0.07,1.25,-
1.94,1.435,Asciano Grp stp,1.675,-2.5,1.67,1.685,-,,-,0.10,-,-
37.77,28.02,ASX Ltd,29.00,29,28.97,29.05,163.6,f,1.10,3.19,5.64,16.1
5.41,4.52,Aust Foundation,4.79,1,4.78,4.79,21,f,0.43,4.98,4.38,53.6
1.465,0.84,Austar United,1.03,-0.5,1.00,1.035,-,,-,-0.31,-,21.9
3.05,2.125,Australand Prop stp,2.58,-1,2.53,2.58,12,,-,0.68,4.65,-
6.72,3.98,AXA Asia Pacific,5.50,4,5.47,5.50,18.5,p,1.89,1.12,3.36,15.8
13.49,9.74,Bank of Qld,10.43,12,10.40,10.44,52,f,1.78,7.20,4.99,11.3
10.48,7.196,Bendigo & Adelaide,8.19,-2,8.18,8.23,43,f,0.83,5.16,5.25,23.1
12.32,8.28,Billabong Intl,9.15,2,9.12,9.20,36,p,1.59,0.84,3.93,16.0
3.48,2.03,BlueScope Steel,2.39,1,2.38,2.39,-,,-,2.47,-,-
4.10,1.896,Boart Longyear,2.99,7,2.96,2.99,-,,-,0.14,-,-
6.40,4.15,Boral Ltd,4.33,6,4.32,4.34,12.5,f,1.82,4.23,2.89,19.1
8.37,5.22,Brambles Ltd,5.49,6,5.48,5.49,25,p,1.38,0.66,4.55,15.9
16.80,11.35,Brickworks Ltd,12.03,3,11.85,12.03,39.5,f,2.54,9.06,3.28,12.0
13.63,8.01,Caltex Aust,10.54,-6,10.52,10.54,25,f,4.65,10.48,2.37,9.1
32.00,20.725,Campbell Brothers,31.00,100,30.90,31.00,100,p,1.29,3.76,3.23,24.0
2.12,1.695,CFS Retail Prop unt,1.97,1.5,1.965,1.97,12.5,,-,1.99,6.35,-
4.50,2.40,Challenger FSG Ltd,3.65,-3,3.64,3.69,13.5,,2.61,3.36,3.70,10.4
0.355,0.215,Charter Hall Office unt,0.255,0.5,0.25,0.255,2.5,,4.01,0.44,9.80,2.5
12.15,9.11,Coca-Cola Amatil,11.84,13,11.81,11.89,43.5,f,1.39,1.38,3.67,19.6
79.11,54.53,Cochlear Ltd,74.93,38,73.80,75.00,190,f,1.27,3.25,2.54,30.9
60.00,39.80,C'wlth Bank  of Aust ,51.49,25,51.44,51.50,235,f,1.41,-,4.56,15.6
1.045,0.735,C'wlth Prop ord unt   ,0.975,-0.5,0.97,0.975,6.85,,-,1.11,7.03,-
12.90,9.01,Computershare Ltd,10.35,-3,10.32,10.36,25,p,2.27,-1.54,2.42,18.2
0.49,0.33,ConnectEast stp,0.40,,0.395,0.40,2,,-,-,5.00,-
3.44,2.71,Consolidated Media,3.12,-2,3.10,3.13,16.5,f,3.48,0.88,5.29,5.4
9.39,6.95,Crown Ltd,8.03,3,8.00,8.04,37,p,-,3.24,4.61,-
37.56,29.41,CSL Ltd,32.67,27,32.65,32.70,75,,2.85,6.11,2.30,15.3
2.18,1.585,CSR Ltd,1.73,1,1.725,1.73,8.5,f,-,1.04,4.91,-
5.96,4.10,David Jones Ltd,4.68,-6,4.67,4.69,29,f,1.14,1.22,6.20,14.2
0.89,0.66,DEXUS Prop Grp stp,0.84,1,0.835,0.84,5.1,,-,0.95,6.07,-
9.44,3.33,Downer EDI Ltd,4.51,6,4.49,4.53,29.1,,1.87,2.15,6.45,8.3
1.90,1.435,DUET Grp forus,1.695,-0.5,1.68,1.695,20,,0.22,-,11.80,38.6
1.885,1.26,Fairfax Media Ltd,1.50,2.5,1.475,1.50,1.1,,8.45,-0.31,0.73,16.1
21.43,9.52,Flight Centre,18.31,19,18.12,18.60,26,f,2.44,2.56,1.42,28.9
6.01,5.11,Foster's Grp,5.83,-14,5.82,5.87,27.25,f,0.73,0.52,4.67,29.4
1.78,1.30,Goodman Fielder,1.33,-1,1.325,1.33,11.25,,1.28,-0.16,8.46,9.2
0.75,0.404,Goodman Grp forus,0.63,0.5,0.625,0.63,1.5,,-,0.50,2.38,-
3.01,0.48,GPT Grp stp,2.91,-6,2.91,2.94,3.6,,-,0.69,1.24,-
4.85,3.08,Harvey Norman,3.54,-11,3.53,3.55,13,f,1.98,2.10,3.67,13.7
6.01,4.07,Healthscope Ltd,5.98,-1,5.98,5.99,22.5,f,1.32,0.66,3.76,20.1
2.67,2.01,Henderson Grp cdi,2.22,2,2.17,2.25,10.69,,0.30,-0.18,4.82,68.7
0.135,0.088,Hutchison,0.093,0.1,0.093,0.094,-,,-,0.10,-,1.5
3.83,2.51,Incitec Pivot,3.24,5,3.23,3.25,4.1,,-,0.27,1.27,-
0.67,0.45,ING Office Fd stp,0.62,,0.62,0.625,3.9,,-,0.74,6.29,-
4.21,3.22,Insurance Aust Grp,3.50,,3.49,3.51,14.5,f,1.73,1.29,4.14,14.0
1.59,1.005,Intoll Grp stp,1.465,0.5,1.46,1.465,3,,-,1.78,2.05,-
7.40,4.22,IOOF Hldgs Ltd,6.55,-1,6.45,6.62,21,f,0.93,0.56,3.21,33.6
8.86,4.81,James Hardie Ind cdi,6.54,17,6.48,6.58,-,,-,-0.29,-,-
23.71,15.91,JB Hi-Fi Ltd,19.14,-18,19.11,19.38,62,f,1.67,1.71,3.24,18.5
41.70,27.17,Leighton Hldgs,29.76,10,29.71,29.85,120,f,1.73,7.52,4.03,14.3
10.907,7.00,Lend Lease Grp stp,7.42,-2,7.40,7.44,36,f,1.20,3.99,4.85,17.2
58.80,35.01,Macq Grp Ltd,39.74,31,39.72,39.77,186,,1.72,25.82,4.68,12.4
3.38,2.245,MAP Grp forus,2.97,3,2.95,2.97,19,,-,-0.30,6.40,-
4.74,3.84,Metcash Ltd,4.36,-3,4.35,4.38,26,f,1.14,0.12,5.96,14.7
19.40,15.15,Milton Corp,16.54,19,16.23,16.54,70,f,0.64,18.37,4.23,37.0
8.80,4.05,Mineral Res,8.27,11,8.20,8.35,18.75,f,2.04,2.39,2.27,21.6
1.745,1.165,Mirvac Grp stp,1.35,-0.5,1.345,1.355,8,,-,-,5.93,-
15.98,10.78,Monadelphous Grp,13.65,14,13.60,13.67,79,f,1.15,1.52,5.79,15.0
3.98,2.86,Myer Hldgs Ltd,3.41,-6,3.41,3.43,-,f,-,-0.21,-,-
32.37,22.23,National Aust Bank,24.77,40,24.71,24.79,147,f,1.36,12.41,5.93,12.4
5.56,2.66,Navitas Ltd,4.33,,4.32,4.39,16.9,f,0.99,-0.25,3.90,25.8
20.18,14.08,News Corp b voting,16.72,12,16.70,16.75,5.14,,14.51,0.45,0.31,22.4
4.15,2.76,OneSteel Ltd,3.08,5,3.07,3.09,9,,0.61,1.72,2.92,56.5
26.382,20.402,Orica Ltd,25.62,20,25.40,25.64,98,p,1.04,1.31,3.83,25.0
17.94,13.85,Origin Energy,15.56,2,15.50,15.57,50,f,1.45,8.48,3.21,21.5
41.39,27.11,Perpetual Ltd,29.01,10,29.00,29.22,165,f,1.11,4.46,5.69,15.8
6.34,4.24,Platinum Asset,5.19,11,5.15,5.19,20,f,1.17,-,3.85,22.2
6.56,3.45,Primary Health Care,3.66,4,3.66,3.67,22,f,1.91,-1.15,6.01,8.7
4.57,0.034,Prime Infr Grp stp,3.43,-2,3.42,3.43,-,,-,-,-,-
3.06,2.12,Qantas Airways,2.45,5,2.44,2.45,-,,-,2.25,-,-
25.70,16.80,QBE Insurance Grp,16.97,-100,16.96,16.98,128,p,1.54,5.16,7.54,8.6
15.49,10.20,Ramsay Health Care,14.62,-13,14.47,14.80,40,f,1.61,1.70,2.74,22.8
12.60,5.14,REA Grp,9.76,5,9.73,9.80,10,,1.00,0.45,1.02,97.2
26.65,19.65,Reece Aust Ltd,23.60,9,22.91,23.85,53,f,2.06,5.41,2.25,21.7
7.97,4.86,ResMed Inc cdi,7.19,-5,7.14,7.19,-,,-,-,-,28.6
8.57,4.04,Seek Ltd,7.52,16,7.43,7.63,9.9,f,1.86,0.55,1.32,40.9
7.60,5.41,Seven Grp Hldgs,6.23,6,6.10,6.32,-,,-,-,-,-
29.15,15.72,Sims Metal Mgmt,18.49,63,18.21,18.50,20,f,-,8.87,1.08,-
15.64,9.53,Sonic Healthcare,10.21,14,10.14,10.21,59,p,0.81,-1.48,5.78,21.4
15.38,10.276,Soul Pattinson,12.98,-2,12.88,13.07,33,f,3.76,11.11,2.54,10.5
0.975,0.725,SP AusNet stp,0.835,2,0.83,0.835,8,p,1.01,0.94,9.58,10.3
1.445,1.025,Spark Infrastructure stp,1.245,1,1.24,1.245,13.56,,0.89,1.78,10.89,10.3
4.23,2.99,Stockland stp,3.86,-3,3.85,3.86,27.8,,-,-,7.20,-
9.59,6.92,Suncorp-Metway,8.48,-4,8.47,8.49,35,f,0.98,5.43,4.13,24.8
7.52,6.28,Tabcorp Hldgs Ltd,6.76,4,6.75,6.77,60,f,1.44,-1.53,8.88,7.9
2.67,2.19,Tatts Grp Ltd,2.39,1,2.38,2.39,21,f,1.04,-0.51,8.79,10.9
3.71,2.88,Telstra Corp,3.21,1,3.21,3.22,28,f,1.16,0.36,8.72,9.9
