100 Leading Industrial Stocks,,,,,,,,,,,,
XAO 4507.4 at 16:36 30/7/2010  Report at 19:05 Friday 30/7/2010. Processed 10:36 Saturday 31/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
3.20,2.31,Adelaide Brighton,3.17,,3.15,3.17,13.5,f,1.51,1.21,4.26,15.5
15.69,13.37,AGL Energy Ltd,14.77,7,14.71,14.80,57,f,0.47,6.21,3.86,54.7
7.04,4.473,Amcor Ltd,6.56,-3,6.55,6.61,29.5,,0.71,2.25,4.50,31.4
6.97,5.06,AMP Ltd,5.30,-1,5.29,5.31,30,p,1.24,0.80,5.66,14.3
13.73,8.89,Ansell Ltd,12.85,-18,12.85,13.25,29,,2.82,1.92,2.26,15.7
26.23,18.72,ANZ Banking Grp,23.05,-14,22.98,23.05,108,f,1.34,9.99,4.69,15.9
3.83,2.63,APA Grp stp,3.71,2,3.69,3.71,31.75,,0.79,-,8.56,14.8
2.61,1.63,APN News & Media,2.11,3,2.06,2.11,4,f,4.17,-0.78,1.90,12.6
7.05,5.61,Argo Invest,5.92,-1,5.90,5.97,25,f,-,5.99,4.22,-
5.75,3.34,Aristocrat Leisure,3.39,-4,3.37,3.45,4.5,,-,0.07,1.33,-
1.94,1.435,Asciano Grp stp,1.69,-2,1.69,1.695,-,,-,0.10,-,-
37.66,28.02,ASX Ltd,28.90,7,28.85,29.00,163.6,f,1.10,3.19,5.66,16.0
5.41,4.52,Aust Foundation,4.90,2,4.90,4.91,21,f,0.89,4.49,4.29,26.3
1.465,0.84,Austar United,0.94,-4.5,0.94,0.955,-,,-,-0.28,-,26.9
3.05,2.125,Australand Prop stp,2.66,,2.66,2.68,12,,1.24,3.44,4.51,17.9
6.72,4.05,AXA Asia Pacific,5.43,-7,5.41,5.46,18.5,p,1.89,1.12,3.41,15.6
13.49,9.74,Bank of Qld,10.38,-25,10.35,10.40,52,f,1.78,7.20,5.01,11.2
10.48,7.66,Bendigo & Adelaide,8.19,,8.17,8.20,43,f,0.83,5.16,5.25,23.1
12.32,8.28,Billabong Intl,9.12,6,9.01,9.13,36,p,1.59,0.84,3.95,15.9
3.45,2.03,BlueScope Steel,2.37,-5,2.36,2.38,-,,-,2.47,-,-
4.10,2.299,Boart Longyear,3.06,-2,3.06,3.08,-,,-,0.14,-,-
6.40,4.15,Boral Ltd,4.24,-2,4.23,4.27,12.5,f,1.82,4.23,2.95,18.7
8.37,5.22,Brambles Ltd,5.40,-7,5.38,5.40,25,p,1.38,0.66,4.63,15.7
16.80,11.35,Brickworks Ltd,11.81,-14,11.81,11.88,39.5,f,2.54,9.06,3.34,11.8
13.63,8.01,Caltex Aust,10.27,-20,10.26,10.31,25,f,4.65,10.48,2.43,8.8
32.00,21.877,Campbell Brothers,30.85,4,30.35,30.85,100,p,1.29,3.76,3.24,23.9
2.12,1.695,CFS Retail Prop unt,1.88,-0.5,1.875,1.885,12.5,,-,1.99,6.65,-
4.50,2.40,Challenger FSG Ltd,3.52,-5,3.47,3.52,13.5,,2.61,3.36,3.84,10.0
0.355,0.22,Charter Hall Office unt,0.245,-0.5,0.245,0.25,2.5,,4.01,0.44,10.20,2.4
12.15,9.20,Coca-Cola Amatil,11.47,-16,11.46,11.49,43.5,f,1.39,1.38,3.79,19.0
