100 Leading Industrial Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5416.1 at 2014-04-07T16:38:36. Report at Monday, April 7, 2014. Processed Tuesday at 2014-04-08T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div c per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
4.375,3.108,Adelaide Brighton,3.91,+2,3.90,3.91,16.50,f,1.44,1.38,4.22,16.5,,
16.15,13.85,AGL Energy,15.10,+17,15.09,15.10,63.00,f,.81,7.56,4.17,29.5,,
10.64,7.05,ALS,7.43,+3,7.40,7.43,46.00,p,1.17,-.07,6.19,13.8,,
10.89,8.331,Amcor,10.27,+3,10.24,10.28,40.00,,1.08,-.09,3.89,23.8,,
5.79,4.11,AMP,5.04,-2,5.03,5.04,23.00,p,1.01,1.35,4.56,21.7,,
22.24,14.62,Ansell,18.31,-7,18.26,18.32,40.89,,2.89,4.21,2.23,15.5,,
34.06,26.30,ANZ Banking Grp,33.48,+11,33.45,33.49,164.00,f,1.41,13.48,4.90,14.5,,
6.97,5.80,APA Grp stp,6.48,+2,6.45,6.48,36.00,,.59,1.37,5.56,30.7,,
7.44,6.03,Argo Invest,7.29,+4,7.23,7.30,27.00,f,1.10,7.27,3.70,24.5,,
5.55,3.54,Aristocrat Leisure,5.16,-6,5.16,5.18,14.50,,1.34,.41,2.81,26.5,,
1.875,.675,Arrium,1.325,-2.5,1.32,1.33,9.00,,-,1.34,6.79,,,
6.23,4.57,Asciano,5.32,-1,5.30,5.33,12.00,f,2.81,.97,2.26,15.8,,
39.38,32.06,ASX,35.28,-2,35.25,35.28,170.50,f,1.15,6.60,4.83,18.0,,
5.255,3.77,Aurizon Hldgs,5.17,-2,5.16,5.18,16.20,p,1.07,2.99,3.13,29.7,,
6.33,5.10,Aust Foundation,6.00,,5.99,6.00,21.00,f,1.13,5.78,3.50,25.2,,
4.29,3.14,Australand Prop stp,4.19,+2,4.17,4.20,21.50,,1.09,,5.13,17.9,,
13.00,8.08,Bank of Qld,12.74,+4,12.74,12.75,58.00,f,1.01,,4.55,21.8,,
12.09,9.30,Bendigo & Adelaide Bk,11.19,-2,11.15,11.19,62.00,f,1.32,6.83,5.54,13.6,,
6.50,4.22,BlueScope Steel,6.30,-3,6.29,6.31,,,-,6.40,,,,
5.965,3.97,Boral,5.70,-2,5.69,5.70,13.00,f,-,3.24,2.28,,,
9.825,7.573,Brambles,9.33,-7,9.33,9.35,27.00,p,3.49,.78,2.89,9.9,,
15.50,11.58,Brickworks,14.15,-23,14.13,14.15,41.00,f,1.41,10.04,2.90,24.5,,
7.45,2.82,BT Invest Mgt,7.13,-12,7.13,7.18,18.00,p,1.16,.08,2.52,34.1,,
23.77,16.80,Caltex Aust,21.85,+21,21.82,21.86,34.00,f,5.77,9.05,1.56,11.1,,
12.61,8.45,carsales.com,10.70,-13,10.69,10.72,30.30,f,1.25,.33,2.83,28.2,,
2.26,1.86,CFS Retail Prop stp,1.935,+.5,1.935,1.95,13.60,p,.92,2.02,7.03,15.4,,
6.81,3.60,Challenger,6.50,+3,6.47,6.51,23.00,,3.03,2.98,3.54,9.3,,
15.150,10.885,Coca-Cola Amatil,11.09,,11.09,11.10,56.00,p,.19,1.83,5.05,105.6,,
73.86,51.79,Cochlear,57.60,-5,57.55,57.72,254.00,,.53,1.29,4.41,43.2,,
1.285,1.005,C'wlth Prop Office ord unt,1.245,,,,6.85,p,1.51,1.17,5.50,12.1,,
79.88,64.49,C'wlth Bank  of Aust,76.86,-12,76.83,76.87,383.00,f,1.33,22.10,4.98,15.1,,
12.765,9.40,Computershare,12.17,-10,12.17,12.18,28.00,p,1.50,-2.50,2.30,28.9,,
1.112,.925,Cromwell Property stp,.955,-.5,.95,.96,7.50,,.82,.71,7.85,15.6,,
18.22,11.45,Crown Resorts,16.92,-24,16.90,16.96,37.00,p,2.22,4.20,2.19,20.6,,
72.82,56.15,CSL,70.36,-24,70.12,70.36,115.86,,2.52,5.53,1.65,24.1,,
3.64,1.80,CSR,3.51,-9,3.50,3.51,7.10,,-,2.02,2.02,,,
3.44,2.32,David Jones,3.20,+1,3.19,3.20,17.00,f,1.01,1.37,5.31,18.6,,
1.24,.98,DEXUS Prop Grp stp,1.06,+1,1.055,1.06,6.18,,1.75,1.08,5.83,9.8,,
22.32,10.370,Domino's Pizza,19.09,-45,19.09,19.12,33.10,f,1.26,-.01,1.73,45.8,,
5.40,3.165,Downer EDI,4.97,-5,4.97,4.99,22.00,p,2.11,3.03,4.43,10.7,,
2.53,1.95,DUET Grp forus,2.09,,2.08,2.10,16.75,,1.00,1.39,8.01,12.5,,
5.77,3.98,DuluxGroup,5.60,-1,5.60,5.63,17.50,f,1.21,-.01,3.13,26.5,,
3.75,2.13,Echo Entertainment,2.33,-3,2.32,2.33,6.00,f,1.27,1.28,2.58,30.7,,
1.282,.925,Envestra,1.16,,1.155,1.16,6.40,,1.20,.14,5.52,15.1,,
1.015,.455,Fairfax Media,.925,-2,.92,.925,3.00,f,-,.27,3.24,,,
2.74,2.16,Federation Cntres stp,2.36,+1,2.35,2.37,15.00,,1.50,2.30,6.36,10.5,,
55.72,33.96,Flight Centre Travel,52.62,+23,52.51,52.66,146.00,f,1.81,6.99,2.77,19.9,,
5.59,4.47,Goodman Grp stp,4.77,+7,4.75,4.77,20.05,,.47,2.73,4.20,50.8,,
4.23,3.34,GPT Grp stp,3.69,+2,3.68,3.69,20.40,,1.54,3.79,5.53,11.7,,
12.828,7.50,GrainCorp,8.65,+6,8.65,8.66,40.00,f,1.55,5.62,4.62,14.0,,
3.425,2.35,Harvey Norman,3.16,-12,3.16,3.17,10.50,f,1.54,2.39,3.32,19.5,,
4.87,2.25,Henderson Grp cdi,4.79,+8,4.77,4.79,11.42,,1.90,.26,2.38,22.0,,
3.235,2.305,Incitec Pivot,2.93,,2.93,2.94,9.20,p,3.20,.70,3.14,10.0,,
6.25,5.25,Insurance Aust Grp,5.60,+1,5.59,5.61,38.00,f,1.21,1.78,6.79,12.1,,
3.44,2.72,Investa Office Fd stp,3.23,+2,3.21,3.23,18.25,,1.44,3.24,5.65,12.3,,
9.93,6.96,IOOF Hldgs,8.49,-11,8.49,8.50,45.00,f,.91,.09,5.30,20.8,,
15.206,8.474,James Hardie Ind cdi,14.18,+1,14.18,14.19,24.02,,1.61,.11,1.69,36.6,,
23.13,14.51,JB Hi-Fi,19.52,-18,19.50,19.53,77.00,f,1.63,2.31,3.94,15.6,,
23.15,14.40,Leighton Hldgs,20.21,-22,20.20,20.25,105.00,p,1.44,7.93,5.20,13.4,,
12.53,8.12,Lend Lease Grp stp,12.42,-9,12.38,12.43,42.00,,2.19,5.46,3.38,13.5,,
58.37,30.993,Macquarie Grp,57.35,-61,57.34,57.36,221.26,p,1.42,31.64,3.86,18.3,,
14.38,6.22,Magellan Fin Grp,13.12,-71,13.11,13.17,33.00,f,1.73,1.14,2.52,23.0,,
4.255,2.54,Metcash,2.60,-1,2.60,2.61,26.00,f,.98,-.19,10.00,10.2,,
4.43,3.584,Milton Corp,4.36,+8,4.30,4.36,16.80,f,1.12,4.27,3.85,23.1,,
12.74,7.99,Mineral Res,11.64,+1,11.60,11.64,62.00,f,2.15,5.52,5.33,8.7,,
1.835,1.50,Mirvac Grp stp,1.71,+1,1.705,1.715,8.70,,1.05,1.65,5.09,18.7,,
22.99,14.63,Monadelphous Grp,17.49,+5,17.38,17.50,135.00,f,1.33,3.76,7.72,9.8,,
37.07,27.55,National Aust Bank,35.18,-20,35.18,35.27,190.00,f,1.21,14.64,5.40,15.3,,
7.75,4.80,Navitas,6.98,-23,6.97,6.99,19.60,f,1.03,-.60,2.81,34.6,,
2.39,1.80,Nine Entertainment,2.37,+3,2.36,2.37,,,-,,,60.8,,
24.85,17.47,Orica,21.57,+7,21.56,21.62,94.00,f,1.76,4.44,4.36,13.0,,
14.99,11.71,Origin Energy,14.36,+10,14.36,14.37,50.00,,.32,,3.48,90.3,,
1.455,1.115,Orora,1.40,-2.5,1.395,1.41,,,-,,,,,
53.16,34.36,Perpetual,49.71,-61,49.68,49.74,160.00,f,1.07,3.19,3.22,29.0,,
7.75,4.82,Platinum Asset,7.50,-8,7.50,7.51,28.00,f,1.07,.64,3.73,25.0,,
5.435,4.365,Primary Health Care,4.83,-2,4.81,4.83,20.00,f,1.55,1.33,4.14,15.5,,
1.90,.952,Qantas Airways,1.155,+1,1.15,1.155,,,-,2.25,,,,
17.53,10.05,QBE Insurance Grp,12.80,-9,12.79,12.80,32.00,f,-,5.31,2.50,,,
2.33,1.565,Qube Holdings,2.22,-8,2.21,2.22,4.70,f,1.92,.51,2.12,24.6,,
50.56,31.14,Ramsay Health Care,47.43,-61,47.32,47.45,75.50,f,1.79,2.07,1.59,35.1,,
52.45,25.74,REA Grp,46.20,-253,46.15,46.23,47.50,f,2.06,2.09,1.03,47.2,,
34.15,21.90,Reece Aust,30.50,+20,30.50,30.90,63.00,f,1.98,7.61,2.07,24.4,,
5.94,4.26,ResMed Inc cdi,4.88,,4.86,4.88,8.43,,3.13,,1.73,18.5,,
18.54,8.55,Seek,16.70,-46,16.67,16.72,26.00,f,3.89,-.59,1.56,16.5,,
10.09,6.375,Seven Grp Hldgs,8.08,-2,8.07,8.11,40.00,f,3.77,6.87,4.95,5.4,,
2.595,1.815,Seven West Media,1.88,-3.5,1.875,1.88,12.00,f,1.61,,6.38,9.7,,
11.24,8.11,Sims Metal Mgt,9.75,-3,9.74,9.75,,,-,8.48,,,,
17.94,12.72,Sonic Healthcare,17.41,-28,17.41,17.44,64.00,p,1.42,-2.76,3.68,19.2,,
15.97,12.94,Soul Pattinson WH,15.75,+20,15.68,15.75,47.00,f,.93,12.26,2.98,35.9,,
1.34,1.105,SP AusNet stp,1.31,-1,1.30,1.31,8.28,p,1.03,.91,6.32,15.3,,
1.867,1.535,Spark Infrastructure forus,1.695,,1.69,1.695,11.00,,.88,1.86,6.49,17.5,,
4.12,3.32,Stockland stp,3.71,+1,3.71,3.72,24.00,,1.01,3.52,6.47,15.2,,
13.75,11.247,Suncorp Grp,12.79,+8,12.78,12.79,65.00,f,.56,6.14,5.08,35.2,,
14.095,9.50,Super Retail Grp,10.67,-3,10.66,10.70,39.50,f,1.36,.21,3.70,19.8,,
4.29,3.26,Sydney Airport forus,4.18,,4.17,4.18,22.50,,.14,-2.66,5.38,129.0,,
3.685,2.99,Tabcorp Hldgs,3.51,-4,3.49,3.51,16.00,f,1.07,1.48,4.56,20.6,,
3.40,2.85,Tatts Grp,2.96,,2.95,2.96,15.50,f,1.11,-1.23,5.24,17.1,,
5.30,4.49,Telstra Corp,5.04,-2,5.04,5.05,28.50,f,1.11,.37,5.65,16.0,,
6.00,4.63,Toll Hldgs,5.13,-3,5.13,5.14,27.50,f,.33,1.42,5.36,56.4,,
6.85,3.09,TPG Telecom,6.40,-34,6.36,6.40,8.50,f,2.39,.36,1.33,31.5,,
1.23,.715,Transpacific Indust,1.15,-1.5,1.14,1.15,,,-,.61,,,,
7.355,6.43,Transurban Grp stp,7.22,-9,7.22,7.24,32.50,p,.36,2.01,4.50,61.7,,
6.47,3.41,Treasury Wine Estates,3.61,+1,3.61,3.62,13.00,,1.14,3.26,3.60,24.4,,
2.55,1.63,Veda Grp,2.35,,2.34,2.35,,,-,-.24,,,,
44.60,36.767,Wesfarmers,42.08,+51,42.07,42.09,188.10,f,1.11,4.38,4.47,20.2,,
12.55,9.67,Westfield Grp stp,10.46,+4,10.43,10.46,51.00,p,1.45,7.29,4.88,14.1,,
3.45,2.82,Westfield Retail Tr stp,3.01,-3,3.01,3.02,19.85,p,1.29,3.52,6.59,11.7,,
34.879,27.071,Westpac Banking,34.48,-12,34.47,34.52,174.00,f,1.27,11.07,5.05,15.6,,
36.96,31.53,Woolworths,35.86,-10,35.86,35.87,136.00,f,1.43,2.83,3.79,18.4,,
