50 Leading Mining & Oil Stocks,,,,,,,,,,,,
XAO 4597.2 at 16:47 27/11/2009  Report at 19:05 Friday 27/11/2009. Processed 19:55 Friday 27/11/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.00,0.683,Alumina Ltd,1.54,-3,1.535,1.55,12,,0.79,1.30,7.79,16.3
2.72,0.53,Andean Res Ltd,2.52,-18,2.50,2.59,-,,-,-,-,-
2.50,0.97,Aneka Tambang cdi 1:5,1.06,,1.06,-,2.94,,0.12,-,2.77,294.4
11.50,6.00,Anglogold Ashanti cdi 5:1,9.98,5,9.39,9.98,3.33,,-,-,0.33,-
6.66,2.459,Aquarius Platinum,6.25,-26,6.20,6.33,12.08,,-,-,1.93,-
10.49,1.90,Aquila Res,9.77,-43,9.75,9.90,-,,-,-,-,-
4.73,1.865,Arrow Energy,3.86,-12,3.86,3.88,-,,-,0.82,-,7.4
2.10,0.615,Atlas Iron Ltd,1.845,-7.5,1.83,1.85,-,,-,-,-,-
3.06,2.10,AWE Ltd,2.63,-13,2.63,2.64,-,,-,1.80,-,15.1
0.956,0.678,Beach Pet,0.865,-4,0.865,0.87,1.75,p,14.41,-,2.02,3.4
41.99,25.75,BHP Billiton Ltd,40.39,-141,40.38,40.40,113.63,f,1.15,8.84,2.81,31.0
2.50,0.75,Centamin Egypt,2.35,-2,2.33,2.35,-,,-,-,-,-
3.66,1.51,Centennial Coal,3.23,-12,3.22,3.26,11,f,1.77,1.77,3.41,16.6
2.23,0.95,CGA Min Ltd,2.21,-2,2.18,2.23,-,,-,-,-,-
108.50,67.50,Coal & Allied Ind  ,78.21,-179,78.21,78.35,710,f,1.52,15.40,9.08,7.3
2.39,0.73,Coal of Africa,1.73,-7,1.72,1.77,-,,-,-,-,-
6.59,1.20,Cudeco Ltd,5.25,-16,5.25,5.28,-,,-,-,-,-
1.165,0.315,Eastern Star Gas,0.785,-6.5,0.785,0.79,-,,-,-,-,-
28.28,15.01,Energy Res,23.40,-49,23.30,23.52,34,f,4.79,-,1.45,14.4
0.72,0.175,Energy World Corp,0.39,-5.5,0.38,0.41,-,,-,-,-,-
4.37,1.24,Equinox Min Ltd cdi,4.05,-11,4.01,4.10,-,,-,-,-,16.0
152.50,110.60,ETFS Metals etfs gold,129.45,239,129.00,129.45,-,,-,-,-,204.9
11.45,0.884,Extract Res,7.77,4,7.75,7.80,-,,-,-,-,-
17.925,4.65,Felix Res Ltd,16.86,1,16.80,16.88,53,f,2.57,2.53,3.14,12.4
4.75,1.655,Fortescue Metals Grp,4.01,-13,3.99,4.04,-,,-,0.35,-,18.3
1.05,0.40,Gindalbie Metals,0.905,-2.5,0.895,0.905,-,,-,-,-,17.7
5.40,2.70,Iluka Res,3.44,-14,3.41,3.53,-,,-,2.70,-,93.0
1.32,0.23,Kagara Ltd,1.035,-2,1.025,1.04,-,,-,0.74,-,-
12.10,2.25,Karoon Gas Aust,7.51,-27,7.50,7.60,-,,-,-,-,248.7
10.07,2.20,Kingsgate Cons,9.73,-8,9.54,9.76,15,f,2.33,2.55,1.54,27.9
3.73,2.16,Lihir Gold Ltd,3.57,-10,3.57,3.58,1.62,,-,1.29,0.45,-
0.72,0.075,Lynas Corp,0.585,,0.585,0.59,-,,-,-,-,-
10.62,2.32,Macarthur Coal,9.20,-63,9.17,9.26,13,f,6.10,4.03,1.41,11.6
4.40,0.60,Medusa Min Ltd,4.00,-20,3.92,4.20,-,,-,-,-,16.0
1.39,0.245,Minara Res,0.81,-2.5,0.795,0.815,-,,-,0.70,-,-
1.095,0.47,Mineral Deposits,1.085,0.5,1.065,1.085,-,,-,0.82,-,-
3.43,0.66,Mirabela Nickel,2.58,-17,2.58,2.60,-,,-,-,-,-
1.645,0.225,Mount Gibson Iron,1.48,-6,1.475,1.485,-,,-,0.73,-,32.5
2.18,0.49,Murchison Metals,1.65,-8.5,1.635,1.65,-,,-,-,-,916.7
5.22,2.711,New Hope Corp,4.20,-7,4.12,4.22,9.25,f,25.98,3.36,2.20,1.7
38.46,24.05,Newcrest Min,36.93,-107,36.90,36.94,15,,3.53,8.95,0.41,69.7
6.93,3.91,Oil Search Ltd,5.66,-9,5.65,5.69,7.85,,2.52,-,1.39,28.6
1.975,0.81,OM Hldgs Ltd,1.835,-4,1.83,1.88,3,,2.03,0.51,1.63,30.2
1.325,0.40,OZ Min,1.18,-7.5,1.18,1.185,5,,-,0.80,4.24,-
5.52,2.18,Paladin Energy,3.99,-12,3.98,4.00,-,,-,1.20,-,-
0.545,0.078,PanAust Ltd,0.50,-3.5,0.50,0.505,-,,-,0.16,-,-
75.42,23.59,Rio Tinto Ltd,68.55,-210,68.42,68.55,101.48,,0.45,-,1.48,148.6
7.30,2.00,Riversdale Min,6.23,-19,6.20,6.26,-,,-,1.96,-,3893.8
16.582,11.089,Santos Ltd,14.33,-47,14.30,14.35,42,f,5.64,-,2.93,6.1
8.12,2.92,Sino Gold Min Ltd,7.82,-16,7.65,7.83,-,,-,-,-,-
0.447,0.169,St Barbara Ltd,0.35,-0.5,0.345,0.35,-,,-,0.20,-,-
6.60,2.80,Western Areas NL,5.07,-18,5.04,5.12,-,,-,0.60,-,-
4.55,0.89,Whitehaven Coal,4.25,-20,4.22,4.28,8.5,f,7.12,1.68,2.00,7.0
54.32,30.00,Woodside Pet,48.10,-139,48.05,48.19,110,f,2.18,11.33,2.29,20.0
11.90,3.50,Zimplats Hldgs,11.50,-40,9.00,11.90,-,,-,-,-,-
