50 Leading Mining & Oil Stocks,,,,,,,,,,,,
XAO 4889.8 at 16:35 4/1/2010  Report at 19:05 Monday 4/1/2010. Processed 20:59 Monday 4/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.00,0.683,Alumina Ltd,1.885,4.5,1.875,1.885,12,,0.79,1.30,6.37,20.0
2.72,0.78,Andean Res Ltd,2.64,4,2.60,2.65,-,,-,-,-,-
2.50,0.97,Aneka Tambang cdi 1:5,1.06,,1.11,-,2.94,,0.12,-,2.77,294.4
11.50,6.80,Anglogold Ashanti cdi 5:1,9.00,,9.00,9.64,3.33,,-,-,0.37,-
7.47,3.002,Aquarius Platinum,7.29,-6,7.28,7.30,12.08,,-,-,1.66,-
11.38,1.727,Aquila Res,11.07,-4,10.99,11.07,-,,-,-,-,-
4.73,2.05,Arrow Energy,4.25,9,4.25,4.26,-,,-,0.82,-,8.2
2.10,1.05,Atlas Iron Ltd,1.95,6,1.94,1.95,-,,-,-,-,-
3.06,2.11,AWE Ltd,2.91,11,2.90,2.95,-,,-,1.80,-,16.8
0.946,0.678,Beach Energy Ltd,0.93,1,0.93,0.935,1.75,p,14.41,-,1.88,3.7
43.32,26.64,BHP Billiton Ltd,43.08,-4,43.05,43.11,113.63,f,1.15,8.84,2.64,33.1
2.50,0.75,Centamin Egypt,2.17,1,2.00,2.19,-,,-,-,-,-
4.11,1.51,Centennial Coal,3.94,-6,3.94,3.97,11,f,1.77,1.77,2.79,20.2
2.42,1.35,CGA Min Ltd,2.23,6,2.14,2.25,-,,-,-,-,-
108.50,67.50,Coal & Allied Ind  ,79.80,40,79.71,79.90,710,f,1.52,15.40,8.90,7.4
2.39,0.73,Coal of Africa,1.915,2.5,1.89,1.92,-,,-,-,-,-
6.59,1.555,Cudeco Ltd,5.12,8,5.12,5.16,-,,-,-,-,-
1.165,0.42,Eastern Star Gas,0.935,11,0.93,0.935,-,,-,-,-,-
16.21,13.01,Eldorado Gold cdi 1:1,16.05,48,15.85,16.10,-,,-,-,-,-
28.28,16.75,Energy Res,23.40,-49,23.38,23.40,34,f,4.79,-,1.45,14.4
0.72,0.19,Energy World Corp,0.405,1,0.40,0.41,-,,-,-,-,-
4.48,1.48,Equinox Min Ltd cdi,4.39,4,4.38,4.42,-,,-,-,-,17.3
152.50,110.60,ETFS Metals etfs gold,120.00,40,119.80,120.00,-,,-,-,-,190.0
11.45,1.321,Extract Res,8.44,12,8.12,8.45,-,,-,-,-,-
4.75,1.655,Fortescue Metals Grp,4.49,5,4.47,4.50,-,,-,0.35,-,20.5
1.10,0.505,Gindalbie Metals,1.08,2,1.08,1.10,-,,-,-,-,21.2
9.20,3.11,Gloucester Coal,9.10,,9.08,9.15,13.5,,7.39,2.12,1.48,9.1
0.75,0.26,Gujarat NRE Min,0.70,,0.68,0.70,-,,-,0.52,-,-
4.98,2.70,Iluka Res,3.59,1,3.56,3.60,-,,-,2.70,-,97.0
1.32,0.23,Kagara Ltd,1.08,3,1.07,1.08,-,,-,0.74,-,-
12.10,2.45,Karoon Gas Aust,10.65,4,10.65,10.68,-,,-,-,-,352.6
10.30,3.31,Kingsgate Cons,9.00,-21,9.00,9.01,15,f,2.33,2.55,1.67,25.8
3.77,2.41,Lihir Gold Ltd,3.30,2,3.29,3.30,1.62,,-,1.29,0.49,-
0.72,0.075,Lynas Corp,0.565,1.5,0.565,0.57,-,,-,-,-,-
11.30,2.32,Macarthur Coal,11.01,-24,11.00,11.15,13,f,6.10,4.03,1.18,13.9
4.40,0.69,Medusa Min Ltd,3.69,-3,3.66,3.77,-,,-,-,-,14.8
1.39,0.255,Minara Res,0.835,2.5,0.825,0.835,-,,-,0.70,-,-
3.43,1.03,Mirabela Nickel,2.54,4,2.53,2.56,-,,-,-,-,-
1.74,0.37,Mount Gibson Iron,1.66,1,1.655,1.66,-,,-,0.73,-,36.4
2.78,0.49,Murchison Metals,2.76,26,2.76,2.77,-,,-,-,-,1533.3
5.22,2.754,New Hope Corp,4.72,2,4.71,4.77,9.25,f,25.98,3.36,1.96,2.0
39.75,27.61,Newcrest Min,36.00,67,36.00,36.10,15,,3.53,8.95,0.42,67.9
6.93,4.11,Oil Search Ltd,6.13,,6.12,6.13,7.85,,2.52,-,1.28,31.0
2.05,0.925,OM Hldgs Ltd,1.99,4,1.975,2.04,3,,2.03,0.51,1.51,32.7
1.325,0.40,OZ Min,1.20,2,1.19,1.20,5,,-,0.80,4.17,-
5.52,2.68,Paladin Energy,4.27,9,4.21,4.27,-,,-,1.20,-,-
0.60,0.118,PanAust Ltd,0.58,1.5,0.575,0.58,-,,-,0.16,-,-
75.42,28.401,Rio Tinto Ltd,74.92,3,74.85,74.95,101.48,,0.45,-,1.35,162.4
7.30,2.15,Riversdale Min,7.18,-2,7.14,7.22,-,,-,1.96,-,4487.5
16.582,12.317,Santos Ltd,14.29,20,14.28,14.32,42,f,5.64,-,2.94,6.0
0.447,0.169,St Barbara Ltd,0.30,0.5,0.295,0.30,-,,-,0.20,-,-
6.60,3.03,Western Areas NL,4.95,-5,4.94,5.00,-,,-,0.60,-,-
5.44,1.30,Whitehaven Coal,5.20,-3,5.17,5.23,8.5,f,7.12,1.68,1.63,8.6
53.869,31.189,Woodside Pet,47.53,33,47.51,47.55,110,f,2.18,11.33,2.31,19.8
11.90,3.50,Zimplats Hldgs,10.96,,10.75,10.96,-,,-,-,-,-
