50 Leading Mining & Oil Stocks,,,,,,,,,,,,
XAO 4670.0 at 16:34 27/1/2010  Report at 19:05 Wednesday 27/1/2010. Processed 19:22 Wednesday 27/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.06,0.683,Alumina Ltd,1.63,-8,1.625,1.63,-,,-,1.30,-,17.3
2.72,1.01,Andean Res Ltd,2.44,-5,2.31,2.45,-,,-,-,-,-
1.50,0.97,Aneka Tambang cdi 1:5,1.06,,1.15,-,2.94,,0.12,-,2.77,294.4
11.50,8.00,Anglogold Ashanti cdi 5:1,9.20,28,9.00,9.20,3.33,,-,-,0.36,-
7.95,3.088,Aquarius Platinum,6.79,-24,6.75,6.85,-,,-,-,-,-
11.38,1.727,Aquila Res,9.14,-75,9.10,9.14,-,,-,-,-,-
4.73,2.10,Arrow Energy,4.10,3,4.07,4.13,-,,-,0.82,-,7.9
2.36,1.05,Atlas Iron Ltd,1.99,-11,1.99,2.01,-,,-,-,-,-
3.17,2.11,AWE Ltd,2.76,-6,2.76,2.77,-,,-,1.80,-,15.9
1.04,0.678,Beach Energy Ltd,0.83,-4.5,0.83,0.835,1.75,p,14.41,-,2.11,3.3
44.49,26.64,BHP Billiton Ltd,40.30,-95,40.30,40.49,113.63,f,1.15,8.84,2.82,31.0
2.50,0.865,Centamin Egypt,2.02,,-,-,-,,-,-,-,-
4.24,1.51,Centennial Coal,3.69,-17,3.69,3.75,11,f,1.77,1.77,2.98,18.9
2.59,1.36,CGA Min Ltd,2.21,2,2.15,2.22,-,,-,-,-,-
108.50,67.50,Coal & Allied Ind  ,82.50,100,82.50,86.00,710,f,1.52,15.40,8.61,7.7
2.45,0.73,Coal of Africa,2.22,-2,2.15,2.24,-,,-,-,-,-
6.59,1.555,Cudeco Ltd,4.48,-24,4.47,4.52,-,,-,-,-,-
1.165,0.43,Eastern Star Gas,0.80,-1.5,0.795,0.805,-,,-,-,-,-
16.32,13.01,Eldorado Gold cdi 1:1,14.30,-31,14.26,14.41,-,,-,-,-,-
28.28,17.50,Energy Res,20.98,-2,20.85,20.98,34,f,4.79,-,1.62,12.9
4.78,1.48,Equinox Min Ltd cdi,3.82,-24,3.81,3.83,-,,-,-,-,15.1
152.50,110.60,ETFS Metals etfs gold,119.00,65,118.40,118.93,-,,-,-,-,188.4
11.45,1.441,Extract Res,8.08,-4,8.03,8.20,-,,-,-,-,-
5.57,1.665,Fortescue Metals Grp,4.54,-25,4.54,4.56,-,,-,0.35,-,20.7
1.30,0.505,Gindalbie Metals,1.01,-3,1.005,1.02,-,,-,-,-,19.8
10.10,3.11,Gloucester Coal,8.49,8,8.33,8.49,13.5,,7.39,2.12,1.59,8.5
0.75,0.28,Gujarat NRE Min,0.68,,0.68,0.705,-,,-,0.52,-,-
