50 Leading Mining & Oil Stocks,,,,,,,,,,,,
XAO 4456.7 at 16:38 15/7/2010  Report at 19:05 Thursday 15/7/2010. Processed 20:42 Thursday 15/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.06,1.45,Alumina Ltd,1.50,-3.5,1.495,1.50,2,f,-,1.21,1.33,-
3.58,1.80,Andean Res Ltd,3.37,5,3.35,3.38,-,,-,-,-,-
1.30,1.00,Aneka Tambang cdi,1.20,,1.20,-,1.37,,0.51,0.10,1.14,171.4
10.50,7.65,Anglogold Ashanti,9.22,-31,8.90,9.40,3.87,,-,8.69,0.42,-
7.95,4.10,Aquarius Platinum,5.39,-11,5.35,5.48,2.26,,9.20,-,0.42,25.9
11.38,4.80,Aquila Res,7.42,-7,7.40,7.52,-,,-,-,-,-
5.31,3.26,Arrow Energy,4.94,-5,4.93,4.97,-,,-,2.13,-,32.1
3.05,1.57,Atlas Iron Ltd,2.08,-5,2.08,2.09,-,,-,-,-,-
2.96,1.48,Avoca Res,2.80,14,2.80,2.83,-,,-,0.79,-,22.4
3.17,1.575,AWE Ltd,1.66,-1.5,1.655,1.67,-,,-,1.74,-,116.1
1.04,0.655,Beach Energy Ltd,0.70,-1,0.695,0.71,1.75,p,9.17,1.27,2.50,4.4
44.93,34.91,BHP Billiton Ltd,38.13,-27,38.10,38.15,95.15,f,1.95,8.76,2.50,20.6
5.97,2.35,Centennial Coal,5.92,,5.91,5.92,8,p,1.98,1.87,1.35,37.5
2.61,1.52,CGA Min Ltd,2.15,2,2.09,2.15,-,,-,-,-,115.6
0.444,0.205,Citadel Resource Grp,0.295,,0.29,0.295,-,,-,-,-,-
108.50,74.06,Coal & Allied Ind  ,96.99,-231,95.92,96.99,510,f,1.33,16.99,5.26,14.3
2.60,1.46,Coal of Africa,1.915,1.5,1.865,1.94,-,,-,-,-,-
1.165,0.615,Eastern Star Gas,0.87,-1,0.86,0.87,-,,-,-,-,-
27.37,12.51,Energy Res,13.85,9,13.81,13.99,39,f,3.66,5.10,2.82,9.7
0.66,0.25,Energy World Corp,0.465,1,0.465,0.475,-,,-,0.30,-,15.4
4.87,2.59,Equinox Min Ltd cdi,4.69,-6,4.65,4.72,-,,-,-,-,-
150.00,110.60,ETFS Metals etfs gold,134.34,-3,133.85,135.00,-,,-,-,-,212.7
11.45,6.29,Extract Res,6.84,-2,6.79,6.85,-,,-,-,-,-
5.57,3.28,Fortescue Metals Grp,4.20,-18,4.19,4.22,-,,-,-,-,-
1.45,0.76,Gindalbie Metals,0.975,-2.5,0.975,0.98,-,,-,-,-,-
12.48,5.31,Gloucester Coal,12.43,-1,9.00,12.50,-,,-,2.21,-,18.2
5.52,2.92,Iluka Res,5.46,4,5.45,5.48,-,,-,2.58,-,-
12.10,4.51,Karoon Gas Aust,6.56,6,6.51,6.64,-,,-,-,-,-
10.90,6.32,Kingsgate Cons,9.68,-14,9.52,9.71,30,,2.73,2.69,3.10,11.8
4.48,2.41,Lihir Gold Ltd,4.32,-4,4.31,4.32,2.96,,-,1.22,0.69,-
0.72,0.319,Lynas Corp,0.685,-1,0.68,0.685,-,,-,-,-,-
17.17,7.23,Macarthur Coal,12.66,-22,12.65,12.77,21,f,2.16,4.15,1.66,27.9
4.89,2.182,Medusa Min Ltd,4.09,5,4.08,4.10,-,,-,0.91,-,11.5
1.39,0.58,Minara Res,0.70,-1.5,0.70,0.705,-,,-,0.74,-,16.8
3.43,1.87,Mirabela Nickel,2.12,-1,2.11,2.17,-,,-,-,-,-
2.09,0.875,Mount Gibson Iron,1.51,-4,1.505,1.515,-,,-,0.78,-,23.0
3.12,1.33,Murchison Metals,1.92,-9,1.92,1.925,-,,-,-,-,-
5.50,3.917,New Hope Corp,4.69,,4.67,4.69,9.5,f,3.05,2.67,2.03,16.2
39.75,28.47,Newcrest Min,35.02,-25,34.96,35.03,20,,2.77,9.20,0.57,63.2
3.90,0.845,OceanaGold Corp cdi,3.44,-3,3.42,3.44,-,,-,2.35,-,9.6
6.93,4.97,Oil Search Ltd,5.88,5,5.87,5.88,4.47,,2.88,-,0.76,45.7
2.13,1.39,OM Hldgs Ltd,1.565,-3.5,1.55,1.60,2,,2.79,0.54,1.28,28.0
1.325,0.945,OZ Minerals,1.115,2.5,1.115,1.12,-,,-,0.82,-,-
5.18,3.37,Paladin Energy,3.68,-8,3.66,3.72,-,,-,1.58,-,31.5
0.65,0.34,PanAust Ltd,0.53,,0.525,0.53,-,,-,0.20,-,55.2
2.48,0.73,Perseus Min Ltd,2.27,-2,2.25,2.29,-,,-,-,-,-
81.25,51.72,Rio Tinto Ltd,66.61,-77,66.60,66.66,51.56,f,5.97,13.56,0.77,21.6
11.35,5.17,Riversdale Min,10.30,,13.39,9.20,-,,-,2.04,-,-
16.10,11.24,Santos Ltd,13.77,-13,13.76,13.77,42,f,1.24,-,3.05,26.4
0.395,0.179,St Barbara Ltd,0.355,-0.5,0.355,0.36,-,,-,0.21,-,-
6.60,3.52,Western Areas NL,4.30,14,4.30,4.31,3,,-,0.63,0.70,-
3.84,1.955,White Energy Co,3.20,5,3.17,3.25,-,,-,-,-,-
