50 Leading Mining & Oil Stocks,,,,,,,,,,,,
XAO 4404.1 at 16:38 27/8/2010  Report at 19:05 Friday 27/8/2010. Processed 11:29 Saturday 28/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.06,1.45,Alumina Ltd,1.69,5,1.69,1.695,4.23,f,0.14,1.22,2.50,286.4
4.53,2.00,Andean Res Ltd,4.51,3,4.48,4.52,-,,-,-,-,-
1.30,1.02,Aneka Tambang cdi,1.20,,-,1.30,1.37,,0.51,0.10,1.14,171.4
10.50,7.65,Anglogold Ashanti,9.49,-30,9.05,9.70,3.87,,-,8.69,0.41,-
7.95,3.89,Aquarius Platinum,4.62,-3,4.59,4.70,2.26,,3.16,-,0.49,64.6
11.38,5.955,Aquila Res,8.25,23,8.18,8.33,-,,-,-,-,-
6.35,5.50,Aston Res Ltd,6.08,-5,6.07,6.08,-,,-,-,-,-
3.05,1.57,Atlas Iron Ltd,2.04,4,2.03,2.04,-,,-,-,-,-
3.10,1.48,Avoca Res,2.93,-7,2.92,2.97,-,,-,0.79,-,23.5
3.17,1.465,AWE Ltd,1.55,-2,1.545,1.55,-,,-,1.60,-,-
1.04,0.595,Beach Energy Ltd,0.605,-2,0.605,0.61,1.75,p,9.17,1.27,2.89,3.8
44.93,35.58,BHP Billiton Ltd,37.30,-9,37.26,37.30,98.54,f,2.72,10.21,2.64,13.9
6.07,3.05,Centennial Coal,6.02,,6.02,6.03,8,p,1.69,1.90,1.33,44.6
2.61,1.52,CGA Min Ltd,2.23,9,2.13,2.30,-,,-,-,-,119.9
0.444,0.235,Citadel Resource Grp,0.335,1,0.33,0.34,-,,-,-,-,-
100.98,74.06,Coal & Allied Ind  ,95.98,48,95.98,97.90,800,f,1.10,19.26,8.34,10.9
2.60,1.285,Coal of Africa,1.32,-1,1.30,1.325,-,,-,-,-,-
1.06,0.615,Eastern Star Gas,0.80,-1,0.80,0.805,-,,-,-,-,-
27.15,12.51,Energy Res,13.02,,13.00,13.02,33,f,2.66,-,2.53,14.8
5.31,2.80,Equinox Min Ltd cdi,4.80,12,4.75,4.90,-,,-,-,-,66.5
150.00,110.77,ETFS Metals etfs gold,135.90,-32,135.85,135.90,-,,-,-,-,215.1
11.45,6.03,Extract Res,6.39,14,6.15,6.43,-,,-,-,-,-
5.57,3.28,Fortescue Metals Grp,4.58,8,4.57,4.59,-,,-,0.51,-,20.7
1.45,0.785,Gindalbie Metals,0.89,0.5,0.885,0.89,-,,-,-,-,-
12.53,5.148,Gloucester Coal,12.40,-6,12.40,12.45,-,,-,1.99,-,31.1
5.59,3.22,Iluka Res,5.39,15,5.29,5.40,-,,-,2.57,-,-
4.153,2.39,Ivanhoe Aust,2.51,-8,2.49,2.58,-,,-,-,-,-
11.45,4.51,Karoon Gas Aust,6.41,-7,6.37,6.43,-,,-,-,-,-
10.90,7.01,Kingsgate Cons,9.65,-10,9.50,9.75,30,,2.73,2.69,3.11,11.8
4.51,2.57,Lihir Gold Ltd,4.38,-9,4.38,4.42,2.96,,-,1.22,0.68,-
1.05,0.375,Lynas Corp,0.97,8,0.965,0.97,-,,-,-,-,-
17.17,7.84,Macarthur Coal,11.20,6,11.19,11.25,25,f,1.97,4.34,2.23,22.7
4.89,2.227,Medusa Min Ltd,3.92,-4,3.90,3.96,-,,-,0.91,-,11.1
0.94,0.514,Minara Res,0.73,,0.72,0.73,-,,-,0.74,-,17.5
2.09,0.955,Mount Gibson Iron,1.745,2.5,1.745,1.755,-,,-,0.86,-,14.2
3.12,1.33,Murchison Metals,1.45,-1.5,1.43,1.455,-,,-,-,-,-
5.50,3.92,New Hope Corp,4.56,-3,4.55,4.58,9.5,f,3.05,2.67,2.08,15.7
39.75,29.27,Newcrest Min,35.28,-71,35.16,35.29,25,,4.61,10.19,0.71,30.6
3.90,0.845,OceanaGold Corp cdi,3.34,3,3.33,3.36,-,,-,2.35,-,79.1
6.93,4.97,Oil Search Ltd,5.73,3,5.72,5.75,4.47,,3.07,-,0.78,41.8
2.13,1.335,OM Hldgs Ltd,1.465,3.5,1.39,1.49,2.75,,2.41,0.56,1.88,22.1
1.325,0.945,OZ Minerals,1.20,0.5,1.20,1.21,3,,5.07,0.95,2.50,7.9
5.18,3.37,Paladin Energy,3.71,-2,3.70,3.74,-,,-,1.58,-,31.8
0.65,0.385,PanAust Ltd,0.575,1,0.575,0.58,-,,-,0.20,-,59.9
2.90,0.82,Perseus Min Ltd,2.72,-13,2.71,2.73,-,,-,-,-,-
81.25,55.20,Rio Tinto Ltd,69.30,-30,69.10,69.30,100.83,f,4.61,15.37,1.45,14.9
11.24,5.12,Riversdale Min,9.29,21,9.22,9.30,-,,-,1.96,-,-
5.94,1.58,Sandfire Res,5.03,-1,5.01,5.14,-,,-,-,-,-
16.10,11.24,Santos Ltd,14.30,23,14.30,14.31,42,f,1.51,-,2.94,22.5
0.395,0.207,St Barbara Ltd,0.32,,0.315,0.32,-,,-,0.18,-,-
5.83,3.52,Western Areas NL,5.20,10,5.18,5.22,6,,1.33,0.95,1.15,65.0
3.84,1.955,White Energy Co,3.40,,3.40,3.42,-,,-,-,-,-
6.47,3.28,Whitehaven Coal,5.98,-6,5.97,6.03,5.6,f,4.32,1.98,0.94,24.7
53.869,39.63,Woodside Pet,42.10,-36,42.01,42.17,109.68,f,2.45,16.79,2.61,15.7
12.65,8.08,Zimplats Hldgs,11.00,1,11.00,11.75,-,,-,-,-,31.3
