50 Leading Mining & Oil Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4998.6 at 2011-04-05T16:36:47. Report at Tuesday, April 5, 2011. Processed Wednesday at 2011-04-06T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div c per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.67,1.45,Alumina Ltd,2.57,+5,2.55,2.57,6.17,f,.22,1.13,2.40,186.2,,
1.365,1.14,Aneka Tambang cdi,1.25,,,,1.42,,1.35,.11,1.14,65.4,,
10.50,8.10,Anglogold Ashanti cdi,9.20,-10,9.08,9.60,4.27,,,8.69,.46,,,
7.66,3.89,Aquarius Platinum,5.57,,5.55,5.58,8.27,,3.18,,1.48,21.2,,
10.31,6.26,Aquila Res,9.74,+4,9.57,9.75,,,,,,,,
10.21,5.49,Aston Res Ltd,10.00,-9,9.80,10.14,,,,,,27.8,,
4.09,1.68,Atlas Iron Ltd,3.88,+5,3.87,3.89,,,,,,194.0,,
3.37,.46,Aurora Oil & Gas,2.88,-1,2.85,2.88,,,,,,,,
2.89,1.455,AWE Ltd,1.75,,1.745,1.75,,,,1.59,,,,
1.075,.595,Beach Energy Ltd,1.06,+5,1.055,1.075,1.75,f,,1.20,1.65,,,
47.63,35.58,BHP Billiton Ltd,47.55,+67,47.54,47.55,94.58,f,3.50,9.91,1.99,14.3,,
6.24,2.55,Brockman Res,6.10,+12,6.06,6.18,,,,,,,,
3.53,2.07,CGA Min Ltd,2.92,+1,2.88,3.00,,,,,,19.8,,
134.99,83.25,Coal & Allied,125.39,+157,123.00,126.29,588.00,f,1.38,.17,4.69,15.4,,
2.38,.505,Coalspur Mines,2.07,-3,2.06,2.08,,,,,,,,
19.90,6.76,Energy Res,8.08,+6,7.99,8.09,8.00,,3.07,5.00,.99,32.8,,
7.51,3.40,Equinox Min Ltd cdi,7.43,+8,7.43,7.46,,,,,,19.9,,
10.80,5.96,Extract Res,8.23,+25,8.20,8.24,,,,,,,,
7.34,3.28,Fortescue Metals Grp,6.70,+9,6.69,6.71,3.00,,10.35,.29,.45,21.6,,
1.485,.86,Gindalbie Metals,1.14,-.5,1.14,1.145,,,,,,,,
6.19,1.66,Giralia Res NL,5.43,,,,,,,,,271.5,,
13.71,9.42,Gloucester Coal,10.92,-2,10.76,10.94,,,,4.02,,28.3,,
.915,.41,Grange Res,.745,+5,.74,.745,,,,.59,,19.0,,
13.64,4.10,Iluka Res,13.32,-11,13.31,13.40,8.00,,1.08,2.54,.60,154.9,,
8.35,3.862,Independence Grp,6.71,-9,6.63,6.71,7.00,f,4.74,2.36,1.04,20.2,,
2.28,.33,Intrepid Mines,2.08,-5,2.08,2.10,,,,.38,,,,
3.741,2.45,Ivanhoe Aust,3.43,+7,3.40,3.43,,,,,,,,
.89,.20,Jupiter Mines,.60,+2,.595,.60,,,,,,,,
11.00,5.56,Karoon Gas Aust,7.12,+7,7.08,7.15,,,,,,,,
12.30,7.40,Kingsgate Cons,8.83,+8,8.79,8.84,30.00,,1.74,3.12,3.40,16.9,,
2.63,.375,Lynas Corp,2.52,+12,2.52,2.54,,,,,,,,
17.17,9.50,Macarthur Coal,12.30,+40,12.28,12.33,41.00,f,2.03,5.73,3.33,14.8,,
8.03,3.55,Mantra Res,6.70,+2,6.65,6.70,,,,,,,,
7.75,3.63,Medusa Min Ltd,7.09,+14,7.07,7.10,10.00,,5.61,1.22,1.41,12.6,,
.98,.523,Minara Res,.815,+3.5,.815,.82,5.00,f,1.01,.70,6.13,16.2,,
2.85,1.54,Mirabela Nickel,1.99,+1,1.95,2.02,,,,1.24,,,,
2.42,1.16,Mount Gibson Iron,2.15,+6,2.15,2.17,,,,.99,,10.0,,
5.354,3.933,NEW Hope Corp,5.15,+8,5.10,5.15,9.75,f,5.94,2.76,1.89,8.9,,
43.71,29.73,Newcrest Min,40.54,+32,40.53,40.56,30.00,,4.80,13.16,.74,28.1,,
7.30,5.11,OIL Search Ltd,7.27,,7.25,7.29,4.16,,3.36,,.57,52.0,,
1.825,.945,OZ Min,1.625,,1.62,1.625,7.00,,2.67,1.02,4.31,8.7,,
5.61,3.01,Paladin Energy,3.90,+11,3.90,3.91,,,,1.49,,,,
.91,.40,Panaust Ltd,.825,-1.5,.825,.83,,,,.23,,17.2,,
3.55,1.67,Perseus Min Ltd,3.27,+4,3.23,3.27,,,,,,,,
2.46,.755,Regis Res,2.23,,2.20,2.23,,,,,,53.5,,
89.04,58.86,RIO Tinto Ltd,86.16,+66,86.10,86.17,111.21,f,6.46,18.72,1.29,12.0,,
17.14,7.447,Riversdale Min,16.37,-3,16.31,16.43,,,,2.90,,,,
8.31,2.777,Sandfire Res,7.32,+5,7.20,7.35,,,,,,,,
16.31,11.24,Santos Ltd,15.90,-15,15.87,15.95,37.00,f,1.62,,2.33,26.6,,
.665,.105,Sundance Res,.485,+.5,.485,.49,,,,,,,,
7.06,3.52,Western Areas NL,6.89,+10,6.88,6.90,13.00,,3.05,1.33,1.89,17.4,,
4.27,2.36,White Energy Co,3.11,+2,3.06,3.15,,,,,,,,
7.35,4.01,Whitehaven Coal,6.98,+2,6.93,6.99,6.10,f,,2.00,.87,,,
48.39,39.63,Woodside Pet,47.14,-57,47.13,47.14,110.84,f,1.81,13.93,2.35,23.5,,
16.74,8.35,Zimplats Hldgs,11.01,+206,10.30,11.72,,,,,,6.0,,
,
