ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4689.6 at 16:47 17/12/2009  Report at 19:06 Thursday 17/12/2009. Processed 11:39 Friday 18/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""IKO",iShares MSCI South Korea,CDI 1:1,"2,290","2,100",91.70,0.00,"51,900,000","0.00""",,,,,,,,,
"""ACL",Alchemia ,FPO,"361,165","144,344",39.96,5.88,"160,979,945","0.09""",,,,,,,,,
"""PEM",Perilya ,FPO,"2,830,081","973,202",34.38,-1.63,"394,554,640","0.24""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"4,575,246","1,412,644",30.87,1.20,"606,831,240","0.23""",,,,,,,,,
"""HVN",Harvey Norman Holdings ,FPO,"5,158,815","1,513,408",29.33,0.23,"1,062,316,784","0.14""",,,,,,,,,
"""SLX",Silex Systems ,FPO,"48,634","13,605",27.97,-1.33,"146,072,310","0.00""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"310,487","85,522",27.54,0.28,"474,413,911","0.01""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"9,528,018","2,466,323",25.88,3.01,"717,142,802","0.34""",,,,,,,,,
"""WAN",West Australian Newspapers,FPO,"1,300,500","324,308",24.93,0.93,"213,673,497","0.15""",,,,,,,,,
"""DOW",Downer EDI ,FPO,"2,680,337","539,086",20.11,1.60,"333,681,857","0.16""",,,,,,,,,
"""QBE",QBE Insurance Group ,FPO,"9,249,629","1,818,169",19.65,1.38,"1,024,411,713","0.17""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"3,287,038","645,161",19.62,-2.94,"460,768,608","0.14""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"2,148,453","418,601",19.48,0.75,"462,291,686","0.09""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"7,366,546","1,351,530",18.34,-1.51,"1,005,143,738","0.13""",,,,,,,,,
"""HST",Hastie Group ,FPO,"1,698,411","311,376",18.33,-2.29,"236,132,996","0.13""",,,,,,,,,
"""DJS",David Jones ,FPO,"3,659,965","664,064",18.14,2.06,"503,524,465","0.13""",,,,,,,,,
"""AND",Andean Resources ,FPO,"161,115","28,343",17.59,0.00,"467,987,217","0.00""",,,,,,,,,
"""SOL",Soul Pattinson (WH),FPO,"21,909","3,833",17.49,-1.63,"238,640,580","0.00""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"21,203,113","3,703,220",17.46,0.37,"2,507,237,912","0.14""",,,,,,,,,
"""AMP",AMP ,FPO,"72,598,079","12,502,957",17.22,4.09,"2,048,645,162","0.61""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"18,797,100","3,094,444",16.46,-4.65,"2,098,064,217","0.14""",,,,,,,,,
"""FPA",Fisher & Paykel Appliances,FPO NZ,"456,082","75,000",16.44,0.00,"724,235,162","0.01""",,,,,,,,,
"""SPN",SP AusNet,STAPLED,"11,017,799","1,770,053",16.06,1.14,"2,662,931,420","0.06""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"101,627,513","16,223,694",15.96,12.74,"2,067,095,545","0.78""",,,,,,,,,
"""IDL",Industrea ,FPO,"666,937","105,730",15.85,1.13,"955,724,482","0.01""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"10,517,944","1,630,137",15.49,-1.12,"1,534,246,082","0.10""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"5,010,448","773,446",15.43,1.62,"603,580,761","0.12""",,,,,,,,,
"""RIV",Riversdale Mining ,FPO,"1,099,334","166,144",15.11,-1.85,"192,998,524","0.08""",,,,,,,,,
"""BGD",Boulder Steel ,FPO,"335,237","50,000",14.91,-4.34,"498,334,906","0.01""",,,,,,,,,
"""SKE",Skilled Group ,FPO,"398,602","59,139",14.83,-3.31,"190,737,158","0.03""",,,,,,,,,
"""ASX",ASX ,FPO,"1,167,042","172,967",14.82,-0.11,"172,305,698","0.10""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"2,134,433","313,502",14.68,2.83,"413,727,231","0.07""",,,,,,,,,
"""QAN",Qantas Airways ,FPO,"21,935,674","3,180,946",14.50,1.86,"2,265,123,620","0.14""",,,,,,,,,
"""GNC",Graincorp ,FPO,"2,448,734","346,973",14.16,3.92,"198,318,900","0.17""",,,,,,,,,
"""MYR",Myer Holdings ,FPO,"2,081,461","293,655",14.10,-0.79,"581,517,884","0.05""",,,,,,,,,
