ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4856.7 at 16:34 29/12/2009  Report at 19:07 Tuesday 29/12/2009!. Processed 11:40 Wednesday 30/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""IEM",iShares MSCI Emerging Markets,CDI 1:1,"5,259","4,551",86.53,-2.45,"425,700,000","0.00""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"360,274","207,191",57.50,1.05,"474,413,911","0.04""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"3,884,891","1,987,694",51.16,1.82,"1,930,403,911","0.10""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"1,341,345","684,859",51.05,4.28,"462,491,685","0.14""",,,,,,,,,
"""POH",Phosphagenics ,FPO,"10,000","5,000",50.00,1.53,"739,696,509","0.00""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"918,965","434,087",47.23,1.32,"452,219,624","0.09""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"953,355","437,552",45.89,3.20,"603,580,761","0.07""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"206,101","81,862",39.71,0.64,"93,937,192","0.08""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"1,866,827","736,110",39.43,2.54,"1,005,143,738","0.07""",,,,,,,,,
"""TOL",Toll Holdings ,FPO,"984,302","387,165",39.33,0.57,"699,358,971","0.05""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"118,799","46,695",39.30,-0.72,"64,945,877","0.07""",,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"257,160","98,447",38.28,-0.66,"757,542,720","0.01""",,,,,,,,,
"""STB",South Boulder Mines LTD,FPO,"54,461","18,000",33.05,-3.84,"55,707,943","0.03""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"656,097","204,672",31.19,0.24,"533,379,348","0.03""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"230,287","68,646",29.80,0.33,"264,264,459","0.02""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"543,720","160,917",29.59,1.10,"418,700,517","0.03""",,,,,,,,,
