ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010!. Processed 13:33 Monday 18/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""IKO",iShares MSCI South Korea,CDI 1:1,"1,300","1,300",100.00,0.00,"51,900,000","0.00""",,,,,,,,,
"""ESV",eServGlobal ,FPO,"306,808","250,000",81.48,-0.92,"196,847,706","0.12""",,,,,,,,,
"""PMP",PMP ,FPO,"230,594","159,589",69.20,1.33,"335,348,483","0.04""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"725,069","421,274",58.10,-0.93,"474,413,911","0.08""",,,,,,,,,
"""EWC",Energy World Corporation,FPO,"1,392,547","702,137",50.42,0.00,"1,561,166,672","0.04""",,,,,,,,,
"""CXP",Corporate Express Australia,FPO,"369,042","170,262",46.13,-2.50,"168,111,691","0.10""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"4,775,579","2,046,696",42.85,2.30,"1,534,246,082","0.13""",,,,,,,,,
"""MDL",Mineral Deposits ,FPO,"917,044","370,288",40.37,0.00,"573,625,950","0.06""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"133,266","51,503",38.64,-0.93,"64,945,877","0.07""",,,,,,,,,
"""AQP",Aquarius Platinum ,FPO 15CUS,"2,226,493","824,066",37.01,1.17,"462,522,229","0.17""",,,,,,,,,
"""BPT",Beach Energy ,FPO,"3,484,232","1,251,439",35.91,-2.51,"1,080,653,789","0.11""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"14,108,402","4,755,782",33.70,-0.29,"3,356,081,497","0.14""",,,,,,,,,
"""IRE",Iress Market Technology ,FPO,"366,292","123,047",33.59,0.34,"123,812,455","0.09""",,,,,,,,,
"""SIP",Sigma Pharmaceuticals ,FPO,"2,245,999","739,937",32.94,-0.50,"1,175,672,572","0.06""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"3,241,013","1,030,287",31.78,0.09,"1,005,145,616","0.10""",,,,,,,,,
"""AGK",AGL Energy ,FPO,"1,483,476","448,694",30.24,-1.19,"448,868,339","0.10""",,,,,,,,,
"""PEM",Perilya ,FPO,"930,964","276,258",29.67,2.01,"526,075,563","0.05""",,,,,,,,,
"""ELD",Elders ,FPO,"1,691,570","496,779",29.36,1.22,"448,598,480","0.11""",,,,,,,,,
"""FXJ",Fairfax Media ,FPO,"16,717,605","4,903,377",29.33,2.59,"2,351,955,725","0.20""",,,,,,,,,
"""FXL",Flexigroup ,FPO,"48,063","13,606",28.30,-0.30,"239,168,690","0.00""",,,,,,,,,
"""SMX",SMS Management & Tech,FPO,"376,752","105,629",28.03,-1.76,"66,678,162","0.15""",,,,,,,,,
"""OFG",Over Fifty Group ,FPO,"151,691","42,000",27.68,2.12,"69,568,702","0.06""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"3,725,297","976,245",26.20,0.52,"1,996,912,778","0.04""",,,,,,,,,
"""GUD",GUD Holdings ,FPO,"117,601","30,699",26.10,0.42,"60,606,420","0.05""",,,,,,,,,
"""DUE",Duet Group,FORUS,"2,019,239","522,885",25.89,1.09,"859,163,875","0.06""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"822,107","212,195",25.81,-2.18,"418,700,517","0.05""",,,,,,,,,
"""BLD",Boral ,FPO,"1,682,611","432,106",25.68,-0.34,"595,313,279","0.07""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"2,170,442","556,917",25.65,1.16,"748,219,617","0.07""",,,,,,,,,
"""OSH",Oil Search ,FPO 10T,"5,297,740","1,338,371",25.26,-0.82,"1,299,562,220","0.10""",,,,,,,,,
"""AXA",AXA Asia Pacific ,FPO,"3,135,421","773,608",24.67,0.30,"2,067,095,545","0.03""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"656,566","159,555",24.30,-0.78,"354,694,375","0.04""",,,,,,,,,
"""AIX",Australian Infrastructure Fund,UNT/ORD,"823,575","196,842",23.90,0.00,"576,777,900","0.03""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"1,131,452","268,476",23.72,-0.72,"960,638,735","0.02""",,,,,,,,,
"""OKN",Oakton ,FPO,"134,117","31,536",23.51,0.00,"91,852,235","0.03""",,,,,,,,,
"""BXB",Brambles ,FPO,"3,676,414","861,529",23.43,-1.00,"1,412,258,662","0.06""",,,,,,,,,
"""AAX",Ausenco ,FPO,"207,442","46,942",22.62,-1.31,"121,861,958","0.03""",,,,,,,,,
"""RIV",Riversdale Mining ,FPO,"640,765","143,618",22.41,1.84,"194,998,524","0.07""",,,,,,,,,
