ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4686.8 at 16:34 17/2/2010  Report at 19:05 Wednesday 17/2/2010. Processed 12:10 Thursday 18/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""NWSLV",News Corporation,A NONVOTE,"813,920","625,462",76.84,1.01,"1,823,619,058","0.03""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"3,670,630","2,598,107",70.78,0.33,"1,005,148,015","0.25""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,137,098","529,182",46.53,5.90,"533,379,348","0.09""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"3,490,592","1,516,112",43.43,3.92,"476,975,890","0.31""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"7,167,189","2,988,792",41.70,-0.42,"503,544,941","0.59""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"11,796,429","4,833,342",40.97,2.07,"3,356,081,497","0.14""",,,,,,,,,
"""MCU",Mitchell Communication Group,FPO,"120,403","48,634",40.39,0.00,"300,073,188","0.01""",,,,,,,,,
"""BXB",Brambles ,FPO,"9,727,281","3,912,969",40.22,5.86,"1,412,317,782","0.27""",,,,,,,,,
"""WAN",West Australian Newspapers,FPO,"861,976","346,604",40.21,0.26,"213,673,497","0.16""",,,,,,,,,
"""BDG",Bendigo Mining ,FPO,"785,114","300,000",38.21,-2.12,"507,878,735","0.05""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"6,937,366","2,548,225",36.73,1.89,"2,483,693,809","0.10""",,,,,,,,,
"""IVC",Invocare ,FPO,"130,776","47,784",36.53,1.88,"101,834,236","0.04""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,923,888","1,021,960",34.95,3.31,"606,831,240","0.16""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"12,129,488","4,206,361",34.67,2.78,"2,976,290,392","0.14""",,,,,,,,,
"""GGG",Greenland Minerals & Energy,FPO,"288,590","97,300",33.71,4.50,"230,388,563","0.04""",,,,,,,,,
"""WOR",WorleyParsons ,FPO,"658,543","215,380",32.70,3.00,"238,997,693","0.09""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"5,519,974","1,798,208",32.57,3.24,"1,534,275,722","0.11""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"17,253,337","5,376,231",31.16,2.02,"1,930,403,911","0.27""",,,,,,,,,
"""CRG",Crane Group ,FPO,"281,991","86,869",30.80,2.35,"77,684,223","0.11""",,,,,,,,,
"""ILU",Iluka Resources ,FPO,"843,930","255,386",30.26,3.10,"418,700,517","0.06""",,,,,,,,,
"""SAI",SAI Global ,FPO,"83,516","25,246",30.22,0.26,"158,765,265","0.01""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"17,088,303","5,106,594",29.88,-1.42,"2,307,773,663","0.22""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"2,345,966","690,407",29.43,2.35,"878,168,374","0.07""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"11,559,240","3,315,664",28.68,4.59,"2,533,020,784","0.13""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"7,273,730","2,053,735",28.23,2.99,"3,104,024,016","0.06""",,,,,,,,,
"""OST",OneSteel ,FPO,"8,858,637","2,472,304",27.90,0.88,"1,328,402,869","0.18""",,,,,,,,,
"""SUN",Suncorp-Metway ,FPO,"4,585,483","1,251,304",27.28,2.09,"1,270,897,282","0.09""",,,,,,,,,
"""SGP",Stockland,STAPLED,"6,055,806","1,637,955",27.04,0.51,"2,383,036,717","0.06""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"1,830,786","492,287",26.88,0.80,"798,520,953","0.06""",,,,,,,,,
"""TLS",Telstra Corporation ,FPO,"71,409,258","18,971,357",26.56,0.00,"12,443,074,357","0.15""",,,,,,,,,
"""JHX",James Hardie Industries,CDI,"1,009,058","260,684",25.83,1.59,"434,506,974","0.06""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"12,311,377","3,158,343",25.65,3.47,"2,119,507,342","0.14""",,,,,,,,,
"""KCN",Kingsgate Consolidated,FPO,"408,594","101,306",24.79,3.50,"97,443,268","0.10""",,,,,,,,,
"""CVN",Carnarvon Petroleum ,FPO,"814,257","199,116",24.45,4.00,"686,759,634","0.02""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"2,159,297","514,207",23.81,2.57,"960,638,735","0.05""",,,,,,,,,
"""MAP",MAp Group,FORUS,"2,641,272","612,087",23.17,3.72,"1,861,210,782","0.03""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"83,186","18,740",22.52,-1.17,"65,276,374","0.02""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"5,507,571","1,235,805",22.43,-2.49,"748,299,067","0.16""",,,,,,,,,
"""IPL",Incitec Pivot ,FPO,"12,230,325","2,728,047",22.30,1.12,"1,624,890,447","0.16""",,,,,,,,,
"""AVO",Avoca Resources ,FPO,"1,006,047","223,802",22.24,4.69,"273,379,211","0.08""",,,,,,,,,
