ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4732.7 at 16:36 22/2/2010  Report at 19:05 Monday 22/2/2010. Processed 11:14 Tuesday 23/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""GWT",GWA International ,FPO,"491,061","232,552",47.35,0.64,"300,667,514","0.07""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"8,430,446","3,716,427",44.08,3.87,"1,005,148,015","0.37""",,,,,,,,,
"""IVC",Invocare ,FPO,"180,781","77,207",42.70,3.26,"101,834,236","0.07""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"1,709,890","726,791",42.50,-0.93,"476,975,890","0.15""",,,,,,,,,
"""CRG",Crane Group ,FPO,"161,236","68,192",42.29,2.29,"77,684,223","0.08""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"12,243,302","5,125,389",41.86,2.82,"3,356,081,497","0.15""",,,,,,,,,
"""SPN",SP AusNet,STAPLED,"4,480,214","1,577,240",35.20,2.17,"2,705,140,151","0.05""",,,,,,,,,
"""LLC",Lend Lease Group,STAPLED,"1,781,165","625,997",35.14,4.51,"460,804,793","0.13""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"490,501","165,376",33.71,-0.79,"474,538,913","0.03""",,,,,,,,,
"""IAG",Insurance Australia Group ,FPO,"5,473,701","1,726,793",31.54,1.52,"2,078,994,021","0.08""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"9,281,207","2,922,808",31.49,-0.53,"1,996,912,778","0.14""",,,,,,,,,
"""UGL",UGL ,FPO,"984,376","299,966",30.47,4.05,"165,781,705","0.18""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"3,127,823","940,416",30.06,2.08,"717,142,802","0.13""",,,,,,,,,
"""TPM",TPG Telecom ,FPO,"388,289","114,763",29.55,0.94,"757,607,849","0.01""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"1,564,362","459,295",29.36,2.17,"603,580,761","0.07""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"4,155,349","1,205,303",29.00,2.50,"1,534,275,722","0.07""",,,,,,,,,
"""TTS",Tatts Group ,FPO,"4,665,326","1,257,888",26.96,3.00,"1,275,641,444","0.09""",,,,,,,,,
"""MCC",Macarthur Coal ,FPO,"763,892","204,931",26.82,-0.09,"254,333,109","0.08""",,,,,,,,,
"""MRE",Minara Resources ,FPO,"1,784,393","471,660",26.43,0.66,"1,167,783,517","0.04""",,,,,,,,,
"""NUF",Nufarm ,FPO,"365,200","95,445",26.13,0.10,"218,126,718","0.04""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"2,616,533","682,208",26.07,4.59,"483,343,584","0.14""",,,,,,,,,
"""ESG",Eastern Star Gas ,FPO,"1,853,145","477,605",25.77,0.65,"865,224,422","0.05""",,,,,,,,,
"""ISF",iSOFT Group ,FPO,"3,204,841","819,468",25.57,6.19,"1,037,994,023","0.07""",,,,,,,,,
"""AVJ",AVJennings ,FPO,"36,000","9,000",25.00,0.00,"274,588,694","0.00""",,,,,,,,,
"""AMP",AMP ,FPO,"9,477,529","2,336,948",24.65,0.47,"2,048,645,162","0.11""",,,,,,,,,
"""NWS",News Corporation,B VOTING,"1,803,249","427,361",23.70,1.70,"798,520,953","0.05""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"6,030,937","1,415,125",23.46,2.64,"2,533,063,677","0.05""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"32,845,933","7,667,870",23.34,3.70,"2,997,874,742","0.25""",,,,,,,,,
"""CSL",CSL ,FPO,"2,212,900","514,467",23.24,2.02,"582,777,598","0.08""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"177,053","41,034",23.17,3.49,"120,437,014","0.03""",,,,,,,,,
"""GPT",GPT Group,STAPLED,"33,545,657","7,759,147",23.13,-1.65,"9,277,584,743","0.08""",,,,,,,,,
