ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4403.7 at 16:35 2/6/2010  Report at 19:06 Wednesday 2/6/2010!. Processed 11:56 Thursday 3/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""ETPMP",T  ETFS Metal Securities Australia,ETFS PT,16,16,100.00,0.00,"36,000","0.04""",,,,,,,,,
"""SKC",Sky City Entertainment Group,FPO NZ,"160,899","125,459",77.97,-2.91,"575,114,687","0.02""",,,,,,,,,
"""WES",Wesfarmers ,FPO,"11,844,294","9,045,867",76.37,0.03,"1,005,157,140","0.90""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"443,357","268,160",60.48,2.27,"94,193,403","0.28""",,,,,,,,,
"""GWT",GWA International ,FPO,"403,867","227,772",56.39,-0.64,"301,102,514","0.07""",,,,,,,,,
"""VPG",Valad Property Group,FORUS,"7,570,530","4,089,617",54.02,-1.00,"2,287,682,926","0.17""",,,,,,,,,
"""BLD",Boral ,FPO,"5,559,640","2,973,369",53.48,-2.22,"598,952,998","0.49""",,,,,,,,,
"""AAC",Australian Agricultural Co,FPO,"1,310,397","640,751",48.89,-2.38,"264,264,459","0.24""",,,,,,,,,
"""IGO",Independence Group,FPO,"215,663","98,528",45.68,-1.32,"113,703,539","0.08""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"4,916,749","2,231,857",45.39,-0.65,"1,916,860,491","0.11""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"2,671,774","1,192,947",44.65,3.07,"603,580,761","0.19""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,411,623","1,038,967",43.08,-0.17,"606,831,240","0.17""",,,,,,,,,
"""AWB",AWB ,FPO,"3,038,911","1,279,563",42.10,0.00,"817,304,356","0.15""",,,,,,,,,
"""QAN",Qantas Airways ,FPO,"11,688,281","4,685,901",40.09,-1.18,"2,265,123,620","0.20""",,,,,,,,,
"""PAN",Panoramic Resources ,FPO,"1,047,851","418,862",39.97,-0.48,"205,262,842","0.20""",,,,,,,,,
"""DXS",DEXUS Property Group,STAPLED,"21,576,235","8,569,118",39.71,0.00,"4,820,821,799","0.17""",,,,,,,,,
"""SGP",Stockland,STAPLED,"16,347,744","6,485,922",39.67,0.78,"2,383,036,717","0.27""",,,,,,,,,
"""BBG",Billabong International ,FPO,"1,519,745","600,308",39.50,-2.15,"253,122,552","0.23""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"30,063,616","11,776,033",39.17,0.00,"6,369,751,394","0.18""",,,,,,,,,
"""HIL",Hills Industries ,FPO,"335,886","130,979",38.99,-1.66,"248,219,660","0.05""",,,,,,,,,
"""AMC",Amcor ,FPO,"6,692,217","2,587,582",38.66,0.96,"1,221,323,617","0.21""",,,,,,,,,
"""BXB",Brambles ,FPO,"5,366,488","2,073,193",38.63,1.37,"1,422,148,759","0.14""",,,,,,,,,
