ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4632.7 at 16:36 21/6/2010  Report at 19:05 Monday 21/6/2010!. Processed 12:11 Tuesday 22/6/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""WES",Wesfarmers ,FPO,"8,935,721","7,126,027",79.74,1.57,"1,005,159,970","0.70""",,,,,,,,,
"""WDC",Westfield Group,STAPLED,"17,707,079","13,546,741",76.50,1.18,"2,307,773,663","0.58""",,,,,,,,,
"""PRY",Primary Health Care ,FPO,"1,092,172","672,271",61.55,-1.78,"491,328,342","0.13""",,,,,,,,,
"""CPB",Campbell Brothers ,FPO,"44,422","25,680",57.80,-0.34,"62,959,971","0.04""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"6,557,442","3,726,770",56.83,2.07,"2,012,803,230","0.18""",,,,,,,,,
"""CAB",Cabcharge Australia ,FPO,"211,259","117,815",55.76,0.18,"120,437,014","0.09""",,,,,,,,,
"""GOLD",ETFS Metal Securities Australia,ETFS GOLD,"35,441","17,660",49.82,-0.42,"4,683,391","0.37""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"517,940","251,997",48.65,1.53,"480,514,663","0.05""",,,,,,,,,
"""LGM",LUIRI GOLD ,CDI 1:1,"42,500","19,500",45.88,-13.04,"111,556,905","0.01""",,,,,,,,,
"""WEC",White Energy Company ,FPO,"1,176,045","511,098",43.45,-1.60,"236,566,184","0.21""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"3,674,638","1,590,624",43.28,2.10,"606,831,240","0.26""",,,,,,,,,
"""JBH",JB Hi-Fi ,FPO,"471,567","192,279",40.77,1.84,"108,344,987","0.17""",,,,,,,,,
"""PDN",Paladin Energy,FPO,"2,736,336","1,111,012",40.60,1.00,"717,142,802","0.15""",,,,,,,,,
"""CSR",CSR ,FPO,"4,918,444","1,880,079",38.22,1.14,"1,514,920,814","0.12""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"26,108,572","9,532,240",36.51,2.19,"6,369,751,394","0.15""",,,,,,,,,
"""SGP",Stockland,STAPLED,"7,785,194","2,801,462",35.98,1.25,"2,383,036,717","0.11""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"21,467,352","7,584,608",35.33,1.99,"3,356,081,497","0.22""",,,,,,,,,
"""WTF",Wotif.Com Holdings ,FPO,"531,535","187,728",35.31,2.11,"209,632,844","0.09""",,,,,,,,,
"""SAI",SAI Global ,FPO,"58,540","19,801",33.82,0.49,"159,546,351","0.01""",,,,,,,,,
"""IFL",IOOF Holdings ,FPO,"636,725","211,993",33.29,3.34,"229,794,395","0.09""",,,,,,,,,
"""TGR",Tassal Group ,FPO,"48,322","15,400",31.87,1.66,"144,197,882","0.01""",,,,,,,,,
"""MND",Monadelphous Group ,FPO,"253,943","80,282",31.61,1.24,"86,036,700","0.09""",,,,,,,,,
"""HGG",Henderson Group,CDI 1:1,"3,592,195","1,133,112",31.54,0.00,"563,460,089","0.20""",,,,,,,,,
"""AWC",Alumina ,FPO,"13,324,754","4,193,400",31.47,3.71,"2,440,196,187","0.17""",,,,,,,,,
"""NUF",Nufarm ,FPO,"968,897","301,654",31.13,0.16,"261,775,731","0.11""",,,,,,,,,
"""DJS",David Jones ,FPO,"3,438,337","1,041,817",30.30,-0.44,"510,945,759","0.20""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"3,410,110","1,020,334",29.92,1.62,"1,920,694,831","0.05""",,,,,,,,,
"""MRM",Mermaid Marine Aust ,FPO,"170,250","50,929",29.91,0.74,"186,844,825","0.02""",,,,,,,,,
"""DUE",Duet Group,FORUS,"3,793,229","1,119,903",29.52,0.55,"870,559,400","0.12""",,,,,,,,,
"""SHL",Sonic Healthcare ,FPO,"628,529","184,970",29.42,0.00,"388,429,875","0.04""",,,,,,,,,
"""COH",Cochlear ,FPO,"148,711","43,468",29.23,0.51,"56,543,401","0.07""",,,,,,,,,
"""OKN",Oakton ,FPO,"133,492","38,025",28.48,-1.60,"91,913,485","0.04""",,,,,,,,,
"""AUN",Austar United Comms,FPO,"851,642","236,253",27.74,0.48,"1,260,030,198","0.01""",,,,,,,,,
"""CSL",CSL ,FPO,"1,334,791","367,856",27.55,1.28,"549,688,808","0.06""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"682,840","187,662",27.48,0.58,"300,687,299","0.06""",,,,,,,,,
"""IPL",Incitec Pivot ,FPO,"3,807,459","1,028,413",27.01,2.28,"1,624,932,978","0.06""",,,,,,,,,
"""ALS",Alesco Corporation ,FPO,"693,625","186,172",26.84,1.80,"94,193,403","0.19""",,,,,,,,,
"""NAB",National Australia Bank ,FPO,"5,949,134","1,588,451",26.70,1.07,"2,121,379,130","0.07""",,,,,,,,,
"""UGL",UGL ,FPO,"487,504","128,544",26.36,2.04,"165,928,705","0.07""",,,,,,,,,
"""APA",APA Group,STAPLED,"803,527","211,465",26.31,0.27,"542,318,629","0.03""",,,,,,,,,
"""AIO",Asciano Group,STAPLED,"6,947,046","1,816,544",26.14,0.00,"2,926,103,883","0.06""",,,,,,,,,
"""CRG",Crane Group ,FPO,"181,068","47,347",26.14,-0.23,"78,286,427","0.06""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"1,506,898","392,579",26.05,0.42,"754,432,669","0.05""",,,,,,,,,
"""ASX",ASX ,FPO,"551,609","142,692",25.86,0.32,"173,573,245","0.08""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"4,014,513","1,033,893",25.75,1.41,"483,493,006","0.21""",,,,,,,,,
"""FGL",Foster's Group ,FPO,"4,692,278","1,185,680",25.26,-0.86,"1,930,432,682","0.06""",,,,,,,,,
"""PPT",Perpetual ,FPO,"88,467","22,152",25.04,0.85,"43,411,178","0.05""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,094,267","272,252",24.88,0.00,"533,379,348","0.05""",,,,,,,,,
"""NDO",Nido Petroleum ,FPO,"11,525,697","2,802,165",24.31,-7.89,"1,080,658,378","0.25""",,,,,,,,,
"""CQT",Conquest Mining ,FPO,"510,970","123,955",24.25,2.89,"353,151,103","0.03""",,,,,,,,,
"""AMP",AMP ,FPO,"3,668,543","886,539",24.16,0.71,"2,071,925,423","0.04""",,,,,,,,,
"""WOW",Woolworths ,FPO,"2,166,736","522,325",24.10,-0.35,"1,235,451,307","0.04""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"3,216,758","772,008",24.00,1.31,"1,548,737,374","0.05""",,,,,,,,,
"""RMD",ResMed Inc,CDI 10:1,"3,719,711","863,209",23.20,-2.40,"772,670,160","0.11""",,,,,,,,,
"""NFE",Northern Iron ,FPO,"156,059","36,099",23.13,-0.34,"292,204,786","0.01""",,,,,,,,,
"""MQG",Macquarie Group ,FPO,"2,389,516","549,140",22.98,0.65,"344,567,851","0.15""",,,,,,,,,
"""CTX",Caltex Australia ,FPO,"974,054","223,195",22.91,1.38,"270,000,000","0.08""",,,,,,,,,
"""NWSLV",News Corporation,A NONVOTE,"312,456","70,502",22.56,-2.80,"1,824,059,817","0.00""",,,,,,,,,
"""CFX",CFS Retail Property Trust,UNIT,"14,712,670","3,307,156",22.47,2.83,"2,510,727,671","0.13""",,,,,,,,,
"""OSH",Oil Search ,FPO 10T,"1,984,160","444,632",22.40,1.19,"1,308,279,222","0.03""",,,,,,,,,
"""BLD",Boral ,FPO,"2,558,793","567,534",22.18,0.38,"598,952,998","0.09""",,,,,,,,,
"""MYR",Myer Holdings ,FPO,"1,600,953","351,092",21.93,0.93,"581,517,884","0.06""",,,,,,,,,
"""ORG",Origin Energy ,FPO,"1,361,368","296,866",21.80,0.69,"880,668,872","0.03""",,,,,,,,,
"""PPX",PaperlinX ,FPO,"1,055,459","229,801",21.77,4.72,"603,580,761","0.03""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"1,154,363","251,136",21.75,0.43,"367,162,725","0.06""",,,,,,,,,
"""SPT",Spotless Group ,FPO,"313,437","68,117",21.73,1.32,"259,309,656","0.02""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"6,867,898","1,436,750",20.92,1.94,"2,533,722,912","0.05""",,,,,,,,,
"""EQN",Equinox Minerals ,CDI,"1,820,513","380,282",20.88,0.45,"707,636,545","0.05""",,,,,,,,,
"""TAH",Tabcorp Holdings ,FPO,"1,747,898","364,527",20.85,0.59,"612,625,759","0.06""",,,,,,,,,
"""TAL",Tower Australia Group ,FPO,"692,596","143,363",20.69,0.44,"363,937,557","0.03""",,,,,,,,,
"""IAU",Intrepid Mines ,FPO,"1,955,899","388,943",19.88,12.38,"429,214,798","0.09""",,,,,,,,,
"""OST",OneSteel ,FPO,"7,376,375","1,437,883",19.49,4.06,"1,331,583,166","0.10""",,,,,,,,,
"""GWT",GWA International ,FPO,"279,208","54,295",19.44,0.30,"301,102,514","0.01""",,,,,,,,,
"""WPL",Woodside Petroleum ,FPO,"1,647,958","318,654",19.33,2.10,"780,136,909","0.04""",,,,,,,,,
"""MGR",Mirvac Group,STAPLED,"15,238,289","2,936,080",19.26,0.00,"3,266,304,329","0.09""",,,,,,,,,
"""OZL",OZ Minerals ,FPO,"19,890,506","3,807,756",19.14,1.90,"3,121,339,730","0.12""",,,,,,,,,
"""GNS",Gunns ,FPO,"13,497,663","2,559,530",18.96,0.00,"806,734,892","0.31""",,,,,,,,,
"""PTM",Platinum Asset Management ,FPO,"318,485","59,703",18.74,1.55,"561,347,878","0.01""",,,,,,,,,
"""BWP",Bunnings Warehouse Prop Tr,ORD UNITS,"916,206","171,140",18.67,1.99,"420,711,773","0.04""",,,,,,,,,
"""IIF",ING Industrial Fund,UNITS,"9,444,221","1,739,994",18.42,2.59,"2,592,249,647","0.06""",,,,,,,,,
"""MTS",Metcash ,FPO,"2,839,825","522,518",18.40,-0.24,"765,644,031","0.06""",,,,,,,,,
"""SGT",Singapore Telecom,CDI,"1,744,408","320,150",18.35,0.78,"477,561,291","0.06""",,,,,,,,,
"""IOF",ING Office Fund,STAPLED,"6,566,592","1,182,587",18.00,2.54,"2,729,071,212","0.04""",,,,,,,,,
"""STO",Santos ,FPO,"2,637,713","473,838",17.96,0.44,"832,552,523","0.05""",,,,,,,,,
"""PAN",Panoramic Resources ,FPO,"433,010","77,697",17.94,2.22,"205,262,842","0.03""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"12,993,204","2,320,369",17.85,1.14,"2,368,729,935","0.09""",,,,,,,,,
"""SUL",Super Cheap Auto Group ,FPO,"60,031","10,661",17.75,-2.58,"127,532,302","0.00""",,,,,,,,,
"""MIN",Mineral Resources ,FPO,"428,161","75,758",17.69,1.98,"160,838,795","0.04""",,,,,,,,,
"""ASL",Ausdrill ,FPO,"135,755","23,958",17.64,-0.27,"254,290,140","0.00""",,,,,,,,,
"""FWD",Fleetwood Corporation ,FPO,"164,177","28,712",17.48,0.51,"53,967,182","0.05""",,,,,,,,,
"""ANN",Ansell ,FPO,"517,350","90,128",17.42,2.21,"131,577,652","0.06""",,,,,,,,,
"""CPU",Computershare,FPO,"875,113","152,022",17.37,0.87,"555,664,059","0.02""",,,,,,,,,
"""GFF",Goodman Fielder,FPO,"2,425,587","420,249",17.32,1.09,"1,380,386,438","0.03""",,,,,,,,,
