ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4456.7 at 16:38 15/7/2010  Report at 19:06 Thursday 15/7/2010!. Processed 12:59 Friday 16/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""BTT",BT Investment Management ,FPO,"33,815","14,752",43.62,0.71,"160,000,000","0.00""",,,,,,,,,
"""CCL",Coca-Cola Amatil ,FPO,"2,061,017","890,116",43.18,-0.58,"754,536,869","0.11""",,,,,,,,,
"""BHP",BHP Billiton ,FPO,"10,373,169","4,391,656",42.33,-0.70,"3,356,081,497","0.13""",,,,,,,,,
"""MYR",Myer Holdings ,FPO,"1,988,118","831,597",41.82,0.58,"581,517,884","0.14""",,,,,,,,,
"""ASX",ASX ,FPO,"612,225","246,713",40.29,-1.14,"173,576,316","0.14""",,,,,,,,,
"""FMG",Fortescue Metals Group,FPO,"11,330,923","4,398,495",38.81,-4.11,"3,107,179,370","0.14""",,,,,,,,,
"""NCM",Newcrest Mining ,FPO,"1,136,176","419,159",36.89,-0.70,"483,493,006","0.08""",,,,,,,,,
"""CDD",Cardno ,FPO,"393,491","141,873",36.05,-1.33,"90,510,461","0.15""",,,,,,,,,
"""TEL",Telecom Corporation of NZ,FPO NZ,"5,459,844","1,957,639",35.85,-2.50,"1,920,694,831","0.10""",,,,,,,,,
"""DJS",David Jones ,FPO,"2,896,551","1,017,420",35.12,1.52,"510,945,759","0.19""",,,,,,,,,
"""BSL",Bluescope Steel ,FPO,"16,538,371","5,779,442",34.94,1.79,"1,823,322,017","0.31""",,,,,,,,,
"""APA",APA Group,STAPLED,"861,255","299,629",34.79,1.89,"542,318,629","0.05""",,,,,,,,,
"""CQO",Charter Hall Office REIT,UNIT,"7,716,048","2,683,138",34.77,0.00,"4,872,354,215","0.05""",,,,,,,,,
"""TOL",Toll Holdings ,FPO,"1,663,277","566,846",34.08,0.33,"702,867,609","0.08""",,,,,,,,,
"""GPT",GPT Group,STAPLED,"2,544,642","842,044",33.09,-1.00,"1,855,529,431","0.04""",,,,,,,,,
"""SGP",Stockland,STAPLED,"5,236,766","1,727,121",32.98,-1.02,"2,383,036,717","0.07""",,,,,,,,,
"""GNS",Gunns ,FPO,"3,044,126","998,224",32.79,-1.52,"806,734,892","0.12""",,,,,,,,,
"""MTS",Metcash ,FPO,"3,898,179","1,269,956",32.57,-0.22,"765,675,951","0.16""",,,,,,,,,
"""ITO",Intoll Group,STAPLED,"99,409,652","32,241,124",32.43,30.04,"2,261,732,048","1.42""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"688,414","219,802",31.92,-0.46,"367,162,725","0.06""",,,,,,,,,
"""EXT",Extract Resources,FPO,"210,146","64,640",30.76,-0.29,"243,252,298","0.02""",,,,,,,,,
"""OSH",Oil Search ,FPO 10T,"2,045,756","629,307",30.76,0.85,"1,308,279,222","0.04""",,,,,,,,,
"""HSP",Healthscope ,FPO,"2,650,076","791,934",29.88,-0.91,"317,010,025","0.25""",,,,,,,,,
"""ALL",Aristocrat Leisure ,FPO,"1,563,520","441,849",28.26,-0.56,"533,379,348","0.08""",,,,,,,,,
"""ANN",Ansell ,FPO,"346,204","96,049",27.74,-0.23,"131,577,652","0.07""",,,,,,,,,
"""CBA",Commonwealth Bank of Aust,FPO,"2,969,055","823,012",27.72,-0.31,"1,548,737,374","0.05""",,,,,,,,,
"""MAP",MAp Group,FORUS,"3,291,220","887,454",26.96,2.14,"1,861,210,782","0.04""",,,,,,,,,
"""ANZ",ANZ Banking Grp,FPO,"4,756,695","1,252,252",26.32,-0.87,"2,559,153,286","0.04""",,,,,,,,,
"""OKN",Oakton ,FPO,"39,277","10,256",26.11,0.37,"91,987,235","0.01""",,,,,,,,,
"""RIO",Rio Tinto ,FPO,"2,548,134","653,982",25.66,-1.14,"606,831,240","0.10""",,,,,,,,,
"""LYC",Lynas Corporation ,FPO,"15,300,004","3,843,003",25.11,-1.43,"1,655,499,093","0.23""",,,,,,,,,
"""LEI",Leighton Holdings ,FPO,"579,414","144,537",24.94,1.76,"300,687,299","0.04""",,,,,,,,,
"""AMP",AMP ,FPO,"4,734,217","1,177,547",24.87,-0.36,"2,071,925,423","0.05""",,,,,,,,,
"""WBC",Westpac Banking Corp,FPO,"6,581,311","1,613,096",24.51,-1.08,"2,988,996,237","0.05""",,,,,,,,,
"""WHC",Whitehaven Coal ,FPO,"693,417","164,377",23.70,-0.76,"493,650,070","0.03""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"29,876","7,031",23.53,-0.92,"65,298,128","0.01""",,,,,,,,,
"""BLD",Boral ,FPO,"5,577,978","1,312,954",23.53,3.72,"598,952,998","0.21""",,,,,,,,,
"""STO",Santos ,FPO,"3,311,131","771,322",23.29,-0.93,"832,552,523","0.09""",,,,,,,,,
"""BBG",Billabong International ,FPO,"340,772","79,109",23.21,0.55,"253,122,552","0.03""",,,,,,,,,
"""AUN",Austar United Comms,FPO,"1,294,268","299,836",23.16,0.95,"1,260,030,198","0.02""",,,,,,,,,
