ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
Xao 4507.4 At 16:36 30/7/2010  Report At 19:05 Friday 30/7/2010!. Processed 13:05 Monday 2/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""ETPMP",T  ETFS Metal Securities Australia,ETFS PT,95,95,100.00,0.00,"36,000","0.26""",,,,,,,,,
"""SAKHA",Southern Cross Airports Corp,SKIES,"15,051","11,000",73.08,1.84,"6,500,000","0.16""",,,,,,,,,
"""CDD",Cardno ,FPO,"52,544","36,060",68.62,-0.50,"90,510,461","0.04""",,,,,,,,,
"""PPC",Peet ,FPO,"115,283","60,000",52.04,-0.50,"300,681,486","0.02""",,,,,,,,,
"""NVT",Navitas ,FPO,"348,579","168,838",48.43,-1.59,"342,361,526","0.04""",,,,,,,,,
"""KMD",Kathmandu Holdings ,FPO,"101,716","48,216",47.40,-0.89,"200,000,000","0.02""",,,,,,,,,
"""RNY",RNY Property Trust,UNIT,"133,921","58,622",43.77,4.54,"263,413,889","0.02""",,,,,,,,,
"""CRG",Crane Group ,FPO,"198,728","77,714",39.10,-3.23,"78,286,427","0.09""",,,,,,,,,
"""SFH",Specialty Fashion Group ,FPO,"240,615","90,992",37.81,-3.81,"190,964,693","0.04""",,,,,,,,,
"""MBN",Mirabela Nickel ,FPO,"707,082","267,045",37.76,-2.29,"367,162,725","0.07""",,,,,,,,,
"""IFL",IOOF Holdings ,FPO,"255,255","91,104",35.69,-0.61,"229,794,395","0.04""",,,,,,,,,
"""SXL",Southern Cross Media Group LIMITE,FPO,"283,398","100,443",35.44,1.37,"378,827,750","0.02""",,,,,,,,,
"""CZA",Coal of Africa ,FPO,"344,962","121,360",35.18,-2.40,"530,514,663","0.02""",,,,,,,,,
"""AJL",AJ Lucas Group ,FPO,"41,068","14,437",35.15,-0.48,"65,298,128","0.02""",,,,,,,,,
"""CWN",Crown ,FPO,"979,968","334,081",34.09,-0.74,"753,555,290","0.04""",,,,,,,,,
"""BDG",Bendigo Mining ,FPO,"340,990","115,642",33.91,-2.63,"509,712,735","0.02""",,,,,,,,,
"""TPI",Transpacific Industries Group,FPO,"1,383,018","459,669",33.23,-3.22,"960,638,735","0.04""",,,,,,,,,
"""AQA",Aquila Resources ,FPO,"366,602","121,402",33.11,0.00,"322,273,136","0.03""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"241,245","77,787",32.24,-1.01,"151,904,499","0.05""",,,,,,,,,
"""WSA",Western Areas,FPO,"524,734","167,794",31.97,0.62,"179,735,899","0.09""",,,,,,,,,
"""MAP",MAp Group,FORUS,"4,621,110","1,471,278",31.83,0.00,"1,861,210,782","0.07""",,,,,,,,,
