Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4622.9 at 16:47 10/12/2009  Report at 19:05 Thursday 10/12/2009. Processed 19:19 Thursday 10/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Brisconnection Tr ctg,BCSCB,0.02,1.9,1900.00,,,,,,,,
BKM Management,BKM,0.011,0.5,83.33,,,,,,,,
Energy One Ltd,EOL,0.17,5,41.67,,,,,,,,
Moko Mobi Ltd,MKB,0.20,5.5,37.93,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.018,0.4,28.57,,,,,,,,
Mooter Media Ltd,MMZ,0.006,0.1,20.00,,,,,,,,
Orchid Capital,ORC,0.03,0.5,20.00,,,,,,,,
Carbon Conscious,CCF,0.355,5.5,18.33,,,,,,,,
C @ Ltd,CEO,0.013,0.2,18.18,,,,,,,,
Rockeby Biomed,RBY,0.013,0.2,18.18
Keybridge Capital,KBC,0.10,1.5,17.65
CO2 Grp Ltd,COZ,0.285,4,16.33
OBJ Ltd,OBJ,0.029,0.4,16.00
Ellex Medical Lasers,ELX,0.185,2.5,15.62
Legacy Iron Ore,LCY,0.19,2.5,15.15
Austofix Grp Ltd,AYX,1.15,15,15.00
Brainz Instruments,BZI,0.04,0.5,14.29
Calzada Ltd,CZD,0.033,0.4,13.79
Ausmelt Ltd,AET,0.855,10,13.25
Diploma Grp Ltd,DGX,0.36,4,12.50
Macq Radio,MRN,0.81,9,12.50
Equities & Freehldgss,EQF,0.28,3,12.00
Ipernica Ltd,IPR,0.15,1.5,11.11
Pac Star Net,PNW,0.05,0.5,11.11
Virax Hldgs,VHL,0.06,0.6,11.11
Vmoto Ltd,VMT,0.205,2,10.81
Biopharmica Ltd,BPH,0.155,1.5,10.71
Adultshop Com,ASC,0.011,0.1,10.00
Altera Res Ltd,AEA,0.11,1,10.00
Black Ridge Min,BRD,0.012,0.1,9.09
4C Sec Solution,FCS,0.025,0.2,8.70
Solagran Ltd,SLA,0.25,2,8.70
Coretrack Ltd,CKK,0.26,2,8.33
Pac Enviromin,PEV,0.013,0.1,8.33
Computronics,CPS,0.027,0.2,8.00
GoConnect Ltd,GCN,0.014,0.1,7.69
Viralytics Ltd,VLA,0.042,0.3,7.69
CI Res Ltd,CII,0.86,6,7.50
Real Estate Cap unt,RCU,0.15,1,7.14
Dexion Ltd,DEX,0.47,3,6.82
Prana Biotech,PBT,0.17,1,6.25
Ambertech Ltd,AMO,0.52,3,6.12
Comtel Corp Ltd,CMO,0.018,0.1,5.88
Matrix C & E Ltd,MCE,1.80,10,5.88
Multiplex European unt,MUE,0.185,1,5.71
Global Construct,GCS,1.02,5.5,5.70
Netcomm Ltd,NTC,0.29,1.5,5.45
Noni B Ltd,NBL,1.16,6,5.45
Amcom Telecomm opt dec09,AMMO,0.078,0.4,5.41
Capitol Health,CAJ,0.039,0.2,5.41
Devine Ltd,DVN,0.40,2,5.26
GEO Prop Grp stpld,GPM,0.20,1,5.26
Maxitrans Ind,MXI,0.40,2,5.26
PaperlinX Sps Tr pref,PXUPA,50.50,250,5.21
Clarius Grp Ltd,CND,0.82,4,5.13
WHL Energy Ltd,WHN,0.084,0.4,5.00
MINING RISES,,,,
RAM Res opt mar12,RMRO,0.025,1.7,212.50
White Canyon Uranium opt jan10,WCUO,0.029,1.4,93.33
Aust Oil Co opt dec09,AOCO,0.005,0.2,66.67
Athena Res,AHN,0.075,2,36.36
Cityview Corp,CVI,0.004,0.1,33.33
Falcon Min Ltd,FCN,0.255,5.5,27.50
Monitor Energy,MHL,0.005,0.1,25.00
Westralian Gas & Pwr opt oct11,WGPOA,0.005,0.1,25.00
Robust Res,ROL,1.15,22.5,24.32
Trafford Res,TRF,0.40,7.5,23.08
Frontier Res,FNT,0.027,0.5,22.73
Kangaroo Res Ltd,KRL,0.215,3.5,19.44
BCD Res NL,BCD,0.135,2,17.39
Nullarbor Hldgs,NLB,0.83,12,16.90
Proto Resource &,PRW,0.043,0.6,16.22
Alloy Res,AYR,0.029,0.4,16.00
Pac Niugini Ltd,PNR,0.115,1.5,15.00
Prosperity Res,PSP,0.115,1.5,15.00
Intrepid Mines,IAU,0.32,4,14.29
Kuth Energy Ltd,KEN,0.16,2,14.29
Magna Min NL,MAN,0.008,0.1,14.29
Northern Min opt dec11,NMIOB,0.17,2,13.33
Riviera Res,RVE,0.085,1,13.33
Alara Res Ltd,AUQ,0.22,2.5,12.82
Western Uranium opt jun10,WTNO,0.31,3.5,12.73
Pacrim Energy,PRE,0.009,0.1,12.50
Red Metal Ltd,RDM,0.18,2,12.50
Resource Min Corp,RMI,0.009,0.1,12.50
Silver Mines Ltd,SVL,0.09,1,12.50
Union Res Ltd,UCL,0.009,0.1,12.50
Talisman Min,TLM,0.83,9,12.16
MT Isa Metals,MET,0.19,2,11.76
Western Uranium,WTN,0.525,5.5,11.70
Morning Star Gold opt mar10,MCOOB,0.34,3.5,11.48
Eureka Energy Ltd,EKA,0.089,0.9,11.25
Colonial Res,CLN,0.10,1,11.11
Kilgore Oil & Gas,KOG,0.03,0.3,11.11
Kings Min NL,KMN,0.20,2,11.11
Metminco Ltd,MNC,0.20,2,11.11
Platina Res,PGM,0.30,3,11.11
King Island,KIS,0.26,2.5,10.64
Newport Min Ltd,NMN,0.22,2,10.00
Pioneer Res Ltd,PIO,0.055,0.5,10.00
Condor Nickel,CNK,0.10,0.9,9.89
Mantle Min Corp,MNM,0.078,0.7,9.86
Montezuma Min Co,MZM,0.28,2.5,9.80
Uranex NL,UNX,0.28,2.5,9.80
White Canyon Uranium,WCU,0.285,2.5,9.62
Aurora Min Ltd,ARM,0.60,5,9.09
Austin Explore opt nov11,AKKO,0.024,0.2,9.09
Resource And Invest,RNI,0.06,0.5,9.09
Tasman Goldflds,TGX,0.06,0.5,9.09
Magnetic Res,MAU,0.185,1.5,8.82
Noble Min Res,NMG,0.37,3,8.82
Avanco Res Ltd opt apr12,AVBOB,0.013,0.1,8.33
Capital Min,CMY,0.065,0.5,8.33
Stirling Products,STI,0.013,0.1,8.33
Strzelecki Metals,STZ,0.065,0.5,8.33
Thundelarra Explor,THX,0.46,3.5,8.24
Paradigm Metals,PDM,0.055,0.4,7.84
African Energy Res cdi,AFR,0.14,1,7.69
Beacon Min,BCN,0.028,0.2,7.69
Transerv Energy,TSV,0.014,0.1,7.69
Empire Res,ERL,0.086,0.6,7.50
Norseman Gold cdi 1:1,NGX,1.01,7,7.45
Advance Energy,AVD,0.075,0.5,7.14
Alliance Res,AGS,0.60,4,7.14
Energy And Min opt jul11,EMAO,0.06,0.4,7.14
Eurogold Ltd,EUG,0.225,1.5,7.14
Genesis Res,GES,0.15,1,7.14
Lachlan Star Ltd,LSA,0.015,0.1,7.14
Pluton Res,PLV,0.525,3.5,7.14
Sthn Gold,SAU,0.15,1,7.14
Aussie Q Res,AQR,0.08,0.5,6.67
Monaro Min NL,MRO,0.096,0.6,6.67
Wildhorse Energy,WHE,0.32,2,6.67
Pepinnini Min,PNN,0.33,2,6.45
Cape Alumina Ltd,CBX,0.425,2.5,6.25
Epsilon Energy,EPS,0.085,0.5,6.25
Impact Min,IPT,0.26,1.5,6.12
Equatorial Coal,EQX,0.035,0.2,6.06
Firestone Energy,FSE,0.035,0.2,6.06
Callabonna Uranium,CUU,0.018,0.1,5.88
Krucible Metals,KRB,0.37,2,5.71
Northern Min,NMI,0.28,1.5,5.66
Talisman Min opt dec10,TLMO,0.56,3,5.66
Lincoln Min opt jun10,LMLO,0.075,0.4,5.63
Pancontinental Oil,PCL,0.038,0.2,5.56
Sipa Res Ltd,SRI,0.095,0.5,5.56
Comet Ridge Ltd,COI,0.39,2,5.41
MIL Res,MGK,0.039,0.2,5.41
Atom Energy Ltd,AXY,0.10,0.5,5.26
Corvette Res,COV,0.20,1,5.26
Curnamona Energy,CUY,0.40,2,5.26
Global Nickel Invest,GNI,0.04,0.2,5.26
Mindax Ltd,MDX,0.52,2.5,5.05
Mantle Min Corp opt dec10,MNMOA,0.042,0.2,5.00
INDUSTRIAL FALLS,,,,
Virax Hldgs cn dec11,VHLG,0.08,-6,-42.86
Structural Monitor cdi,SMN,0.015,-1.1,-42.31
Firstfolio Ltd rts 11dec,FFFR,0.007,-0.4,-36.36
Adultshop Com opt dec11,ASCO,0.003,-0.1,-25.00
World Reach Ltd,WRR,0.003,-0.1,-25.00
Eneabba Gas Ltd opt jun10,ENBOA,0.083,-2.7,-24.55
LBT Innovations,LBT,0.08,-2.5,-23.81
Eneabba Gas Ltd opt jun12,ENBOB,0.061,-1.9,-23.75
ENV Clean Tech opt jan14,ESIO,0.021,-0.6,-22.22
Viralytics Ltd opt jun10,VLAO,0.011,-0.3,-21.43
Quickflix Ltd,QFX,0.061,-1.6,-20.78
Eneabba Gas Ltd,ENB,0.25,-6.5,-20.63
CO2 Grp Ltd opt nov11,COZO,0.20,-5,-20.00
Future Corp,FUT,0.004,-0.1,-20.00
IPGA Ltd,IPP,0.084,-1.6,-16.00
Metal Storm Ltd,MST,0.022,-0.4,-15.38
TTA Hldgs Ltd,TTA,0.062,-1,-13.89
Arturus Capital,AKW,0.25,-4,-13.79
Style Ltd,SYP,0.02,-0.3,-13.04
Unilife Medical Sol,UNI,0.88,-13,-12.87
Hydrotech Inter,HTI,0.007,-0.1,-12.50
Sunshine Heart cdi,SHC,0.035,-0.5,-12.50
Verticon Grp Ltd,VGP,0.007,-0.1,-12.50
Verus Invest opt jun10,VILO,0.007,-0.1,-12.50
Wallace Absolute,WAB,0.047,-0.6,-11.32
Aust Education unt,AEU,0.44,-5.5,-11.11
Hostech Ltd,HTC,0.025,-0.3,-10.71
Morning Star,MSH,0.125,-1.5,-10.71
Funtastic Ltd,FUN,0.21,-2.5,-10.64
CMA Corp Ltd,CMV,0.061,-0.7,-10.29
Logicamms Ltd,LCM,0.90,-10,-10.00
AMA Grp Ltd,AMA,0.048,-0.5,-9.43
Nexbis Ltd,NBS,0.195,-2,-9.30
Macq DDR Tr unt,MDT,0.10,-1,-9.09
Euroz Ltd opt mar14,EZLO,0.83,-8,-8.79
Runge Ltd,RUL,0.83,-8,-8.79
Coretrack Ltd opt feb10,CKKO,0.073,-0.7,-8.75
ASK Funding Ltd,AKF,0.265,-2.5,-8.62
Redcape Prop Grp stpld,RPF,0.32,-3,-8.57
Two Way Ltd,TTV,0.064,-0.6,-8.57
Premium Investors,PRV,0.705,-6.5,-8.44
RTL Corp Ltd,RTL,0.011,-0.1,-8.33
Transol Corp,TNC,0.011,-0.1,-8.33
NSL Cons Ltd,NSL,0.034,-0.3,-8.11
BioProspect Ltd,BPO,0.035,-0.3,-7.89
Compumedics Ltd,CMP,0.175,-1.5,-7.89
McMillan Shakespeare,MMS,3.85,-33,-7.89
Firstfolio Ltd,FFF,0.06,-0.5,-7.69
pSivida Corp cdi,PVA,3.50,-28,-7.41
RCL Grp stpld,RLG,0.125,-1,-7.41
Anaeco Ltd,ANQ,0.255,-2,-7.27
Blaze Intl,BLZ,0.013,-0.1,-7.14
IFS Construct Ltd,IFS,0.065,-0.5,-7.14
Essa Aust,ESS,0.20,-1.5,-6.98
Clean Teq Hldgs,CLQ,0.28,-2,-6.67
Gage Roads Brewing,GRB,0.14,-1,-6.67
Lindsay Aust,LAU,0.215,-1.5,-6.52
Centro Retail stpld,CER,0.15,-1,-6.25
Senetas Corp,SEN,0.062,-0.4,-6.06
Centro Prop stpld,CNP,0.235,-1.5,-6.00
Neuren Pharmaceut,NEU,0.048,-0.3,-5.88
Wentworth Hldgs,WWM,0.08,-0.5,-5.88
Cordlife Ltd,CBB,0.565,-3.5,-5.83
Infomedia Ltd,IFM,0.325,-2,-5.80
Connxion Ventures,CXN,0.049,-0.3,-5.77
Longreach Grp,LRG,0.033,-0.2,-5.71
Healthlinx Ltd,HTX,0.083,-0.5,-5.68
ASG Grp Ltd,ASZ,1.01,-6,-5.61
Giaconda Ltd,GIA,0.085,-0.5,-5.56
Intermoco Ltd,INT,0.017,-0.1,-5.56
Living Cell Tech,LCT,0.255,-1.5,-5.56
Warrnambool Cheese,WCB,2.61,-15,-5.43
Ausenco Ltd,AAX,4.05,-22,-5.15
Neptune Marine opt dec10,NMSO,0.37,-2,-5.13
Incitec Pivot,IPL,2.99,-16,-5.08
Wasabi Energy Ltd,WAS,0.019,-0.1,-5.00
MINING FALLS,,,,
Torrens Energy opt mar10,TEYO,0.034,-7.6,-69.09
Drake Res opt dec09,DRKO,0.005,-1,-66.67
Sino Gas Energy opt jun10,SEHO,0.005,-1,-66.67
Sino Gas Energy  opt dec11,SEHOA,0.006,-0.7,-53.85
Catalpa Res optjun10d,CAHDB,0.37,-38,-50.67
Proto Resource & opt aug11,PRWO,0.006,-0.4,-40.00
Beacon Min opt aug10,BCNO,0.002,-0.1,-33.33
Brumby Res opt jan10,BMYO,0.004,-0.2,-33.33
Orion Pet Ltd opt sep10,OIPO,0.007,-0.3,-30.00
Transit Hldgs opt dec09,TRHO,0.175,-7.5,-30.00
Traka Res,TKL,0.13,-4.5,-25.71
Aurium Res opt may10,AGUO,0.003,-0.1,-25.00
Northern Star,NST,0.03,-1,-25.00
Coppermoly Ltd opt apr11,COYO,0.02,-0.6,-23.08
Iron Ore Hldgs opt apr11,IOHO,0.51,-14,-21.54
Saracen Min opt jun13,SARO,0.24,-6,-20.00
Rum Jungle Uranium,RUM,0.086,-1.9,-18.10
Cobar Cons,CCU,0.245,-5,-16.95
ARC Explore Ltd opt jun12,ARXO,0.005,-0.1,-16.67
Axiom Min Ltd cdi,AVQ,0.015,-0.3,-16.67
Transit Hldgs,TRH,0.465,-9,-16.22
Nuenergy Capital,NGY,0.105,-2,-16.00
Central Pet opt jun10,CTPOA,0.029,-0.5,-14.71
Laconia Res Ltd,LCR,0.15,-2.5,-14.29
Modena Res Ltd,MDA,0.042,-0.7,-14.29
Sunset Energy Ltd,SEY,0.12,-2,-14.29
Triangle Energy,TEG,0.03,-0.5,-14.29
United Uranium opt jun12,UULOA,0.06,-1,-14.29
ARC Explore Ltd opt jan11,ARXOA,0.013,-0.2,-13.33
Promesa Ltd,PRA,0.07,-1,-12.50
Buxton Res Ltd,BUX,0.057,-0.8,-12.31
Metgasco Ltd,MEL,0.685,-9.5,-12.18
Republic Gold Ltd opt jun11,RAUOA,0.008,-0.1,-11.11
Rubicon Res,RBR,0.056,-0.7,-11.11
Aura Energy,AEE,0.125,-1.5,-10.71
Hampton Hill Min,HHM,0.25,-3,-10.71
Oilex Ltd,OEX,0.17,-2,-10.53
Poseidon Nick Ltd,POS,0.225,-2.5,-10.00
Red Sky Energy,ROG,0.036,-0.4,-10.00
Red Sky Energy  opt sep11,ROGOA,0.018,-0.2,-10.00
Galaxy Res,GXY,1.22,-13,-9.63
East Energy Resource,EER,0.095,-1,-9.52
Emergent Res,EMG,0.645,-6.5,-9.15
Astro Res NL,ARO,0.01,-0.1,-9.09
