Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4981.2 at 16:34 11/1/2010  Report at 19:05 Monday 11/1/2010. Processed 20:40 Monday 11/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Electrometals Tech,EMM,0.032,1.2,60.00,,,,,,,,
Entellect Solutions,ESN,0.003,0.1,50.00,,,,,,,,
Kip McGrath Edu Cntr,KME,0.40,11,37.93,,,,,,,,
C @ Ltd opt apr12,CEOO,0.004,0.1,33.33,,,,,,,,
Freshtel Hldgs,FRE,0.009,0.2,28.57,,,,,,,,
Charter Pacific opt feb11,CHFO,0.005,0.1,25.00,,,,,,,,
Consolidated Global,CGI,0.025,0.5,25.00,,,,,,,,
Structural Monitor cdi,SMN,0.031,0.6,24.00,,,,,,,,
ETT Ltd fpo nz,ETT,0.006,0.1,20.00,,,,,,,,
ING Re Com Grp stpld,ILF,0.12,2,20.00,,,,,,,,
Integrated Res,IRG,0.013,0.2,18.18,,,,,,,,
Montec Intl,MTI,0.007,0.1,16.67,,,,,,,,
Resonance Health,RHT,0.029,0.4,16.00,,,,,,,,
Oldfields Hldgs,OLH,0.27,3.5,14.89,,,,,,,,
CEC Grp Ltd,CEG,0.16,2,14.29,,,,,,,,
RCL Grp stpld,RLG,0.12,1.5,14.29,,,,,,,,
Acuvax Ltd,ACU,0.017,0.2,13.33,,,,,,,,
Ellex Medical Lasers,ELX,0.17,2,13.33,,,,,,,,
Scott Corp,SCC,0.28,3,12.00,,,,,,,,
Retail Food Grp,RFG,3.09,33,11.96,,,,,,,,
Mesoblast Ltd,MSB,1.96,20,11.36,,,,,,,,
Apollo Cons,AOP,0.01,0.1,11.11,,,,,,,,
Globe Intl,GLB,0.50,5,11.11,,,,,,,,
Medivac Ltd,MDV,0.01,0.1,11.11,,,,,,,,
Novogen Ltd,NRT,0.61,6,10.91,,,,,,,,
Progen Pharmaceutic,PGL,0.65,6,10.17,,,,,,,,
Ascent Pharmahealth,APH,0.22,2,10.00,,,,,,,,
CPI Grp Ltd,CPI,0.22,2,10.00,,,,,,,,
eBet Ltd,EBT,0.077,0.7,10.00,,,,,,,,
Freedom Nutritional,FNP,0.33,3,10.00,,,,,,,,
