Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 5024.1 at 16:35 15/4/2010  Report at 19:05 Thursday 15/4/2010. Processed 19:12 Thursday 15/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Sun Biomedical,SBN,0.002,0.1,100.00,,,,,,,,
Karmelsonix Ltd opt jul11,KSXO,0.006,0.2,50.00,,,,,,,,
M2M Corp,MCL,0.003,0.1,50.00,,,,,,,,
Clever Com Aus,CVA,0.11,3.5,46.67,,,,,,,,
Viridis Clean stp,VIR,0.125,3.5,38.89,,,,,,,,
Cardia Bioplastics opt jun11,CNNO,0.004,0.1,33.33,,,,,,,,
Wallace Absolute,WAB,0.04,1,33.33,,,,,,,,
Authorised Invest,AIY,0.05,1,25.00,,,,,,,,
C @ Ltd opt apr12,CEOO,0.005,0.1,25.00,,,,,,,,
ICSGlobal Ltd,ICS,0.016,0.3,23.08,,,,,,,,
Overseas & Gen cdi,OGL,0.17,3,21.43,,,,,,,,
Aust China Hldgs,AAK,0.006,0.1,20.00,,,,,,,,
Medic Vision Ltd,MVH,0.02,0.3,17.65,,,,,,,,
Dromana Estate,DMY,0.034,0.5,17.24,,,,,,,,
AWH Corp Ltd,AWL,0.007,0.1,16.67,,,,,,,,
Globe Sec,GTI,0.105,1.5,16.67,,,,,,,,
World Reach Ltd,WRR,0.007,0.1,16.67,,,,,,,,
Manaccom Corp Ltd,MNL,0.36,5,16.13,,,,,,,,
Netcomm Ltd,NTC,0.15,2,15.38,,,,,,,,
Legacy Iron Ore,LCY,0.20,2.5,14.29,,,,,,,,
Legacy Iron Ore  opt dec12,LCYOB,0.08,1,14.29,,,,,,,,
Nusep Ltd,NSP,0.24,3,14.29,,,,,,,,
WAM Active Ltd opt apr11,WAAO,0.024,0.3,14.29,,,,,,,,
Auto Tech Ltd,ATJ,0.06,0.7,13.21,,,,,,,,
Brainz Instruments,BZI,0.18,2,12.50,,,,,,,,
TVN Corp Ltd,TVN,0.009,0.1,12.50,,,,,,,,
GoConnect Ltd,GCN,0.028,0.3,12.00,,,,,,,,
My Net Fone Ltd,MNF,0.095,1,11.76,,,,,,,,
Smarttrans Hldgs,SMA,0.029,0.3,11.54,,,,,,,,
Eneabba Gas Ltd,ENB,0.195,2,11.43,,,,,,,,
QRxPharma Ltd,QRX,1.08,11,11.34,,,,,,,,
WAG Ltd,WAG,0.01,0.1,11.11,,,,,,,,
CBD Energy Ltd,CBD,0.155,1.5,10.71,,,,,,,,
Emerson Stewart Grp,ESW,0.105,1,10.53,,,,,,,,
Ezenet Ltd,EZE,0.021,0.2,10.53,,,,,,,,
Webfirm Grp Ltd,WFM,0.075,0.7,10.29,,,,,,,,
Empired Ltd,EPD,0.11,1,10.00,,,,,,,,
Orbital Corp Ltd,OEC,0.044,0.4,10.00,,,,,,,,
ZYL Ltd,ZYL,0.022,0.2,10.00,,,,,,,,
Atlantic Ltd,ATI,0.047,0.4,9.30,,,,,,,,
Cardia Bioplastics,CNN,0.024,0.2,9.09,,,,,,,,
