Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4913.3 at 16:37 27/4/2010  Report at 19:06 Tuesday 27/4/2010. Processed 19:52 Tuesday 27/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
BPH Corp Ltd opt may10,BPHO,0.002,0.1,100.00,,,,,,,,
Orchid Capital opt feb12,ORCOA,0.008,0.3,60.00,,,,,,,,
Metal Storm Ltd 10% cn11,MSTG,0.14,4.4,45.83,,,,,,,,
Actinogen Ltd,ACW,0.048,1.3,37.14,,,,,,,,
Webspy Ltd,WSY,0.016,0.4,33.33,,,,,,,,
NewSat Ltd,NWT,0.005,0.1,25.00,,,,,,,,
Techniche Ltd,TCN,0.055,1,22.22,,,,,,,,
Calzada Ltd,CZD,0.036,0.6,20.00,,,,,,,,
Galileo Japan Tr unt,GJT,0.044,0.7,18.92,,,,,,,,
TSV Hldgs Ltd,TSH,0.145,2,16.00,,,,,,,,
Bisalloy Steel,BIS,0.23,3,15.00,,,,,,,,
APN Prop Grp,APD,0.34,4,13.33,,,,,,,,
MacarthurCook PSF unt,MPS,0.085,1,13.33,,,,,,,,
Viridis Clean stp,VIR,0.105,1.2,12.90,,,,,,,,
Healthlinx Ltd,HTX,0.15,1.5,11.11,,,,,,,,
Quay Magnesium,QMG,0.02,0.2,11.11,,,,,,,,
Rubicor Grp,RUB,0.061,0.6,10.91,,,,,,,,
Adultshop Com,ASC,0.011,0.1,10.00,,,,,,,,
Frankland River,FLR,0.022,0.2,10.00,,,,,,,,
Humanis Grp Ltd,HUM,0.022,0.2,10.00,,,,,,,,
Medigard Ltd,MGZ,0.115,1,9.52,,,,,,,,
Imugene Ltd,IMU,0.05,0.4,8.70,,,,,,,,
Living Cell Tech,LCT,0.32,2.5,8.47,,,,,,,,
Valad Prop forus,VPG,0.13,1,8.33,,,,,,,,
Xceed Capital Ltd,XCD,0.013,0.1,8.33,,,,,,,,
Farmworks Aust,FWA,0.20,1.5,8.11,,,,,,,,
Silver Chef Ltd,SIV,2.40,18,8.11,,,,,,,,
Fisher & Paykel App,FPA,0.485,3.5,7.78,,,,,,,,
Mission Newenergy,MBT,0.35,2.5,7.69,,,,,,,,
Refresh Grp,RGP,0.07,0.5,7.69,,,,,,,,
Morning Star,MSH,0.16,1,6.67,,,,,,,,
Pac Energy,PEA,0.32,2,6.67,,,,,,,,
Senetas Corp,SEN,0.048,0.3,6.67,,,,,,,,
Centro Retail stp,CER,0.245,1.5,6.52,,,,,,,,
WAM Active Ltd,WAA,1.065,6.5,6.50,,,,,,,,
eBet Ltd,EBT,0.085,0.5,6.25,,,,,,,,
Phosphagenics Ltd,POH,0.17,1,6.25,,,,,,,,
ASF Grp Ltd,AFA,0.175,1,6.06,,,,,,,,
Redcape Prop Grp stp,RPF,0.35,2,6.06,,,,,,,,
CL Asset Hldgs,CLS,0.72,4,5.88,,,,,,,,
PharmAust Ltd,PAA,0.074,0.4,5.71,,,,,,,,
RER Grp Ltd,RGD,0.37,2,5.71,,,,,,,,
Dolomatrix Intl,DMX,0.28,1.5,5.66,,,,,,,,
Legend Corp,LGD,0.19,1,5.56,,,,,,,,
Unilife Corp cdi  6:1,UNS,1.33,7,5.56,,,,,,,,
ITX Grp Ltd,ITX,1.07,5.5,5.42,,,,,,,,
Saferoads Hldgs,SRH,0.79,4,5.33,,,,,,,,
Macq Winton ord unt,MWG,1.29,6.5,5.31,,,,,,,,
Charter Pacific,CHF,0.06,0.3,5.26,,,,,,,,
MINING RISES,,,,,,,,,,,,
Hawthorn Res opt apr12,HAWO,0.004,0.3,300.00,,,,,,,,
Ethan Min Ltd,ETH,0.485,28.5,142.50,,,,,,,,
Meridian Min opt feb11,MIIO,0.025,1,66.67,,,,,,,,
Midas Res opt may11,MDSOB,0.06,2,50.00,,,,,,,,
Buru Energy opt oct10,BRUO,0.015,0.4,36.36,,,,,,,,
Midas Res opt nov12,MDSOC,0.11,2.3,26.44,,,,,,,,
White Cliff Nickel,WCN,0.082,1.7,26.15,,,,,,,,
Carnavale Res opt feb13,CAVO,0.175,3.5,25.00,,,,,,,,
Legend Min,LEG,0.04,0.8,25.00,,,,,,,,
Lonrho Min Ltd opt nov10,LOMOA,0.005,0.1,25.00,,,,,,,,
Marion Energy opt dec11,MAEO,0.015,0.3,25.00,,,,,,,,
Minemakers Ltd opt may10,MAKO,0.005,0.1,25.00,,,,,,,,
Carbine Res opt jul11,CRBO,0.18,3.5,24.14,,,,,,,,
Geopacific Res def,GPRDA,0.80,15,23.08,,,,,,,,
Genesis Min,GMD,0.11,2,22.22,,,,,,,,
Greater Bendigo Gold opt mar12,GBMOA,0.011,0.2,22.22,,,,,,,,
Northern Star,NST,0.045,0.8,21.62,,,,,,,,
Bathurst Res,BTU,0.145,2.5,20.83,,,,,,,,
Eleckra Mines opt jun11,EKMO,0.065,1.1,20.37,,,,,,,,
Augur Res Ltd opt jun10,AUKO,0.03,0.5,20.00,,,,,,,,
Midas Res,MDS,0.15,2.5,20.00,,,,,,,,
Resource Min Corp,RMI,0.006,0.1,20.00,,,,,,,,
Nkwe Platinum opt aug11,NKPO,0.395,6.5,19.70,,,,,,,,
Noble Min Res,NMG,0.475,7.5,18.75,,,,,,,,
Midwinter Resourc,MWN,0.16,2.5,18.52,,,,,,,,
Catalyst Metals,CYL,0.10,1.5,17.65,,,,,,,,
King Island,KIS,0.20,3,17.65,,,,,,,,
Atomic Res opt aug11,ATQO,0.035,0.5,16.67,,,,,,,,
Envirogold Ltd opt dec11,EVGO,0.014,0.2,16.67,,,,,,,,
Magna Min NL,MAN,0.007,0.1,16.67,,,,,,,,
Platsearch NL,PTS,0.14,2,16.67,,,,,,,,
Uramet Min,URM,0.064,0.9,16.36,,,,,,,,
Adavale Resource,ADD,0.045,0.6,15.38,,,,,,,,
Marenica Energy,MEY,0.15,2,15.38,,,,,,,,
Carbine Res,CRB,0.34,4.5,15.25,,,,,,,,
Eleckra Mines,EKM,0.115,1.5,15.00,,,,,,,,
Pac Ore Ltd,PSF,0.069,0.9,15.00,,,,,,,,
Richmond Min opt dec10,RHMO,0.115,1.5,15.00,,,,,,,,
Strategic Energy,SER,0.039,0.5,14.71,,,,,,,,
Essential Pet,EPR,0.008,0.1,14.29,,,,,,,,
Golden State Res opt nov10,GDNOA,0.008,0.1,14.29,,,,,,,,
Marmota Energy,MEU,0.12,1.5,14.29,,,,,,,,
Northwest Res,NWR,0.08,1,14.29,,,,,,,,
Regal Res opt nov11,REROB,0.016,0.2,14.29,,,,,,,,
Sylvania Res,SLV,1.12,14,14.29,,,,,,,,
Gascoyne Res Ltd,GCY,0.125,1.5,13.64,,,,,,,,
NKWE Platinum com,NKP,0.72,8.5,13.39,,,,,,,,
Impress Energy,ITC,0.061,0.7,12.96,,,,,,,,
ERO Min Ltd,ERO,0.035,0.4,12.90,,,,,,,,
Eurogold Ltd,EUG,0.225,2.5,12.50,,,,,,,,
Gateway Min,GML,0.045,0.5,12.50,,,,,,,,
CBH Res Ltd,CBH,0.23,2.5,12.20,,,,,,,,
Carpathian Res,CPN,0.028,0.3,12.00,,,,,,,,
Mintails Ltd,MLI,0.028,0.3,12.00,,,,,,,,
Burleson Energy,BUR,0.105,1.1,11.70,,,,,,,,
Richmond Min,RHM,0.29,3,11.54,,,,,,,,
Scandinavian Res opt oct11,SCRO,0.029,0.3,11.54,,,,,,,,
Carnavale Res,CAV,0.39,4,11.43,,,,,,,,
Metals Aust,MLS,0.01,0.1,11.11,,,,,,,,
Spitfire Res,SPI,0.15,1.5,11.11,,,,,,,,
Bendigo Min Ltd,BDG,0.255,2.5,10.87,,,,,,,,
Red Metal Ltd,RDM,0.155,1.5,10.71,,,,,,,,
CUE Energy Resource,CUE,0.32,3,10.34,,,,,,,,
Avonlea Min,AVZ,0.11,1,10.00,,,,,,,,
Azure Min,AZS,0.055,0.5,10.00,,,,,,,,
Paramount Min,PCP,0.11,1,10.00,,,,,,,,
Sundance Energy,SEA,0.165,1.5,10.00,,,,,,,,
Buru Energy,BRU,0.34,3,9.68,,,,,,,,
Global Nickel Invest,GNI,0.057,0.5,9.62,,,,,,,,
Mantle Min Corp,MNM,0.035,0.3,9.38,,,,,,,,
Resource Generation,RES,0.65,5.5,9.24,,,,,,,,
Goldminex Res,GMX,0.24,2,9.09,,,,,,,,
Quest Pet,QPN,0.012,0.1,9.09,,,,,,,,
Voyager Res,VOR,0.024,0.2,9.09,,,,,,,,
Sabre Res,SBR,0.55,4.5,8.91,,,,,,,,
GBM Rsources Ltd,GBZ,0.125,1,8.70,,,,,,,,
Aurora Oil & Gas,AUT,0.63,5,8.62,,,,,,,,
A'asia Gold,AAO,0.065,0.5,8.33,,,,,,,,
Central Pet opt mar14,CTPO,0.052,0.4,8.33,,,,,,,,
Chameleon Min NL,CHM,0.026,0.2,8.33,,,,,,,,
Doray Min Ltd,DRM,0.72,5.5,8.27,,,,,,,,
Silver Mines Ltd,SVL,0.105,0.8,8.25,,,,,,,,
Drummond Gold Ltd,DGO,0.04,0.3,8.11,,,,,,,,
Castlemaine,CGT,0.054,0.4,8.00,,,,,,,,
Northern Min,NMI,0.135,1,8.00,,,,,,,,
Rex Min Ltd,RXM,1.77,13,7.93,,,,,,,,
Flinders Mines,FMS,0.14,1,7.69,,,,,,,,
Mineral Commodities,MRC,0.042,0.3,7.69,,,,,,,,
Zambezi Res cdi,ZRL,0.028,0.2,7.69,,,,,,,,
DMC Min Ltd,DMM,0.50,3.5,7.53,,,,,,,,
Firestone Energy,FSE,0.029,0.2,7.41,,,,,,,,
Resolute Min opt dec11,RSGO,0.58,4,7.41,,,,,,,,
Frontier Res opt dec10,FNTO,0.03,0.2,7.14,,,,,,,,
Mount Burgess Min,MTB,0.015,0.1,7.14,,,,,,,,
QLD Min Corp opt may12,QMNO,0.03,0.2,7.14,,,,,,,,
First Aust Res,FAR,0.076,0.5,7.04,,,,,,,,
Marathon Res,MTN,0.555,3.5,6.73,,,,,,,,
Boulder Steel,BGD,0.16,1,6.67,,,,,,,,
Sth Boulder Mines,STB,0.80,5,6.67,,,,,,,,
Cazaly Res,CAZ,0.565,3.5,6.60,,,,,,,,
Fox Res,FXR,0.165,1,6.45,,,,,,,,
Mount Magnet South,MUM,0.083,0.5,6.41,,,,,,,,
Berkeley Res,BKY,1.45,8.5,6.23,,,,,,,,
Talisman Min opt dec10,TLMO,0.69,4,6.15,,,,,,,,
Argo Explore,AXT,0.07,0.4,6.06,,,,,,,,
Chesser Res,CHZ,0.35,2,6.06,,,,,,,,
Aust Renewable,ARW,0.018,0.1,5.88,,,,,,,,
Avanco Res Ltd opt apr12,AVBOB,0.018,0.1,5.88,,,,,,,,
Latrobe Magnesium,LMG,0.018,0.1,5.88,,,,,,,,
Metminco Ltd,MNC,0.18,1,5.88,,,,,,,,
Papillon Res Ltd opt dec12,PIROA,0.056,0.3,5.66,,,,,,,,
CBH Res Ltd 7.25%cn12,CBHGA,950.00,5000,5.56,,,,,,,,
Phoenix Copper,PNX,0.19,1,5.56,,,,,,,,
Royalco Res,RCO,0.475,2.5,5.56,,,,,,,,
Nucoal Res NL,NCR,0.385,2,5.48,,,,,,,,
Golden State Res,GDN,0.058,0.3,5.45,,,,,,,,
Haoma Min NL,HAO,0.195,1,5.41,,,,,,,,
Pacmag Metals Ltd,PMH,0.295,1.5,5.36,,,,,,,,
Aquarius Platinum,AQP,7.48,38,5.35,,,,,,,,
Ivanhoe Aust,IVA,3.79,19,5.28,,,,,,,,
African Energy Res cdi,AFR,0.10,0.5,5.26,,,,,,,,
Padbury Min Ltd,PDY,0.02,0.1,5.26,,,,,,,,
Range Res Ltd,RRS,0.061,0.3,5.17,,,,,,,,
Alchemy Resource opt aug10,ALYO,0.41,2,5.13,,,,,,,,
Antares Energy,AZZ,0.82,4,5.13,,,,,,,,
Audax Res,ADX,0.205,1,5.13,,,,,,,,
Jindalee Res,JRL,1.13,5.5,5.12,,,,,,,,
Apex Min NL,AXM,0.021,0.1,5.00,,,,,,,,
Manhattan Corp,MHC,1.05,5,5.00,,,,,,,,
Red Sky Energy,ROG,0.021,0.1,5.00,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,
Datamotion Asia,DMN,0.001,-0.1,-50.00,,,,,,,,
Paragon Care Ltd opt may12,PGCOA,0.01,-0.5,-33.33,,,,,,,,
Ruralaus Invest,RUR,0.09,-4,-30.77,,,,,,,,
Hillcrest Litigat,HLS,0.06,-2,-25.00,,,,,,,,
Verus Invest opt jun10,VILO,0.003,-0.1,-25.00,,,,,,,,
Beyond Sportswear,BSI,0.014,-0.4,-22.22,,,,,,,,
Karmelsonix Ltd opt jul11,KSXO,0.008,-0.2,-20.00,,,,,,,,
ENV Clean Tech,ESI,0.029,-0.7,-19.44,,,,,,,,
  opt jan14,ESIO,0.017,-0.4,-19.05,,,,,,,,
Hostech Ltd,HTC,0.029,-0.6,-17.14,,,,,,,,
Artist & Entertain,AEM,0.01,-0.2,-16.67,,,,,,,,
E-Pay Asia Ltd,EPY,0.135,-2.5,-15.62,,,,,,,,
Infigen Energy stp,IFN,1.025,-17.5,-14.58,,,,,,,,
EFTEL Ltd,EFT,0.018,-0.3,-14.29,,,,,,,,
Select Vaccines,SLT,0.006,-0.1,-14.29,,,,,,,,
Transol Corp,TNC,0.006,-0.1,-14.29,,,,,,,,
Legacy Iron Ore opt dec12,LCYOB,0.061,-1,-14.08,,,,,,,,
IFS Construct Ltd,IFS,0.058,-0.9,-13.43,,,,,,,,
Clever Com Aus,CVA,0.10,-1.5,-13.04,,,,,,,,
Longreach Grp,LRG,0.027,-0.4,-12.90,,,,,,,,
Intrapower Ltd,IPX,0.105,-1.5,-12.50,,,,,,,,
World Reach Ltd,WRR,0.007,-0.1,-12.50,,,,,,,,
WDS Ltd,WDS,0.68,-9.5,-12.26,,,,,,,,
Paragon Care Ltd,PGC,0.03,-0.4,-11.76,,,,,,,,
Adacel Tech,ADA,0.61,-8,-11.59,,,,,,,,
Everest Financial,EFG,0.05,-0.6,-10.71,,,,,,,,
bioMD Ltd,BOD,0.043,-0.5,-10.42,,,,,,,,
Connxion Ventures,CXN,0.043,-0.5,-10.42,,,,,,,,
Compass Hotel stp,CXH,0.018,-0.2,-10.00,,,,,,,,
Hudson Invest,HGL,0.09,-1,-10.00,,,,,,,,
Koon Hldgs cdi,KNH,0.28,-3,-9.68,,,,,,,,
Solco Ltd,SOO,0.086,-0.9,-9.47,,,,,,,,
Auto Tech Ltd opt jun11,ATJO,0.01,-0.1,-9.09,,,,,,,,
Hot Rock Ltd,HRL,0.10,-1,-9.09,,,,,,,,
Rivercity Motorway stp,RCY,0.10,-1,-9.09,,,,,,,,
Karmelsonix Ltd,KSX,0.031,-0.3,-8.82,,,,,,,,
Mikoh Corp,MIK,0.073,-0.7,-8.75,,,,,,,,
Anaeco Ltd,ANQ,0.22,-2,-8.33,,,,,,,,
Cougar Energy,CXY,0.11,-1,-8.33,,,,,,,,
MGM Wireless Ltd,MWR,0.011,-0.1,-8.33,,,,,,,,
CI Res Ltd,CII,0.78,-7,-8.24,,,,,,,,
Atlantic Ltd,ATI,0.057,-0.5,-8.06,,,,,,,,
Bravura Solutions,BVA,0.12,-1,-7.69,,,,,,,,
Industrea Ltd,IDL,0.36,-3,-7.69,,,,,,,,
Oncard Intl,ONC,0.12,-1,-7.69,,,,,,,,
Ainsworth Game Tech,AGI,0.125,-1,-7.41,,,,,,,,
Kresta Hldgs,KRS,0.38,-3,-7.32,,,,,,,,
DKN Financial Grp,DKN,0.71,-5.5,-7.19,,,,,,,,
Aspermont Ltd,ASP,0.13,-1,-7.14,,,,,,,,
Avexa Ltd,AVX,0.13,-1,-7.14,,,,,,,,
Structural Monitor cdi,SMN,0.013,-0.1,-7.14,,,,,,,,
