Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4325.8 at 16:34 21/5/2010  Report at 19:05 Friday 21/5/2010. Processed 19:13 Friday 21/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Sun Biomedical,SBN,0.002,0.1,100.00,,,,,,,,
Dexion Ltd,DEX,0.68,28,70.00,,,,,,,,
Ideas Intl,IDE,0.35,10,40.00,,,,,,,,
Sigma Pharmaceutical,SIP,0.48,13,37.14,,,,,,,,
Medigard Ltd,MGZ,0.115,2.5,27.78,,,,,,,,
Aust China Hldgs,AAK,0.005,0.1,25.00,,,,,,,,
NewSat Ltd,NWT,0.005,0.1,25.00,,,,,,,,
Marbletrend Grp,MBD,0.061,0.9,17.31,,,,,,,,
Hydromet Corp Ltd,HMC,0.038,0.5,15.15,,,,,,,,
Flat Glass Ind,FGI,0.23,3,15.00,,,,,,,,
AMA Grp Ltd,AMA,0.045,0.5,12.50,,,,,,,,
Hostech Ltd,HTC,0.018,0.2,12.50,,,,,,,,
Staging Connections,STG,0.028,0.3,12.00,,,,,,,,
NSL Cons Ltd,NSL,0.083,0.8,10.67,,,,,,,,
Netcomm Ltd,NTC,0.16,1.5,10.34,,,,,,,,
Boom Logistics,BOL,0.27,2.5,10.20,,,,,,,,
3Q Hldgs Ltd,TQH,0.11,1,10.00,,,,,,,,
Cell Aquaculture,CAQ,0.165,1.5,10.00,,,,,,,,
Emeco Hldgs,EHL,0.55,5,10.00,,,,,,,,
Pac Brands,PBG,1.00,9,9.89,,,,,,,,
CO2 Grp Ltd,COZ,0.115,1,9.52,,,,,,,,
Mooter Media Ltd,MMZ,0.012,0.1,9.09,,,,,,,,
GEO Prop Grp stp,GPM,0.195,1.5,8.33,,,,,,,,
Benitec Ltd,BLT,0.04,0.3,8.11,,,,,,,,
MAX Tr unt,MXQ,0.055,0.4,7.84,,,,,,,,
Alexium Int Grp,AJX,0.14,1,7.69,,,,,,,,
Rivercity Motorway stp,RCY,0.052,0.3,6.12,,,,,,,,
Gerard Lighting,GLG,0.90,5,5.88,,,,,,,,
National Hire Grp,NHR,1.64,9,5.81,,,,,,,,
Thinksmart Ltd,TSM,0.87,4.5,5.45,,,,,,,,
Mesoblast Ltd,MSB,2.04,10.5,5.43,,,,,,,,
Joyce Corp,JYC,0.39,2,5.41,,,,,,,,
Silex Systems,SLX,5.45,27,5.21,,,,,,,,
AJ Lucas Grp,AJL,2.28,11,5.07,,,,,,,,
MINING RISES,,,,,,,,,,,,
Nex Metals Explor opt nov11,NMEO,0.03,1.4,87.50,,,,,,,,
Austral Gold,AGD,0.25,7,38.89,,,,,,,,
Oil Basins Ltd opt jun12,OBLOA,0.027,0.7,35.00,,,,,,,,
Monitor Energy,MHL,0.004,0.1,33.33,,,,,,,,
Palace Res,PXR,0.012,0.3,33.33,,,,,,,,
Quantum Res,QUR,0.01,0.2,25.00,,,,,,,,
Ferrowest Ltd opt jun10,FWLO,0.024,0.4,20.00,,,,,,,,
Apex Min NL,AXM,0.02,0.3,17.65,,,,,,,,
