Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4572.1 at 16:35 16/6/2010  Report at 19:05 Wednesday 16/6/2010. Processed 19:11 Wednesday 16/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
M2M Corp,MCL,0.002,0.1,100.00,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.009,0.3,50.00,,,,,,,,
Neptune Marine opt dec10,NMSO,0.115,3.5,43.75,,,,,,,,
Multi Channel,MUT,0.007,0.2,40.00,,,,,,,,
Staging Connections,STG,0.027,0.6,28.57,,,,,,,,
Aust China Hldgs,AAK,0.005,0.1,25.00,,,,,,,,
Eastland Medical opt jun11,EMSOB,0.02,0.4,25.00,,,,,,,,
NewSat Ltd,NWT,0.005,0.1,25.00,,,,,,,,
Style Ltd,SYP,0.025,0.5,25.00,,,,,,,,
Blue Capital Ltd,BIV,0.028,0.5,21.74,,,,,,,,
Xiaoxiao Education,XXL,0.17,3,21.43,,,,,,,,
Cape Range Ltd,CAG,0.006,0.1,20.00,,,,,,,,
ENV Clean Tech,ESI,0.03,0.5,20.00,,,,,,,,
mENV Clean Tech  opt jan14,ESIO,0.018,0.3,20.00,,,,,,,,
Frigrite Ltd,FRR,0.14,2,16.67,,,,,,,,
Razor Risk Tech,RZR,0.03,0.4,15.38,,,,,,,,
Aurora Global Tr unt,AIB,1.25,15,13.64,,,,,,,,
Belmont Hldgs,BET,1.30,15,13.04,,,,,,,,
Medivac Ltd,MDV,0.009,0.1,12.50,,,,,,,,
Capral Ltd,CAA,0.195,2,11.43,,,,,,,,
NRW Hldgs Ltd,NWH,1.04,10.5,11.23,,,,,,,,
Helicon Grp,HCG,0.02,0.2,11.11,,,,,,,,
bioMD Ltd,BOD,0.031,0.3,10.71,,,,,,,,
Energy One Ltd,EOL,0.11,1,10.00,,,,,,,,
Tyrian Diagnostics,TDX,0.011,0.1,10.00,,,,,,,,
Alexium Int Grp,AJX,0.115,1,9.52,,,,,,,,
Karmelsonix Ltd,KSX,0.023,0.2,9.52,,,,,,,,
Techniche Ltd,TCN,0.035,0.3,9.38,,,,,,,,
Macmahon Hldgs,MAH,0.59,5,9.26,,,,,,,,
Benitec Ltd,BLT,0.036,0.3,9.09,,,,,,,,
CathRx Ltd,CXD,0.24,2,9.09,,,,,,,,
Eneabba Gas Ltd,ENB,0.12,1,9.09,,,,,,,,
Xceed Capital Ltd,XCD,0.012,0.1,9.09,,,,,,,,
Logicamms Ltd,LCM,0.90,7,8.43,,,,,,,,
Lifestyle Communit,LIC,0.065,0.5,8.33,,,,,,,,
Mooter Media Ltd,MMZ,0.013,0.1,8.33,,,,,,,,
