Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4250.6 at 16:35 5/7/2010  Report at 19:05 Monday 5/7/2010. Processed 11:34 Tuesday 6/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Eastland Medical,EMS,0.047,1.2,34.29,,,,,,,,
  opt may11,EMSO,0.004,0.1,33.33,,,,,,,,
Transol Corp,TNC,0.004,0.1,33.33,,,,,,,,
Living & Leisure Grp stp,LLA,0.021,0.4,23.53,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.016,0.3,23.08,,,,,,,,
TTA Hldgs Ltd,TTA,0.075,1.3,20.97,,,,,,,,
Calzada Ltd,CZD,0.03,0.5,20.00,,,,,,,,
World Reach Ltd,WRR,0.006,0.1,20.00,,,,,,,,
Style Ltd,SYP,0.025,0.4,19.05,,,,,,,,
Trinity Grp stp,TCQ,0.067,1,17.54,,,,,,,,
Medic Vision Ltd,MVH,0.014,0.2,16.67,,,,,,,,
Virax Hldgs,VHL,0.078,1.1,16.42,,,,,,,,
Manaccom Corp Ltd,MNL,0.30,4,15.38,,,,,,,,
E-Com Multi Ltd,ECE,0.008,0.1,14.29,,,,,,,,
Orbital Corp Ltd,OEC,0.032,0.4,14.29,,,,,,,,
Imugene Ltd,IMU,0.065,0.8,14.04,,,,,,,,
Avexa Ltd,AVX,0.044,0.5,12.82,,,,,,,,
Luminus Systems,LSL,0.009,0.1,12.50,,,,,,,,
OBJ Ltd,OBJ,0.027,0.3,12.50,,,,,,,,
Allied Brands Ltd,ABQ,0.028,0.3,12.00,,,,,,,,
Altium Ltd,ALU,0.25,2.5,11.11,,,,,,,,
Apollo Cons,AOP,0.01,0.1,11.11,,,,,,,,
Mooter Media Ltd,MMZ,0.01,0.1,11.11,,,,,,,,
Soilsub Tech,SOI,0.01,0.1,11.11,,,,,,,,
Strathfield Grp,SRA,0.01,0.1,11.11,,,,,,,,
Everest Financial,EFG,0.051,0.5,10.87,,,,,,,,
Elders Ltd,ELD,0.42,4,10.53,,,,,,,,
Corum Grp Ltd,COO,0.024,0.2,9.09,,,,,,,,
Enerji Ltd,ERJ,0.036,0.3,9.09,,,,,,,,
Rubicor Grp,RUB,0.05,0.4,8.70,,,,,,,,
Structural Systems,STS,0.565,4.5,8.65,,,,,,,,
Enviromission Ltd,EVM,0.026,0.2,8.33,,,,,,,,
MAC Services (The),MSL,2.59,18,7.47,,,,,,,,
Multiplex European unt,MUE,0.145,1,7.41,,,,,,,,
Nick Scali Ltd,NCK,1.46,10,7.35,,,,,,,,
Becton Prop Grp stp,BEC,0.045,0.3,7.14,,,,,,,,
India Equities Fund opt aug10,INEO,0.23,1.5,6.98,,,,,,,,
Immuron Ltd,IMC,0.078,0.5,6.85,,,,,,,,
Silver Chef Ltd,SIV,2.42,15,6.61,,,,,,,,
Powerlan Ltd,PWR,0.033,0.2,6.45,,,,,,,,
Pro-Pac Packaging,PPG,0.33,2,6.45,,,,,,,,
RCG Corp Ltd,RCG,0.52,3,6.12,,,,,,,,
Silex Systems,SLX,4.75,26,5.79,,,,,,,,
ING Real Est Ente unt,IEF,0.095,0.5,5.56,,,,,,,,
Karmelsonix Ltd,KSX,0.019,0.1,5.56,,,,,,,,
Miclyn Exp Offshr,MIO,1.52,8,5.56,,,,,,,,
Namoi Cotton ccu,NAM,0.395,2,5.33,,,,,,,,
Warehouse Grp,WHS,2.85,14,5.17,,,,,,,,
MINING RISES,,,,,,,,,,,,
Trafford Res rts13juld,TRFR,0.05,4.5,900.00,,,,,,,,
Stirling Min opt dec13,SMZOA,0.025,1,66.67,,,,,,,,
Atomic Res opt aug11,ATQO,0.032,1.2,60.00,,,,,,,,
Pilbara Min Ltd,PLS,0.125,4.5,56.25,,,,,,,,
Talisman Min opt dec10,TLMO,0.38,11.5,43.40,,,,,,,,
Thundelarra Explor opt mar13,THXOA,0.335,8.5,34.00,,,,,,,,
Golden State Res opt nov10,GDNOA,0.004,0.1,33.33,,,,,,,,
Oil Basins Ltd opt jun12,OBLOA,0.02,0.5,33.33,,,,,,,,
Centennial Coal,CEY,5.83,141,31.90,,,,,,,,
Lodestone Energy,LOD,0.105,2.5,31.25,,,,,,,,
Resource And Invest,RNI,0.26,6,30.00,,,,,,,,
Astro Res NL,ARO,0.005,0.1,25.00,,,,,,,,
Exoma Energy Ltd opt mar11,EXEO,0.065,1.3,25.00,,,,,,,,
Jupiter Mines,JMS,0.25,5,25.00,,,,,,,,
North Queensland,NQM,0.335,6.5,24.07,,,,,,,,
Synergy Metals,SML,0.017,0.3,21.43,,,,,,,,
Thor Min Plc cdi,THR,0.018,0.3,20.00,,,,,,,,
Oil Basins Ltd,OBL,0.031,0.5,19.23,,,,,,,,
Triangle Energy,TEG,0.025,0.4,19.05,,,,,,,,
Talisman Min,TLM,0.575,9,18.56,,,,,,,,
Uranium Equities,UEQ,0.09,1.4,18.42,,,,,,,,
NGM Res Ltd,NGM,0.10,1.5,17.65,,,,,,,,
Alkane Res Ltd,ALK,0.28,4,16.67,,,,,,,,
Global Nickel Invest ctg,GNICA,0.007,0.1,16.67,,,,,,,,
Pacrim Energy,PRE,0.007,0.1,16.67,,,,,,,,
WHL Energy Ltd,WHN,0.021,0.3,16.67,,,,,,,,
Cortona Res,CRC,0.18,2.5,16.13,,,,,,,,
