Market Action,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4307.0 at 2012-08-15T16:44:07. Report at Wednesday, August 15, 2012. Processed Thursday at 2012-08-16T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%),,,,,,,,
RISES - INDUSTRIALS,,
Moko Mobi opt jul13,MKBO,.004,+.2,+100.0,,
Sirius Corp,SIU,.009,+.2,+28.57,,
NSX,NSX,.145,+2.5,+20.83,,
BPH Energy,BPH,.018,+.3,+20.00,,
ECO Quest,ECQ,.006,+.1,+20.00,,
Transaction Solutions,TSN,.006,+.1,+20.00,,
Water Res Grp,WRG,.02,+.3,+17.65,,
SWW Energy,SWW,.008,+.1,+14.29,,
Vision Eye Institute,VEI,.53,+6,+12.77,,
Medical Aust,MLA,.009,+.1,+12.50,,
Primary Health Care,PRY,3.46,+37,+11.97,,
Investorfirst,INQ,.02,+.2,+11.11,,
Nomad Bldg Solutions,NOD,.084,+.8,+10.53,,
LBT Innovations,LBT,.043,+.4,+10.26,,
CBio,CBZ,.055,+.5,+10.00,,
Clinuvel Pharmac,CUV,1.65,+15,+10.00,,
Imugene,IMU,.011,+.1,+10.00,,
Senetas Corp,SEN,.011,+.1,+10.00,,
Dyesol,DYE,.12,+1,+9.09,,
MGM Wireless,MWR,.54,+4,+8.00,,
Wilson HTM Inv,WIG,.205,+1.5,+7.89,,
Opus Grp,OPG,.55,+4,+7.84,,
Mesoblast,MSB,6.00,+43,+7.72,,
Firstfolio,FFF,.014,+.1,+7.69,,
TZ,TZL,.14,+1,+7.69,,
Yellow Brick Road,YBR,.28,+2,+7.69,,
REA Grp,REA,14.77,+104,+7.57,,
Calliden Grp,CIX,.145,+1,+7.41,,
Hyro,HYO,.29,+2,+7.41,,
Seymour White,SWL,.985,+6.5,+7.07,,
Altium,ALU,.47,+3,+6.82,,
Webfirm Grp,WFM,.032,+.2,+6.67,,
Global Masters Fund,GFL,.65,+4,+6.56,,
Antisense Therapeutic,ANP,.017,+.1,+6.25,,
Mesbon China Nylon,MES,.27,+1.5,+5.88,,
Allied Healthcare,AHZ,.019,+.1,+5.56,,
Real Estate Cap unt,RCU,.57,+3,+5.56,,
