Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4533.0 at 16:35 10/2/2010  Report at 19:05 Wednesday 10/2/2010. Processed 19:11 Wednesday 10/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.00,,,,,,,,,,,,
Feb,10,13.50,0.53,0.53,15,35,11.40,0.95,4.89,,,
Feb,10,14.00,0.19,0.19,24,264,15.40,0.54,30.15,,,
Mar,10,14.00,0.25,0.24,28,418,14.90,0.56,14.52,,,
Mar,10,14.50,0.09,0.08,5,176,15.50,0.31,5.04,,,
Apr,10,14.00,0.31,0.32,10,29,14.30,0.59,10.23,,,
Apr,10,14.50,0.14,0.15,19,17,14.80,0.38,4.79,,,
Asciano Grp Last Sale Price $1.72,,,,,,,,,,,,
Mar,10,1.85,0.03,0.05,97,-,30.50,0.28,14.47,,,
Amcor Ltd Last Sale Price $6.02,,,,,,,,,,,,
Mar,10,6.18,0.09,0.07,54,249,24.40,0.42,12.40,,,
Apr,10,5.95,0.23,0.20,70,120,23.30,0.61,12.66,,,
AMP Ltd Last Sale Price $6.37,,,,,,,,,,,,
Feb,10,6.25,0.20,0.20,85,542,25.80,0.67,30.44,,,
Feb,10,6.50,0.09,0.07,57,1417,27.10,0.38,32.23,,,
Feb,10,6.75,0.04,0.04,130,745,30.30,0.19,14.32,,,
Feb,10,7.50,0.01,0.01,31,471,49.90,0.06,5.37,,,
Mar,10,6.00,0.45,0.40,4,674,27.60,0.77,9.77,,,
Mar,10,6.25,0.28,0.27,10,882,28.30,0.62,20.84,,,
Mar,10,6.50,0.17,0.15,132,860,30.50,0.47,22.79,,,
Mar,10,6.75,0.11,0.10,18,666,31.70,0.34,13.67,,,
Mar,10,7.00,0.09,0.07,5,1259,37.10,0.27,11.72,,,
Apr,10,6.25,0.35,0.33,45,356,29.70,0.62,17.04,,,
Apr,10,6.75,0.16,0.15,3,451,29.50,0.40,11.61,,,
Sep,10,6.50,0.47,0.45,10,179,28.20,0.57,11.79,,,
Dec,10,6.50,0.57,0.56,25,63,29.80,0.60,10.39,,,
Dec,12,4.50,2.04,2.00,4,47,30.20,0.90,0.96,,,
ANZ Banking Grp Last Sale Price $20.20,,,,,,,,,,,,
Feb,10,19.50,0.97,0.99,5,20,32.60,0.73,30.49,,,
Feb,10,20.00,0.64,0.62,121,49,31.40,0.59,49.13,,,
Feb,10,20.50,0.36,0.36,18,35,29.40,0.43,40.66,,,
Feb,10,21.00,0.20,0.23,440,298,29.50,0.28,22.59,,,
Feb,10,21.50,0.10,0.11,85,378,29.60,0.17,11.29,,,
Feb,10,22.00,0.04,0.05,76,422,29.40,0.09,5.08,,,
Feb,10,22.50,0.03,0.03,121,1001,32.20,0.06,3.39,,,
Feb,10,23.00,0.01,0.03,40,1370,32.50,0.03,1.69,,,
Feb,10,23.50,0.01,0.04,30,418,32.70,0.01,0.68,,,
Feb,10,24.50,0.00,0.03,36,219,33.30,-,0.11,,,
Mar,10,18.00,2.46,2.47,3,23,33.70,0.87,10.47,,,
Mar,10,19.50,1.29,1.35,4,46,30.70,0.67,24.23,,,
Mar,10,20.00,0.97,0.98,3,202,29.80,0.59,31.83,,,
Mar,10,20.50,0.71,0.70,4,87,29.00,0.49,29.16,,,
Mar,10,21.00,0.49,0.49,135,588,28.30,0.39,20.12,,,
Mar,10,21.50,0.34,0.35,26,355,27.90,0.30,13.76,,,
Mar,10,22.00,0.23,0.23,162,963,27.80,0.22,9.24,,,
Mar,10,22.50,0.14,0.14,40,929,27.50,0.15,5.75,,,
Mar,10,23.00,0.07,0.07,20,473,25.70,0.09,2.67,,,
Mar,10,23.50,0.06,0.06,1,610,28.20,0.07,2.46,,,
Mar,10,24.00,0.04,0.05,10,933,28.00,0.05,1.44,,,
Mar,10,24.50,0.02,0.13,36,336,28.00,0.03,0.82,,,
Mar,10,25.00,0.01,0.04,5,602,28.00,0.02,0.41,,,
Apr,10,20.50,1.00,0.97,4,24,28.20,0.52,22.76,,,
Apr,10,21.00,0.73,0.72,6,46,26.60,0.44,16.70,,,
Apr,10,21.50,0.57,0.73,6,109,27.10,0.37,13.15,,,
Apr,10,22.00,0.41,0.42,51,84,26.30,0.29,9.38,,,
Apr,10,22.50,0.29,0.30,4,38,26.00,0.23,6.75,,,
Apr,10,23.00,0.20,0.21,27,177,25.60,0.18,4.69,,,
Apr,10,23.50,0.13,0.13,2,252,24.70,0.12,2.86,,,
May,10,22.50,0.35,0.34,1,9,25.60,0.28,5.91,,,
Jun,10,20.00,1.45,1.46,8,243,28.30,0.61,16.66,,,
Jun,10,20.50,1.16,1.31,7,205,27.30,0.55,15.46,,,
Jun,10,21.00,0.94,0.92,4,96,26.90,0.49,12.58,,,
Jun,10,21.50,0.75,1.11,7,67,26.60,0.43,10.04,,,
Jun,10,23.00,0.34,0.35,3,812,25.60,0.27,4.62,,,
Jun,10,23.50,0.27,0.35,1,121,25.40,0.22,3.55,,,
Jun,10,24.00,0.20,0.21,7,381,25.20,0.18,2.68,,,
Jun,10,26.00,0.08,0.08,16,206,26.40,0.09,1.07,,,
Jul,10,21.50,0.91,1.04,1,-,26.60,0.46,9.62,,,
Sep,10,21.50,1.15,1.15,14,19,26.50,0.49,9.19,,,
Sep,10,22.00,0.98,0.99,20,17,26.20,0.45,7.84,,,
Sep,10,22.50,0.88,1.94,7,51,26.90,0.41,7.00,,,
Dec,10,20.00,2.21,2.42,4,586,30.00,0.64,11.49,,,
Dec,10,21.00,1.65,1.60,29,279,27.90,0.57,9.38,,,
Dec,10,23.00,0.96,0.98,1,475,27.10,0.43,5.50,,,
Mar,11,12.00,8.39,8.40,2,7,39.60,0.95,0.84,,,
