Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4877.7 at 16:36 18/3/2010  Report at 19:05 Thursday 18/3/2010. Processed 19:18 Thursday 18/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.97,,,,,,,,,,,,
Mar,10,14.50,0.48,0.54,2,301,2.00,1.00,3.05,,,
Mar,10,15.00,0.11,0.14,3,223,14.50,0.49,33.53,,,
Apr,10,15.00,0.30,0.32,4,161,13.80,0.55,17.01,,,
Apr,10,15.50,0.11,0.12,8,16,13.60,0.28,6.24,,,
May,10,15.00,0.45,0.45,2,52,15.50,0.57,15.45,,,
Jun,10,15.50,0.29,0.31,10,100,14.30,0.41,7.27,,,
Jun,10,16.00,0.16,0.16,27,20,14.40,0.26,3.82,,,
Dec,10,16.00,0.55,0.62,2,14,17.00,0.47,4.77,,,
Asciano Grp Last Sale Price $1.90,,,,,,,,,,,,
Apr,10,1.90,0.06,0.09,30,2195,22.50,0.55,26.81,,,
Apr,10,2.00,0.03,0.04,40,363,25.30,0.32,13.40,,,
May,10,1.90,0.09,0.12,20,6031,25.60,0.56,24.35,,,
Sep,10,1.90,0.19,-,90,90,30.50,0.60,18.70,,,
Amcor Ltd Last Sale Price $6.08,,,,,,,,,,,,
Mar,10,5.95,0.16,0.16,1,557,20.30,0.79,18.76,,,
Apr,10,6.18,0.13,0.13,218,242,19.30,0.45,17.45,,,
Apr,10,6.41,0.06,0.04,150,41,19.30,0.25,7.68,,,
May,10,5.72,0.47,0.45,6,83,20.30,0.80,9.30,,,
May,10,5.95,0.30,0.27,5,181,19.40,0.67,14.80,,,
May,10,6.18,0.18,0.17,7,35,19.20,0.49,15.22,,,
Jun,10,6.18,0.20,0.20,10,83,17.20,0.51,12.13,,,
Jun,10,6.41,0.12,0.13,6,149,17.30,0.36,6.97,,,
Sep,10,6.25,0.28,0.29,1,30,19.30,0.54,9.00,,,
Sep,10,6.50,0.20,0.20,48,17,19.70,0.43,6.32,,,
AMP Ltd Last Sale Price $6.30,,,,,,,,,,,,
Mar,10,6.00,0.32,0.32,2,556,30.50,0.89,14.48,,,
Mar,10,6.25,0.09,0.11,128,1094,16.40,0.66,28.97,,,
Mar,10,6.50,0.01,0.03,46,1051,21.40,0.16,10.86,,,
Mar,10,6.75,0.01,0.01,106,759,34.10,0.08,7.24,,,
Mar,10,7.00,0.01,0.02,221,1283,46.80,0.06,7.24,,,
Apr,10,0.01,6.27,6.29,5,25,-,-,-,,,
Apr,10,6.00,0.38,0.32,10,684,19.20,0.81,10.11,,,
Apr,10,6.25,0.20,0.20,64,1676,17.70,0.61,19.54,,,
Apr,10,6.50,0.09,0.10,78,784,18.30,0.36,12.13,,,
Apr,10,7.25,0.03,0.03,200,627,28.40,0.09,3.37,,,
May,10,6.25,0.27,0.27,44,93,19.80,0.60,17.95,,,
May,10,6.50,0.16,0.16,17,225,20.20,0.43,13.06,,,
Jun,10,6.26,0.34,0.34,4,267,22.20,0.60,17.85,,,
Jun,10,6.50,0.23,0.23,3,581,21.60,0.47,13.17,,,
Sep,10,5.00,1.44,1.43,10,352,25.70,0.93,4.27,,,
Dec,10,6.00,0.71,0.92,80,73,23.40,0.71,8.45,,,
Dec,10,6.25,0.57,-,10,10,23.20,0.64,10.72,,,
ANZ Banking Grp Last Sale Price $24.88,,,,,,,,,,,,
Mar,10,0.01,24.89,24.81,4,1014,-,-,3.67,,,
Mar,10,18.00,6.89,6.82,1,37,46.00,1.00,2.75,,,
Mar,10,18.50,6.39,3.87,2,90,45.30,1.00,2.75,,,
Mar,10,20.00,4.89,4.34,22,196,43.30,1.00,2.75,,,
Mar,10,21.50,3.40,2.70,3,433,41.20,1.00,3.67,,,
Mar,10,22.50,2.40,2.44,1,1145,33.80,0.99,4.58,,,
Mar,10,23.00,1.91,1.80,3,956,30.10,0.97,5.50,,,
Mar,10,23.50,1.42,1.31,10,1329,26.50,0.95,7.34,,,
Mar,10,24.00,0.93,0.91,53,2394,20.10,0.91,9.17,,,
Mar,10,24.50,0.50,0.40,137,791,18.70,0.74,22.01,,,
Mar,10,25.00,0.18,0.21,189,709,16.60,0.44,33.01,,,
Mar,10,25.50,0.04,0.06,84,173,16.50,0.15,8.25,,,
Apr,10,20.50,4.49,4.48,2,28,27.60,0.99,3.75,,,
Apr,10,21.00,4.00,3.94,1,85,27.40,0.97,4.26,,,
Apr,10,23.50,1.64,1.55,3,904,19.50,0.84,8.87,,,
Apr,10,24.00,1.24,1.26,43,625,18.80,0.76,12.28,,,
Apr,10,24.50,0.85,0.77,6,451,17.20,0.66,16.21,,,
Apr,10,25.00,0.55,0.55,237,1193,16.20,0.52,18.59,,,
Apr,10,25.50,0.34,0.35,90,728,16.10,0.38,11.43,,,
Apr,10,26.00,0.18,0.19,85,192,15.60,0.25,6.14,,,
May,10,21.50,3.53,1.63,16,9,22.20,0.95,3.10,,,
May,10,22.00,3.06,2.27,309,42,22.10,0.92,3.72,,,
May,10,23.00,2.15,1.49,300,301,20.80,0.85,5.68,,,
May,10,24.00,1.35,1.38,49,355,19.30,0.73,9.61,,,
May,10,24.50,1.00,1.00,5,229,18.60,0.64,12.81,,,
May,10,25.00,0.70,0.70,20,94,18.10,0.55,14.57,,,
May,10,26.00,0.30,0.32,2,33,17.40,0.35,6.30,,,
May,10,26.50,0.19,0.20,18,53,17.00,0.25,3.82,,,
Jun,10,20.00,5.00,3.92,23,247,21.90,0.98,1.78,,,
Jun,10,22.00,3.09,2.85,25,765,21.70,0.90,3.11,,,
Jun,10,23.50,1.85,0.80,1,125,20.80,0.77,6.89,,,
Jun,10,24.50,1.14,1.01,2,192,19.40,0.64,11.26,,,
Jun,10,25.00,0.85,0.70,40,344,18.70,0.56,12.60,,,
Jun,10,26.00,0.52,0.45,45,796,19.70,0.41,7.63,,,
Jun,10,26.01,0.41,-,5,-,17.70,0.39,6.15,,,
Jun,10,26.50,0.32,0.33,4,-,18.00,0.32,4.74,,,
Jun,10,27.00,0.23,0.23,2,66,18.10,0.26,3.33,,,
Jul,10,25.00,1.08,0.75,1,16,19.70,0.58,11.77,,,
Aug,10,25.50,1.08,-,1,-,20.50,0.53,9.78,,,
Sep,10,22.00,3.43,2.52,2,77,23.20,0.84,4.25,,,
Sep,10,26.00,1.02,0.79,10,56,20.30,0.49,7.88,,,
Sep,10,27.00,0.69,0.70,4,6,19.90,0.39,5.29,,,
Dec,10,15.00,9.99,7.72,62,1222,34.70,0.98,0.57,,,
Dec,10,24.50,2.10,2.08,12,25,22.50,0.66,8.98,,,
Dec,10,26.00,1.37,0.63,2,121,21.60,0.54,7.15,,,
Mar,11,22.00,4.00,4.01,53,29,25.70,0.78,4.42,,,
Dec,11,20.00,5.63,4.30,62,129,23.70,0.88,1.72,,,
Dec,11,27.50,1.96,1.95,24,115,23.70,0.52,4.45,,,
Dec,11,28.00,1.80,1.66,5,149,23.50,0.53,4.09,,,
Dec,11,30.00,1.28,1.22,5,206,23.20,0.41,2.91,,,
Dec,12,20.00,6.36,6.40,10,264,26.10,0.84,2.15,,,
Dec,12,22.00,5.17,5.13,10,113,25.30,0.85,3.33,,,
ASX Ltd Last Sale Price $36.70,,,,,,,,,,,,
Mar,10,36.00,0.79,0.85,11,102,14.60,0.85,11.19,,,
Mar,10,36.50,0.43,0.30,2,139,14.90,0.63,28.59,,,
Apr,10,37.00,0.72,0.55,10,120,15.80,0.50,16.77,,,
Apr,10,37.50,0.50,0.38,15,53,15.40,0.40,11.45,,,
May,10,36.50,1.35,1.14,5,308,16.90,0.60,16.04,,,
May,10,37.00,1.09,0.88,1,64,16.90,0.53,15.20,,,
Alumina Ltd Last Sale Price $1.72,,,,,,,,,,,,
Mar,10,1.37,0.35,0.31,17,29,82.50,0.98,13.26,,,
Mar,10,1.54,0.19,0.22,118,1304,54.50,0.94,13.26,,,
Mar,10,1.63,0.10,0.10,23,1262,28.10,0.92,13.26,,,
Mar,10,1.71,0.04,0.04,602,2710,35.90,0.57,79.58,,,
Mar,10,1.80,0.01,0.01,9,3516,42.70,0.24,39.79,,,
Apr,10,1.70,0.10,0.11,25,4807,35.80,0.58,39.48,,,
Apr,10,1.80,0.06,0.06,21,3332,36.30,0.40,27.14,,,
May,10,1.50,0.27,0.25,10,5,39.30,0.83,13.45,,,
May,10,1.80,0.09,0.09,20,132,36.60,0.45,25.41,,,
May,10,1.90,0.06,0.07,10,545,38.20,0.33,16.44,,,
Jun,10,2.00,0.06,0.06,25,417,38.40,0.28,11.79,,,
Sep,10,1.60,0.26,0.25,35,125,34.50,0.70,15.08,,,
