Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4500.0 at 16:36 18/5/2010  Report at 19:06 Tuesday 18/5/2010. Processed 19:29 Tuesday 18/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.78,,,,,,,,,,,,
May,10,15.00,0.12,0.11,3,201,21.70,0.35,28.40,,,
Asciano Grp Last Sale Price $1.56,,,,,,,,,,,,
May,10,1.80,-,0.01,6,550,34.70,-,23.40,,,
Jun,10,1.60,0.04,0.07,15,131,30.90,0.44,27.71,,,
Jul,10,1.70,0.04,-,12,-,28.40,0.30,11.22,,,
Aug,10,1.60,0.09,-,6,-,29.50,0.51,20.85,,,
Amcor Ltd Last Sale Price $6.53,,,,,,,,,,,,
May,10,6.41,0.17,0.20,22,314,20.80,0.74,25.15,,,
Jun,10,6.87,0.08,0.09,100,11,23.10,0.28,11.77,,,
Jul,10,6.50,0.29,0.28,2,60,20.90,0.59,19.91,,,
Dec,10,6.75,0.29,0.29,20,281,19.10,0.53,7.50,,,
AMP Ltd Last Sale Price $5.78,,,,,,,,,,,,
May,10,6.00,0.04,0.04,12,571,32.60,0.25,28.42,,,
May,10,6.50,0.01,0.01,11,811,49.40,0.07,9.47,,,
Jun,10,6.02,0.13,0.14,20,331,29.70,0.37,21.60,,,
Jul,10,6.00,0.22,0.21,20,77,28.40,0.44,19.03,,,
Jul,10,6.25,0.14,0.11,2,131,28.10,0.32,11.68,,,
Jul,10,6.50,0.09,0.08,10,238,29.40,0.23,7.79,,,
ANZ Banking Grp Last Sale Price $21.73,,,,,,,,,,,,
May,10,19.51,2.25,3.60,5,14,27.70,0.99,4.20,,,
May,10,21.50,0.66,0.65,2,-,38.80,0.59,72.23,,,
May,10,22.00,0.39,0.38,145,93,36.40,0.44,64.67,,,
May,10,22.50,0.21,0.22,51,143,36.00,0.29,35.27,,,
May,10,23.00,0.10,0.09,31,333,34.30,0.16,15.96,,,
May,10,23.50,0.04,0.05,94,403,35.40,0.09,7.56,,,
May,10,24.00,0.03,0.04,6,866,36.60,0.05,4.20,,,
May,10,24.50,0.01,0.01,2,598,37.80,0.02,1.68,,,
May,10,25.00,0.00,0.00,20,1239,36.50,-,0.50,,,
Jun,10,0.01,21.82,-,371,851,-,-,4.64,,,
Jun,10,19.01,3.06,3.04,2,10,44.30,0.86,14.81,,,
Jun,10,21.50,1.10,1.21,10,28,33.70,0.58,38.46,,,
Jun,10,22.00,0.81,0.81,32,429,32.30,0.50,36.03,,,
Jun,10,22.50,0.58,0.55,12,258,31.20,0.40,25.86,,,
Jun,10,23.00,0.40,0.41,77,917,30.10,0.31,17.46,,,
Jun,10,23.50,0.26,0.27,122,609,29.30,0.23,11.49,,,
Jun,10,24.00,0.22,0.17,15,844,32.00,0.19,9.72,,,
Jun,10,24.50,0.10,0.10,12,474,28.30,0.11,4.42,,,
Jun,10,25.01,0.09,0.08,16,55,30.80,0.09,3.76,,,
Jun,10,25.50,0.05,0.05,116,518,30.40,0.06,2.21,,,
Jun,10,26.00,0.04,0.04,3,1078,32.50,0.05,1.99,,,
Jun,10,27.00,0.02,0.03,41,861,32.90,0.02,0.88,,,
Jul,10,20.00,2.45,-,5,-,34.30,0.76,16.57,,,
Jul,10,20.50,2.11,2.15,1,-,34.30,0.70,20.25,,,
Jul,10,21.00,1.79,1.75,2,-,33.80,0.65,24.39,,,
Jul,10,22.50,0.92,1.45,6,37,30.10,0.46,21.17,,,
Jul,10,23.00,0.74,0.72,2,299,30.30,0.39,17.03,,,
Jul,10,23.50,0.52,1.12,2,210,28.30,0.32,11.85,,,
Jul,10,24.00,0.41,0.40,35,231,28.60,0.26,9.32,,,
Jul,10,24.50,0.27,0.27,10,156,27.20,0.20,6.21,,,
Jul,10,25.00,0.19,0.22,10,758,26.80,0.15,4.37,,,
Jul,10,25.50,0.15,0.15,5,156,27.50,0.12,3.45,,,
Jul,10,26.00,0.09,0.11,48,133,26.00,0.08,1.96,,,
Aug,10,23.00,0.91,0.93,3,29,28.80,0.42,15.05,,,
Aug,10,23.50,0.71,0.70,8,15,28.00,0.36,11.81,,,
Aug,10,24.00,0.56,0.59,15,52,27.70,0.31,9.31,,,
Sep,10,24.00,0.73,0.72,20,122,27.70,0.34,9.51,,,
Sep,10,24.50,0.58,0.56,11,193,27.10,0.29,7.55,,,
Sep,10,25.00,0.47,0.51,1,93,27.10,0.25,6.12,,,
Sep,10,25.50,0.36,0.38,3,209,26.70,0.21,4.75,,,
Sep,10,26.50,0.23,0.63,14,196,26.60,0.15,2.99,,,
Sep,10,27.50,0.14,0.13,100,-,26.70,0.10,1.89,,,
Oct,10,19.01,3.77,3.75,2,2,33.20,0.80,10.70,,,
Oct,10,22.00,1.83,2.00,14,2,29.90,0.57,18.74,,,
Dec,10,21.50,2.19,2.30,5,19,29.50,0.62,15.00,,,
Dec,10,23.00,1.43,1.42,25,521,28.00,0.50,10.92,,,
Dec,10,24.00,1.07,1.06,7,562,27.60,0.42,8.17,,,
Dec,10,24.50,0.92,0.92,1,387,27.50,0.38,7.02,,,
Dec,10,25.00,0.79,0.76,6,470,27.30,0.35,5.99,,,
Dec,10,26.00,0.51,0.51,2,274,26.10,0.27,3.89,,,
Dec,10,26.50,0.46,0.45,5,314,26.40,0.24,3.47,,,
Dec,10,27.00,0.36,0.57,53,229,26.00,0.21,2.79,,,
Dec,10,29.00,0.17,0.20,53,287,25.80,0.12,1.30,,,
Mar,11,23.00,1.82,1.87,10,41,28.00,0.54,9.83,,,
Mar,11,24.00,1.45,1.43,2,15,27.60,0.47,7.80,,,
Mar,11,24.50,1.23,2.18,6,22,26.70,0.44,6.62,,,
Mar,11,25.00,1.10,1.98,3,7,26.70,0.40,5.91,,,
ASX Ltd Last Sale Price $32.70,,,,,,,,,,,,
May,10,32.50,0.64,0.65,2,23,24.80,0.58,48.56,,,
Jun,10,33.00,0.89,0.91,11,10,23.00,0.50,26.14,,,
Jun,10,34.00,0.47,0.46,4,126,21.80,0.33,13.66,,,
Jun,10,34.50,0.33,0.42,1,28,21.80,0.26,9.69,,,
Jul,10,36.00,0.23,0.44,5,1,19.10,0.17,3.52,,,
Alumina Ltd Last Sale Price $1.63,,,,,,,,,,,,
May,10,1.70,0.03,0.03,65,2314,53.50,0.32,56.15,,,
May,10,1.80,0.01,0.01,40,1856,66.90,0.18,33.69,,,
May,10,1.90,0.01,0.01,12,1295,68.20,0.08,13.48,,,
Jun,10,1.60,0.11,0.11,10,452,45.70,0.59,50.24,,,
Jun,10,1.70,0.07,0.06,259,1479,45.60,0.42,38.42,,,
Jun,10,2.00,0.01,0.01,218,509,52.40,0.13,8.87,,,
Sep,10,1.80,0.11,0.11,20,475,43.00,0.42,19.15,,,
Dec,10,2.05,0.11,0.11,200,47,45.70,0.35,11.23,,,
Billabong Intl Last Sale Price $10.60,,,,,,,,,,,,
Jun,10,0.01,10.64,10.58,28,48,-,-,4.53,,,
BHP Billiton Ltd Last Sale Price $37.24,,,,,,,,,,,,
May,10,0.01,37.27,37.10,1,1531,-,-,3.92,,,
May,10,34.00,3.38,3.40,10,22,43.30,0.92,13.23,,,
May,10,36.00,1.74,1.73,63,52,42.00,0.72,48.52,,,
May,10,36.50,1.36,1.38,49,65,39.40,0.65,60.28,,,
May,10,37.00,1.03,1.10,238,402,38.00,0.56,77.92,,,
May,10,37.50,0.77,0.75,241,586,37.30,0.47,75.47,,,
May,10,38.00,0.55,0.51,512,592,36.60,0.38,53.91,,,
May,10,38.50,0.39,0.40,372,632,36.60,0.30,38.23,,,
May,10,39.00,0.27,0.27,329,1385,36.40,0.23,25.97,,,
May,10,39.50,0.19,0.19,104,1024,37.40,0.17,18.62,,,
May,10,40.00,0.13,0.13,601,1724,37.50,0.12,12.74,,,
May,10,40.50,0.09,0.09,8,997,38.00,0.09,8.33,,,
May,10,41.00,0.07,0.07,54,1666,40.70,0.07,7.35,,,
May,10,41.50,0.06,0.05,91,2171,42.00,0.06,5.39,,,
May,10,41.51,0.04,0.04,20,28,40.20,0.05,4.41,,,
May,10,42.00,0.04,0.04,142,1265,42.90,0.04,3.92,,,
May,10,42.50,0.03,0.03,68,970,44.30,0.03,2.94,,,
May,10,43.00,0.03,0.03,174,1497,47.20,0.03,2.94,,,
May,10,45.00,0.01,0.01,29,1142,47.30,-,0.49,,,
Jun,10,31.00,6.53,10.15,8,6,40.60,0.94,7.48,,,
Jun,10,36.00,2.46,2.27,10,273,35.70,0.66,31.47,,,
Jun,10,37.00,1.84,1.71,32,456,34.40,0.57,41.14,,,
Jun,10,37.50,1.58,1.54,23,287,34.10,0.52,40.62,,,
Jun,10,38.00,1.31,1.33,115,545,33.40,0.47,33.92,,,
Jun,10,38.50,1.10,1.10,114,307,32.80,0.42,28.24,,,
Jun,10,39.00,0.89,0.89,431,1495,32.10,0.37,22.96,,,
Jun,10,39.50,0.72,0.71,83,781,31.80,0.32,18.57,,,
Jun,10,40.00,0.61,0.56,154,1621,32.00,0.28,15.73,,,
Jun,10,40.50,0.45,0.45,158,760,30.60,0.23,11.48,,,
Jun,10,41.00,0.36,0.36,43,1035,30.70,0.19,9.29,,,
Jun,10,41.50,0.28,0.26,59,572,30.50,0.16,7.22,,,
Jun,10,42.00,0.23,0.23,118,2184,31.00,0.13,5.93,,,
Jun,10,42.50,0.17,0.17,27,782,30.70,0.11,4.51,,,
Jun,10,43.00,0.13,0.14,25,1837,30.40,0.08,3.35,,,
Jun,10,43.01,0.13,0.30,73,17,30.40,0.08,3.35,,,
Jun,10,43.50,0.10,0.10,3,1015,30.20,0.07,2.45,,,
Jun,10,44.00,0.09,0.10,58,1453,31.30,0.06,2.32,,,
Jun,10,44.01,0.12,0.11,1,2,33.20,0.07,2.97,,,
Jun,10,44.50,0.07,0.06,10,339,31.80,0.05,1.81,,,
Jun,10,45.00,0.06,0.06,4,1781,32.00,0.04,1.42,,,
Jun,10,45.50,0.04,0.04,5,108,32.20,0.03,1.16,,,
Jun,10,46.00,0.04,0.04,18,475,32.40,0.03,0.90,,,
Jun,10,47.00,0.04,0.02,59,604,35.10,0.02,0.90,,,
Jun,10,48.00,0.02,0.02,8,614,35.40,0.02,0.52,,,
Jul,10,37.50,2.19,2.12,2,28,32.60,0.54,29.47,,,
Jul,10,38.00,1.93,1.95,6,250,32.00,0.50,25.91,,,
Jul,10,38.50,1.70,1.66,6,69,31.80,0.47,22.82,,,
Jul,10,39.00,1.53,1.48,21,135,32.00,0.43,20.54,,,
Jul,10,39.50,1.29,1.28,11,97,31.10,0.39,17.32,,,
