Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4437.0 at 16:39 16/7/2010  Report at 19:05 Friday 16/7/2010. Processed 22:44 Friday 16/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.75,,,,,,,,,,,,
Jul,10,15.00,0.09,0.08,11,143,15.80,0.32,15.02,,,
Aug,10,14.50,0.51,0.53,20,56,16.30,0.68,15.32,,,
Aug,10,15.00,0.23,0.30,3,116,15.70,0.43,13.85,,,
Sep,10,15.00,0.29,0.32,4,133,15.70,0.48,10.25,,,
Oct,10,15.50,0.22,0.23,2,74,16.80,0.37,5.18,,,
Asciano Grp Last Sale Price $1.72,,,,,,,,,,,,
Jul,10,1.50,0.24,0.22,50,863,71.40,0.86,30.32,,,
Oct,10,1.70,0.12,0.11,6,11,24.70,0.61,19.20,,,
Amcor Ltd Last Sale Price $6.82,,,,,,,,,,,,
Jul,10,6.25,0.58,0.56,2,149,2.00,1.00,3.82,,,
Jul,10,6.75,0.16,0.14,2,83,22.10,0.62,34.41,,,
Aug,10,6.50,0.42,0.24,2,419,23.50,0.77,13.38,,,
Aug,10,7.00,0.12,0.12,2,25,20.30,0.40,14.65,,,
AMP Ltd Last Sale Price $5.35,,,,,,,,,,,,
Jul,10,5.25,0.17,0.15,20,192,26.70,0.67,34.11,,,
Jul,10,5.50,0.05,0.07,14,569,25.50,0.31,24.37,,,
Aug,10,5.50,0.12,0.12,5,275,23.30,0.41,18.68,,,
Sep,10,5.50,0.16,0.16,3,822,25.10,0.46,15.59,,,
Dec,10,0.01,5.32,-,230,-,-,-,-,,,
Dec,10,5.50,0.27,0.27,16,706,24.50,0.53,11.23,,,
ANZ Banking Grp Last Sale Price $22.54,,,,,,,,,,,,
Jul,10,22.00,0.78,0.81,5,458,25.70,0.71,27.76,,,
Jul,10,22.50,0.44,0.46,7,569,23.40,0.54,45.69,,,
Jul,10,23.00,0.20,0.19,4,1572,21.70,0.34,23.13,,,
Jul,10,23.50,0.07,0.09,26,971,20.50,0.16,8.10,,,
Aug,10,22.50,0.81,0.80,7,222,24.40,0.56,29.88,,,
Aug,10,23.00,0.54,0.54,7,1100,22.70,0.44,20.63,,,
Aug,10,23.50,0.34,0.32,12,534,22.10,0.33,13.11,,,
Aug,10,24.00,0.20,0.22,1,574,21.30,0.23,7.71,,,
Aug,10,24.50,0.11,0.11,1,337,20.90,0.14,4.24,,,
Aug,10,25.00,0.06,0.08,86,597,20.50,0.08,2.12,,,
Aug,10,25.50,0.03,0.06,86,64,20.30,0.05,0.96,,,
Sep,10,21.00,2.16,2.26,1,143,28.70,0.76,14.34,,,
Sep,10,24.00,0.43,0.50,565,655,22.90,0.32,9.95,,,
Oct,10,25.00,0.41,0.40,93,31,23.30,0.26,6.25,,,
Oct,10,25.50,0.30,0.29,100,32,23.10,0.21,4.63,,,
Nov,10,24.00,0.79,1.37,15,26,24.60,0.42,9.56,,,
Nov,10,24.50,0.60,0.60,15,54,24.00,0.36,7.37,,,
