Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4554.4 at 16:36 2/8/2010  Report at 19:05 Monday 2/8/2010. Processed 19:22 Monday 2/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.90,,,,,,,,,,,,
Aug,10,14.50,0.53,0.50,1,118,16.50,0.77,12.74,,,
Aug,10,15.00,0.20,0.20,15,156,14.70,0.48,19.11,,,
Sep,10,13.50,1.47,-,4,11,16.20,0.96,3.00,,,
Sep,10,15.50,0.11,0.09,9,273,15.10,0.30,4.85,,,
Oct,10,15.50,0.16,0.15,1,113,14.60,0.37,4.31,,,
Dec,10,15.50,0.33,0.29,15,213,16.30,0.46,5.61,,,
Asciano Grp Last Sale Price $1.72,,,,,,,,,,,,
Aug,10,1.70,0.05,0.06,300,453,19.70,0.63,25.47,,,
Aug,10,1.80,0.02,0.02,250,645,27.10,0.29,16.98,,,
Sep,10,1.80,0.03,0.03,30,898,20.80,0.33,12.01,,,
Amcor Ltd Last Sale Price $6.58,,,,,,,,,,,,
Sep,10,5.75,0.85,1.00,12,72,27.60,0.92,2.09,,,
Oct,10,6.75,0.17,0.17,6,30,22.20,0.48,10.72,,,
Mar,11,6.25,0.61,-,12,-,22.20,0.72,6.61,,,
AMP Ltd Last Sale Price $5.37,,,,,,,,,,,,
Aug,10,5.25,0.21,0.21,65,251,24.50,0.67,24.47,,,
Aug,10,5.50,0.07,0.07,121,627,21.30,0.37,19.03,,,
Aug,10,5.75,0.02,0.04,4,1371,22.30,0.14,5.44,,,
Sep,10,5.50,0.12,0.13,15,848,23.30,0.45,14.75,,,
Sep,10,5.75,0.04,0.04,61,861,22.10,0.25,5.13,,,
Oct,10,5.50,0.16,0.16,100,96,23.10,0.49,11.97,,,
Oct,10,5.75,0.07,0.07,10,22,21.00,0.32,5.02,,,
Dec,10,4.25,1.16,1.14,29,85,32.00,0.92,1.65,,,
Dec,10,5.75,0.16,0.14,3,1273,23.40,0.41,7.32,,,
Dec,12,5.00,0.96,1.70,29,190,30.30,0.75,4.60,,,
Dec,14,5.00,1.26,1.25,2,-,33.00,0.81,3.78,,,
ANZ Banking Grp Last Sale Price $23.32,,,,,,,,,,,,
Aug,10,21.00,2.45,2.38,4,90,30.80,0.92,8.14,,,
Aug,10,22.50,1.08,1.02,2,604,22.00,0.77,15.96,,,
Aug,10,23.00,0.69,0.69,15,1574,20.20,0.64,23.48,,,
Aug,10,23.50,0.39,0.40,235,1027,18.50,0.48,24.42,,,
Aug,10,24.00,0.20,0.21,104,949,17.80,0.30,12.21,,,
Aug,10,24.50,0.09,0.07,104,454,17.50,0.16,5.32,,,
Aug,10,25.00,0.04,0.05,10,668,17.50,0.07,2.19,,,
Sep,10,22.00,1.75,1.75,4,681,23.80,0.78,12.55,,,
Sep,10,23.00,1.00,1.01,7,714,21.50,0.62,20.23,,,
Sep,10,23.50,0.69,0.67,161,435,20.00,0.52,20.52,,,
Sep,10,24.00,0.45,0.47,83,1249,19.00,0.40,13.14,,,
Sep,10,24.50,0.26,0.26,60,1174,18.00,0.28,7.68,,,
Sep,10,25.00,0.16,0.15,50,712,18.20,0.20,4.73,,,
Sep,10,25.50,0.10,0.09,4,292,18.20,0.13,2.81,,,
Oct,10,23.00,1.35,1.35,18,488,23.00,0.62,18.32,,,
Oct,10,23.50,1.03,1.00,42,312,21.70,0.54,18.32,,,
Oct,10,24.00,0.76,0.70,1,662,20.80,0.46,13.52,,,
Oct,10,24.50,0.55,0.54,9,337,20.10,0.38,9.69,,,
Oct,10,25.00,0.39,0.36,8,209,19.70,0.30,6.85,,,
Dec,10,23.00,1.49,1.14,10,742,22.70,0.63,12.72,,,
Dec,10,24.00,1.00,0.99,1,576,22.50,0.51,10.92,,,
Dec,10,25.00,0.58,0.58,5,743,21.00,0.39,6.36,,,
Dec,10,25.50,0.46,0.50,1,335,21.00,0.33,5.00,,,
Mar,11,26.00,0.90,0.75,2,293,24.40,0.39,5.99,,,
Jun,11,25.00,1.46,1.45,7,155,24.60,0.52,6.99,,,
Jun,11,27.00,0.80,0.78,2,3,23.20,0.37,3.82,,,
Dec,11,27.00,1.42,1.40,1,26,25.90,0.50,4.36,,,
Dec,12,15.00,8.71,8.62,11,145,30.50,0.94,0.70,,,
Dec,13,23.00,4.30,-,10,-,27.80,0.78,5.05,,,
ASX Ltd Last Sale Price $29.15,,,,,,,,,,,,
Aug,10,29.50,0.42,0.41,6,150,18.30,0.44,21.29,,,
Aug,10,30.00,0.20,0.19,34,141,16.30,0.28,10.27,,,
Aug,10,30.50,0.16,0.22,4,45,19.30,0.21,8.01,,,
Sep,10,28.50,1.09,1.02,1,7,19.70,0.67,10.40,,,
Sep,10,29.50,0.51,0.49,15,50,18.10,0.49,11.93,,,
Sep,10,30.50,0.16,0.14,19,1,16.20,0.28,3.66,,,
Alumina Ltd Last Sale Price $1.60,,,,,,,,,,,,
Aug,10,1.50,0.12,0.12,145,1515,30.60,0.81,18.31,,,
Aug,10,1.60,0.05,0.05,524,3418,30.70,0.52,45.77,,,
Aug,10,1.70,0.01,0.02,488,1000,28.70,0.22,13.73,,,
Sep,10,1.50,0.14,0.13,54,719,32.20,0.74,19.43,,,
Sep,10,1.60,0.07,0.08,64,1423,30.10,0.54,32.38,,,
Sep,10,1.70,0.04,0.04,157,1675,31.50,0.34,17.27,,,
Oct,10,1.70,0.07,0.07,26,253,33.10,0.41,18.20,,,
Oct,10,1.80,0.04,0.04,68,215,32.90,0.28,10.40,,,
Dec,10,2.05,0.04,0.04,50,613,36.90,0.19,5.56,,,
AXA Asia Pacific Last Sale Price $5.46,,,,,,,,,,,,
Aug,10,5.75,0.05,0.05,60,282,30.20,0.28,13.37,,,
Sep,10,5.50,0.20,0.20,15,306,30.00,0.53,25.23,,,
Sep,10,5.75,0.13,0.11,16,655,31.60,0.38,15.77,,,
BHP Billiton Ltd Last Sale Price $40.30,,,,,,,,,,,,
Aug,10,35.00,5.42,5.38,2,182,28.20,0.98,4.53,,,
Aug,10,38.00,2.70,2.60,39,835,27.50,0.82,14.49,,,
Aug,10,38.01,2.54,1.60,1,4,21.10,0.88,8.88,,,
Aug,10,38.50,2.28,2.18,20,846,26.30,0.78,17.39,,,
Aug,10,39.00,1.87,1.83,383,1599,24.80,0.73,20.47,,,
Aug,10,39.50,1.50,1.44,26,1224,23.90,0.66,25.36,,,
Aug,10,40.00,1.17,1.10,512,2687,22.90,0.59,31.34,,,
Aug,10,40.50,0.87,0.80,287,1556,22.00,0.50,31.52,,,
Aug,10,40.51,0.86,0.82,1,235,21.90,0.50,31.16,,,
Aug,10,41.00,0.60,0.60,209,1600,20.80,0.41,21.92,,,
Aug,10,41.01,0.61,0.55,2,58,21.00,0.41,22.10,,,
Aug,10,41.50,0.42,0.39,84,1316,20.40,0.32,15.22,,,
Aug,10,42.00,0.27,0.27,182,2108,19.70,0.24,9.60,,,
Aug,10,42.50,0.19,0.17,318,497,20.00,0.17,6.70,,,
Aug,10,43.00,0.11,0.10,79,865,19.60,0.12,3.99,,,
Aug,10,43.50,0.07,0.07,5,428,19.40,0.08,2.35,,,
Aug,10,44.00,0.04,0.05,20,862,20.10,0.05,1.63,,,
Aug,10,44.50,0.04,0.04,82,87,22.10,0.05,1.63,,,
Sep,10,28.00,12.41,-,60,43,46.10,0.99,1.88,,,
Sep,10,35.00,5.61,5.83,2,375,33.30,0.89,5.30,,,
Sep,10,38.50,2.57,2.47,35,308,26.40,0.72,13.16,,,
Sep,10,39.00,2.21,2.10,13,544,25.80,0.68,15.55,,,
Sep,10,39.50,1.87,1.78,1,227,24.90,0.64,18.20,,,
Sep,10,40.00,1.54,1.49,19,1197,24.20,0.59,21.28,,,
Sep,10,40.50,1.26,1.20,29,260,23.50,0.53,21.53,,,
Sep,10,41.00,1.01,1.00,100,2222,22.90,0.48,17.35,,,
Sep,10,41.50,0.77,0.75,47,1160,21.90,0.42,13.16,,,
Sep,10,42.00,0.59,0.56,128,1848,21.50,0.36,10.17,,,
Sep,10,42.50,0.45,0.43,35,298,21.20,0.30,7.69,,,
Sep,10,43.00,0.34,0.32,5,1198,21.10,0.25,5.90,,,
Sep,10,43.50,0.29,0.27,12,310,21.90,0.22,5.04,,,
Sep,10,48.00,0.02,0.03,1,394,22.30,0.03,0.34,,,
Oct,10,39.50,2.33,2.25,1,47,25.00,0.63,15.75,,,
Oct,10,40.00,2.04,2.05,15,315,24.70,0.59,17.91,,,
Oct,10,41.00,1.49,1.46,50,163,23.40,0.51,15.34,,,
Oct,10,41.50,1.26,1.22,7,342,23.00,0.47,13.02,,,
Oct,10,42.00,1.06,1.00,13,690,22.50,0.42,10.91,,,
Oct,10,43.00,0.71,0.68,2,141,21.60,0.33,7.31,,,
Oct,10,44.00,0.47,0.45,10,368,21.40,0.26,4.89,,,
Oct,10,45.00,0.28,0.26,20,79,20.40,0.18,2.83,,,
Nov,10,43.00,1.11,1.06,14,27,23.40,0.39,8.67,,,
Dec,10,30.00,10.68,10.55,1,173,35.40,0.94,2.39,,,
Dec,10,38.00,4.15,4.28,1,2057,28.10,0.71,11.64,,,
Dec,10,39.00,3.52,3.44,20,812,27.50,0.66,13.99,,,
Dec,10,40.00,2.96,2.73,30,774,27.00,0.60,16.70,,,
Dec,10,42.00,1.88,1.83,2,975,24.90,0.48,11.82,,,
Dec,10,43.00,1.47,1.40,11,152,24.20,0.42,9.25,,,
Dec,10,44.00,1.12,1.10,4,652,23.50,0.36,7.01,,,
Dec,10,45.00,0.82,0.80,36,1039,22.80,0.29,5.19,,,
Dec,10,47.00,0.44,0.42,1,264,22.20,0.19,2.74,,,
Mar,11,50.00,0.60,0.52,1,81,23.90,0.20,2.31,,,
Jun,11,34.00,8.38,8.32,1,2,31.80,0.81,5.79,,,
Jun,11,44.00,3.05,2.29,2,137,28.90,0.50,8.47,,,
Jun,11,46.00,2.46,2.00,2,22,28.90,0.44,6.83,,,
Dec,11,38.00,7.09,7.15,2,105,31.10,0.71,8.55,,,
Dec,12,43.00,6.59,6.50,1,159,29.40,0.65,6.85,,,
Dec,13,50.00,6.03,5.50,3,5,29.40,0.58,4.41,,,
Dec,13,56.00,4.30,4.25,2,109,28.00,0.47,3.15,,,
Boral Ltd Last Sale Price $4.33,,,,,,,,,,,,
Aug,10,4.43,0.10,0.09,30,134,33.20,0.43,33.72,,,
Sep,10,4.43,0.14,0.13,14,-,29.20,0.47,21.47,,,
Sep,10,4.67,0.06,0.06,25,23,28.20,0.28,9.54,,,
BlueScope Steel Last Sale Price $2.42,,,,,,,,,,,,
Aug,10,2.25,0.20,0.19,5,1501,35.20,0.81,18.10,,,
Aug,10,2.50,0.04,0.04,77,3102,30.20,0.37,27.15,,,
Sep,10,2.44,0.11,0.13,8,322,30.60,0.52,31.30,,,
Sep,10,2.63,0.04,0.04,61,1208,30.10,0.27,12.81,,,
Oct,10,2.63,0.08,0.07,58,163,30.90,0.35,13.71,,,
Nov,10,2.63,0.11,0.11,130,99,31.40,0.39,13.65,,,
Dec,10,2.44,0.20,0.20,7,244,32.00,0.57,21.47,,,
Dec,10,2.81,0.10,0.07,3,199,34.50,0.32,9.95,,,
Brambles Ltd Last Sale Price $5.45,,,,,,,,,,,,
Aug,10,5.25,0.32,0.31,20,111,35.30,0.69,32.15,,,
Aug,10,5.50,0.17,0.16,44,145,32.30,0.49,44.20,,,
Aug,10,5.75,0.08,0.07,50,695,33.10,0.29,21.43,,,
Aug,10,6.00,0.04,0.04,46,2055,35.50,0.17,10.72,,,
Oct,10,5.50,0.28,0.28,9,7,31.30,0.54,21.31,,,
C'wlth Bank  of Aust  Last Sale Price $53.41,,,,,,,,,,,,
Aug,10,50.00,3.60,3.10,10,455,24.10,0.88,5.19,,,
Aug,10,51.00,2.62,2.67,12,616,19.80,0.84,5.74,,,
Aug,10,51.01,1.72,1.77,8,336,19.50,0.85,-,,,
