Derivatives: Call Options - daily trades,,,,,,,,,,,,,,,,,,,,
Thursday, August 18, 2011.,,,,,,,,,,,,,,,,,,,,
"XAO 4319.4 at 2011-08-18T16:36:09. Report at Thursday, August 18, 2011. Processed Friday at 2011-08-19T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS,
AGL Energy Last Sale Price $14.22,
Aug,11,13.00,1.24,1.23,50,475,28.80,.99,4.81,,
Aug,11,14.50,.07,.08,100,2253,22.30,.28,24.06,,
Sep,11,14.00,.41,.42,10,869,19.60,.64,11.64,,
Oct,11,14.00,.50,.43,10,50,19.10,.64,10.12,,
Nov,11,14.50,.36,.38,100,200,18.30,.50,9.33,,
Mar,12,13.00,1.53,.86,50,80,18.20,.83,3.54,,
Jun,12,14.00,1.01,-,50,-,18.20,.68,6.46,,
,
Asciano Last Sale Price $1.59,
Aug,11,1.70,.01,.03,70,11199,38.80,.12,14.35,,
,
Amcor Last Sale Price $6.64,
Aug,11,6.75,.09,.07,50,240,36.60,.39,61.84,,
Sep,11,6.50,.29,.27,200,2590,29.80,.63,19.18,,
Sep,11,7.25,.03,.03,10,5399,26.00,.19,3.84,,
Nov,11,7.25,.10,.09,29,96,23.40,.30,5.27,,
,
AMP Last Sale Price $4.26,
Aug,11,4.00,.28,.33,10,1190,39.80,.88,21.42,,
Aug,11,4.25,.08,.07,820,4535,31.20,.54,74.97,,
Aug,11,4.39,.04,.04,500,1103,36.30,.29,42.84,,
Aug,11,4.50,.02,.03,130,5610,38.90,.17,21.42,,
Aug,11,4.75,.00,.01,400,13697,39.40,.03,2.14,,
Sep,11,3.75,.53,.50,60,720,35.30,.88,3.99,,
Sep,11,4.00,.30,.36,60,2286,30.90,.76,8.97,,
Sep,11,4.25,.13,.13,970,4808,28.20,.56,23.91,,
Sep,11,4.39,.07,.10,1000,567,28.30,.42,14.94,,
Sep,11,4.50,.05,.05,476,3121,29.10,.33,9.96,,
Sep,11,4.75,.02,.03,100,6475,30.80,.18,3.99,,
Sep,11,5.75,-,.00,110,5680,34.70,-,.40,,
Oct,11,4.25,.17,.20,175,2480,29.60,.57,19.91,,
Oct,11,4.50,.08,.07,124,3329,28.10,.38,9.65,,
Oct,11,4.75,.04,.05,358,100,28.80,.24,4.83,,
Nov,11,4.50,.12,.12,36,5060,28.30,.42,10.39,,
Dec,11,4.00,.38,-,100,1600,29.70,.71,8.10,,
Dec,11,4.50,.15,.19,500,2626,28.00,.45,10.12,,
Dec,11,4.73,.10,.12,457,-,28.20,.33,6.41,,
Dec,11,4.75,.09,.11,190,2045,28.00,.32,6.07,,
Dec,11,5.50,.02,.12,60,1550,29.20,.10,1.35,,
Mar,12,4.25,.32,.24,100,1094,28.20,.61,11.80,,
Mar,12,4.50,.22,.26,350,100,27.50,.51,8.19,,
Mar,12,5.25,.07,.07,50,840,27.50,.24,2.48,,
Jun,12,3.50,.87,.90,150,-,35.90,.82,2.98,,
Jun,12,4.50,.28,.23,60,950,28.50,.55,7.73,,
Dec,12,4.50,.39,.34,100,953,30.60,.60,6.72,,
,
ANZ Banking Grp Last Sale Price $20.42,
Aug,11,18.50,2.00,1.85,30,1549,55.20,.91,18.99,,
Aug,11,19.50,1.06,1.16,30,1524,41.10,.80,32.40,,
Aug,11,20.00,.67,.65,292,6392,36.60,.68,54.74,,
Aug,11,20.50,.33,.30,688,6251,31.20,.48,72.62,,
Aug,11,21.00,.12,.11,1957,10462,28.50,.25,26.81,,
Aug,11,21.50,.04,.04,425,7651,29.30,.11,10.05,,
Aug,11,22.00,.03,.03,45,7915,33.40,.06,5.59,,
Aug,11,23.00,.00,.02,50,7567,34.30,-,.45,,
Aug,11,25.50,-,.01,30,1150,36.30,-,3.35,,
Sep,11,19.00,1.86,1.74,90,734,33.80,.77,18.29,,
Sep,11,20.00,1.07,1.05,62,3560,28.50,.63,27.02,,
Sep,11,20.50,.73,.71,608,2031,26.00,.53,30.55,,
Sep,11,21.00,.47,.41,909,8685,24.10,.41,19.54,,
Sep,11,21.50,.26,.24,661,7476,22.20,.29,10.81,,
Sep,11,21.51,.26,.24,30,120,22.40,.29,10.81,,
Sep,11,22.00,.14,.14,1358,9084,21.60,.19,6.03,,
Sep,11,22.50,.07,.07,416,7598,20.80,.11,2.91,,
Oct,11,20.00,1.29,1.28,74,1530,27.40,.63,22.03,,
Oct,11,21.50,.49,.62,30,2597,23.50,.37,12.34,,
Oct,11,22.00,.31,.30,50,1478,22.20,.27,7.80,,
Oct,11,22.01,.33,.30,20,142,22.80,.28,8.18,,
Oct,11,23.00,.12,.18,178,2599,21.10,.13,2.90,,
Oct,11,23.50,.07,.07,178,5094,21.20,.09,1.89,,
Nov,11,21.01,.58,.58,20,4,25.10,.49,10.56,,
Nov,11,22.00,.43,.41,20,638,24.40,.34,7.76,,
Nov,11,22.01,.28,.27,166,-,23.40,.33,5.06,,
Nov,11,22.50,.28,.40,30,231,23.00,.27,4.97,,
Dec,11,21.00,.91,.91,10,1380,26.20,.51,12.81,,
Dec,11,22.01,.45,.44,10,905,24.90,.38,6.33,,
Dec,11,23.00,.28,.27,100,8391,24.30,.27,3.94,,
Dec,11,24.50,.10,.15,30,3821,23.70,.14,1.41,,
Mar,12,21.00,1.31,1.30,100,409,26.50,.56,10.45,,
Mar,12,23.00,.60,.64,50,1173,24.50,.37,4.77,,
Jun,12,25.00,.38,.37,10,100,24.10,.29,2.12,,
Dec,12,16.00,5.07,5.05,5,3110,36.10,.87,2.35,,
,
ASX Last Sale Price $29.40,
Aug,11,29.50,.47,.69,91,603,30.60,.49,72.16,,
Aug,11,30.00,.26,.28,60,723,29.70,.33,39.57,,
Aug,11,30.50,.12,.12,90,3350,28.60,.19,18.62,,
Aug,11,31.00,.06,.07,47,3563,29.80,.11,9.31,,
Sep,11,28.50,1.19,1.20,42,640,23.90,.69,8.37,,
Sep,11,29.00,.91,.95,16,3,24.90,.61,14.58,,
Sep,11,29.50,.63,.65,100,130,23.70,.53,18.05,,
Sep,11,30.00,.46,.52,40,213,24.20,.45,13.28,,
Oct,11,28.00,1.69,1.19,200,240,23.60,.74,4.98,,
Oct,11,31.00,.34,.51,200,180,21.50,.35,5.95,,
Dec,11,32.00,.36,.40,40,2147,19.40,.31,3.52,,
Mar,12,35.00,.14,.16,30,-,17.80,.18,.80,,
,
Alumina Last Sale Price $1.80,
Aug,11,1.80,.07,.07,289,2239,64.10,.52,164.76,,
Aug,11,1.90,.03,.03,500,7347,59.30,.27,63.37,,
