Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4759.6 at 16:47 18/11/2009  Report at 19:06 Wednesday 18/11/2009. Processed 16:47 Thursday 19/11/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.00,,,,,,,,,,,,
Dec,09,13.00,0.04,0.05,4,200,22.50,-0.10,3.91,,,
Dec,09,13.50,0.13,0.14,8,393,21.40,-0.24,11.30,,,
Dec,09,14.00,0.30,0.30,25,705,20.30,-0.46,26.51,,,
Jan,10,12.50,0.07,-,62,10,22.70,-0.10,2.72,,,
Jan,10,13.50,0.24,0.26,62,72,19.80,-0.29,8.69,,,
Mar,10,13.50,0.50,0.62,10,66,21.40,-0.32,10.08,,,
Mar,10,14.00,0.77,0.89,15,70,22.50,-0.43,15.68,,,
Amcor Ltd Last Sale Price $5.61,,,,,,,,,,,,
Nov,09,5.72,0.14,0.10,5,5,23.30,-0.70,25.30
Dec,09,5.49,0.10,0.12,15,125,25.30,-0.35,21.69
Dec,09,5.72,0.21,0.20,15,72,24.20,-0.58,21.69
Jan,10,5.72,0.28,0.22,10,-,24.00,-0.53,15.36
Mar,10,5.26,0.21,0.23,5,97,25.70,-0.27,10.67
Mar,10,5.49,0.30,0.33,30,1,24.50,-0.37,15.50
Mar,10,5.72,0.44,0.45,27,252,25.00,-0.49,16.77
AMP Ltd Last Sale Price $6.38,,,,,,,,,
Nov,09,5.50,-,0.01,40,755,36.60,-,3.18
Nov,09,6.00,0.02,0.03,5,616,36.60,-0.12,12.71
Nov,09,6.25,0.09,0.08,305,1082,37.80,-0.34,54.03
Nov,09,6.50,0.20,0.26,8,292,33.90,-0.63,47.68
Dec,09,6.00,0.11,0.11,73,431,36.40,-0.24,20.02
Dec,09,6.25,0.20,0.21,50,837,36.60,-0.39,37.19
Dec,09,6.50,0.30,0.29,93,433,33.50,-0.55,34.33
Jan,10,5.00,0.04,-,20,226,40.20,-0.06,2.78
Jan,10,5.25,0.06,-,10,175,38.30,-0.10,4.37
Jan,10,6.00,0.20,0.25,8,126,34.70,-0.29,16.29
Jan,10,6.75,0.56,0.42,8,50,32.40,-0.61,15.10
Feb,10,6.00,0.32,0.33,40,24,39.60,-0.32,18.31
Feb,10,6.25,0.42,0.43,40,105,39.30,-0.40,24.31
Mar,10,6.25,0.48,0.50,5,182,35.10,-0.39,21.68
Mar,10,6.50,0.62,0.61,3,274,35.00,-0.47,22.35
Jun,10,5.29,0.25,0.25,10,303,36.90,-0.18,6.53
Sep,10,5.50,0.44,0.42,21,153,37.00,-0.24,8.12
ANZ Banking Grp Last Sale Price $22.16,,,,,,,,,
Nov,09,19.50,0.00,0.01,10,402,37.40,-,0.73
Nov,09,21.00,0.05,0.05,36,366,29.60,-0.10,9.15
Nov,09,21.50,0.14,0.16,371,438,30.40,-0.24,26.54
Nov,09,22.00,0.29,0.28,120,656,28.80,-0.41,53.99
Nov,09,22.50,0.54,0.64,23,771,26.70,-0.63,36.60
Nov,09,23.00,0.92,0.94,51,617,27.10,-0.82,13.73
Nov,09,23.50,1.36,1.68,20,199,26.50,-0.94,2.75
Nov,09,24.00,1.85,1.87,78,160,31.70,-0.97,1.83
Nov,09,24.50,2.35,2.38,10,42,34.20,-1.00,0.92
Dec,09,18.00,0.02,0.01,150,143,38.00,-0.02,1.10
Dec,09,18.50,0.02,0.03,150,53,34.20,-0.02,1.10
Dec,09,20.00,0.08,0.12,31,806,28.80,-0.09,4.39
Dec,09,20.50,0.16,0.17,1,230,29.80,-0.15,8.78
Dec,09,21.00,0.25,0.25,13,348,28.30,-0.22,13.45
Dec,09,21.50,0.37,0.41,24,625,27.30,-0.31,20.31
Dec,09,22.00,0.57,0.59,40,857,27.30,-0.43,31.57
Dec,09,22.50,0.82,0.96,76,393,26.70,-0.55,26.35
Dec,09,23.00,1.12,1.18,35,385,25.60,-0.67,15.37
Dec,09,23.50,1.49,1.58,34,194,25.40,-0.78,8.24
Dec,09,24.00,1.91,1.92,41,146,25.20,-0.88,3.84
Dec,09,24.50,2.38,1.68,45,123,26.50,-0.93,2.20
Dec,09,25.00,2.85,2.12,32,86,26.10,-1.00,0.55
Dec,09,27.50,5.34,5.51,1,40,26.10,-1.00,-
Jan,10,20.50,0.34,0.39,2,386,26.30,-0.21,7.66
Jan,10,21.00,0.47,0.52,51,462,26.30,-0.27,10.87
Jan,10,21.50,0.64,0.64,1,26,25.80,-0.34,14.53
Jan,10,22.00,0.83,0.84,18,251,25.30,-0.42,19.10
Jan,10,22.50,1.07,1.10,15,114,24.60,-0.51,16.70
Jan,10,23.50,1.67,1.77,30,77,23.50,-0.69,7.43
Jan,10,24.00,2.03,2.02,6,84,23.10,-0.78,4.35
Jan,10,25.00,2.89,2.36,17,152,23.00,-0.93,1.14
Feb,10,22.50,1.30,1.33,7,54,26.70,-0.49,15.89
Mar,10,17.50,0.12,0.20,5,21,29.60,-0.06,1.48
Mar,10,19.00,0.32,0.39,2,97,29.40,-0.14,4.05
Mar,10,22.00,1.25,1.41,5,311,28.00,-0.42,16.02
Mar,10,23.50,2.02,1.70,19,171,26.40,-0.60,8.69
Mar,10,24.00,2.35,2.02,3,716,26.10,-0.66,6.50
Mar,10,25.00,3.09,3.15,15,206,25.70,-0.78,3.15
Mar,10,25.50,3.48,3.55,1,15,25.10,-0.85,1.87
Mar,10,28.00,5.84,5.83,9,9,25.10,-1.00,-
Apr,10,22.00,1.41,1.44,2,-,28.30,-0.41,14.25
Jun,10,14.00,0.13,3.77,400,68,38.10,-0.04,0.94
Jun,10,19.00,0.78,0.81,230,377,31.90,-0.19,5.87
Jun,10,21.00,1.42,1.46,2,298,30.10,-0.32,10.64
Jun,10,21.50,1.60,1.68,8,12,29.40,-0.36,12.03
Jun,10,22.00,1.81,1.84,6,195,28.80,-0.40,13.61
Jun,10,24.00,2.90,3.01,3,18,27.20,-0.59,7.97
Jun,10,28.00,6.04,6.07,13,179,27.20,-0.96,1.47
Jul,10,14.00,0.17,0.19,27,123,38.50,-0.04,1.13
Dec,10,12.00,0.22,0.22,52,14,40.50,-0.03,0.88
Dec,12,19.00,2.69,3.20,50,859,32.40,-0.26,3.92
ASX Ltd Last Sale Price $33.30,,,,,,,,,
Nov,09,33.00,0.28,0.22,34,95,21.40,-0.37,34.10
Nov,09,33.50,0.50,0.33,25,65,20.50,-0.56,36.54
Nov,09,34.50,1.25,0.75,1,32,21.40,-0.87,6.70
Dec,09,34.00,1.14,0.98,1,11,20.80,-0.61,15.89
Dec,09,34.50,1.47,0.94,1,6,20.30,-0.71,9.68
Jan,10,33.00,1.00,1.05,1,-,21.30,-0.41,15.22
Sep,10,35.50,4.82,-,1,1,28.00,-0.52,9.26
Alumina Ltd Last Sale Price $1.69,,,,,,,,,
Dec,09,1.56,0.04,0.06,12,292,47.10,-0.25,25.27
Dec,09,1.65,0.07,0.13,12,893,44.60,-0.40,46.93
Dec,09,1.85,0.19,0.18,3,725,42.90,-0.76,18.05
Jan,10,1.63,0.09,0.09,10,89,42.10,-0.37,27.08
Feb,10,1.54,0.08,0.09,6,61,43.50,-0.28,17.33
Mar,10,1.37,0.07,0.16,280,11,52.00,-0.19,11.00
Mar,10,1.54,0.12,0.11,140,275,50.20,-0.31,20.31
Apr,10,1.90,0.30,0.29,3,-,41.80,-0.60,11.96
Jun,10,1.60,0.18,0.17,70,45,46.90,-0.35,17.80
Sep,10,1.80,0.33,0.23,100,232,48.00,-0.45,15.02
AXA Asia Pacific Last Sale Price $5.92,,,,,,,,,
Dec,09,4.50,0.00,0.02,30,105,39.80,-,0.21
Jan,10,5.25,0.09,-,20,-,33.40,-0.17,7.28
Jan,10,6.00,0.33,-,20,-,28.80,-0.49,20.98
Sep,10,5.50,0.52,0.53,1,6,35.30,-0.31,10.34
Billabong Intl Last Sale Price $10.35,,,,,,,,,
Dec,09,9.78,0.24,0.27,15,375,42.70,-0.29,28.21
BHP Billiton Ltd Last Sale Price $40.60,,,,,,,,,
Nov,09,34.50,0.01,0.04,8,427,44.20,-,0.50
Nov,09,35.00,0.01,0.02,7,1099,44.00,-,0.90
Nov,09,36.00,0.03,0.03,27,1794,43.60,-0.03,3.00
Nov,09,36.50,0.04,0.01,16,782,41.70,-0.04,4.00
Nov,09,37.00,0.06,0.03,128,749,39.80,-0.05,5.49
Nov,09,37.50,0.07,0.07,26,808,37.90,-0.07,7.49
Nov,09,38.00,0.11,0.09,118,1908,36.00,-0.10,10.49
Nov,09,38.50,0.13,0.13,20,387,32.40,-0.12,12.49
Nov,09,39.00,0.20,0.18,176,475,32.30,-0.19,20.48
Nov,09,39.01,0.21,0.19,25,21,32.30,-0.19,20.98
Nov,09,39.50,0.30,0.25,47,678,30.90,-0.26,29.97
Nov,09,40.00,0.45,0.42,590,603,30.30,-0.35,44.95
Nov,09,40.50,0.64,0.60,151,149,29.10,-0.46,63.43
Nov,09,41.00,0.89,0.88,253,120,28.40,-0.57,48.45
Nov,09,41.50,1.21,0.84,47,26,28.30,-0.69,30.97
Dec,09,30.00,0.00,0.02,1,1144,38.40,-,-
