Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 17:58 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.07,,,,,,,,,,,,
Apr,10,15.00,0.19,0.19,116,291,14.50,-0.41,15.87,,,
May,10,15.00,0.27,0.28,5,62,14.20,-0.41,11.26,,,
Jun,10,12.50,0.02,0.02,1,57,22.50,-0.03,0.57,,,
Jun,10,15.50,0.57,0.59,10,10,13.60,-0.64,4.13,,,
Sep,10,14.50,0.40,0.39,5,20,16.20,-0.28,5.44,,,
Asciano Grp Last Sale Price $1.86,,,,,,,,,,,,
Apr,10,1.90,0.07,0.08,10,67,27.80,-0.58,23.68,,,
May,10,1.90,0.10,0.11,60,58,29.30,-0.53,20.66,,,
Amcor Ltd Last Sale Price $6.38,,,,,,,,,,,,
Apr,10,6.18,0.04,0.04,5,110,17.10,-0.22,7.89,,,
May,10,5.95,0.04,0.04,8,53,19.50,-0.15,4.01,,,
Sep,10,6.00,0.20,0.20,1,6,20.30,-0.25,6.34,,,
Sep,10,6.50,0.41,0.42,35,3,18.30,-0.49,9.26,,,
AMP Ltd Last Sale Price $6.26,,,,,,,,,,,,
Apr,10,5.75,0.02,0.02,24,513,24.70,-0.09,4.02,,,
Apr,10,6.00,0.03,0.04,6,434,17.60,-0.16,6.03,,,
Apr,10,6.25,0.10,0.10,21,852,15.70,-0.45,19.10,,,
May,10,6.00,0.07,0.07,10,514,19.80,-0.25,7.67,,,
May,10,6.25,0.16,0.15,15,225,18.60,-0.44,16.37,,,
Jun,10,6.02,0.13,0.11,10,239,20.80,-0.29,8.57,,,
Jun,10,6.26,0.20,0.21,5,105,19.30,-0.44,14.06,,,
Jul,10,6.00,0.15,0.14,5,42,20.80,-0.29,7.29,,,
Sep,10,6.00,0.26,0.25,60,209,22.10,-0.31,8.45,,,
ANZ Banking Grp Last Sale Price $25.29,,,,,,,,,,,,
Apr,10,21.00,0.00,0.01,2,398,26.50,-,0.15,,,
Apr,10,22.00,0.01,0.02,24,362,26.30,-0.02,0.75,,,
Apr,10,22.50,0.03,0.04,6,423,25.10,-0.04,1.49,,,
Apr,10,23.00,0.04,0.06,19,388,23.60,-0.06,2.24,,,
Apr,10,23.50,0.07,0.09,28,275,21.40,-0.09,3.23,,,
Apr,10,24.00,0.12,0.15,31,897,20.20,-0.15,5.97,,,
Apr,10,24.50,0.20,0.24,205,525,19.00,-0.24,9.95,,,
Apr,10,25.00,0.34,0.39,204,685,18.20,-0.37,17.17,,,
Apr,10,25.50,0.56,0.64,27,206,17.30,-0.53,17.42,,,
Apr,10,26.00,0.89,0.97,21,143,17.70,-0.69,8.96,,,
May,10,23.50,0.32,0.36,652,312,22.70,-0.17,7.98,,,
May,10,24.00,0.43,0.50,8,733,21.70,-0.23,10.89,,,
May,10,24.50,0.58,0.65,5,162,20.60,-0.30,14.69,,,
May,10,25.50,1.10,1.11,1,74,20.40,-0.50,22.41,,,
May,10,25.51,1.06,1.15,6,-,19.80,-0.50,21.27,,,
Jun,10,19.00,0.01,0.13,6,463,26.90,-,0.25,,,
Jun,10,19.50,0.03,0.14,6,566,26.80,-0.01,0.42,,,
Jun,10,21.00,0.11,0.10,19,338,26.50,-0.05,1.87,,,
Jun,10,22.00,0.19,0.20,47,1997,24.90,-0.09,3.23,,,
Jun,10,23.00,0.34,0.31,16,827,23.30,-0.16,5.77,,,
Jun,10,23.50,0.45,0.42,56,103,22.60,-0.20,7.64,,,
Jun,10,24.00,0.59,0.59,28,121,22.20,-0.26,10.10,,,
Jun,10,24.50,0.78,0.73,1,238,21.70,-0.32,13.16,,,
Jun,10,25.01,0.98,0.90,3,15,21.30,-0.40,16.64,,,
Jun,10,25.50,1.26,1.27,3,73,21.20,-0.48,17.91,,,
Jun,10,26.00,1.56,1.53,2,291,20.60,-0.56,14.43,,,
Jun,10,27.00,2.31,5.20,12,62,20.50,-0.73,10.10,,,
Sep,10,23.00,0.72,0.77,1,43,24.60,-0.22,5.90,,,
Sep,10,25.00,1.43,1.50,8,239,22.90,-0.39,11.73,,,
Dec,10,22.50,1.00,1.02,3,145,25.40,-0.21,5.43,,,
Dec,10,25.00,1.95,1.81,150,436,23.60,-0.39,10.51,,,
Dec,10,26.00,2.48,5.50,12,43,23.20,-0.47,9.54,,,
Jun,11,25.00,2.50,2.39,150,16,24.20,-0.35,8.04,,,
Dec,11,19.00,0.66,0.99,20,110,24.30,-0.08,1.50,,,
Dec,12,18.00,1.38,1.37,2,286,30.90,-0.12,1.99,,,
Dec,12,20.00,1.75,3.05,30,249,28.30,-0.18,2.53,,,
Dec,12,22.00,2.35,3.98,30,170,27.00,-0.21,3.40,,,
Dec,13,25.00,4.01,4.00,2,15,26.10,-0.33,4.26,,,
ASX Ltd Last Sale Price $33.89,,,,,,,,,,,,
Apr,10,33.00,0.24,0.32,61,108,16.40,-0.24,8.91,,,
Apr,10,33.50,0.39,0.48,32,123,16.10,-0.36,14.48,,,
Apr,10,34.00,0.61,0.65,10,91,16.00,-0.49,18.57,,,
Apr,10,35.00,1.24,1.43,5,63,15.10,-0.78,4.64,,,
Apr,10,36.00,2.12,0.85,1,42,15.10,-1.00,0.19,,,
May,10,33.00,0.50,0.54,19,35,17.90,-0.30,9.35,,,
May,10,33.50,0.66,0.72,4,35,17.40,-0.38,12.47,,,
May,10,34.00,0.91,0.95,1,66,17.80,-0.47,15.12,,,
May,10,34.50,1.16,1.18,1,79,17.40,-0.56,10.39,,,
Jun,10,30.00,0.17,0.05,3,23,21.70,-0.09,2.09,,,
Jun,10,31.50,0.38,0.42,2,-,20.80,-0.18,4.75,,,
Jun,10,32.00,0.47,0.55,3,100,20.30,-0.23,5.96,,,
Jun,10,34.00,1.13,1.23,1,120,18.60,-0.46,12.86,,,
Jul,10,33.00,0.93,0.93,2,39,19.70,-0.34,8.35,,,
Sep,10,36.00,3.05,4.75,1,5,18.90,-0.64,5.75,,,
Dec,10,34.00,2.29,2.36,5,30,20.80,-0.42,8.81,,,
Mar,11,36.50,4.19,4.38,1,-,20.50,-0.59,4.75,,,
Dec,12,34.50,4.91,4.95,2,-,23.50,-0.41,4.65,,,
Alumina Ltd Last Sale Price $1.76,,,,,,,,,,,,
Apr,10,1.60,0.03,0.01,450,940,43.40,-0.18,17.83,,,
Apr,10,1.70,0.05,0.05,60,771,41.80,-0.34,35.65,,,
Apr,10,1.80,0.10,0.10,245,355,42.50,-0.53,46.35,,,
Apr,10,2.17,0.42,0.39,150,27,61.80,-0.87,10.70,,,
May,10,1.70,0.07,0.06,66,330,40.10,-0.36,27.21,,,
May,10,1.80,0.13,0.13,103,89,40.20,-0.50,32.65,,,
Jun,10,1.60,0.06,0.06,20,665,39.80,-0.25,14.60,,,
Jul,10,1.70,0.11,0.11,100,-,38.70,-0.36,18.96,,,
Sep,10,1.80,0.19,0.23,72,347,38.60,-0.45,18.21,,,
AXA Asia Pacific Last Sale Price $6.34,,,,,,,,,,,,
Sep,10,5.50,0.03,0.04,100,169,15.40,-0.05,0.82,,,
Sep,10,6.00,0.11,0.12,23,85,15.30,-0.22,3.60,,,
BHP Billiton Ltd Last Sale Price $43.95,,,,,,,,,,,,
Apr,10,36.50,0.04,0.06,15,296,35.10,-0.02,1.15,,,
Apr,10,37.00,0.04,0.05,80,429,34.00,-0.03,1.29,,,
Apr,10,37.50,0.05,0.05,15,401,32.40,-0.03,1.43,,,
Apr,10,38.00,0.06,0.07,134,978,30.60,-0.04,1.58,,,
Apr,10,39.00,0.07,0.09,72,825,27.60,-0.05,2.15,,,
Apr,10,39.50,0.10,0.11,63,366,27.20,-0.07,2.86,,,
Apr,10,40.00,0.13,0.14,4,1418,26.10,-0.08,3.58,,,
Apr,10,40.50,0.16,0.18,2,395,24.90,-0.10,4.44,,,
Apr,10,41.00,0.20,0.21,31,1017,23.90,-0.13,5.58,,,
Apr,10,41.50,0.25,0.27,202,1130,22.80,-0.16,7.02,,,
Apr,10,42.00,0.30,0.36,40,2881,21.60,-0.20,8.73,,,
Apr,10,42.01,0.30,0.35,12,24,21.60,-0.20,8.73,,,
Apr,10,42.50,0.41,0.42,97,1907,21.10,-0.25,11.74,,,
Apr,10,43.00,0.52,0.58,440,1778,20.10,-0.31,14.89,,,
Apr,10,43.50,0.68,0.76,131,1477,19.40,-0.39,19.47,,,
Apr,10,44.00,0.89,0.92,150,674,18.90,-0.47,23.91,,,
Apr,10,44.50,1.15,1.25,12,246,18.60,-0.56,17.04,,,
Apr,10,45.00,1.45,1.53,2,74,18.20,-0.66,11.31,,,
May,10,33.00,0.05,0.27,5,19,37.60,-0.02,0.73,,,
May,10,34.00,0.07,0.69,5,211,35.90,-0.03,0.95,,,
May,10,35.00,0.07,0.09,10,482,33.50,-0.03,1.09,,,
May,10,37.00,0.14,0.11,10,1078,30.10,-0.06,1.97,,,
May,10,38.50,0.21,0.34,2,101,27.70,-0.09,3.06,,,
May,10,39.00,0.26,0.22,4,255,27.00,-0.10,3.72,,,
May,10,40.00,0.35,0.38,18,673,25.70,-0.14,5.17,,,
May,10,41.00,0.50,0.51,2,536,24.40,-0.20,7.28,,,
May,10,41.50,0.58,0.62,1,330,23.60,-0.23,8.45,,,
May,10,42.00,0.69,0.74,100,658,22.90,-0.26,9.98,,,
May,10,42.50,0.81,0.84,31,2481,22.40,-0.30,11.80,,,
May,10,43.00,0.97,0.98,53,289,21.90,-0.35,14.13,,,
May,10,43.50,1.14,1.20,8,469,21.30,-0.40,16.54,,,
May,10,44.00,1.35,1.46,4,490,21.00,-0.46,18.87,,,
May,10,44.50,1.59,1.70,1,43,20.70,-0.52,15.15,,,
Jun,10,36.00,0.20,0.20,5,454,30.60,-0.06,1.95,,,
Jun,10,39.00,0.44,0.48,44,2140,26.70,-0.14,4.30,,,
Jun,10,39.50,0.51,0.55,54,163,26.40,-0.16,4.98,,,
Jun,10,40.00,0.60,0.64,1,2187,26.00,-0.18,5.86,,,
Jun,10,41.50,0.91,0.93,1,615,24.60,-0.26,8.84,,,
Jun,10,44.00,1.75,1.74,300,456,22.70,-0.45,16.56,,,
Jul,10,43.00,1.75,1.77,2,30,24.60,-0.37,12.15,,,
Jul,10,44.00,2.15,2.15,11,-,24.00,-0.44,14.57,,,
Aug,10,39.50,1.06,1.41,1,12,28.20,-0.21,5.98,,,
Sep,10,29.00,0.16,0.16,4,395,36.10,-0.03,0.73,,,
Sep,10,45.00,3.27,3.35,16,73,24.40,-0.49,10.45,,,
Dec,10,29.00,0.39,0.39,1,95,36.40,-0.05,1.21,,,
Dec,10,36.00,1.06,1.11,2,430,29.80,-0.15,3.30,,,
Dec,10,42.00,2.54,2.45,1,202,26.10,-0.33,7.90,,,
Mar,11,43.50,3.74,3.77,24,-,26.40,-0.38,8.68,,,
Jun,11,34.00,1.53,1.61,44,17,31.90,-0.14,2.84,,,
Jun,11,36.00,1.95,3.53,39,7,30.80,-0.16,3.60,,,
Jun,11,38.00,2.42,6.54,5,2,29.70,-0.22,4.47,,,
Dec,11,42.00,4.51,5.95,1,236,28.40,-0.32,5.94,,,
Boral Ltd Last Sale Price $5.62,,,,,,,,,,,,
Aug,10,5.75,0.40,0.41,1,-,25.10,-0.49,11.85,,,
BlueScope Steel Last Sale Price $2.96,,,,,,,,,,,,
Apr,10,2.50,0.01,0.01,15,617,37.50,-0.04,2.55,,,
Apr,10,2.75,0.02,0.03,15,1542,28.90,-0.16,8.50,,,
Apr,10,3.00,0.11,0.11,88,1220,26.60,-0.54,27.64,,,
May,10,2.75,0.04,0.05,10,172,28.70,-0.22,9.74,,,
May,10,3.00,0.14,0.14,45,529,26.90,-0.51,20.55,,,
Jun,10,3.00,0.17,0.17,76,855,28.50,-0.49,18.86,,,
Sep,10,2.81,0.18,0.17,25,156,34.00,-0.33,12.61,,,
Dec,10,2.81,0.23,0.23,1,111,35.00,-0.34,10.85,,,
Brambles Ltd Last Sale Price $7.35,,,,,,,,,,,,
Apr,10,6.00,-,0.01,50,70,24.70,-,2.57,,,
Apr,10,6.50,0.01,0.02,50,489,24.40,-0.03,1.03,,,
Apr,10,7.50,0.25,0.28,25,116,20.80,-0.61,16.27,,,
Jun,10,6.81,0.13,0.13,10,101,25.90,-0.22,7.60,,,
Jun,10,7.05,0.20,0.22,1,1823,25.50,-0.31,11.68,,,
C'wlth Bank  of Aust  Last Sale Price $56.79,,,,,,,,,,,,
Apr,10,52.00,0.04,0.09,1,260,17.90,-0.03,0.78,,,
Apr,10,53.00,0.09,0.13,4,320,17.80,-0.07,1.88,,,
Apr,10,54.00,0.19,0.27,8,956,17.70,-0.13,4.21,,,
Apr,10,54.01,0.19,0.26,6,36,17.50,-0.13,4.10,,,
Apr,10,55.00,0.34,0.38,1,255,16.70,-0.21,7.54,,,
Apr,10,55.01,0.34,0.42,2,54,16.70,-0.21,7.42,,,
Apr,10,55.50,0.46,0.52,22,40,16.40,-0.27,10.08,,,
Apr,10,56.00,0.59,0.66,19,265,15.90,-0.34,13.19,,,
Apr,10,56.01,0.59,0.69,4,13,16.00,-0.34,13.08,,,
May,10,55.00,0.71,0.78,2,169,17.70,-0.27,8.06,,,
May,10,56.00,1.00,1.15,2,193,17.00,-0.36,11.33,,,
Jun,10,48.00,0.09,0.16,10,361,21.30,-0.03,0.68,,,
Jun,10,51.00,0.33,0.37,20,97,21.00,-0.11,2.50,,,
Jun,10,53.00,0.58,0.75,23,91,19.50,-0.18,4.39,,,
Jun,10,54.00,0.77,0.82,10,121,18.80,-0.23,5.82,,,
Jun,10,55.00,1.01,1.10,1,105,18.20,-0.30,7.64,,,
Jun,10,59.00,2.87,3.03,1,44,16.60,-0.66,4.95,,,
Jul,10,55.00,1.36,1.50,4,105,18.90,-0.31,7.28,,,
Sep,10,54.00,2.06,2.15,8,39,21.70,-0.29,7.52,,,
Sep,10,57.00,3.27,3.36,1,58,20.50,-0.43,11.17,,,
Dec,10,50.00,1.66,1.72,1,117,24.40,-0.19,4.00,,,
Dec,10,56.00,3.61,3.83,3,516,22.30,-0.38,8.68,,,
Dec,13,50.00,6.06,6.20,3,17,26.40,-0.25,2.87,,,
Computershare Ltd Last Sale Price $12.63,,,,,,,,,,,,
Apr,10,12.50,0.19,0.20,10,105,19.10,-0.39,18.93,,,
Sep,10,12.00,0.45,0.47,14,61,22.80,-0.30,7.31,,,
CSL Ltd Last Sale Price $36.20,,,,,,,,,,,,
Apr,10,34.00,0.13,0.15,4,424,21.00,-0.12,4.52,,,
Apr,10,34.50,0.20,0.22,8,66,20.50,-0.17,6.95,,,
Apr,10,35.00,0.29,0.35,9,211,19.70,-0.24,10.08,,,
Apr,10,35.50,0.42,0.41,1,76,19.20,-0.32,14.78,,,
Apr,10,36.00,0.61,0.72,5,313,18.80,-0.42,21.38,,,
Apr,10,36.50,0.84,0.94,5,39,18.30,-0.53,18.95,,,
May,10,33.50,0.26,0.26,5,23,21.60,-0.15,4.51,,,
May,10,34.00,0.35,0.39,13,27,21.60,-0.19,6.19,,,
May,10,34.50,0.46,0.48,2,34,21.20,-0.24,8.05,,,
May,10,36.50,1.15,1.14,4,98,19.30,-0.50,15.04,,,
Jun,10,33.00,0.32,0.93,10,110,21.80,-0.15,3.80,,,
Jun,10,34.00,0.53,0.42,10,342,21.80,-0.22,6.29,,,
Sep,10,37.00,2.28,2.22,17,103,20.80,-0.49,8.48,,,
CSR Ltd Last Sale Price $1.75,,,,,,,,,,,,
Apr,10,1.76,0.06,0.06,30,160,30.80,-0.48,39.44,,,
May,10,1.66,0.04,0.04,300,74,32.90,-0.29,16.42,,,
Jun,10,1.66,0.07,0.07,20,144,32.30,-0.31,15.90,,,
Jun,10,1.76,0.12,0.12,11,180,33.80,-0.45,28.14,,,
Jul,10,1.57,0.06,0.05,10,-,33.50,-0.22,9.53,,,
Jul,10,1.87,0.20,0.20,55,10,32.60,-0.58,13.87,,,
Dec,10,1.80,0.20,0.20,3,300,31.70,-0.45,12.07,,,
David Jones Ltd Last Sale Price $4.72,,,,,,,,,,,,
Apr,10,4.50,0.04,0.04,19,108,25.40,-0.22,12.00,,,
Apr,10,5.00,0.31,0.21,4,453,25.20,-0.79,8.00,,,
Sep,10,4.00,0.09,-,5,-,29.30,-0.15,3.73,,,
Sep,10,4.50,0.20,0.19,5,47,26.30,-0.32,8.79,,,
Foster's Grp Last Sale Price $5.30,,,,,,,,,,,,
May,10,5.25,0.08,0.11,45,2087,13.90,-0.37,9.67,,,
Jul,10,5.25,0.14,0.16,6,110,15.90,-0.39,8.03,,,
Aug,10,5.25,0.16,0.18,6,30,16.40,-0.39,7.45,,,
Sep,10,5.00,0.14,0.13,57,12,17.40,-0.23,5.28,,,
Sep,10,6.00,0.78,0.82,10,65,18.20,-0.94,3.13,,,
Dec,10,5.25,0.28,0.31,1,125,17.80,-0.38,7.35,,,
Dec,11,6.00,0.98,-,10,-,20.80,-0.64,3.11,,,
Fortescue Metals Grp Last Sale Price $4.97,,,,,,,,,,,,
Apr,10,4.75,0.07,0.08,64,222,30.20,-0.26,17.73,,,
Apr,10,5.00,0.17,0.19,13,118,30.60,-0.50,36.72,,,
May,10,4.75,0.16,0.16,32,42,35.30,-0.33,20.61,,,
Sep,10,4.50,0.28,0.51,36,80,40.10,-0.28,11.89,,,
Fairfax Media Ltd Last Sale Price $1.79,,,,,,,,,,,,
Dec,10,1.80,0.16,0.17,2,10,30.30,-0.41,11.80,,,
GPT Grp Last Sale Price $0.58,,,,,,,,,,,,
Jun,10,0.50,0.01,0.01,650,1074,29.60,-0.10,5.14,,,
Harvey Norman Last Sale Price $3.65,,,,,,,,,,,,
