Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:13 Tuesday 6/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.02,,,,,,,,,,,,
Apr,10,13.50,0.00,0.04,4,93,17.10,-,0.10,,,
Apr,10,15.00,0.19,0.22,10,289,14.10,-0.45,18.73,,,
Asciano Grp Last Sale Price $1.90,,,,,,,,,,,,
Apr,10,1.80,0.02,0.03,12,550,31.00,-0.23,16.05,,,
Jul,10,1.70,0.05,-,40,-,33.60,-0.23,8.37,,,
Jul,10,1.90,0.14,-,40,-,34.20,-0.44,21.77,,,
Amcor Ltd Last Sale Price $6.33,,,,,,,,,,,,
May,10,6.18,0.10,0.10,2,25,18.70,-0.32,11.09,,,
May,10,6.41,0.20,0.22,5,-,18.10,-0.53,12.75,,,
Sep,10,6.25,0.30,0.33,44,62,19.20,-0.38,10.28,,,
AMP Ltd Last Sale Price $6.30,,,,,,,,,,,,
Apr,10,6.00,0.02,0.03,10,440,19.00,-0.13,4.83,,,
Jun,10,5.53,0.04,0.04,25,187,24.60,-0.10,2.53,,,
Jun,10,6.02,0.11,0.10,10,241,20.70,-0.26,7.60,,,
Jun,10,6.26,0.19,0.19,10,110,19.60,-0.42,13.40,,,
Jun,10,6.50,0.32,0.33,7,326,19.30,-0.60,8.33,,,
Jun,10,7.22,0.94,0.96,5,54,26.20,-0.90,1.45,,,
Sep,10,6.25,0.34,0.35,75,186,21.80,-0.40,11.69,,,
Sep,10,7.25,1.02,1.04,10,84,21.00,-0.91,2.54,,,
Dec,10,6.00,0.30,0.30,3,13,22.10,-0.30,6.63,,,
ANZ Banking Grp Last Sale Price $25.45,,,,,,,,,,,,
Apr,10,22.50,0.01,0.04,10,417,24.10,-0.02,0.60,,,
Apr,10,23.50,0.06,0.09,56,278,23.80,-0.08,3.29,,,
Apr,10,24.00,0.10,0.10,47,890,22.10,-0.13,5.68,,,
Apr,10,24.50,0.17,0.17,73,576,21.00,-0.21,10.16,,,
Apr,10,25.00,0.28,0.28,134,720,19.60,-0.33,17.03,,,
Apr,10,25.50,0.47,0.47,122,211,18.30,-0.48,24.80,,,
May,10,19.00,0.00,0.01,150,13,27.90,-,-,,,
May,10,19.50,0.01,0.02,150,41,27.80,-,0.14,,,
May,10,22.50,0.12,0.33,4,110,24.30,-0.07,3.17,,,
May,10,23.00,0.19,0.22,35,90,24.30,-0.11,5.24,,,
May,10,24.00,0.38,0.50,6,728,22.50,-0.20,10.48,,,
May,10,24.01,0.38,0.41,5,3,22.40,-0.21,10.34,,,
May,10,24.50,0.53,0.65,8,163,21.80,-0.28,14.62,,,
May,10,25.00,0.72,0.82,2,32,21.10,-0.36,20.00,,,
May,10,26.00,1.30,1.28,3,8,20.50,-0.57,20.69,,,
