Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4572.1 at 16:35 16/6/2010  Report at 19:06 Wednesday 16/6/2010. Processed 19:17 Wednesday 16/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.84,,,,,,,,,,,,
Jun,10,15.00,0.25,0.27,3,124,18.80,-0.63,24.60,,,
Jun,10,15.50,0.66,0.85,35,74,2.00,-1.00,-,,,
Jul,10,15.00,0.42,0.40,3,49,18.10,-0.53,14.53,,,
Aug,10,15.00,0.52,0.49,38,61,19.00,-0.50,12.30,,,
Asciano Grp Last Sale Price $1.63,,,,,,,,,,,,
Jun,10,1.60,0.03,0.02,10,1955,42.30,-0.38,74.87,,,
Jun,10,1.80,0.17,0.23,17,247,45.90,-0.94,-,,,
Jun,10,1.90,0.28,0.27,5,45,79.90,-0.90,24.96,,,
Jun,10,2.00,0.39,0.40,7,234,116.00,-0.87,37.44,,,
Aug,10,1.80,0.20,-,17,10,31.10,-0.75,6.24,,,
Dec,10,1.96,0.36,0.34,6,126,32.80,-0.77,2.94,,,
Amcor Ltd Last Sale Price $6.62,,,,,,,,,,,,
Jun,10,5.95,0.01,0.01,5,90,49.70,-0.07,9.19,,,
Jun,10,6.18,0.02,0.17,30,129,39.30,-0.11,12.25,,,
Jun,10,6.64,0.10,0.10,15,26,23.70,-0.52,49.01,,,
Sep,10,6.00,0.13,0.23,30,334,24.80,-0.18,6.89,,,
Sep,10,6.50,0.28,0.28,5,37,21.90,-0.37,15.44,,,
AMP Ltd Last Sale Price $5.64,,,,,,,,,,,,
Jun,10,6.02,0.38,0.42,11,505,25.50,-0.98,-,,,
Jul,10,5.00,0.04,0.04,12,5,34.20,-0.13,6.62,,,
Jul,10,5.25,0.07,0.09,12,97,28.90,-0.20,10.30,,,
Jul,10,5.50,0.14,0.14,43,269,27.20,-0.35,19.86,,,
Jul,10,5.75,0.24,0.26,3,764,24.80,-0.55,19.12,,,
Aug,10,5.00,0.08,-,100,-,32.80,-0.16,7.19,,,
Aug,10,5.25,0.13,0.22,40,60,30.90,-0.25,11.24,,,
Aug,10,5.50,0.19,0.32,100,100,28.20,-0.37,17.08,,,
Aug,10,5.75,0.30,0.39,40,56,26.80,-0.52,17.08,,,
Dec,10,5.50,0.39,0.47,600,206,28.20,-0.37,13.04,,,
Dec,10,6.00,0.67,0.69,7,37,27.70,-0.56,10.50,,,
ANZ Banking Grp Last Sale Price $23.18,,,,,,,,,,,,
