Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4409.7 at 17:32 28/6/2010  Report at 19:06 Monday 28/6/2010. Processed 19:41 Monday 28/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.53,,,,,,,,,,,,
Jul,10,14.00,0.11,0.11,7,28,19.10,-0.22,8.64,,,
Aug,10,15.00,0.64,0.59,10,101,17.50,-0.64,6.91,,,
Sep,10,12.50,0.06,0.06,15,42,21.90,-0.06,1.71,,,
Sep,10,14.50,0.56,0.57,3,44,18.40,-0.43,16.13,,,
Asciano Grp Last Sale Price $1.69,,,,,,,,,,,,
Jul,10,1.60,0.02,0.03,20,95,29.20,-0.23,13.50,,,
Jul,10,1.70,0.06,0.06,30,220,29.40,-0.49,33.75,,,
Aug,10,1.60,0.05,0.05,20,22,34.30,-0.30,18.00,,,
Amcor Ltd Last Sale Price $6.49,,,,,,,,,,,,
Mar,11,5.75,0.25,0.25,2,-,25.30,-0.21,5.21,,,
Mar,11,6.50,0.55,0.54,20,42,24.00,-0.41,11.25,,,
AMP Ltd Last Sale Price $5.38,,,,,,,,,,,,
Jul,10,5.00,0.05,0.05,20,67,30.90,-0.18,10.60,,,
Jul,10,5.25,0.11,0.12,7,173,27.60,-0.35,22.26,,,
Jul,10,5.75,0.41,0.41,15,876,27.30,-0.79,7.42,,,
Jul,10,6.00,0.62,0.46,14,489,2.00,-1.00,-,,,
Sep,10,6.00,0.78,0.55,6,599,29.10,-0.76,12.34,,,
Sep,10,6.25,1.01,1.01,40,778,31.50,-0.84,10.79,,,
Dec,10,5.00,0.26,0.25,5,-,28.80,-0.28,9.66,,,
Dec,10,5.25,0.35,0.41,9,644,27.30,-0.37,13.27,,,
Mar,11,5.25,0.46,0.46,1,-,26.50,-0.36,11.43,,,
Jun,11,5.50,0.67,0.65,37,61,26.50,-0.44,10.34,,,
ANZ Banking Grp Last Sale Price $22.29,,,,,,,,,,,,
Jul,10,19.00,0.13,0.12,69,219,44.00,-0.09,6.40,,,
Jul,10,20.50,0.29,0.27,119,854,38.20,-0.20,15.10,,,
Jul,10,21.00,0.35,0.33,7,284,34.80,-0.25,18.17,,,
Jul,10,21.50,0.48,0.50,34,329,33.20,-0.32,24.56,,,
Jul,10,22.00,0.63,0.58,58,774,30.80,-0.41,31.98,,,
Jul,10,22.50,0.81,0.84,226,409,28.60,-0.51,30.96,,,
Jul,10,23.00,1.06,1.08,50,363,26.80,-0.63,18.17,,,
Jul,10,23.50,1.41,1.34,36,266,25.90,-0.74,9.98,,,
Jul,10,26.00,3.71,3.65,1,19,2.00,-1.00,-,,,
Aug,10,18.50,0.18,-,10,-,39.80,-0.10,4.91,,,
Aug,10,19.50,0.29,0.30,10,65,37.40,-0.15,8.05,,,
Aug,10,21.00,0.58,0.57,12,180,33.40,-0.28,15.83,,,
Aug,10,22.00,0.89,0.90,46,799,30.80,-0.41,24.29,,,
Aug,10,22.50,1.07,0.93,2,81,28.90,-0.49,23.47,,,
Aug,10,23.00,1.31,1.35,19,250,27.50,-0.57,16.38,,,
Sep,10,21.00,0.76,0.76,35,334,32.90,-0.30,14.05,,,
Sep,10,22.00,1.06,1.02,21,214,30.20,-0.41,19.72,,,
Sep,10,22.50,1.26,1.22,16,90,29.10,-0.47,19.63,,,
Sep,10,23.00,1.50,1.34,13,142,28.20,-0.54,14.79,,,
Sep,10,25.50,3.25,1.90,2,97,23.50,-0.93,0.74,,,
Oct,10,21.00,0.94,0.93,13,23,32.60,-0.31,12.58,,,
Dec,10,15.00,0.20,0.22,25,583,41.20,-0.05,1.83,,,
Dec,10,21.00,1.36,1.32,4,498,32.10,-0.32,12.40,,,
Dec,10,25.00,3.54,2.83,2,429,28.50,-0.68,7.59,,,
Dec,10,25.50,3.81,3.75,4,228,26.40,-0.76,5.53,,,
Mar,11,18.00,0.65,0.56,10,60,32.30,-0.15,3.91,,,
ASX Ltd Last Sale Price $29.47,,,,,,,,,,,,
Jul,10,28.50,0.34,0.34,3,31,22.60,-0.27,13.35,,,
Jul,10,29.50,0.65,0.63,44,78,19.90,-0.47,23.80,,,
Jul,10,30.00,0.89,0.86,1,28,18.60,-0.60,13.74,,,
Jul,10,30.50,1.25,0.92,44,143,19.60,-0.71,8.52,,,
Jul,10,31.50,2.11,2.12,6,52,21.70,-0.86,3.10,,,
Aug,10,32.00,2.54,2.67,1,44,16.70,-0.97,0.31,,,
Aug,10,32.50,3.06,2.70,3,80,19.50,-0.96,0.52,,,
Sep,10,28.00,0.72,0.64,2,3,21.10,-0.25,10.13,,,
Sep,10,32.00,3.23,3.03,2,110,20.10,-0.81,9.78,,,
Oct,10,32.00,3.31,-,3,1,20.30,-0.76,7.90,,,
Dec,10,29.00,1.68,-,2,-,22.90,-0.38,11.62,,,
Alumina Ltd Last Sale Price $1.61,,,,,,,,,,,,
Jul,10,1.60,0.07,0.07,10,897,37.90,-0.44,46.05,,,
Aug,10,1.40,0.03,-,40,-,39.40,-0.15,9.45,,,
Aug,10,1.50,0.04,0.06,20,237,37.90,-0.28,17.00,,,
Aug,10,1.70,0.14,0.15,67,598,37.50,-0.60,20.78,,,
Sep,10,1.90,0.33,0.34,24,233,45.00,-0.74,10.30,,,
AXA Asia Pacific Last Sale Price $5.36,,,,,,,,,,,,
Jul,10,5.25,0.19,0.16,3,105,39.90,-0.39,39.37,,,
Jul,10,5.50,0.29,0.25,5,470,35.60,-0.56,31.92,,,
Dec,10,5.50,0.52,-,3,-,30.50,-0.47,14.27,,,
Dec,10,6.00,0.80,0.64,4,88,26.00,-0.71,6.09,,,
Mar,11,5.50,0.64,0.36,5,10,31.70,-0.45,12.48,,,
BHP Billiton Ltd Last Sale Price $38.49,,,,,,,,,,,,
Jul,10,25.00,-,0.01,25,-,38.60,-,0.30,,,
Jul,10,30.00,0.04,0.04,20,399,43.10,-0.02,1.04,,,
Jul,10,33.00,0.13,0.13,4,850,37.60,-0.07,3.85,,,
Jul,10,34.00,0.21,0.20,5,859,36.40,-0.10,6.22,,,
Jul,10,35.00,0.29,0.29,51,786,33.60,-0.14,8.74,,,
Jul,10,35.50,0.35,0.33,46,242,32.30,-0.17,10.37,,,
Jul,10,36.00,0.44,0.46,116,1333,31.60,-0.21,13.04,,,
Jul,10,36.50,0.53,0.53,49,577,30.60,-0.25,15.56,,,
Jul,10,37.00,0.64,0.66,188,1464,29.50,-0.29,18.97,,,
Jul,10,37.50,0.79,0.81,133,719,28.80,-0.34,23.41,,,
Jul,10,38.00,0.94,0.95,167,1054,27.70,-0.40,28.00,,,
Jul,10,38.50,1.16,1.16,127,1852,27.20,-0.47,33.93,,,
Jul,10,39.00,1.38,1.39,295,1757,26.20,-0.53,25.78,,,
Jul,10,39.50,1.68,1.67,47,326,26.10,-0.60,19.71,,,
Jul,10,40.00,1.94,1.90,22,956,24.40,-0.68,12.74,,,
Jul,10,42.00,3.58,3.59,21,448,24.40,-0.91,2.07,,,
Jul,10,43.00,4.54,3.21,9,218,26.30,-0.96,0.89,,,
Jul,10,43.50,5.01,5.58,16,103,14.10,-1.00,-,,,
Jul,10,44.00,5.51,5.38,14,34,2.00,-1.00,-,,,
Aug,10,31.00,0.23,0.23,26,244,41.00,-0.07,3.64,,,
Aug,10,34.00,0.52,0.44,1,167,35.90,-0.16,8.14,,,
Aug,10,35.00,0.68,0.68,10,470,34.30,-0.21,10.67,,,
Aug,10,36.00,0.89,0.88,13,397,32.80,-0.26,13.99,,,
Aug,10,36.50,1.00,1.00,3,979,32.10,-0.30,15.88,,,
Aug,10,37.00,1.15,1.11,6,760,31.40,-0.33,18.18,,,
Aug,10,37.50,1.30,1.31,5,184,30.60,-0.37,20.55,,,
Aug,10,38.00,1.49,1.44,47,1800,29.90,-0.41,23.55,,,
Aug,10,38.50,1.69,1.36,22,50,29.30,-0.45,26.47,,,
Aug,10,39.00,1.92,1.77,22,356,28.60,-0.50,22.21,,,
Aug,10,40.00,2.43,2.37,4,160,27.40,-0.60,14.54,,,
Sep,10,28.00,0.17,0.20,10,229,42.10,-0.04,1.89,,,
Sep,10,30.00,0.30,0.31,25,252,39.50,-0.07,3.29,,,
Sep,10,35.00,1.05,1.04,9,1086,33.40,-0.23,11.31,,,
Sep,10,36.00,1.30,1.30,5,2036,32.10,-0.28,14.06,,,
Sep,10,36.50,1.46,1.39,6,44,31.40,-0.31,15.68,,,
Sep,10,37.00,1.61,1.60,11,1653,30.80,-0.34,17.35,,,
Sep,10,37.50,1.84,1.69,23,1517,30.70,-0.37,19.77,,,
Sep,10,38.00,2.02,2.03,2,2260,30.00,-0.41,21.71,,,
Sep,10,38.50,2.23,2.73,10,697,29.20,-0.44,23.87,,,
Sep,10,39.00,2.47,2.45,7,407,28.90,-0.48,21.12,,,
Sep,10,39.50,2.73,2.05,40,172,28.20,-0.52,18.48,,,
