Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4507.4 at 16:36 30/7/2010  Report at 19:06 Friday 30/7/2010. Processed 20:36 Friday 30/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.77,,,,,,,,,,,,
Aug,10,14.50,0.12,0.13,10,117,15.30,-0.29,10.59,,,
Sep,10,14.50,0.33,0.34,3,59,16.10,-0.33,14.34,,,
Asciano Grp Last Sale Price $1.69,,,,,,,,,,,,
Aug,10,1.60,0.03,0.03,100,1454,35.20,-0.25,19.28,,,
Aug,10,1.80,0.12,0.11,10,27,23.80,-0.83,3.86,,,
Oct,10,1.70,0.09,0.07,15,-,26.40,-0.46,17.80,,,
Amcor Ltd Last Sale Price $6.56,,,,,,,,,,,,
Aug,10,7.00,0.59,0.41,2,10,10.30,-1.00,29.81,,,
AMP Ltd Last Sale Price $5.30,,,,,,,,,,,,
Aug,10,5.25,0.11,0.11,15,387,23.50,-0.41,25.83,,,
Aug,10,5.50,0.25,0.24,8,431,23.40,-0.70,12.30,,,
Sep,10,5.00,0.13,0.10,6,1100,26.80,-0.25,15.99,,,
Sep,10,5.25,0.23,0.23,5,549,24.90,-0.41,28.29,,,
Oct,10,5.00,0.19,0.19,10,32,28.30,-0.28,14.38,,,
Oct,10,5.50,0.43,0.44,3,200,24.50,-0.57,17.41,,,
Oct,10,6.50,1.31,1.29,4,16,24.20,-1.00,8.32,,,
Nov,10,5.00,0.20,0.19,10,120,25.60,-0.28,11.29,,,
ANZ Banking Grp Last Sale Price $23.05,,,,,,,,,,,,
Aug,10,17.00,-,0.01,97,130,34.00,-,0.57,,,
Aug,10,18.00,0.00,0.01,69,119,33.80,-,0.11,,,
Aug,10,19.50,0.02,0.04,2,606,32.90,-0.03,1.13,,,
Aug,10,21.00,0.07,0.09,32,418,27.40,-0.09,4.24,,,
Aug,10,21.50,0.11,0.13,121,317,25.00,-0.13,6.22,,,
Aug,10,22.00,0.20,0.20,92,1082,24.50,-0.21,11.31,,,
Aug,10,22.50,0.29,0.30,39,209,22.30,-0.31,16.68,,,
Aug,10,23.00,0.46,0.46,126,380,20.50,-0.45,25.73,,,
