Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4586.3 at 16:37 6/8/2010  Report at 19:05 Friday 6/8/2010. Processed 18:04 Saturday 7/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.18,,,,,,,,,,,,
Sep,10,14.50,0.16,0.19,220,85,15.90,-0.17,7.61,,,
Sep,10,15.00,0.35,0.37,2,90,15.50,-0.36,17.17,,,
Dec,10,15.00,0.53,0.54,19,99,15.30,-0.37,9.10,,,
Amcor Ltd Last Sale Price $6.42,,,,,,,,,,,,
Sep,10,6.75,0.50,0.47,7,20,16.70,-0.80,19.72,,,
AMP Ltd Last Sale Price $5.42,,,,,,,,,,,,
Aug,10,5.25,0.07,0.07,9,389,27.60,-0.28,20.84,,,
Aug,10,5.50,0.18,0.15,14,833,27.80,-0.56,32.07,,,
Sep,10,5.25,0.17,0.16,9,557,26.20,-0.33,23.36,,,
Sep,10,5.50,0.32,0.30,142,341,26.70,-0.52,32.30,,,
Sep,10,5.75,0.51,0.49,6,293,28.10,-0.69,24.74,,,
Oct,10,5.00,0.14,0.13,5,33,27.30,-0.22,10.82,,,
Nov,10,5.50,0.37,0.42,34,10,24.20,-0.48,17.44,,,
ANZ Banking Grp Last Sale Price $23.05,,,,,,,,,,,,
Aug,10,21.50,0.08,0.09,2,219,26.20,-0.11,6.03,,,
Aug,10,22.00,0.15,0.15,282,1248,25.20,-0.19,11.31,,,
Aug,10,22.50,0.25,0.26,256,251,23.10,-0.30,18.85,,,
Aug,10,23.00,0.39,0.40,107,634,20.40,-0.45,29.41,,,
Aug,10,23.50,0.64,0.70,1,130,18.80,-0.65,14.33,,,
Aug,10,24.00,1.00,1.02,10,181,17.00,-0.85,3.39,,,
Sep,10,21.00,0.18,0.19,3,744,27.30,-0.14,5.82,,,
Sep,10,22.00,0.35,0.39,3,274,24.80,-0.26,11.47,,,
Sep,10,22.50,0.48,0.52,38,314,23.30,-0.34,15.51,,,
Sep,10,23.00,0.65,0.64,1,436,22.00,-0.44,21.01,,,
Oct,10,19.00,0.14,0.22,6,62,32.50,-0.08,2.73,,,
Oct,10,21.00,0.35,0.41,5,94,27.30,-0.19,6.60,,,
Oct,10,21.50,0.44,0.44,5,185,26.10,-0.24,8.29,,,
Oct,10,22.00,0.55,0.58,10,116,24.90,-0.29,10.37,,,
Oct,10,22.50,0.69,0.59,5,257,23.90,-0.36,13.10,,,
Oct,10,23.00,0.88,0.93,100,91,23.00,-0.44,16.59,,,
Oct,10,24.00,1.36,1.38,5,25,20.90,-0.62,7.63,,,
Nov,10,21.00,0.56,0.63,35,234,26.50,-0.21,7.99,,,
Mar,11,22.00,1.39,1.79,6,262,26.80,-0.33,9.53,,,
Mar,11,24.50,2.63,2.34,3,14,24.60,-0.56,8.12,,,
ASX Ltd Last Sale Price $29.98,,,,,,,,,,,,
Aug,10,32.50,2.52,2.73,1,16,18.20,-1.00,-,,,
Sep,10,28.50,0.46,0.53,4,33,20.00,-0.20,11.43,,,
Sep,10,29.00,0.64,0.63,1,21,19.40,-0.27,15.90,,,
Sep,10,35.00,5.67,4.44,4,18,19.00,-1.00,16.03,,,
Sep,10,38.00,8.65,8.06,4,28,19.00,-1.00,15.78,,,
Oct,10,29.00,0.86,0.89,7,37,19.70,-0.30,12.46,,,
Alumina Ltd Last Sale Price $1.64,,,,,,,,,,,,
Aug,10,1.60,0.04,0.04,8,1996,37.90,-0.36,42.39,,,
Aug,10,1.70,0.10,0.10,145,1693,39.90,-0.62,37.09,,,
Oct,10,1.70,0.14,0.25,140,10,39.10,-0.52,22.52,,,
BHP Billiton Ltd Last Sale Price $41.13,,,,,,,,,,,,
Aug,10,32.00,0.01,0.01,150,184,44.60,-,0.38,,,
Aug,10,33.00,0.02,0.02,249,236,43.40,-0.01,0.85,,,
Aug,10,33.50,0.03,0.03,100,159,43.30,-0.02,1.06,,,
Aug,10,34.00,0.03,0.04,10,521,41.60,-0.02,1.27,,,
Aug,10,35.00,0.05,0.05,2,1479,38.90,-0.03,2.11,,,
Aug,10,36.00,0.07,0.07,24,944,35.70,-0.05,2.96,,,
Aug,10,36.50,0.09,0.09,81,1351,34.00,-0.06,3.59,,,
Aug,10,37.00,0.10,0.12,67,1393,32.30,-0.07,4.23,,,
Aug,10,37.50,0.13,0.14,10,715,31.00,-0.09,5.49,,,
Aug,10,38.00,0.16,0.18,761,3561,29.50,-0.11,6.76,,,
Aug,10,38.50,0.20,0.22,99,879,27.80,-0.14,8.24,,,
Aug,10,39.00,0.24,0.25,237,3277,26.00,-0.17,10.14,,,
Aug,10,39.50,0.32,0.40,5,583,24.90,-0.22,13.52,,,
Aug,10,40.00,0.41,0.46,86,1461,23.40,-0.28,17.33,,,
Aug,10,40.50,0.55,0.58,29,545,22.50,-0.36,23.24,,,
Aug,10,41.00,0.71,0.79,87,912,21.30,-0.44,30.00,,,
Aug,10,41.50,0.93,0.96,7,237,20.20,-0.55,23.66,,,
Aug,10,42.00,1.20,1.40,3,504,19.10,-0.66,13.95,,,
Sep,10,34.00,0.15,0.16,50,645,34.90,-0.05,2.72,,,
Sep,10,37.00,0.36,0.41,4,1355,28.70,-0.13,6.61,,,
Sep,10,37.50,0.43,0.55,632,1536,27.90,-0.15,7.79,,,
Sep,10,38.00,0.51,0.59,11,2569,27.00,-0.18,9.24,,,
Sep,10,39.00,0.72,0.73,15,3137,25.50,-0.24,13.13,,,
Sep,10,39.50,0.85,0.90,529,668,24.70,-0.28,15.48,,,
Sep,10,40.00,1.00,1.12,103,1246,23.90,-0.33,18.20,,,
Sep,10,40.50,1.19,1.35,2,217,23.20,-0.38,21.55,,,
Sep,10,41.00,1.40,1.43,10,1163,22.50,-0.44,25.36,,,
Sep,10,41.50,1.65,1.80,4,113,21.90,-0.50,23.18,,,
Oct,10,27.00,0.03,0.05,30,125,38.60,-,0.26,,,
Oct,10,30.00,0.11,0.10,8,45,38.30,-0.03,1.16,,,
Oct,10,37.50,0.72,0.76,3,101,27.20,-0.19,7.66,,,
Oct,10,38.50,0.95,1.00,15,120,26.10,-0.25,10.04,,,
Oct,10,39.50,1.23,1.28,15,79,24.90,-0.31,12.99,,,
Oct,10,40.00,1.40,1.45,2,615,24.30,-0.35,14.79,,,
Oct,10,41.50,2.00,2.05,1,55,22.40,-0.48,17.27,,,
Oct,10,42.00,2.25,2.54,5,23,21.70,-0.53,14.63,,,
Oct,10,43.00,2.87,2.98,1,2,21.00,-0.64,10.56,,,
Oct,10,44.00,3.63,3.87,7,23,21.00,-0.74,8.03,,,
Oct,10,48.00,7.24,7.55,1,26,21.00,-1.00,3.86,,,
Nov,10,39.50,1.50,1.64,4,22,25.40,-0.32,11.92,,,
Nov,10,40.00,1.69,1.72,5,10,24.90,-0.36,13.35,,,
Dec,10,34.00,0.62,0.63,5,349,31.90,-0.12,3.93,,,
Dec,10,36.00,0.91,0.96,2,688,29.60,-0.18,5.74,,,
Dec,10,37.00,1.12,1.17,1,1044,28.70,-0.21,7.07,,,
Dec,10,38.00,1.31,1.43,58,1412,27.30,-0.25,8.30,,,
