Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:06 Friday 3/9/2010. Processed 17:38 Sunday 5/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.40,,,,,,,,,,,,
Sep,10,14.50,0.04,0.04,30,238,16.70,-0.05,4.51,,,
Sep,10,15.00,0.13,0.45,33,119,13.60,-0.18,14.67,,,
Sep,10,16.00,0.91,0.77,28,70,16.90,-0.84,34.42,,,
Oct,10,15.00,0.23,0.23,64,83,13.30,-0.25,9.52,,,
Oct,10,15.50,0.52,0.51,1,10,13.90,-0.50,17.56,,,
Oct,10,16.00,0.92,1.36,28,23,14.10,-0.76,13.33,,,
Nov,10,14.50,0.15,-,15,25,14.90,-0.15,4.23,,,
Nov,10,15.00,0.31,0.39,15,2,14.60,-0.29,8.75,,,
Dec,10,15.00,0.34,0.54,15,99,14.30,-0.29,7.30,,,
Asciano Grp Last Sale Price $1.72,,,,,,,,,,,,
Sep,10,1.50,0.03,0.11,25,235,69.10,-0.17,30.32,,,
Sep,10,1.70,0.04,0.10,25,805,27.20,-0.40,35.37,,,
Oct,10,1.80,0.10,0.10,30,17,19.70,-0.70,5.68,,,
Amcor Ltd Last Sale Price $6.80,,,,,,,,,,,,
Sep,10,6.25,0.01,0.03,3,209,26.30,-0.07,3.83,,,
Sep,10,6.50,0.05,0.06,36,149,26.00,-0.21,12.78,,,
Dec,10,6.50,0.17,0.21,20,96,22.10,-0.29,7.91,,,
AMP Ltd Last Sale Price $5.21,,,,,,,,,,,,
Sep,10,4.75,0.03,0.04,10,588,29.40,-0.08,10.01,,,
Sep,10,5.00,0.09,0.10,36,1356,26.20,-0.23,30.02,,,
Sep,10,5.25,0.23,0.24,85,1181,25.40,-0.52,65.05,,,
Sep,10,5.50,0.44,0.47,28,371,2.00,-1.00,50.04,,,
Sep,10,5.75,0.69,0.76,59,200,26.90,-0.97,50.04,,,
Sep,10,6.00,0.95,0.96,13,495,51.80,-0.87,55.05,,,
Sep,10,6.25,1.21,1.25,94,683,60.10,-0.89,55.05,,,
