Derivatives: Put Options - daily trades,,,,,,,,,,,,,,,,,,,,
Monday, November 22, 2010.,,,,,,,,,,,,,,,,,,,,
"XAO 4731.8 at 2010-11-22T16:35:33. Report at Monday, November 22, 2010. Processed Tuesday at 2010-11-23T01:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS,
AGL Energy Last Sale Price $15.71,
Dec,10,15.00,.12,.10,60,153,21.50,-.20,8.35,,
,
Asciano Grp Last Sale Price $1.67,
Jan,11,1.60,.04,.04,100,290,26.80,-.31,14.68,,
,
Amcor Last Sale Price $6.70,
Dec,10,6.25,.04,.04,60,133,24.10,-.14,5.96,,
,
AMP Last Sale Price $5.04,
Nov,10,5.00,.06,.05,707,2042,40.10,-.40,99.58,,
Nov,10,5.25,.21,.21,70,1951,28.10,-.95,-,,
Dec,10,5.00,.13,.13,754,1270,26.80,-.42,29.42,,
Dec,10,5.25,.25,.25,94,1639,22.30,-.72,9.05,,
Dec,10,5.50,.47,.34,7,1699,22.30,-.95,1.13,,
Jan,11,5.00,.16,.16,2,39,23.00,-.42,17.29,,
Jan,11,5.25,.30,.22,6,245,23.00,-.63,9.73,,
Mar,11,5.25,.45,.27,8,730,24.40,-.56,14.13,,
Sep,11,4.75,.38,.36,4,505,26.80,-.31,8.70,,
Sep,11,5.00,.48,.47,5,270,25.80,-.39,11.26,,
,
ANZ Banking Grp Last Sale Price $22.48,
Nov,10,22.00,.09,.12,104,584,32.40,-.22,34.50,,
Nov,10,22.50,.23,.25,120,585,27.40,-.50,85.24,,
Nov,10,23.00,.55,.55,52,657,23.60,-.86,12.18,,
Nov,10,23.50,1.02,1.00,65,667,2.00,-1.00,-,,
Nov,10,24.00,1.52,1.46,48,630,35.10,-.99,-,,
Nov,10,24.50,2.02,1.79,7,195,38.40,-1.00,-,,
Nov,10,25.01,2.52,.71,1,10,25.20,-1.00,-,,
Dec,10,19.00,.04,.04,1,535,35.90,-.04,2.28,,
Dec,10,20.00,.10,.07,2,963,32.30,-.09,4.82,,
Dec,10,20.50,.14,.11,5,311,30.30,-.13,6.85,,
Dec,10,21.50,.28,.20,5,170,27.00,-.25,14.46,,
Dec,10,22.00,.41,.33,173,696,25.20,-.35,20.80,,
Dec,10,22.50,.59,.47,24,470,23.90,-.47,29.18,,
Dec,10,23.00,.84,.71,70,1115,22.50,-.61,16.49,,
Dec,10,23.50,1.18,.94,24,687,21.80,-.74,7.86,,
Dec,10,24.00,1.58,1.39,10,1199,21.30,-.86,3.04,,
Dec,10,24.01,1.55,1.39,6,58,21.40,-.87,1.27,,
Dec,10,24.50,2.03,1.97,3,1102,20.50,-.98,.51,,
Jan,11,20.50,.23,-,2,5,26.20,-.17,5.69,,
Jan,11,22.00,.57,.45,4,427,22.80,-.36,13.81,,
Jan,11,22.50,.76,.67,3,82,21.80,-.45,17.81,,
Jan,11,23.00,1.00,.91,9,244,20.80,-.56,11.51,,
Jan,11,23.50,1.29,.92,3,282,20.10,-.67,6.54,,
Jan,11,24.00,1.65,1.62,63,266,19.30,-.79,3.03,,
Jan,11,24.50,2.06,.96,2,57,19.00,-.90,.97,,
Feb,11,19.50,.22,.19,1,12,28.40,-.12,3.76,,
Feb,11,20.00,.28,-,1,1,27.40,-.16,4.79,,
Feb,11,21.00,.46,.39,1,3,25.40,-.24,7.86,,
Feb,11,22.00,.74,.65,6,80,23.70,-.37,12.65,,
Feb,11,23.00,1.16,1.06,1,52,22.00,-.53,10.94,,
Mar,11,21.50,.69,.64,1,67,24.40,-.31,9.11,,
Mar,11,22.00,.89,.90,22,394,24.40,-.37,11.75,,
Mar,11,23.50,1.62,1.54,10,307,23.20,-.58,7.85,,
Apr,11,23.50,1.73,.89,1,5,23.20,-.56,7.24,,
Apr,11,24.00,2.01,1.97,3,22,22.50,-.63,5.04,,
Jun,11,20.00,.80,.75,2,185,28.10,-.22,6.07,,
Jun,11,22.00,1.50,1.19,2,100,26.40,-.37,11.38,,
Jun,11,23.00,1.95,1.56,1,68,25.20,-.47,10.85,,
Jun,11,23.50,2.20,1.73,3,61,24.50,-.52,8.95,,
,
ASX Last Sale Price $37.07,
Nov,10,35.00,.01,.05,55,228,31.00,-.02,1.72,,
Nov,10,36.00,.07,.05,55,243,30.30,-.14,17.23,,
Dec,10,37.00,.89,1.21,5,33,22.90,-.45,27.38,,
Jan,11,31.50,.13,.12,10,19,27.50,-.06,1.84,,
Jan,11,37.00,1.22,1.16,2,24,22.20,-.44,17.93,,
Jun,11,36.50,2.19,2.09,5,7,22.20,-.38,10.05,,
Dec,12,36.00,2.29,2.20,2,2,14.30,-.30,2.96,,
,
Alumina Last Sale Price $2.07,
Nov,10,2.25,.19,.19,37,551,85.30,-.85,44.08,,
Dec,10,1.85,.01,.03,30,4158,38.60,-.14,8.27,,
Dec,10,2.05,.08,.06,40,1216,37.80,-.43,44.08,,
Dec,10,2.25,.22,.17,30,205,42.60,-.72,19.29,,
Dec,10,2.46,.41,.34,50,4,53.10,-.85,11.02,,
Jan,11,2.25,.24,.21,10,201,38.30,-.66,15.79,,
Feb,11,2.25,.26,.23,10,-,36.90,-.62,14.85,,
Apr,11,2.00,.14,.12,10,12,33.10,-.36,15.07,,
Sep,11,2.00,.21,-,62,228,36.10,-.36,11.87,,
,
AXA Asia Pacific Last Sale Price $6.21,
Dec,10,6.00,.04,.06,355,107,16.40,-.20,6.43,,
Dec,10,6.25,.11,.07,250,374,13.10,-.53,11.94,,
,
BHP Billiton Last Sale Price $43.88,
Nov,10,37.00,-,.02,36,1556,57.80,-,4.16,,
Nov,10,40.00,.03,.03,149,2367,55.30,-.03,5.20,,
Nov,10,41.00,.04,.04,81,1970,47.10,-.05,8.32,,
Nov,10,41.50,.07,.09,142,1283,44.70,-.08,13.52,,
Nov,10,42.00,.07,.09,246,1241,38.50,-.10,15.60,,
Nov,10,42.50,.13,.11,18,1696,36.40,-.16,25.99,,
Nov,10,43.00,.19,.19,517,2375,32.60,-.24,38.47,,
Nov,10,43.50,.32,.29,81,751,31.10,-.37,66.55,,
Nov,10,44.00,.51,.50,57,1265,28.20,-.53,80.06,,
Nov,10,44.50,.81,.84,27,459,27.30,-.71,38.47,,
Nov,10,45.00,1.19,1.10,2,301,26.30,-.85,14.56,,
Nov,10,45.01,1.21,.89,4,16,28.10,-.84,16.64,,
Nov,10,45.50,1.65,1.73,3,119,27.90,-.93,6.24,,
Nov,10,46.50,2.62,-,3,8,27.20,-1.00,-,,
Dec,10,37.00,.12,.12,105,2742,38.50,-.05,2.99,,
Dec,10,37.50,.12,.14,11,1344,36.30,-.06,3.12,,
Dec,10,38.00,.14,.14,59,1749,35.00,-.07,3.51,,
Dec,10,38.50,.17,.17,20,1119,34.30,-.08,4.42,,
Dec,10,40.00,.26,.25,15,1204,30.40,-.13,6.76,,
Dec,10,41.00,.38,.39,30,1765,28.70,-.18,9.88,,
Dec,10,41.50,.44,.44,15,770,27.00,-.21,11.31,,
Dec,10,42.00,.53,.53,26,1664,26.00,-.25,13.65,,
Dec,10,42.50,.66,.66,27,336,25.60,-.30,17.16,,
Dec,10,43.00,.78,.76,36,590,24.30,-.35,20.28,,
Dec,10,43.50,.94,.92,123,301,23.30,-.41,24.30,,
Dec,10,44.00,1.15,1.14,44,608,22.70,-.48,26.64,,
Dec,10,44.01,1.14,1.14,7,160,22.80,-.48,26.12,,
Dec,10,44.50,1.38,1.31,70,312,22.00,-.55,19.76,,
Dec,10,45.00,1.65,1.67,13,630,21.30,-.63,13.78,,
Dec,10,45.50,2.01,1.95,10,107,21.60,-.70,10.14,,
Dec,10,47.00,3.17,2.51,110,228,19.60,-.91,1.43,,
Jan,11,37.00,.25,.17,24,229,32.20,-.08,3.04,,
Jan,11,37.50,.27,.25,15,163,31.10,-.09,3.29,,
Jan,11,38.00,.29,.26,21,127,30.00,-.10,3.66,,
Jan,11,39.00,.38,.45,102,821,28.40,-.13,4.66,,
Jan,11,41.00,.67,.65,15,915,25.70,-.22,8.26,,
Jan,11,41.50,.77,.74,4,824,25.10,-.25,9.56,,
Jan,11,42.00,.87,.89,42,355,24.30,-.29,10.80,,
Jan,11,42.50,1.03,.94,9,535,24.00,-.33,12.79,,
Jan,11,43.00,1.16,1.13,68,667,23.10,-.37,14.34,,
Jan,11,44.00,1.53,1.53,13,66,22.00,-.46,17.57,,
Jan,11,45.00,2.03,2.02,50,187,21.20,-.57,11.30,,
Feb,11,39.50,.64,.62,2,33,27.30,-.18,5.60,,
Feb,11,40.00,.73,.62,3,62,26.90,-.20,6.39,,
Feb,11,40.50,.83,.69,5,52,26.60,-.22,7.27,,
Feb,11,41.00,1.00,1.02,4,197,26.80,-.25,8.71,,
Feb,11,41.50,1.06,.75,5,26,25.60,-.28,9.28,,
Mar,11,36.00,.47,.43,38,393,31.40,-.10,3.18,,
Mar,11,39.50,.97,.95,1,173,27.90,-.20,6.56,,
Mar,11,41.50,1.45,1.32,23,1683,25.80,-.29,9.77,,
Mar,11,44.50,2.58,2.60,3,276,23.60,-.48,13.25,,
Jun,11,34.00,.66,.57,3,189,32.70,-.10,2.57,,
Jun,11,36.00,.91,.74,3,314,30.90,-.14,3.54,,
Jun,11,40.00,1.75,1.70,7,422,28.20,-.25,6.78,,
Jun,11,41.00,2.02,1.95,60,274,27.40,-.29,7.87,,
Sep,11,40.00,2.35,2.33,62,404,28.40,-.27,6.27,,
Sep,11,46.00,4.79,7.80,76,19,25.50,-.50,7.13,,
,
Boral Last Sale Price $4.35,
Nov,10,4.44,.11,.08,80,80,34.60,-.73,41.95,,
Nov,10,4.67,.33,.30,20,140,55.70,-.92,10.49,,
Nov,10,4.93,.60,-,80,80,110.00,-.89,41.95,,
,
BlueScope Steel Last Sale Price $1.94,
Nov,10,1.88,.01,.01,20,1182,45.20,-.23,47.16,,
Nov,10,2.06,.13,.09,100,1723,56.70,-.88,23.58,,
Nov,10,2.76,.82,-,49,49,32.20,-1.00,-,,
Dec,10,1.88,.06,.04,1,194,35.90,-.36,32.42,,
Dec,10,2.06,.16,.15,110,952,35.70,-.70,17.68,,
Dec,10,2.44,.51,.46,12,237,24.10,-1.00,-,,
Dec,10,2.76,.81,-,49,-,28.60,-1.00,-,,
Jan,11,2.25,.33,.30,3,110,35.30,-.84,4.22,,
Mar,11,2.06,.23,.20,12,232,31.50,-.58,15.34,,
Dec,11,2.00,.29,.29,4,202,33.50,-.45,10.96,,
,
Brambles Last Sale Price $6.84,
Nov,10,7.00,.17,.17,4,4,26.40,-.83,20.01,,
,
C'wlth Bank of Aust Last Sale Price $48.73,
Nov,10,46.00,.02,.04,10,553,35.10,-.03,3.75,,
Nov,10,47.00,.06,.09,10,881,30.00,-.09,10.30,,
Nov,10,47.50,.10,.09,49,168,27.70,-.15,17.79,,
Nov,10,48.00,.17,.20,95,1734,26.00,-.25,32.77,,
Nov,10,48.50,.30,.32,50,332,23.60,-.40,57.11,,
Nov,10,49.00,.54,.59,153,1098,22.30,-.60,49.62,,
Nov,10,49.50,.89,.85,21,160,22.30,-.77,21.53,,
Nov,10,50.00,1.30,1.28,72,964,22.30,-.90,6.55,,
Nov,10,50.50,1.78,1.87,44,326,24.20,-.96,2.81,,
Nov,10,51.00,2.27,1.45,46,888,2.00,-1.00,-,,
Dec,10,42.00,.08,.08,8,215,31.40,-.04,1.87,,
Dec,10,46.00,.34,.35,16,1369,24.00,-.18,8.08,,
Dec,10,47.00,.51,.52,20,821,22.30,-.26,11.94,,
Dec,10,47.50,.65,.63,56,52,22.00,-.31,15.21,,
Dec,10,48.00,.79,.74,34,813,21.00,-.37,18.37,,
