Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4846.2 at 16:47 21/10/2009  Report at 19:05 Wednesday 21/10/2009. Processed 19:28 Wednesday 21/10/2009.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.00,2.20,2.72,2.70,ONT,1300 Smiles Ltd,2.70,-3,213,2.65,2.73,11.4,f,1.64,0.13,4.22,18.7,14.4,
0.195,0.105,-,-,TQH,3Q Hldgs Ltd,0.16,,-,0.155,0.16,-,,-,-0.10,-,1.07,15.0,
0.09,0.015,0.027,0.02,FCS,4C Sec Solution,0.027,0.9,1650,0.021,0.027,-,,-,0.03,-,-4.2,-,
-,-,-,-,FCSOA,  opt dec13,-,,-,-,-,-,,-,-,-,-,-,
0.549,0.147,0.475,0.465,ABP,Abacus Prop stpld,0.47,,97653,0.47,0.475,7.75,,-,0.62,16.49,-11.81,-,
1.47,0.90,1.42,1.42,ALR,Aberdeen Leaders,1.42,,6,1.41,1.42,9,f,-,1.54,6.34,-21.34,-,
0.05,0.001,-,-,ACX,ACMA Engineering,0.001,,-,0.01,-,-,,-,-0.01,-,-0.33,-,
2.20,0.38,2.20,2.03,ACR,Acrux Ltd,2.12,2,12003,2.10,2.15,-,,-,0.09,-,-4.84,-,
0.10,0.017,-,-,ACW,Actinogen Ltd,0.07,,-,0.059,0.08,-,,-,0.05,-,-2.32,-,
0.004,0.001,-,-,ACWO,  opt aug12,0.003,,-,-,-,-,,-,-,-,-,-,
0.05,0.016,0.022,0.021,ACU,Acuvax Ltd,0.022,0.1,3008,0.021,0.023,-,,-,-,-,-0.43,-
0.84,0.30,0.57,0.565,ADA,Adacel Tech,0.57,0.5,158,0.565,0.59,-,,-,0.22,-,8.2,7.0
0.35,0.165,0.28,0.28,AAU,Adcorp Aust,0.28,2,60,0.265,0.28,1,,0.45,0.08,3.57,0.45,62.2
2.96,1.445,2.96,2.78,ABC,Adelaide Brighton,2.94,16,78841,2.94,2.95,14,f,1.49,1.15,4.76,20.8,14.1
1.76,1.10,1.33,1.315,AYT,Adelaide Managed unt,1.33,3,494,1.32,1.33,15.47,,0.81,1.94,11.63,12.59,10.6
0.20,0.061,0.095,0.095,ADQ,ADG Global Supply,0.095,-0.5,600,0.081,0.09,-,,-,-,-,-8.68,-
0.03,0.004,-,-,ADL,Admerex Ltd,0.012,,-,0.012,0.019,-,,-,0.01,-,-2.68,-
3.07,1.65,3.07,3.07,ADG,Adtrans Grp,3.07,2,3,3.10,3.18,16,f,1.74,2.37,5.21,27.9,11.0
0.012,0.003,0.01,0.01,ASC,Adultshop Com,0.01,-0.1,30,0.01,0.011,-,,-,0.04,-,-0.28,-
-,-,-,-,ASCN,  def,-,,-,-,-,-,,-,-,-,-,-
-,-,-,-,ASCO,  optdec11d,-,,-,0.001,-,-,,-,-,-,-,-
0.038,0.005,0.029,0.029,ABV,Adv Braking Tech,0.029,,2000,0.028,0.029,-,,-,0.01,-,-0.36,-
0.50,0.28,-,-,AMT,Adv Surg Dsgn & Mnft,0.40,,-,0.31,0.40,-,,-,0.20,-,-2.9,-
0.079,0.02,-,-,AES,Advanced Energy,0.079,,-,0.041,0.079,-,,-,0.01,-,-0.06,-
