Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4721.2 at 16:47 4/12/2009  Report at 19:05 Friday 4/12/2009. Processed 19:29 Friday 4/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
3.00,2.40,-,-,ONT,1300 Smiles Ltd,2.70,,-,2.69,2.70,11.4,f,1.64,0.13,4.22,18.7,14.4
0.195,0.105,-,-,TQH,3Q Hldgs Ltd,0.13,,-,0.14,0.18,-,,-,-0.10,-,1.07,12.1
0.09,0.015,0.023,0.023,FCS,4C Sec Solution,0.023,,7,0.023,0.03,-,,-,0.03,-,-4.2,-
0.48,0.147,0.425,0.41,ABP,Abacus Prop stpld,0.41,-1.5,30028,0.41,0.415,7.75,,-,0.62,18.90,-11.81,-
1.44,0.90,1.41,1.38,ALR,Aberdeen Leaders,1.39,-2.5,651,1.36,1.39,9,f,-,1.42,6.47,-21.34,-
0.05,0.001,-,-,ACX,ACMA Engineering,0.001,,-,0.01,-,-,,-,-0.01,-,-0.33,-
2.54,0.42,2.28,2.19,ACR,Acrux Ltd,2.19,-2,2859,2.19,2.20,-,,-,0.09,-,-4.84,-
0.10,0.017,0.058,0.05,ACW,Actinogen Ltd,0.05,-0.5,170,0.05,0.06,-,,-,0.05,-,-2.32,-
0.004,0.001,-,-,ACWO,  opt aug12,0.003,,-,-,-,-,,-,-,-,-,-
0.05,0.014,-,-,ACU,Acuvax Ltd,0.016,,-,0.016,0.018,-,,-,-,-,-0.43,-
0.84,0.325,-,-,ADA,Adacel Tech,0.57,,-,0.56,0.585,-,,-,0.22,-,8.2,7.0
0.345,0.165,-,-,AAU,Adcorp Aust,0.245,,-,0.245,0.26,1,,0.45,0.08,4.08,0.45,54.4
3.01,1.445,2.63,2.56,ABC,Adelaide Brighton,2.57,-7,10789,2.55,2.58,14,f,1.49,1.15,5.45,20.8,12.4
1.76,1.10,1.35,1.34,AYT,Adelaide Managed unt,1.35,1.5,330,1.35,1.365,15.47,,0.81,1.79,11.46,12.59,10.7
0.165,0.058,-,-,ADQ,ADG Global Supply,0.08,,-,0.085,0.10,-,,-,-,-,-8.68,-
0.016,0.004,0.012,0.01,ADL,Admerex Ltd,0.012,0.1,3107,0.01,0.012,-,,-,0.01,-,-2.68,-
3.25,1.65,-,-,ADG,Adtrans Grp,3.15,,-,3.25,3.45,16,f,1.74,2.37,5.08,27.9,11.3
0.012,0.003,0.01,0.01,ASC,Adultshop Com,0.01,-0.1,3360,0.009,0.011,-,,-,0.04,-,-0.28,-
0.004,0.002,0.004,0.004,ASCO,  opt dec11,0.004,,4007,0.002,0.005,-,,-,-,-,-,-
0.038,0.005,0.032,0.031,ABV,Adv Braking Tech,0.031,,4050,0.031,0.032,-,,-,0.01,-,-0.36,-
0.64,0.28,-,-,AMT,Adv Surg Dsgn & Mnft,0.60,,-,0.58,0.60,-,,-,0.20,-,-2.9,-
0.085,0.02,-,-,AES,Advanced Energy,0.066,,-,0.066,0.067,-,,-,0.01,-,-0.06,-
0.093,0.031,0.064,0.06,ACE,Advanced Engine,0.06,-0.7,1375,0.06,0.066,-,,-,-0.04,-,-1.9,-
0.124,0.013,0.057,0.056,ANM,Advanced Magnesium,0.056,-0.4,140,0.056,0.057,-,,-,0.01,-,-3.07,-
0.36,0.15,0.345,0.345,ASW,Advanced Share,0.345,,41,0.325,0.40,2,f,1.05,0.09,5.80,2.1,16.4
