Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4856.7 at 16:34 29/12/2009  Report at 17:15 Tuesday 29/12/2009. Processed 17:16 Tuesday 29/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
3.00,2.50,-,-,ONT,1300 Smiles Ltd,2.70,,-,2.66,2.70,11.4,f,1.64,0.13,4.22,18.7,14.4
0.195,0.105,-,-,TQH,3Q Hldgs Ltd,0.16,,-,0.16,0.18,-,,-,-0.10,-,1.07,15.0
0.09,0.015,-,-,FCS,4C Sec Solution,0.019,,-,0.019,0.02,-,,-,0.03,-,-4.2,-
0.48,0.181,0.46,0.44,ABP,Abacus Prop stpld,0.46,1.5,43915,0.455,0.46,7.75,,-,0.62,16.85,-11.81,-
0.43,0.43,-,-,ABPNA,  new,0.43,,-,-,-,-,,-,-,-,-,-
1.44,0.90,1.41,1.365,ALR,Aberdeen Leaders,1.41,2,430,1.40,1.41,9,f,-,1.45,6.38,-21.34,-
2.54,0.42,2.23,2.18,ACR,Acrux Ltd,2.19,1,808,2.19,2.20,-,,-,0.09,-,-4.84,-
0.10,0.017,-,-,ACW,Actinogen Ltd,0.05,,-,0.05,0.085,-,,-,0.05,-,-2.32,-
0.004,0.001,-,-,ACWO,  opt aug12,0.003,,-,-,-,-,,-,-,-,-,-
0.05,0.012,0.017,0.017,ACU,Acuvax Ltd,0.017,,700,0.016,0.018,-,,-,-,-,-0.43,-
0.84,0.325,-,-,ADA,Adacel Tech,0.52,,-,0.525,0.55,-,,-,0.22,-,8.2,6.3
0.34,0.165,-,-,AAU,Adcorp Aust,0.25,,-,0.24,0.25,1,,0.45,0.08,4.00,0.45,55.6
3.01,1.445,2.76,2.71,ABC,Adelaide Brighton,2.73,1,13361,2.73,2.75,14,f,1.49,1.15,5.13,20.8,13.1
1.76,1.10,-,-,AYT,Adelaide Managed unt,1.35,,-,1.32,1.40,15.47,,0.81,1.81,11.46,12.59,10.7
0.142,0.058,-,-,ADQ,ADG Global Supply,0.07,,-,0.06,0.069,-,,-,-,-,-8.68,-
-,-,-,-,ADQO,  opt mar11,-,,-,-,-,-,,-,-,-,-,-
0.016,0.004,-,-,ADL,Admerex Ltd,0.009,,-,0.008,0.01,-,,-,0.01,-,-2.68,-
3.53,1.65,3.50,3.50,ADG,Adtrans Grp,3.50,5,26,3.50,3.60,16,f,1.74,2.37,4.57,27.9,12.5
0.012,0.003,-,-,ASC,Adultshop Com,0.01,,-,0.01,0.011,-,,-,0.04,-,-0.28,-
0.004,0.002,-,-,ASCO,  opt dec11,0.003,,-,0.003,0.004,-,,-,-,-,-,-
0.038,0.005,0.03,0.03,ABV,Adv Braking Tech,0.03,0.2,386,0.03,0.033,-,,-,0.01,-,-0.36,-
0.64,0.28,0.60,0.60,AMT,Adv Surg Dsgn & Mnft,0.60,4,17,0.57,0.59,-,,-,0.20,-,-2.9,-
0.085,0.02,-,-,AES,Advanced Energy,0.063,,-,0.06,0.07,-,,-,0.01,-,-0.06,-
0.093,0.031,-,-,ACE,Advanced Engine,0.058,,-,0.052,0.057,-,,-,-0.04,-,-1.9,-
0.124,0.014,0.062,0.062,ANM,Advanced Magnesium,0.062,0.2,80,0.06,0.062,-,,-,0.01,-,-3.07,-
0.43,0.15,0.43,0.42,ASW,Advanced Share,0.43,1,383,0.43,0.435,2,f,1.05,0.09,4.65,2.1,20.5
0.185,0.05,-,-,AEI,Aeris Environmental,0.12,,-,0.12,0.15,-,,-,0.01,-,-2.31,-
1.67,0.545,1.46,1.41,AVE,Aevum Ltd,1.46,6,127,1.41,1.46,4,,-,2.07,2.74,-9.7,-
0.001,0.001,0.001,0.001,AFT,AFT Corp,0.001,,15000,-,0.001,-,,-,-,-,-0.03,-
15.46,12.83,14.26,14.15,AGK,AGL Energy Ltd,14.19,5,4243,14.19,14.21,54,f,6.63,6.00,3.81,358,4.0
0.28,0.13,-,-,AGJ,Agricultural Land unt,0.17,,-,0.17,0.175,2.42,,-,0.38,14.24,-3.63,-
2.45,1.295,-,-,AHC,AHC Ltd,2.25,,-,2.25,2.45,5,,3.56,3.31,2.22,17.79,12.6
0.22,0.05,-,-,AGI,Ainsworth Game Tech,0.19,,-,0.19,0.195,-,,-,0.02,-,-4.45,-
1.12,0.55,-,-,AIZ,Air New Zealand fpo nz,0.97,,-,0.935,0.98,5.22,,0.31,1.18,5.38,1.61,60.2
0.12,0.098,-,-,AIG,Aircruising Aust,0.11,,-,-,-,-,,-,-0.07,-,-5.34,-
5.60,2.03,4.14,4.06,AJL,AJ Lucas Grp,4.12,-3,1188,4.08,4.17,10.5,f,23.78,2.11,2.55,249.7,1.6
0.76,0.106,0.685,0.67,ACL,Alchemia Ltd,0.68,3,641,0.67,0.68,-,,-,0.03,-,-5.2,-
-,-,-,-,ACLN,  def,-,,-,-,-,-,,-,-,-,-,-
47.10,44.00,-,-,AAI,Alcoa Inc cdi,44.89,,-,-,44.89,31.58,,-,-,0.70,-251.67,-
2.43,1.416,2.31,2.29,LEP,ALE Prop Grp stpld,2.30,-1,376,2.29,2.30,30,,1.05,3.08,13.04,31.51,7.3
5.91,0.60,4.84,4.65,ALS,Alesco Corp,4.71,3,2061,4.71,4.72,7,f,-,0.49,1.49,-13.94,-
0.28,0.10,0.185,0.165,ABQ,Allied Brands Ltd,0.175,-1.5,4767,0.17,0.175,0.5,f,5.60,0.05,2.86,2.8,6.2
0.029,0.001,-,-,ABQO,  opt dec10,0.003,,-,0.003,0.005,-,,-,-,-,-,-
0.13,0.014,-,-,AEA,Altera Res Ltd,0.11,,-,0.11,0.12,-,,-,-,-,-3.25,-
1.45,0.575,1.03,1.03,AIQ,Alternative Invest unt,1.03,-2,7,1.03,1.095,47,,-,1.41,45.63,-33.96,-
0.55,0.235,0.25,0.25,ALU,Altium Ltd,0.25,,15,0.25,0.285,2,,-,0.12,8.00,-0.47,-
0.078,0.017,0.053,0.053,AMA,AMA Grp Ltd,0.053,0.1,49,0.053,0.055,-,,-,-0.23,-,-43.5,-
6.24,3.598,5.47,5.36,AHD,Amalgamated Hldgs,5.47,1,265,5.41,5.47,32,f,1.67,4.48,5.85,53.5,10.2
0.55,0.32,0.50,0.50,AMO,Ambertech Ltd,0.50,,130,0.49,0.52,3.5,f,1.69,0.57,7.00,5.9,8.5
0.38,0.096,-,-,AMB,Ambition Grp Ltd,0.325,,-,0.325,0.37,1.5,,-,0.13,4.62,-52.3,-
0.72,0.43,0.68,0.68,AMH,Amcil Ltd,0.68,0.5,531,0.68,0.685,2,f,1.31,0.73,2.94,2.63,25.9
0.275,0.10,0.275,0.27,AMM,Amcom Telecomm,0.275,,5442,0.27,0.275,0.8,f,2.81,0.18,2.91,2.25,12.2
-,-,-,-,AMMN,  def x opt,-,,-,-,-,-,,-,-,-,-,-
6.29,3.50,6.25,6.14,AMC,Amcor Ltd,6.20,5,31642,6.20,6.22,34,,0.74,1.61,5.48,25.3,24.5
3.00,1.30,2.39,2.35,AEC,Ammtec Ltd,2.39,6,73,2.35,2.39,16,f,1.69,0.77,6.69,27.1,8.8
1.265,0.73,1.055,1.045,AGF,AMP Capital China unt,1.05,0.5,806,1.05,1.06,3.9,,1.12,1.33,3.71,4.35,24.1
6.97,3.52,6.74,6.63,AMP,AMP Ltd,6.72,4,27004,6.71,6.73,30,p,0.99,0.67,4.46,29.6,22.7
0.39,0.09,0.265,0.26,ANQ,Anaeco Ltd,0.26,-0.5,564,0.255,0.26,-,,-,0.02,-,-5.6,-
0.023,0.003,-,-,ANQO,  opt may10,0.003,,-,0.001,-,-,,-,-,-,-,-
0.016,0.001,-,-,ANQOA,  opt may12,0.004,,-,0.001,-,-,,-,-,-,-,-
0.083,0.019,-,-,ALT,Analytica Ltd,0.039,,-,0.04,0.044,-,,-,-,-,-0.6,-
12.70,7.51,10.83,10.68,ANN,Ansell Ltd,10.68,-12,1719,10.67,10.71,28,,3.19,1.98,2.62,89.2,12.0
0.065,0.029,-,-,ANO,Antaria Ltd,0.049,,-,0.028,0.055,-,,-,0.03,-,0.77,6.4
0.013,0.004,0.007,0.007,ADO,Anteo Diagnostics,0.007,0.1,2000,0.006,0.007,-,,-,0.01,-,-1.1,-
0.004,0.001,-,-,ADOO,  opt sep10,0.001,,-,0.001,0.002,-,,-,-,-,-,-
-,-,-,-,ADOOA,  opt feb11,-,,-,-,-,-,,-,-,-,-,-
0.075,0.029,0.058,0.058,ANP,Antisense Therapeutic,0.058,0.3,800,0.057,0.058,-,,-,0.01,-,-0.46,-
25.25,11.83,22.79,22.55,ANZ,ANZ Banking Grp,22.70,31,56786,22.69,22.71,102,f,1.67,10.72,4.49,170.4,13.3
13.00,4.45,-,-,APE,AP Eagers Ltd,12.00,,-,12.01,12.69,44,f,0.82,8.41,3.67,36.1,33.2
0.035,0.009,-,-,APP,APA Financial,0.014,,-,0.012,0.029,-,,-,-,-,-3.7,-
3.59,2.50,3.59,3.49,APA,APA Grp stpld,3.53,4,6964,3.52,3.53,31,,0.52,1.18,8.78,16.2,21.8
0.115,0.014,0.068,0.068,AEZ,APN European Retail stpld,0.068,0.3,200,0.066,0.07,1,,-,0.33,14.71,-56.84,-
2.61,0.866,2.39,2.30,APN,APN News & Media,2.31,-1,7663,2.31,2.32,12,,-,-1.23,5.19,-13.1,-
0.41,0.09,-,-,APD,APN Prop Grp,0.35,,-,0.35,0.375,3,,-,0.20,8.57,-18.08,-
0.04,0.009,0.01,0.01,AOP,Apollo Cons,0.01,,28933,0.009,0.01,-,,-,-,-,-0.91,-
0.018,0.008,-,-,AQL,Aquacarotene Ltd,0.011,,-,0.011,0.016,-,,-,-,-,-0.35,-
0.08,0.035,0.041,0.038,APB,Arafura Pearls,0.038,-0.3,6500,0.038,0.05,-,,-,0.22,-,2,1.9
5.20,2.368,5.11,5.05,ARP,ARB Corp,5.10,2,476,5.09,5.11,16.5,f,2.05,1.22,3.24,33.86,15.1
1.715,0.79,1.715,1.66,AAD,Ardent Leisure Grp stp,1.70,4.5,5107,1.70,1.71,14.3,,-,1.18,8.41,-0.32,-
6.91,4.52,6.80,6.74,ARG,Argo Invest,6.80,8,610,6.79,6.80,27,f,-,6.33,3.97,-11.1,-
-,-,-,-,ASVDA,Argus Solutions def,-,,-,-,-,-,,-,-,-,-,-
0.37,0.18,-,-,ARA,Ariadne Aust,0.30,,-,0.30,0.35,1,,-,0.30,3.33,-4.51,-
5.75,3.16,4.10,4.05,ALL,Aristocrat Leisure,4.06,1,6561,4.06,4.08,14.5,f,-,0.35,3.57,-0.2,-
0.80,0.405,0.49,0.49,ARJ,ARK Fund Ltd (The),0.49,,80,0.465,0.49,7,f,1.15,1.08,14.29,8.07,6.1
0.025,0.003,-,-,AEM,Artist & Entertain,0.016,,-,0.013,0.016,-,,-,-,-,2.83,0.6
0.30,0.07,0.235,0.235,AKW,Arturus Capital,0.235,-0.5,306,0.235,0.24,-,,-,0.43,-,51.76,0.5
0.26,0.12,-,-,APH,Ascent Pharmahealth,0.20,,-,0.21,0.22,0.5,,6.20,0.04,2.50,3.1,6.5
1.885,0.32,1.885,1.78,AIO,Asciano Grp stpld,1.82,4,204061,1.815,1.82,23,,-,-1.41,12.64,-32.5,-
0.43,0.036,-,-,AFA,ASF Grp Ltd,0.19,,-,0.175,0.185,-,,-,0.01,-,-2.61,-
1.195,0.33,1.04,1.01,ASZ,ASG Grp Ltd,1.025,,1845,1.03,1.04,5.5,f,1.55,0.05,5.37,8.52,12.0
0.267,0.007,-,-,AJJ,Asia Liver Trans,0.105,,-,0.075,0.12,-,,-,-0.02,-,-2.51,-
0.002,0.001,-,-,AJJO,  opt sep10,-,,-,-,-,-,,-,-,-,-,-
1.05,0.77,-,-,AUF,Asian Masters Fund,1.00,,-,1.00,1.01,-,,-,0.98,-,0.76,131.6
0.37,0.125,-,-,AKF,ASK Funding Ltd,0.25,,-,0.26,0.355,1.3,f,4.15,0.35,5.20,5.4,4.6
0.575,0.218,0.48,0.465,APZ,Aspen Grp stpld,0.48,,9042,0.47,0.48,5.18,,-,0.68,10.79,-22.53,-
0.271,0.135,0.155,0.135,ASP,Aspermont Ltd,0.155,1.5,100,0.11,0.155,0.13,,-,-0.06,0.84,-0.22,-
1.10,0.75,1.10,0.95,AIR,Astivita Renewables,1.10,18,269,1.03,1.25,-,,-,-,-,-,-
1.10,0.008,0.76,0.76,AKR,Astra Capital Ltd,0.76,-3,90,0.76,0.81,-,,-,1.60,-,-0.03,-
0.515,0.16,0.405,0.395,AJA,Astro Jap Prop stp,0.405,0.5,18475,0.40,0.405,9,,-,0.93,22.22,-71.94,-
2.70,1.41,-,-,ATR,Astron Ltd,1.755,,-,1.705,1.755,10,,-,0.03,5.70,-3.9,-
37.90,23.52,35.20,34.81,ASX,ASX Ltd,34.98,23,2974,34.98,35.09,164.9,f,1.11,2.66,4.71,183.2,19.1
0.24,0.15,-,-,ACG,Atcor Medical,0.195,,-,0.175,0.185,-,,-,0.05,-,-1.7,-
0.048,0.005,0.037,0.035,ATI,Atlantic Ltd,0.035,,33437,0.035,0.037,-,,-,0.01,-,-0.11,-
0.039,0.003,0.027,0.025,ATIO,  opt dec11,0.027,,50088,0.025,0.028,-,,-,-,-,-,-
0.22,0.075,0.125,0.125,ATP,Atlas Southsea Pearl,0.125,,180,0.11,0.125,2,,-,0.20,16.00,-4.39,-
0.04,0.01,0.018,0.018,ATW,Atos Wellness,0.018,0.1,2500,0.016,0.02,-,,-,0.01,-,-0.12,-
1.66,1.175,1.595,1.56,AIA,Auckland Airport fpo nz,1.56,-1.5,132,1.39,1.89,6.7,,0.41,1.21,4.29,2.74,56.9
7.35,0.867,-,-,ABW,Aurora Buy-Write ord ,1.19,,-,1.22,1.23,20.5,,-,1.23,17.23,-57.97,-
7.50,0.977,-,-,AIB,Aurora Global Tr unt,1.035,,-,1.10,1.13,51.5,,-,1.20,49.76,-13.91,-
5.40,4.35,-,-,AUP,Aurora Prop unt,5.00,,-,4.80,5.50,-,,-,5.49,-,-,-
1.175,1.045,1.055,1.045,AOD,Aurora Sandringham ,1.045,-1,440,1.045,1.055,5,,-,1.08,4.78,-6.57,-
2.16,0.675,2.01,1.98,ASL,Ausdrill Ltd,2.00,,1704,2.00,2.01,11,f,2.11,1.73,5.50,23.23,8.6
5.95,1.855,4.55,4.45,AAX,Ausenco Ltd,4.49,4,2535,4.49,4.51,18.5,f,2.38,0.76,4.12,43.94,10.2
1.485,0.10,1.40,1.36,AET,Ausmelt Ltd,1.40,,5975,1.37,1.41,2,,-,-,1.43,-32.9,-
2.00,1.16,1.49,1.455,AAC,Aust Agriculture,1.48,0.5,2303,1.48,1.49,-,,-,2.55,-,-25.7,-
0.016,0.002,0.01,0.01,AAK,Aust China Hldgs,0.01,,3000,0.009,0.01,-,,-,0.02,-,0.32,3.1
0.005,0.001,-,-,AAKO,  opt dec13,0.002,,-,0.001,0.002,-,,-,-,-,-,-
0.54,0.145,0.47,0.435,AEU,Aust Education unt,0.435,-3.5,47,0.435,0.485,6.7,,-,1.33,15.40,-21.5,-
6.45,5.00,-,-,AYF,Aust Enhanced unt,6.11,,-,6.16,6.35,60,p,-,6.54,9.82,-157,-
37.00,17.00,31.00,30.90,AEF,Aust Ethical,31.00,,2,29.50,31.00,147,f,0.83,8.53,4.74,121.6,25.5
5.35,3.45,5.20,5.15,AFI,Aust Foundation,5.18,3,1708,5.17,5.20,21,f,0.51,4.86,4.05,10.61,48.8
1.93,0.991,1.78,1.74,AIX,Aust Infra unt,1.78,4,7744,1.775,1.78,13,,2.03,3.14,7.30,26.33,6.8
1.265,0.55,1.165,1.15,ALF,Aust Leaders,1.15,-1,517,1.145,1.15,5,f,2.37,1.53,4.35,11.85,9.7
0.10,0.045,-,-,ALFO,  opt nov10,0.046,,-,0.045,0.05,-,,-,-,-,-,-
0.939,0.312,0.69,0.68,API,Aust Pharmaceutical,0.685,,6770,0.685,0.69,2,f,2.95,0.84,2.92,5.9,11.6
0.38,0.12,0.34,0.32,APK,Aust Power,0.34,,450,0.34,0.35,-,,-,-0.08,-,-9.8,-
7.90,4.25,7.40,7.40,AUI,Aust United Invest,7.40,,5,7.40,7.55,25,f,0.56,7.35,3.38,14,52.9
0.49,0.125,0.31,0.31,AVG,Aust Vintage Ltd,0.31,,16,0.31,0.32,-,,-,0.88,-,-96,-
3.12,1.425,2.29,2.22,ASB,Austal Ltd,2.22,-2,614,2.22,2.29,6,f,0.83,1.24,2.70,5,44.4
1.465,0.65,1.445,1.42,AUN,Austar United,1.435,,6669,1.43,1.435,-,,-,-0.33,-,-2.4,-
5.65,3.40,5.45,5.27,AUB,Austbrokers Hldgs,5.27,-4,73,5.27,5.45,20.5,f,1.55,0.88,3.89,31.7,16.6
1.74,1.04,1.65,1.61,AEO,Austereo Grp Ltd,1.645,5,571,1.585,1.65,9.1,f,1.32,-0.01,5.53,11.98,13.7
3.00,0.78,2.99,2.93,ANG,Austin Engineer,2.96,1,1238,2.93,2.97,8,f,3.92,0.63,2.70,31.39,9.4
0.35,0.15,0.32,0.32,ACK,Austock Grp Ltd,0.32,2,388,0.30,0.335,1,,-,0.19,3.13,-17.6,-
1.25,0.75,-,-,AYX,Austofix Grp Ltd,1.25,,-,1.25,-,-,,-,0.26,-,-6.3,-
0.585,0.174,0.52,0.51,ALZ,Australand Prop stpld,0.52,0.5,11094,0.515,0.52,8,,-,0.92,15.38,-15.55,-
0.034,0.016,-,-,AIY,Authorised Invest,0.03,,-,0.023,0.03,-,,-,0.03,-,-0.23,-
-,-,-,-,AIYO,  opt feb13,-,,-,-,-,-,,-,-,-,-,-
0.01,0.01,-,-,AIYOA,  opt mar10,0.01,,-,-,-,-,,-,-,-,-,-
0.151,0.028,-,-,ATJ,Auto Tech Ltd,0.047,,-,0.04,0.047,-,,-,0.01,-,-5.55,-
0.11,0.02,-,-,AIE,Autodom Ltd,0.075,,-,0.075,0.078,-,,-,0.12,-,2.32,3.2
2.60,0.485,2.39,2.33,AHE,Automotive Hldgs,2.39,,2222,2.37,2.39,14,f,0.89,0.69,5.86,12.4,19.3
0.025,0.01,-,-,AAT,Autron Corp,0.01,,-,0.02,0.03,-,,-,-,-,-1.63,-
0.235,0.054,0.17,0.16,AVX,Avexa Ltd,0.16,,23023,0.16,0.165,-,,-,0.03,-,-7.87,-
0.275,0.036,0.165,0.165,AVH,Avita Medical Ltd,0.165,0.5,200,0.165,0.17,-,,-,0.05,-,-5.49,-
0.63,0.16,0.50,0.495,AVJ,AVJennings,0.50,-2,168,0.50,0.505,2,,-,1.04,4.00,-4.68,-
2.20,0.592,1.145,1.12,AWB,AWB Ltd,1.13,1,34086,1.13,1.135,5,,3.70,1.81,4.42,18.5,6.1
0.007,0.002,0.007,0.006,AWL,AWH Corp Ltd,0.006,0.2,16420,0.005,0.006,-,,-,-,-,-0.31,-
6.58,2.52,6.58,6.50,AXA,AXA Asia Pacific,6.51,-5,77090,6.50,6.51,18.5,p,-,0.96,2.84,-7.39,-
0.08,0.021,-,-,AXI,Axiom Prop,0.037,,-,0.038,0.039,-,,-,0.06,-,-2.76,-
0.13,0.032,0.09,0.087,BBP,Babcock & Br Pwr stp,0.088,,19964,0.088,0.089,-,,-,-1.48,-,-20.34,-
13.49,6.228,11.57,11.26,BOQ,Bank of Qld,11.57,27,4069,11.53,11.57,52,f,1.46,6.62,4.49,75.9,15.2
0.02,0.01,-,-,BBX,BBX Hldgs,0.02,,-,0.002,0.03,-,,-,0.01,-,-12.17,-
0.23,0.065,0.105,0.10,BEC,Becton Prop Grp stpld,0.105,0.5,1772,0.105,0.11,16.3,,-,0.23,155.24,-167.28,-
1.40,0.37,1.175,1.16,BFG,Bell Financial Grp,1.16,-1.5,50,1.17,1.20,4,f,1.23,0.27,3.45,4.9,23.7
1.99,1.10,-,-,BET,Belmont Hldgs,1.155,,-,1.15,-,12.5,,0.02,1.77,10.82,0.19,607.9
11.07,5.733,9.61,9.31,BEN,Bendigo & Adelaide,9.61,22,6417,9.60,9.61,43,f,0.60,4.03,4.47,25.6,37.5
0.06,0.02,0.037,0.037,BLT,Benitec Ltd,0.037,-0.2,50,0.037,0.039,-,,-,-,-,-0.8,-
0.03,0.005,-,-,BLTO,  opt apr14,0.01,,-,0.012,0.023,-,,-,-,-,-,-
0.018,0.002,-,-,BLTOA,  opt apr11,0.002,,-,0.002,-,-,,-,-,-,-,-
0.329,0.194,0.285,0.285,BEL,Bentley Capital,0.285,0.5,13,0.285,0.29,-,f,-,0.44,-,-1.46,-
0.737,0.297,-,-,BER,Berklee Ltd,0.59,,-,0.455,0.56,-,f,-,0.89,-,13,4.5
0.68,0.50,0.68,0.68,BYI,Beyond Intl,0.68,,4,0.68,0.80,5,,1.46,0.42,7.35,7.28,9.3
0.045,0.007,-,-,BSI,Beyond Sportswear,0.019,,-,0.01,0.018,-,,-,-0.01,-,-0.23,-
0.18,0.036,-,-,BGL,Bigair Grp Ltd,0.11,,-,0.105,0.11,-,,-,0.06,-,1.2,9.2
12.19,5.815,10.94,10.73,BBG,Billabong Intl,10.79,9,2506,10.77,10.82,45,p,1.54,0.70,4.17,69.2,15.6
0.23,0.065,0.23,0.23,BDM,Biodiem Ltd,0.23,2,130,0.20,0.23,-,,-,0.05,-,-1.98,-
0.08,0.02,-,-,BOD,bioMD Ltd,0.042,,-,0.04,0.05,-,,-,0.01,-,-1.09,-
-,-,-,-,BODO,  opt aug10,-,,-,-,-,-,,-,-,-,-,-
0.43,0.175,0.385,0.365,BNO,Bionomics Ltd,0.385,1.5,2089,0.38,0.385,-,,-,0.03,-,-2.8,-
0.40,0.016,0.135,0.125,BPH,Biopharmica Ltd,0.13,-0.5,14983,0.12,0.13,-,,-,-,-,-3.04,-
0.049,0.011,-,-,BPO,BioProspect Ltd,0.039,,-,0.036,0.039,-,,-,0.01,-,-0.62,-
0.006,0.001,-,-,BPOOB,  opt mar10,0.001,,-,0.001,0.002,-,,-,-,-,-,-
