Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4673.9 at 16:34 18/2/2010  Report at 19:05 Thursday 18/2/2010. Processed 19:42 Thursday 18/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
3.00,2.50,2.78,2.78,ONT,1300 Smiles Ltd,2.78,3,20,2.75,2.78,11.4,f,1.64,0.13,4.10,18.7,14.9
0.18,0.10,-,-,TQH,3Q Hldgs Ltd,0.10,,-,0.135,0.19,-,,-,-0.10,-,1.07,9.3
0.083,0.015,-,-,FCS,4C Sec Solution,0.019,,-,0.021,0.023,-,,-,0.03,-,-4.2,-
0.48,0.226,0.385,0.37,ABP,Abacus Prop stpld,0.385,1.5,75024,0.38,0.385,5.75,,-,0.62,14.94,-11.81,-
1.45,0.90,1.38,1.33,ALR,Aberdeen Leaders,1.38,3.5,139,1.325,1.38,9,f,0.85,1.41,6.52,7.67,18.0
2.54,0.42,2.00,1.95,ACR,Acrux Ltd,1.95,-2.5,2603,1.935,1.95,-,,-,0.09,-,-4.84,-
0.10,0.017,-,-,ACW,Actinogen Ltd,0.07,,-,0.051,0.068,-,,-,0.05,-,-2.32,-
0.004,0.001,-,-,ACWO,  opt aug12,0.001,,-,0.001,-,-,,-,-,-,-,-
0.05,0.012,0.015,0.012,ACU,Acuvax Ltd,0.012,-0.4,30000,0.012,0.014,-,,-,-,-,-0.43,-
0.84,0.325,0.445,0.445,ADA,Adacel Tech,0.445,1,110,0.43,0.445,-,,-,0.22,-,8.2,5.4
0.31,0.165,-,-,AAU,Adcorp Aust,0.195,,-,0.20,0.23,1,,0.45,0.08,5.13,0.45,43.3
3.01,1.445,2.73,2.48,ABC,Adelaide Brighton,2.50,-11,106578,2.49,2.50,14,f,1.49,1.15,5.60,20.8,12.0
