Industrial Market - Daily,,,,,,,,,,,,,,,,,
XAO 4665.9 at 16:35 24/2/2010  Report at 19:05 Wednesday 24/2/2010. Processed 19:37 Wednesday 24/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
3.00,2.50,2.78,2.78,ONT,1300 Smiles Ltd,2.78,-2,50,2.80,2.85,12.5,f,1.54,0.08,4.50,19.23,14.5
0.18,0.10,-,-,TQH,3Q Hldgs Ltd,0.10,,-,0.125,0.17,-,,-,-0.10,-,1.07,9.3
0.083,0.015,0.025,0.025,FCS,4C Sec Solution,0.025,-0.1,200,0.021,0.025,-,,-,0.03,-,-4.2,-
0.48,0.23,0.41,0.395,ABP,Abacus Prop stpld,0.41,0.5,74019,0.405,0.41,5.75,,-,0.60,14.02,-2.32,-
1.45,0.90,1.37,1.335,ALR,Aberdeen Leaders,1.335,-2.5,220,1.34,1.365,9,f,0.85,1.41,6.74,7.67,17.4
2.54,0.42,2.02,1.96,ACR,Acrux Ltd,1.97,-3,1592,1.97,1.98,-,,-,0.09,-,-4.84,-
0.10,0.017,-,-,ACW,Actinogen Ltd,0.07,,-,0.051,0.065,-,,-,0.05,-,-2.32,-
0.004,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,0.001,-,,-,-,-,-,-
0.05,0.012,-,-,ACU,Acuvax Ltd,0.014,,-,0.013,0.015,-,,-,-,-,-0.43,-
0.84,0.325,0.45,0.43,ADA,Adacel Tech,0.43,-1.5,146,0.425,0.485,-,,-,0.21,-,2.7,15.9
0.31,0.165,-,-,AAU,Adcorp Aust,0.21,,-,0.215,0.23,1,,0.45,0.08,4.76,0.45,46.7
3.01,1.445,2.47,2.41,ABC,Adelaide Brighton,2.44,-3,12915,2.41,2.46,13.5,f,1.51,1.21,5.53,20.4,12.0
1.575,1.10,1.31,1.30,AYT,Adelaide Managed unt,1.30,-1,408,1.30,1.31,13.82,,0.49,1.78,10.63,6.83,19.0
0.123,0.058,0.065,0.063,ADQ,ADG Global Supply,0.063,0.3,1702,0.061,0.063,-,,-,-,-,-8.68,-
-,-,-,-,ADQO,  opt mar11,-,,-,0.01,0.023,-,,-,-,-,-,-
0.016,0.004,0.008,0.008,ADL,Admerex Ltd,0.008,,2500,0.007,0.008,-,,-,0.01,-,-2.68,-
3.60,1.65,-,-,ADG,Adtrans Grp,3.50,,-,3.50,3.70,16,f,1.74,2.37,4.57,27.9,12.5
0.014,0.004,0.011,0.011,ASC,Adultshop Com,0.011,0.1,15000,0.01,0.011,-,,-,0.04,-,-0.28,-
0.005,0.002,0.003,0.003,ASCO,  opt dec11,0.003,0.1,22506,0.003,0.005,-,,-,-,-,-,-
0.038,0.005,0.023,0.023,ABV,Adv Braking Tech,0.023,,1000,0.021,0.023,-,,-,-,-,-0.32,-
0.64,0.28,0.53,0.52,AMT,Adv Surg Dsgn & Mnft,0.52,2,433,0.52,0.54,-,,-,0.22,-,-0.1,-
0.085,0.02,-,-,AES,Advanced Energy,0.05,,-,0.025,0.038,-,,-,0.01,-,-0.06,-
0.093,0.031,0.057,0.055,ACE,Advanced Engine,0.055,-0.2,5367,0.053,0.057,-,,-,-0.04,-,-1.9,-
0.124,0.015,0.058,0.057,ANM,Advanced Magnesium,0.057,,7975,0.056,0.058,-,,-,0.01,-,-3.07,-
0.435,0.15,0.40,0.39,ASW,Advanced Share,0.39,-0.5,175,0.37,0.39,2.75,f,0.76,0.09,7.05,2.1,18.6
0.185,0.05,-,-,AEI,Aeris Environmental,0.095,,-,0.09,0.095,-,,-,0.01,-,-2.31,-
1.67,0.545,1.33,1.235,AVE,Aevum Ltd,1.265,-6.5,400,1.25,1.295,4,,1.05,2.07,3.16,4.2,30.1
