Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4694.9 at 16:36 1/3/2010  Report at 19:06 Monday 1/3/2010. Processed 19:45 Monday 1/3/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.00,2.50,2.85,2.80,ONT,1300 Smiles Ltd,2.85,13,886,2.75,2.85,12.5,f,1.54,0.08,4.39,19.23,14.8,
0.18,0.10,0.125,0.125,TQH,3Q Hldgs Ltd,0.125,-4.5,10,0.115,0.145,-,,-,-0.10,-,1.07,11.7,
0.07,0.015,-,-,FCS,4C Sec Solution,0.02,,-,0.02,0.035,-,,-,0.03,-,-4.2,-,
0.48,0.255,0.43,0.41,ABP,Abacus Prop stp,0.42,,65960,0.415,0.42,5.75,,-,0.60,13.69,-2.32,-,
1.45,0.90,1.385,1.35,ALR,Aberdeen Leaders,1.35,-5,174,1.35,1.385,9,f,0.85,1.41,6.67,7.67,17.6,
2.54,0.42,2.07,2.00,ACR,Acrux Ltd,2.02,-3,1863,2.01,2.02,-,,-,0.06,-,-2.84,-,
0.10,0.017,-,-,ACW,Actinogen Ltd,0.07,,-,0.051,0.072,-,,-,0.05,-,-2.32,-,
0.004,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,0.001,-,,-,-,-,-,-,
0.05,0.012,-,-,ACU,Acuvax Ltd,0.014,,-,0.013,0.015,-,,-,-,-,-0.43,-,
0.84,0.38,0.43,0.395,ADA,Adacel Tech,0.395,-4.5,227,0.395,0.46,-,,-,0.21,-,2.7,14.6,
0.31,0.17,-,-,AAU,Adcorp Aust,0.18,,-,0.18,0.195,1,,0.45,0.08,5.56,0.45,40.0,
3.01,1.445,2.42,2.37,ABC,Adelaide Brighton,2.41,4,29242,2.38,2.41,13.5,f,1.51,1.21,5.60,20.4,11.8,
1.575,1.10,1.31,1.31,AYT,Adelaide Managed unt,1.31,-0.5,5000,1.30,1.31,13.82,,0.49,1.78,10.55,6.83,19.2,
0.123,0.058,0.071,0.071,ADQ,ADG Global Supply,0.071,,3619,0.072,0.075,-,,-,-,-,-8.68,-,
0.01,0.01,0.01,0.01,ADQO,  opt mar11,0.01,,1500,0.01,0.029,-,,-,-,-,-,-,
0.016,0.004,0.007,0.006,ADL,Admerex Ltd,0.006,-0.2,19420,0.005,0.006,-,,-,0.01,-,-2.68,-,
3.60,1.90,-,-,ADG,Adtrans Grp,3.50,,-,3.50,3.60,20,f,1.40,2.37,5.71,27.9,12.5,
0.014,0.004,0.011,0.011,ASC,Adultshop Com,0.011,0.1,2000,0.01,0.011,-,,-,0.04,-,-0.28,-,
0.005,0.002,-,-,ASCO,  opt dec11,0.003,,-,0.003,0.005,-,,-,-,-,-,-,
0.038,0.005,-,-,ABV,Adv Braking Tech,0.021,,-,0.021,0.024,-,,-,-,-,-0.32,-,
0.64,0.28,-,-,AMT,Adv Surg Dsgn & Mnft,0.52,,-,0.52,0.53,-,,-,0.22,-,-0.1,-,
0.085,0.02,-,-,AES,Advanced Energy,0.05,,-,0.025,0.045,-,,-,0.01,-,-0.06,-,
0.093,0.031,0.05,0.05,ACE,Advanced Engine,0.05,-0.5,439,0.05,0.056,-,,-,-0.04,-,-1.9,-,
0.124,0.016,0.059,0.056,ANM,Advanced Magnesium,0.056,,352,0.056,0.059,-,,-,0.01,-,-3.07,-,
0.435,0.15,-,-,ASW,Advanced Share,0.39,,-,0.38,0.39,2.75,f,1.15,0.11,7.05,3.16,12.3,
0.185,0.05,-,-,AEI,Aeris Environmental,0.09,,-,0.09,0.095,-,,-,0.01,-,-2.31,-,
1.67,0.545,1.25,1.225,AVE,Aevum Ltd,1.225,-2.5,324,1.21,1.245,4,,1.05,2.07,3.27,4.2,29.2,
0.002,0.001,0.001,0.001,AFT,AFT Corp,0.001,,82000,0.001,0.002,-,,-,-,-,-0.03,-,
15.46,12.96,14.67,14.43,AGK,AGL Energy Ltd,14.65,28,18031,14.63,14.66,57,f,0.47,6.21,3.89,27,54.3,
0.28,0.13,-,-,AGJ,Agricultural Land unt,0.17,,-,0.17,-,2.12,,-,0.38,12.47,-3.63,-,
2.45,1.295,-,-,AHC,AHC Ltd,2.25,,-,2.25,2.40,-,,-,4.89,-,14.09,16.0,
0.22,0.05,0.15,0.13,AGI,Ainsworth Game Tech,0.13,-2.5,1420,0.13,0.155,-,,-,0.02,-,-4.45,-,
1.12,0.55,1.03,1.01,AIZ,Air New Zealand,1.03,3.5,1671,1.00,1.02,5.22,,0.75,1.12,5.07,3.9,26.4,
0.12,0.098,-,-,AIG,Aircruising Aust,0.11,,-,-,-,-,,-,-0.07,-,-5.34,-,
5.60,2.03,3.04,2.96,AJL,AJ Lucas Grp,3.02,2,263,3.02,3.04,5.5,,45.40,2.11,1.82,249.7,1.2,
0.81,0.14,0.66,0.64,ACL,Alchemia Ltd,0.655,-2,183,0.65,0.655,-,,-,0.09,-,-4.6,-,
47.10,44.00,-,-,AAI,Alcoa Inc cdi,45.25,,-,-,45.20,12.39,,-,-,0.27,-251.67,-,
2.43,1.433,2.22,2.13,LEP,ALE Prop Grp stp,2.21,-3,1182,2.20,2.21,27,,3.55,2.39,12.22,95.98,2.3,
5.91,0.60,4.50,4.34,ALS,Alesco Corp,4.49,12,3973,4.44,4.50,14,f,-,0.65,3.12,-17.36,-,
0.13,0.032,0.08,0.076,AEJ,Alinta Energy Grp stp,0.076,-0.3,7000,0.076,0.078,-,,-,-1.48,-,-20.34,-,
0.245,0.10,0.14,0.135,ABQ,Allied Brands Ltd,0.135,,2454,0.135,0.14,0.5,f,5.60,0.05,3.70,2.8,4.8,
0.005,0.001,-,-,ABQO,  opt dec10,0.001,,-,-,0.001,-,,-,-,-,-,-,
0.225,0.014,0.225,0.21,AEA,Altera Res Ltd,0.225,3.5,1380,0.175,0.25,-,,-,-,-,-3.25,-,
0.075,0.065,0.075,0.065,AEAO,  opt jan12,0.075,,784,0.075,0.085,-,,-,-,-,-,-,
1.45,0.575,1.03,1.03,AIQ,Alternative Invest unt,1.03,,119,1.03,1.07,47,,-,1.46,45.63,-33.96,-,
0.50,0.235,0.275,0.275,ALU,Altium Ltd,0.275,,-,0.24,0.26,2,,-,0.09,7.27,-6.97,-,
0.078,0.017,-,-,AMA,AMA Grp Ltd,0.063,,-,0.063,0.07,-,,-,-0.23,-,-43.5,-,
6.24,3.598,5.99,5.65,AHD,Amalgamated Hldgs,5.70,3,17601,5.65,5.80,35,f,1.96,4.65,6.14,68.5,8.3,
0.57,0.35,0.56,0.555,AMO,Ambertech Ltd,0.56,,200,0.525,0.56,5.5,f,1.69,0.61,9.82,9.3,6.0,
0.40,0.096,-,-,AMB,Ambition Grp Ltd,0.35,,-,0.355,0.40,-,,-,0.14,-,-13.07,-,
0.72,0.43,0.665,0.665,AMH,Amcil Ltd,0.665,1,160,0.66,0.665,2,,-,0.74,3.01,-1.14,-,
0.345,0.11,0.285,0.275,AMM,Amcom Telecomm,0.28,-0.5,20047,0.28,0.285,0.9,f,2.50,0.18,3.21,2.25,12.4,
6.35,3.50,6.03,5.93,AMC,Amcor Ltd,5.94,1,34113,5.94,5.95,29.5,,0.71,2.25,4.97,20.9,28.4,
3.00,1.30,2.61,2.59,AEC,Ammtec Ltd,2.59,-1,486,2.58,2.59,16.5,f,1.18,1.05,6.37,19.39,13.4,
1.265,0.73,0.92,0.905,AGF,AMP Capital China unt,0.92,0.5,1523,0.91,0.92,8.47,,0.51,1.33,9.21,4.35,21.1,
6.97,3.52,6.01,5.84,AMP,AMP Ltd,5.98,4,92196,5.97,5.99,30,p,1.24,0.80,5.02,37.1,16.1,
0.39,0.175,0.23,0.22,ANQ,Anaeco Ltd,0.22,,727,0.205,0.22,-,,-,0.02,-,-5.6,-,
0.015,0.001,-,-,ANQO,  opt may10,0.001,,-,-,0.05,-,,-,-,-,-,-,
0.004,0.001,-,-,ANQOA,  opt may12,0.001,,-,-,-,-,,-,-,-,-,-,
0.083,0.019,0.038,0.036,ALT,Analytica Ltd,0.036,-0.4,3270,0.035,0.04,-,,-,-,-,-0.6,-,
11.87,7.58,11.64,11.32,ANN,Ansell Ltd,11.51,8,11401,11.35,11.59,29,,2.82,1.92,2.52,81.7,14.1,
0.065,0.029,-,-,ANO,Antaria Ltd,0.04,,-,0.04,0.05,-,,-,0.03,-,0.77,5.2,
0.105,0.004,0.058,0.052,ADO,Anteo Diagnostics,0.056,0.4,263555,0.056,0.057,-,,-,0.01,-,-1.1,-,
0.07,0.001,0.041,0.035,ADOO,  opt sep10,0.04,0.4,10305,0.038,0.04,-,,-,-,-,-,-,
0.025,0.018,-,-,ADOOA,  opt feb11,0.025,,-,0.006,0.025,-,,-,-,-,-,-,
0.20,0.029,0.05,0.05,ANP,Antisense Therapeutic,0.05,,1500,0.05,0.053,-,,-,-,-,-0.55,-,
25.25,12.31,23.59,23.26,ANZ,ANZ Banking Grp,23.59,45,77762,23.57,23.59,102,f,1.67,10.72,4.32,170.4,13.8,
13.00,4.50,12.70,12.70,APE,AP Eagers Ltd,12.70,-10,3,12.70,12.80,62,f,0.58,8.41,4.88,36.1,35.2,
0.028,0.009,-,-,APP,APA Financial,0.016,,-,0.016,0.028,-,,-,-,-,-3.7,-,
3.68,2.50,3.53,3.42,APA,APA Grp stp,3.48,2,10609,3.45,3.51,31.75,,0.79,-,9.12,25,13.9,
0.115,0.014,0.053,0.051,AEZ,APN European Retail stp,0.053,,9005,0.052,0.054,-,,-,0.24,-,-11.22,-,
2.61,0.866,2.34,2.28,APN,APN News & Media,2.31,2,9939,2.27,2.34,4,f,4.17,-0.78,1.73,16.7,13.8,
0.41,0.09,0.30,0.30,APD,APN Prop Grp,0.30,,218,0.29,0.30,1.25,f,-,0.20,4.17,-18.08,-,
0.04,0.008,-,-,AOP,Apollo Cons,0.008,,-,0.007,0.008,-,,-,-,-,-0.91,-,
0.018,0.008,-,-,AQL,Aquacarotene Ltd,0.016,,-,0.013,0.015,-,,-,-,-,-0.35,-,
0.058,0.021,0.021,0.021,APB,Arafura Pearls,0.021,,1000,0.021,0.023,-,,-,0.22,-,2,1.1,
5.70,2.368,5.58,5.41,ARP,ARB Corp,5.53,-2,366,5.48,5.53,17.5,f,2.31,1.22,3.16,40.44,13.7,
1.845,0.79,1.48,1.41,AAD,Ardent Leisure Grp stp,1.45,1,4698,1.41,1.46,14.3,,0.19,1.10,9.86,2.73,53.1,
7.05,4.52,6.48,6.42,ARG,Argo Invest,6.47,-1,1132,6.43,6.47,25,f,-,6.56,3.86,-11.1,-,
1.098,0.006,0.25,0.25,ASV,Argus Solutions,0.25,-2,68,0.25,0.255,-,,-,-,-,-0.12,-,
0.37,0.205,0.27,0.27,ARA,Ariadne Aust,0.27,-0.5,1000,0.26,0.27,1,,-,0.32,3.70,-2.46,-,
5.75,3.16,4.41,4.22,ALL,Aristocrat Leisure,4.30,7,16827,4.28,4.38,4.5,,-,0.07,1.05,-31.3,-,
0.79,0.395,-,-,ARJ,ARK Fund Ltd (The),0.41,,-,-,-,7,f,1.15,1.08,17.07,8.07,5.1,
0.025,0.004,0.013,0.012,AEM,Artist & Entertain,0.013,0.2,14333,0.012,0.013,-,,-,-,-,2.83,0.5,
0.30,0.07,0.20,0.15,AKW,Arturus Capital,0.195,2.5,641,0.195,0.20,-,,-,0.43,-,51.76,0.4,
0.285,0.12,0.25,0.22,APH,Ascent Pharmahealth,0.22,-3,2926,0.23,0.245,-,,-,0.06,-,3.7,5.9,
1.94,0.332,1.855,1.785,AIO,Asciano Grp stp,1.805,0.5,109376,1.805,1.81,-,,-,0.10,-,-41.9,-,
0.43,0.06,0.085,0.085,AFA,ASF Grp Ltd,0.085,,411,0.085,0.093,-,,-,0.01,-,-2.61,-,
1.30,0.42,1.24,1.21,ASZ,ASG Grp Ltd,1.225,2.5,5022,1.225,1.235,6,f,1.57,0.06,4.90,9.43,13.0,
0.267,0.007,-,-,AJJ,Asia Liver Trans,0.10,,-,0.01,0.099,-,,-,-0.02,-,-2.51,-,
0.002,0.001,-,-,AJJO,  opt sep10,-,,-,-,-,-,,-,-,-,-,-,
1.06,0.77,-,-,AUF,Asian Masters Fund,1.00,,-,0.99,1.03,-,,-,1.02,-,-1.19,-,
0.37,0.125,-,-,AKF,ASK Funding Ltd,0.215,,-,0.11,0.20,1.3,f,4.15,0.35,6.05,5.4,4.0,
0.575,0.218,0.495,0.485,APZ,Aspen Grp stp,0.49,,16494,0.485,0.495,5.18,,-,0.68,10.57,-3.37,-,
0.271,0.11,-,-,ASP,Aspermont Ltd,0.15,,-,0.11,0.155,-,,-,-0.06,-,-0.22,-,
1.15,0.75,0.90,0.90,AIR,Astivita Renewables,0.90,,51,0.90,0.95,-,,-,0.38,-,8.23,10.9,
0.90,0.008,0.67,0.67,AKR,Astra Capital Ltd,0.67,,26,0.67,0.70,-,,-,1.60,-,-0.03,-,
