Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:10 Friday 18/6/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.20,2.50,3.20,3.20,ONT,1300 Smiles Ltd,3.20,12,30,3.10,3.20,12.5,f,1.54,0.08,3.91,19.23,16.6,
0.18,0.095,-,-,TQH,3Q Hldgs Ltd,0.11,,-,0.071,0.105,-,,-,-0.08,-,3.28,3.4,
0.05,0.015,0.026,0.026,FCS,4C Sec Solution,0.026,-0.1,80,0.011,0.02,-,,-,0.01,-,-2.77,-,
0.275,0.15,0.15,0.15,AAY,Aacl Hldgs Ltd,0.15,,40,0.045,0.14,-,,-,-,-,-,-,
0.48,0.33,0.405,0.40,ABP,Abacus Prop stp,0.405,,86848,0.40,0.405,5.75,,-,0.60,14.20,-2.32,-,
1.47,1.17,1.285,1.28,ALR,Aberdeen Leaders,1.28,,170,1.285,1.30,9,f,0.85,1.46,7.03,7.67,16.7,
2.60,1.05,1.92,1.88,ACR,Acrux Ltd,1.90,-3,399,1.895,1.90,-,,-,0.06,-,-2.84,-,
0.10,0.027,-,-,ACW,Actinogen Ltd,0.04,,-,0.027,0.04,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.035,0.004,0.005,0.004,ACU,Acuvax Ltd,0.004,,17000,0.004,0.005,-,,-,-,-,-0.37,-,
0.84,0.32,0.415,0.41,ADA,Adacel Tech,0.41,-0.5,370,0.41,0.455,-,,-,0.21,-,2.7,15.2,
