Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:11 Wednesday 1/9/2010.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
3.30,2.61,-,-,ONT,1300 Smiles Ltd,3.29,,-,-,-,13.7,f,1.53,0.15,4.16,21,15.7,
0.18,0.08,-,-,TQH,3Q Hldgs Ltd,0.11,,-,0.08,0.10,-,,-,-0.08,-,3.28,3.4,
0.05,0.015,-,-,FCS,4C Sec Solution,0.042,,-,-,-,-,,-,0.01,-,-2.77,-,
0.275,0.05,0.08,0.08,AAY,Aacl Hldgs Ltd,0.08,-0.5,680,0.062,0.08,-,,-,-,-,-,-,
0.48,0.335,0.43,0.415,ABP,Abacus Prop stp,0.43,2,44334,0.425,0.43,3.9,,0.39,0.58,9.07,1.53,28.1,
1.47,1.21,-,-,ALR,Aberdeen Leaders,1.225,,-,-,-,9.5,f,1.08,1.31,7.76,10.29,11.9,
2.60,1.31,2.08,2.00,ACR,Acrux Ltd,2.02,,956,2.01,2.03,-,,-,-,-,29.08,6.9,
0.11,0.027,-,-,ACW,Actinogen Ltd,0.07,,-,0.07,0.075,-,,-,0.04,-,-1.88,-,
0.003,0.001,-,-,ACWO,  opt aug12,0.001,,-,-,-,-,,-,-,-,-,-,
0.024,0.002,-,-,ACU,Acuvax Ltd,0.003,,-,-,-,-,,-,-,-,-0.37,-,
0.84,0.30,0.30,0.30,ADA,Adacel Tech,0.30,-0.5,70,0.305,0.315,-,,-,0.21,-,2.7,11.1,
0.305,0.145,0.19,0.19,AAU,Adcorp Aust,0.19,,750,0.19,0.195,-,,-,0.07,-,-2.18,-,
3.435,2.293,3.29,3.25,ABC,Adelaide Brighton,3.28,,21413,3.26,3.28,15.5,f,1.52,1.16,4.73,23.6,13.9,
1.465,1.144,1.455,1.44,AYT,Adelaide Managed unt,1.44,-1,730,1.44,1.445,15.35,,0.14,1.63,10.66,2.11,68.2,
0.118,0.05,-,-,ADQ,ADG Global Supply,0.05,,-,-,-,-,,-,0.02,-,-11.08,-,
0.013,0.008,-,-,ADQO,  opt mar11,0.008,,-,-,-,-,,-,-,-,-,-,
0.016,0.002,0.003,0.003,ADL,Admerex Ltd,0.003,,3440,0.003,0.004,-,,-,-,-,-0.4,-,
4.18,2.75,-,-,ADG,Adtrans Grp,4.09,,-,4.09,4.19,23,f,1.60,2.54,5.62,36.7,11.1,
0.019,0.005,-,-,ASC,Adultshop Com,0.016,,-,0.017,0.018,-,,-,0.02,-,-0.19,-,
0.008,0.002,-,-,ASCO,  opt dec11,0.005,,-,-,-,-,,-,-,-,-,-,
0.038,0.016,0.019,0.017,ABV,Adv Braking Tech,0.019,0.3,3300,0.017,0.019,-,,-,-,-,-0.16,-,
0.64,0.33,-,-,AMT,Adv Surg Dsgn & Mnft,0.47,,-,-,-,-,,-,0.22,-,-0.1,-,
0.125,0.033,-,-,AES,Advanced Energy,0.049,,-,-,-,-,,-,0.01,-,-0.09,-,
0.093,0.031,-,-,ACE,Advanced Engine,0.033,,-,-,-,-,,-,-0.05,-,-2.58,-,
0.07,0.03,0.05,0.05,ANM,Advanced Magnesium,0.05,0.2,1288,0.05,0.054,-,,-,0.02,-,-2.64,-,
0.78,0.235,-,-,ASW,Advanced Share,0.75,,-,-,-,3.6,f,1.00,0.11,4.80,3.61,20.8,
0.16,0.055,0.135,0.135,AEI,Aeris Environmental,0.135,1.5,352,0.12,0.145,-,,-,-,-,-2.05,-,
1.77,1.01,1.70,1.66,AVE,Aevum Ltd,1.70,2,2280,1.68,1.70,5,,3.84,2.02,2.94,19.2,8.9,
0.002,0.001,0.001,0.001,AFT,AFT Corp,0.001,,105,0.001,0.002,-,,-,-,-,-0.01,-,
15.69,13.37,15.30,15.11,AGK,AGL Energy Ltd,15.30,28,19647,15.18,15.30,59,,1.34,5.89,3.86,79.3,19.3,
0.175,0.121,0.14,0.13,AGJ,Agricultural Land unt,0.14,1,3740,0.12,0.14,2.02,,-,0.38,14.43,-2.28,-,
2.45,2.00,-,-,AHC,AHC Ltd,2.04,,-,-,-,-,,-,4.89,-,14.09,14.5,
16.50,13.95,-,-,ENY,Aii200energy etf unt,15.03,,-,15.03,15.15,-,,-,-,-,-,-,
5.09,4.18,-,-,FIN,Aii200financials etf unt,4.30,,-,4.41,4.45,-,,-,-,-,-,-,
5.98,4.83,-,-,FIX,Aii200finxareit etf unt,5.06,,-,5.10,5.14,-,,-,-,-,-,-,
3.97,3.21,-,-,IDD,Aii200industrials etf unt,3.43,,-,3.55,3.58,-,,-,-,-,-,-,
5.65,4.60,5.05,5.05,RSR,Aii200res etf unt,5.05,6,3,5.07,5.11,-,,-,-,-,-,-,
4.83,3.90,-,-,MAM,Aii300metals&Min etf unt,4.14,,-,4.27,4.30,-,,-,-,-,-,-,
0.22,0.08,0.14,0.13,AGI,Ainsworth Game Tech,0.14,1,696,0.14,0.15,-,,-,0.01,-,-4.95,-,
1.145,0.83,1.01,1.00,AIZ,Air New Zealand,1.01,1,72,0.98,1.01,5.17,,1.19,1.15,5.12,6.17,16.4,
0.11,0.065,-,-,AIG,Aircruising Aust,0.065,,-,-,-,-,,-,-0.11,-,-8.38,-,
5.60,1.82,1.955,1.82,AJL,AJ Lucas Grp,1.865,-9,1463,1.85,1.865,5.5,,-,1.19,2.95,-11,-,
0.81,0.345,0.49,0.485,ACL,Alchemia Ltd,0.49,0.5,860,0.485,0.49,-,,-,0.07,-,-5,-,
47.10,11.50,11.50,11.50,AAI,Alcoa Inc cdi,11.50,-98,1,11.50,12.48,11.4,,-,-,0.99,-14.02,-,
2.43,1.905,2.00,1.99,LEP,ALE Prop Grp stp,2.00,,793,1.99,2.00,24,,-,2.10,12.00,-10.94,-,
5.91,2.25,2.85,2.76,ALS,Alesco Corp,2.82,5,2629,2.78,2.83,7,,-,0.60,2.48,-132.84,-,
0.205,0.01,0.16,0.155,AJX,Alexium Int Grp,0.155,-0.5,2421,0.155,0.17,-,,-,-,-,-0.13,-,
0.105,0.041,0.05,0.049,AEJ,Alinta Energy Grp stp,0.049,,2517,0.049,0.05,-,,-,-1.53,-,-58.71,-,
