Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4664.9 at 2010-09-21T16:38:37. Report at Tuesday, September 21, 2010. Processed Tuesday at 2010-09-21T23:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
3.55,2.65,-,-,ONT,1300 Smiles,3.27,-,-,3.27,3.49,13.70,f,1.53,.15,4.19,21.00,15.6,,
.18,.07,-,-,TQH,3Q Hldgs,.075,-,-,.07,.075,-,,-,-.07,-,.84,8.9,,
.05,.015,-,-,FCS,4C Sec Solution,.031,-,-,.024,.039,-,,-,.10,-,-.58,-,,
.275,.03,-,-,AAY,AACL Hldgs,.055,-,-,.056,.072,-,,-,-,-,-,-,,
.48,.365,.42,.41,ABP,Abacus Prop stp,.415,-,17386,.41,.415,3.90,,.39,.58,9.40,1.53,27.1,,
1.47,1.21,1.28,1.27,ALR,Aberdeen Leaders,1.28,+1,76,1.28,1.29,9.50,f,1.08,1.31,7.42,10.29,12.4,,
2.60,1.43,2.20,2.15,ACR,Acrux,2.18,+1,446,2.16,2.18,-,,-,-,-,29.08,7.5,,
.11,.027,.097,.097,ACW,Actinogen,.097,+.7,40,.097,.105,-,,-,.03,-,-1.85,-,,
.003,.001,-,-,ACWO,  opt aug12,.001,-,-,.001,.02,-,,-,-,-,-,-,,
.016,.002,-,-,ACU,Acuvax,.002,-,-,.002,.003,-,,-,-,-,-.34,-,,
.705,.30,-,-,ADA,Adacel Tech,.335,-,-,.30,.33,-,,-,.19,-,-3.50,-,,
.305,.145,.20,.195,AAU,Adcorp Aust,.20,+.5,176,.19,.20,-,,-,.08,-,-11.03,-,,
3.46,2.293,3.42,3.36,ABC,Adelaide Brighton,3.36,-1,7708,3.36,3.37,15.50,f,1.52,1.16,4.61,23.60,14.2,,
1.56,.25,.32,.25,AYT,Adelaide Mgd unt,.265,-127.5,18466,.265,.27,15.35,,.14,1.63,57.92,2.11,12.6,,
.118,.05,-,-,ADQ,ADG Global Supply,.064,-,-,.057,.072,-,,-,.01,-,-1.09,-,,
.013,.008,-,-,ADQO,  opt mar11,.008,-,-,-,.009,-,,-,-,-,-,-,,
.016,.002,-,-,ADL,Admerex,.002,-,-,.002,.003,-,,-,-,-,-.56,-,,
4.19,2.75,4.00,3.98,ADG,Adtrans Grp,3.98,-1,120,3.98,3.99,23.00,f,1.60,2.54,5.78,36.70,10.8,,
.019,.008,.016,.016,ASC,AdultShop.com,.016,+.2,710,.014,.016,-,,-,.02,-,-.43,-,,
.008,.002,.005,.004,ASCO,  opt dec11,.004,-.1,1500,.004,.007,-,,-,-,-,-,-,,
.034,.016,.016,.016,ABV,Adv Braking Tech,.016,-,1370,.016,.017,-,,-,-,-,-.16,-,,
.64,.33,.35,.34,AMT,Adv Surg Dsgn & Mnft,.35,-1,504,.34,.40,-,,-,.16,-,-1.31,-,,
.125,.033,.04,.035,AES,Advanced Energy,.035,-.5,1993,.031,.035,-,,-,.01,-,-.10,-,,
.093,.031,-,-,ACE,Advanced Engine,.037,-,-,.033,.039,-,,-,-.03,-,-2.30,-,,
.07,.03,.047,.047,ANM,Advanced Magnesium,.047,-,1001,.047,.05,-,,-,.03,-,-1.66,-,,
.90,.235,.80,.785,ASW,Advanced Share,.79,-2,170,.78,.80,3.60,f,1.00,.11,4.56,3.61,21.9,,
.26,.055,.26,.245,AEI,Aeris Environmental,.26,+1,5015,.26,.28,-,,-,.01,-,-1.93,-,,
1.83,1.01,1.80,1.795,AVE,Aevum,1.795,-1,12134,1.795,1.80,5.00,,3.84,2.02,2.79,19.20,9.3,,
.002,.001,.001,.001,AFT,AFT Corp,.001,-,90000,.001,.002,-,,-,-,-,-,-,,
.047,.017,.043,.038,AGX,Agenix,.038,-.3,8133,.038,.041,-,,-,.01,-,.54,7.0,,
.01,.005,-,-,AGXO,  opt jun11,.005,-,-,.002,.02,-,,-,-,-,-,-,,
16.24,13.43,16.24,16.02,AGK,AGL Energy,16.08,-3,9841,16.07,16.09,59.00,,1.34,5.89,3.67,79.30,20.3,,
.175,.121,-,-,AGJ,Agricultural Land unt,.135,-,-,.13,.18,2.02,,1.11,.37,14.96,2.25,6.0,,
2.45,1.80,1.80,1.80,AHC,AHC,1.80,-20,83,1.50,1.80,-,,-,4.94,-,-.31,-,,
16.50,13.95,-,-,ENY,Aii 200 Energy etf unt,15.26,-,-,15.21,15.31,-,,-,-,-,-,-,,
5.09,4.18,-,-,FIN,Aii 200 Financials etf unt,4.59,-,-,4.58,4.62,-,,-,-,-,-,-,,
5.98,4.83,-,-,FIX,Aii 200 Fin x-A-REIT etf unt,5.31,-,-,5.30,5.34,-,,-,-,-,-,-,,
3.97,3.21,-,-,IDD,Aii 200 Industrials etf unt,3.78,-,-,3.76,3.79,-,,-,-,-,-,-,,
5.65,4.60,5.32,5.28,RSR,Aii 200 Resources etf unt,5.32,+3,10,5.27,5.32,-,,-,-,-,-,-,,
4.83,3.90,4.53,4.53,MAM,Aii 300 Metals & Min etf unt,4.53,-,3,4.49,4.53,-,,-,-,-,-,-,,
.22,.08,-,-,AGI,Ainsworth Game Tech,.135,-,-,.125,.135,-,,-,.01,-,-1.00,-,,
1.145,.83,.995,.995,AIZ,Air New Zealand,.995,-2.5,-,.99,1.00,5.45,,1.13,1.15,5.48,6.17,16.1,,
.11,.065,-,-,AIG,Aircruising Aust,.065,-,-,.001,.08,-,,-,-.11,-,-3.63,-,,
