Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4773.2 at 2010-11-02T16:40:30. Report at Tuesday, November 2, 2010. Processed Wednesday at 2010-11-03T01:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
3.62,2.65,-,-,ONT,1300 Smiles,3.61,-,-,3.53,3.61,13.70,f,1.53,.15,3.80,21.00,17.2,,
.18,.061,-,-,TQH,3Q Hldgs,.07,-,-,.062,.075,-,,-,-.07,-,.84,8.3,,
.048,.015,-,-,FCS,4C Sec Solution,.032,-,-,.032,.038,-,,-,.10,-,-.58,-,,
.275,.03,-,-,AAY,AACL Hldgs,.08,-,-,.08,.087,-,,-,-,-,-,-,,
.47,.365,.44,.43,ABP,Abacus Prop stp,.43,-,13606,.43,.435,3.90,,.39,.58,9.07,1.53,28.1,,
1.47,1.21,1.29,1.29,ALR,Aberdeen Leaders,1.29,-1,30,1.29,1.30,9.50,f,1.08,1.29,7.36,10.29,12.5,,
3.13,1.70,3.13,3.07,ACR,Acrux,3.13,+6,15805,3.10,3.13,-,,-,-,-,29.08,10.8,,
.105,.023,-,-,ACW,Actinogen,.105,-,-,.08,.09,-,,-,.03,-,-1.85,-,,
.003,.001,-,-,ACWO,  opt aug12,.002,-,-,.002,.02,-,,-,-,-,-,-,,
.012,.002,-,-,ACU,Acuvax,.002,-,-,.002,.003,-,,-,-,-,-.34,-,,
.69,.28,-,-,ADA,Adacel Tech,.37,-,-,.37,.385,-,,-,.19,-,-3.50,-,,
.305,.145,-,-,AAU,Adcorp Aust,.20,-,-,.20,.21,-,,-,.08,-,-11.03,-,,
3.65,2.293,3.65,3.57,ABC,Adelaide Brighton,3.62,+2,9201,3.62,3.63,15.50,f,1.52,1.16,4.28,23.60,15.3,,
.32,.158,.25,.25,AYT,Adelaide Mgd unt,.25,+.5,1256,.245,.255,15.00,,.14,1.64,60.00,2.11,11.8,,
.11,.05,-,-,ADQ,ADG Global Supply,.065,-,-,.06,.065,-,,-,.01,-,-1.09,-,,
.013,.008,-,-,ADQO,  opt mar11,.008,-,-,-,.008,-,,-,-,-,-,-,,
.013,.002,-,-,ADL,Admerex,.003,-,-,-,-,-,,-,-,-,-.56,-,,
3.683,2.593,-,-,ADG,Adtrans Grp,3.51,-,-,3.41,3.51,23.00,f,1.60,2.54,6.55,36.70,9.6,,
.019,.008,.016,.015,ASC,AdultShop.com,.015,-,2705,.015,.016,-,,-,.02,-,-.43,-,,
.008,.002,-,-,ASCO,  opt dec11,.008,-,-,.005,.008,-,,-,-,-,-,-,,
.033,.014,.027,.027,ABV,Adv Braking Tech,.027,-.1,10000,.027,.028,-,,-,-,-,-.16,-,,
.64,.33,-,-,AMT,Adv Surg Dsgn & Mnft,.40,-,-,.40,.41,-,,-,.16,-,-1.31,-,,
.125,.035,-,-,AES,Advanced Energy,.05,-,-,.031,.06,-,,-,.01,-,-.10,-,,
.07,.031,-,-,ACE,Advanced Engine,.044,-,-,.036,.042,-,,-,-.03,-,-2.30,-,,
.07,.03,.047,.045,ANM,Advanced Magnesium,.045,-,590,.045,.049,-,,-,.03,-,-1.66,-,,
.90,.29,-,-,ASW,Advanced Share,.80,-,-,.805,.835,3.60,f,1.00,.11,4.50,3.61,22.2,,
.39,.055,.28,.28,AEI,Aeris Environmental,.28,-,50,.28,.29,-,,-,.01,-,-1.93,-,,
1.83,1.01,-,-,AVE,Aevum,1.77,-,-,1.77,1.78,5.00,,3.84,2.02,2.82,19.20,9.2,,
.002,.001,.001,.001,AFT,AFT Corp,.001,-,20000,.001,.002,-,,-,-,-,-,-,,
.047,.017,.022,.022,AGX,Agenix,.022,-.1,188,.022,.024,-,,-,.01,-,.54,4.1,,
.01,.001,-,-,AGXO,  opt jun11,.001,-,-,.001,.005,-,,-,-,-,-,-,,
16.92,13.43,16.19,16.00,AGK,AGL Energy,16.02,-9,6501,16.00,16.17,59.00,,1.34,5.89,3.68,79.30,20.2,,
.175,.121,-,-,AGJ,Agricultural Land unt,.15,-,-,.14,.15,2.02,,1.11,.37,13.47,2.25,6.7,,
2.45,1.80,-,-,AHC,AHC,1.90,-,-,1.90,2.00,-,,-,4.94,-,-.31,-,,
16.50,13.95,-,-,ENY,Aii 200 Energy etf unt,15.33,-,-,15.44,15.54,-,,-,-,-,-,-,,
5.09,4.18,4.54,4.54,FIN,Aii 200 Financials etf unt,4.54,-2,2,4.41,4.77,-,,-,-,-,-,-,,
5.98,4.83,-,-,FIX,Aii 200 Fin x-A-REIT etf unt,5.26,-,-,5.32,5.34,-,,-,-,-,-,-,,
3.97,3.21,-,-,IDD,Aii 200 Industrials etf unt,3.85,-,-,3.78,3.81,-,,-,-,-,-,-,,
5.65,4.60,-,-,RSR,Aii 200 Resources etf unt,5.60,-,-,5.57,5.60,-,,-,-,-,-,-,,
4.85,3.90,-,-,MAM,Aii 300 Metals & Min etf unt,4.81,-,-,4.81,5.00,-,,-,-,-,-,-,,
.205,.08,.155,.155,AGI,Ainsworth Game Tech,.155,+.5,150,.155,.16,-,,-,.01,-,-1.00,-,,
1.145,.83,1.055,1.03,AIZ,Air New Zealand,1.055,+2.5,223,1.00,1.055,5.45,,1.13,1.15,5.17,6.17,17.1,,
.11,.065,-,-,AIG,Aircruising Aust,.065,-,-,-,.08,-,,-,-.11,-,-3.63,-,,
