Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4902.5 at 2011-03-08T16:40:17. Report at Tuesday, March 8, 2011. Processed Wednesday at 2011-03-09T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
4.25,2.75,3.95,3.95,ONT,1300 Smiles,3.95,-5,3,3.95,4.00,14.70,f,1.55,.18,3.72,22.77,17.3,,
.14,.061,-,-,TQH,3Q Hldgs,.078,-,-,.052,.07,-,,-,-.07,-,.84,9.3,,
.048,.015,.031,.031,FCS,4C Sec Solution,.031,-,28,.03,.04,-,,-,.01,-,-.15,-,,
.275,.03,-,-,AAY,AACL Hldgs,.071,-,-,.071,.085,-,,-,-,-,-3.00,-,,
.725,.015,.016,.016,AAQ,AAQ Hldgs,.016,-.1,37300,.016,.018,-,,-,-,-,-3.24,-,,
2.37,1.825,2.25,2.22,ABP,Abacus Prop stp,2.24,-,4501,2.24,2.25,9.90,,.29,2.83,4.42,2.91,77.0,,
1.47,1.21,1.315,1.30,ALR,Aberdeen Leaders,1.315,+1,439,1.295,1.315,9.50,f,.50,1.37,7.22,4.77,27.6,,
.56,.365,-,-,AKG,Academies A'asia,.51,-,-,.51,.56,4.00,f,1.24,.15,7.84,4.95,10.3,,
3.67,1.72,3.49,3.42,ACR,Acrux,3.44,-1,1905,3.44,3.45,-,,-,.77,-,65.08,5.3,,
.105,.023,-,-,ACW,Actinogen,.08,-,-,.065,.07,-,,-,.02,-,-2.12,-,,
.014,.001,-,-,ACWO,  opt aug12,.01,-,-,-,-,-,,-,-,-,-,-,,
.015,.01,-,-,ACWOA,  opt sep15,.015,-,-,.012,-,-,,-,-,-,-,-,,
.008,.001,.003,.002,ACU,Acuvax,.002,-,20468,.002,.003,-,,-,-,-,-.14,-,,
.69,.28,.32,.32,ADA,Adacel Tech,.32,-,425,.27,.33,-,,-,.17,-,-2.10,-,,
.24,.145,.24,.24,AAU,Adcorp Aust,.24,+1.5,30,.215,.25,1.00,f,-,.08,4.17,-9.67,-,,
.003,.001,.001,.001,ABN,AdEffective,.001,-,82674,.001,.002,-,,-,-,-,.21,.5,,
3.692,2.375,3.34,3.30,ABC,Adelaide Brighton,3.30,-4,20645,3.30,3.32,16.50,f,1.45,1.19,5.00,23.90,13.8,,
.296,.147,.245,.24,AYT,Adelaide Mgd unt,.245,-,1586,.245,.25,11.60,,1.02,.29,47.35,11.88,2.1,,
.082,.05,.074,.07,ADQ,ADG Global Supply,.07,-.7,240,.07,.071,-,,-,.03,-,-.86,-,,
.013,.008,-,-,ADQO,  opt mar11,.008,-,-,-,.001,-,,-,-,-,-,-,,
.038,.014,.029,.028,ABV,Adv Braking Tech,.029,-,3000,.026,.028,-,,-,.01,-,-.03,-,,
.54,.28,-,-,AMT,Adv Surg Dsgn & Mnft,.295,-,-,.295,.30,-,,-,.14,-,-6.01,-,,
.125,.035,-,-,AES,Advanced Energy,.04,-,-,.03,.04,-,,-,-,-,-.06,-,,
.052,.015,.016,.016,ACE,Advanced Engine,.016,+.1,105,.016,.02,-,,-,-.04,-,-2.65,-,,
.062,.039,.04,.04,ANM,Advanced Magnesium,.04,-,696,.04,.042,-,,-,.02,-,-.65,-,,
1.20,.375,.95,.95,ASW,Advanced Share Reg,.95,-,119,.95,.98,3.70,f,.96,.15,3.89,3.56,26.7,,
.39,.055,.22,.20,AEI,Aeris Environmental,.20,-2,2250,.20,.23,-,,-,-.02,-,-1.54,-,,
.002,.001,.001,.001,AFT,AFT Corp,.001,-,9467,.001,.002,-,,-,-,-,.02,5.0,,
.047,.017,.024,.024,AGX,Agenix,.024,-,1574,.024,.025,-,,-,-,-,.57,4.2,,
.01,.001,-,-,AGXO,  opt jun11,.001,-,-,-,.001,-,,-,-,-,-,-,,
16.92,13.51,14.51,14.37,AGK,AGL Energy,14.39,-10,13136,14.38,14.43,59.00,,1.54,6.40,4.10,91.10,15.8,,
.19,.121,-,-,AGJ,Agricultural Land unt,.16,-,-,.16,.205,1.88,,1.19,.37,11.75,2.23,7.2,,
2.25,1.80,-,-,AHC,AHC,1.90,-,-,-,-,10.00,f,1.16,4.92,5.26,11.63,16.3,,
16.75,13.95,16.65,16.65,ENY,AII 200 Energy etf unt,16.65,+5,6,16.11,17.05,-,p,-,-,-,-,-,,
5.09,4.18,-,-,FIN,AII 200 Financials etf unt,4.67,-,-,4.60,4.64,-,p,-,-,-,-,-,,
5.98,4.83,5.30,5.25,FIX,AII 200 Fin X-A-REIT etf unt,5.30,-6,519,5.31,5.45,-,p,-,-,-,-,-,,
3.97,3.21,3.84,3.84,IDD,AII 200 Industrials etf unt,3.84,+7,26,3.68,3.97,-,p,-,-,-,-,-,,
6.10,4.60,6.00,6.00,RSR,AII 200 Resources etf unt,6.00,-3,8,5.83,6.16,-,p,-,-,-,-,-,,
5.32,3.90,-,-,MAM,AII 300 Metals & Mining etf unt,5.15,-,-,5.12,5.22,-,p,-,-,-,-,-,,
.32,.08,.24,.235,AGI,Ainsworth Game Tech,.235,-.5,1525,.235,.24,-,,-,.02,-,1.69,13.9,,
1.175,.83,.895,.885,AIZ,Air New Zealand,.89,-1,624,.885,.89,5.32,,1.67,1.14,5.98,8.87,10.0,,
.11,.065,-,-,AIG,Aircruising Aust,.065,-,-,.04,.06,-,,-,-.15,-,-4.06,-,,
3.24,1.70,2.30,2.26,AJL,AJ Lucas Grp,2.28,-1,563,2.26,2.30,-,,-,.94,-,-47.00,-,,
.77,.345,.73,.715,ACL,Alchemia,.715,-,1410,.715,.73,-,,-,.04,-,-6.30,-,,
45.19,11.50,-,-,AAI,Alcoa Inc cdi,16.85,-,-,14.00,16.50,10.88,,-,-,.65,-14.02,-,,
2.30,1.80,1.895,1.85,LEP,ALE Prop Grp stp,1.855,+1.5,522,1.855,1.89,22.00,,.32,2.26,11.86,6.98,26.6,,
3.63,2.25,3.34,3.24,ALS,Alesco Corp,3.29,+5,5598,3.23,3.34,1.50,f,-,.72,.46,-141.41,-,,
.205,.024,.098,.098,AJX,Alexium Int'l,.098,+.1,1000,.098,.10,-,,-,-.01,-,-4.93,-,,
.67,.17,.41,.41,AEB,Algae.Tec,.41,-,261,.41,.43,-,,-,-,-,-,-,,
.099,.041,.096,.094,AEJ,Alinta Energy Grp stp,.094,-.2,33156,.094,.095,-,,-,-1.30,-,-146.64,-,,
.30,.16,.30,.245,AZG,Allmine Grp,.28,+6.5,129240,.275,.28,-,,-,-,-,-,-,,
.83,.657,.765,.765,AIQ,Alternative Invest unt,.765,-,3,.76,.785,-,,-,1.39,-,-2.79,-,,
.33,.12,.155,.12,ALU,Altium,.145,+2,3945,.115,.15,-,,-,.01,-,-11.90,-,,
.15,.033,-,-,AMA,AMA Grp,.13,-,-,.125,.13,-,,-,-.06,-,3.48,3.7,,
6.78,5.21,6.26,6.20,AHD,Amalgamated Hldgs,6.23,+3,689,6.12,6.26,37.00,f,2.21,5.05,5.94,81.90,7.6,,
