Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4840.3 at 2011-03-25T16:36:35. Report at Friday, March 25, 2011. Processed Saturday at 2011-03-26T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
4.25,2.75,3.90,3.90,ONT,1300 Smiles,3.90,-9,4,3.80,3.90,14.70,f,1.55,.18,3.77,22.77,17.1,,
.11,.052,.052,.052,TQH,3Q Hldgs,.052,-2.6,15,.052,.08,-,,-,-.06,-,1.08,4.8,,
.048,.015,-,-,FCS,4C Sec Solution,.03,-,-,.03,.033,-,,-,.01,-,-.15,-,,
.275,.03,-,-,AAY,AACL Hldgs,.055,-,-,.055,.075,-,,-,-,-,-3.00,-,,
.725,.013,.014,.014,AAQ,AAQ Hldgs,.014,-,9977,.014,.015,-,,-,-,-,-3.24,-,,
2.37,1.825,2.33,2.25,ABP,Abacus Prop stp,2.33,+3,5567,2.30,2.33,9.90,,.29,2.83,4.25,2.91,80.1,,
1.47,1.21,1.285,1.26,ALR,Aberdeen Leaders,1.285,+1.5,1643,1.28,1.285,9.50,f,.50,1.37,7.39,4.77,26.9,,
.56,.365,-,-,AKG,Academies A'asia,.51,-,-,.51,.58,4.00,f,1.24,.15,7.84,4.95,10.3,,
3.82,1.72,3.70,3.58,ACR,Acrux,3.65,+8,9953,3.64,3.65,-,,-,.77,-,65.08,5.6,,
.105,.023,-,-,ACW,Actinogen,.048,-,-,.049,.055,-,,-,.02,-,-2.12,-,,
.014,.001,-,-,ACWO,  opt aug12,.01,-,-,-,.01,-,,-,-,-,-,-,,
.015,.01,-,-,ACWOA,  opt sep15,.015,-,-,.015,-,-,,-,-,-,-,-,,
.007,.001,-,-,ACU,Acuvax,.002,-,-,.002,.003,-,,-,-,-,-.14,-,,
.69,.27,-,-,ADA,Adacel Tech,.285,-,-,.285,.32,-,,-,.17,-,-2.10,-,,
.25,.145,.25,.24,AAU,Adcorp Aust,.25,-,120,.20,.25,1.00,f,-,.08,4.00,-9.67,-,,
.003,.001,.001,.001,ABN,AdEffective,.001,-,5000,.001,.002,-,,-,-,-,.21,.5,,
3.692,2.473,3.20,3.11,ABC,Adelaide Brighton,3.15,-3,35529,3.14,3.16,16.50,f,1.45,1.19,5.24,23.90,13.2,,
.296,.148,.25,.25,AYT,Adelaide Mgd unt,.25,-,100,.24,.25,11.60,,1.02,.29,46.40,11.88,2.1,,
.082,.05,-,-,ADQ,ADG Global Supply,.065,-,-,.07,.078,-,,-,.03,-,-.86,-,,
.012,.008,-,-,ADQO,  opt mar11,.008,-,-,-,-,-,,-,-,-,-,-,,
.038,.014,-,-,ABV,Adv Braking Tech,.026,-,-,.026,.028,-,,-,.01,-,-.03,-,,
.54,.20,.255,.24,AMT,Adv Surg Dsgn & Mnft,.255,-,200,.23,.255,-,,-,.14,-,-6.01,-,,
.125,.035,-,-,AES,Advanced Energy,.054,-,-,.05,.054,-,,-,-,-,-.06,-,,
.05,.015,-,-,ACE,Advanced Engine,.015,-,-,.016,.019,-,,-,-.04,-,-2.65,-,,
.062,.036,.038,.038,ANM,Advanced Magnesium,.038,-,209,.038,.044,-,,-,.02,-,-.65,-,,
1.20,.375,.90,.88,ASW,Advanced Share Reg,.90,-3,110,.89,.925,3.70,f,.96,.15,4.11,3.56,25.3,,
.39,.055,-,-,AEI,Aeris Environmental,.195,-,-,.195,.20,-,,-,-.02,-,-1.54,-,,
.002,.001,.001,.001,AFT,AFT Corp,.001,-,82796,.001,.001,-,,-,-,-,.02,5.0,,
.047,.017,.022,.022,AGX,Agenix,.022,+.1,500,.021,.024,-,,-,-,-,.57,3.9,,
.01,.001,-,-,AGXO,  opt jun11,.001,-,-,-,.001,-,,-,-,-,-,-,,
16.92,13.51,14.22,14.00,AGK,AGL Energy,14.11,+12,16835,14.03,14.20,59.00,,1.54,6.40,4.18,91.10,15.5,,
.19,.121,-,-,AGJ,Agricultural Land unt,.16,-,-,.18,.21,1.88,,1.19,.37,11.75,2.23,7.2,,
