Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4999.6 at 2011-04-13T16:38:51. Report at Wednesday, April 13, 2011. Processed Thursday at 2011-04-14T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
4.25,2.75,3.95,3.90,ONT,1300 Smiles,3.90,-,55,3.85,3.95,14.70,f,1.55,.18,3.77,22.77,17.1,,
.11,.052,-,-,TQH,3Q Hldgs,.052,-,-,.055,-,-,,-,-.06,-,1.08,4.8,,
.048,.017,-,-,FCS,4C Sec Solution,.028,-,-,.02,.028,-,,-,.01,-,-.15,-,,
.25,.03,-,-,AAY,AACL Hldgs,.045,-,-,.048,.06,-,,-,-,-,-3.00,-,,
.725,.013,.015,.015,AAQ,AAQ Hldgs,.015,-,20,.015,.016,-,,-,-,-,-3.24,-,,
2.45,1.825,2.30,2.22,ABP,Abacus Prop stp,2.29,+5,6705,2.26,2.30,9.90,,.29,2.83,4.32,2.91,78.7,,
1.45,1.21,1.28,1.275,ALR,Aberdeen Leaders,1.275,-1,100,1.275,1.295,9.50,f,.50,1.38,7.45,4.77,26.7,,
.56,.365,-,-,AKG,Academies A'asia,.51,-,-,.40,.53,4.00,f,1.24,.15,7.84,4.95,10.3,,
3.35,1.433,3.35,3.25,ACR,Acrux,3.33,+8,7560,3.30,3.33,-,,-,.77,-,65.08,5.1,,
.105,.023,-,-,ACW,Actinogen,.069,-,-,.05,.06,-,,-,.02,-,-2.12,-,,
.014,.001,-,-,ACWO,  opt aug12,.01,-,-,-,.01,-,,-,-,-,-,-,,
.015,.01,-,-,ACWOA,  opt sep15,.015,-,-,.02,-,-,,-,-,-,-,-,,
.007,.001,-,-,ACU,Acuvax,.002,-,-,.002,.003,-,,-,-,-,-.14,-,,
.69,.27,.275,.27,ADA,Adacel Tech,.275,+.5,566,.27,.28,-,,-,.17,-,-2.10,-,,
.25,.145,.18,.18,AAU,Adcorp Aust,.18,+.5,-,.18,.21,1.00,f,-,.08,5.56,-9.67,-,,
.003,.001,.001,.001,ABN,AdEffective,.001,-,487000,.001,.002,-,,-,-,-,.21,.5,,
3.692,2.473,3.39,3.30,ABC,Adelaide Brighton,3.32,-3,26394,3.31,3.35,16.50,f,1.45,1.19,4.97,23.90,13.9,,
.296,.163,.245,.245,AYT,Adelaide Mgd unt,.245,-,625,.245,.25,8.30,,1.43,.27,33.88,11.88,2.1,,
.082,.05,-,-,ADQ,ADG Global Supply,.075,-,-,.075,.079,-,,-,.03,-,-.86,-,,
.038,.014,-,-,ABV,Adv Braking Tech,.029,-,-,.028,.029,-,,-,.01,-,-.03,-,,
.54,.15,.20,.195,AMT,Adv Surg Dsgn & Mnft,.20,+4,308,.16,.20,-,,-,.14,-,-6.01,-,,
.115,.035,-,-,AES,Advanced Energy,.05,-,-,.035,.05,-,,-,-,-,-.06,-,,
.05,.015,-,-,ACE,Advanced Engine,.019,-,-,-,-,-,,-,-.04,-,-2.65,-,,
.062,.036,-,-,ANM,Advanced Magnesium,.05,-,-,.047,.05,-,,-,.02,-,-.65,-,,
1.20,.375,-,-,ASW,Advanced Share Reg,.85,-,-,.85,.87,3.70,f,.96,.15,4.35,3.56,23.9,,
.39,.055,-,-,AEI,Aeris Environmental,.18,-,-,.18,.19,-,,-,-.02,-,-1.54,-,,
.002,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,.02,5.0,,
.047,.017,.022,.02,AGX,Agenix,.02,-.1,316,.02,.023,-,,-,-,-,.57,3.5,,
.01,.001,-,-,AGXO,  opt jun11,.001,-,-,-,.001,-,,-,-,-,-,-,,
16.92,13.51,14.39,14.11,AGK,AGL Energy,14.15,-12,12762,14.13,14.20,59.00,,1.54,6.40,4.17,91.10,15.5,,
.19,.121,-,-,AGJ,Agricultural Land unt,.18,-,-,.185,.285,1.88,,1.19,.37,10.44,2.23,8.1,,
2.10,1.80,-,-,AHC,AHC,1.90,-,-,-,2.10,10.00,f,1.16,4.92,5.26,11.63,16.3,,
18.26,13.95,17.21,17.14,ENY,AII 200 Energy etf unt,17.21,-23,10,17.24,17.33,-,p,-,-,-,-,-,,
5.09,4.18,-,-,FIN,AII 200 Financials etf unt,4.69,-,-,4.65,4.68,-,p,-,-,-,-,-,,
5.98,4.83,-,-,FIX,AII 200 Fin X-A-REIT etf unt,5.45,-,-,5.43,5.46,-,p,-,-,-,-,-,,
3.97,3.21,-,-,IDD,AII 200 Industrials etf unt,3.84,-,-,3.74,3.80,-,p,-,-,-,-,-,,
6.42,4.60,6.22,6.21,RSR,AII 200 Resources etf unt,6.21,-7,262,6.21,6.25,-,p,-,-,-,-,-,,
5.58,3.90,5.37,5.34,MAM,AII 300 Metals & Mining etf unt,5.34,-11,213,5.38,5.42,-,p,-,-,-,-,-,,
.32,.08,.245,.235,AGI,Ainsworth Game Tech,.245,+1,160,.23,.25,-,,-,.02,-,1.69,14.5,,
1.175,.765,.86,.84,AIZ,Air New Zealand,.84,+.5,687,.845,.86,5.34,,1.66,1.14,6.36,8.87,9.5,,
.11,.035,-,-,AIG,Aircruising Aust,.035,-,-,.02,.06,-,,-,-.15,-,-4.06,-,,
3.24,1.65,1.76,1.72,AJL,AJ Lucas Grp,1.745,-,1170,1.72,1.75,-,,-,.94,-,-47.00,-,,
.77,.345,.705,.69,ACL,Alchemia,.705,+1.5,1926,.70,.705,-,,-,.04,-,-6.30,-,,
34.99,11.50,16.55,16.40,AAI,Alcoa Inc cdi,16.40,-60,5,15.01,18.98,10.88,,-,-,.66,-14.02,-,,
2.30,1.80,-,-,LEP,ALE Prop Grp stp,2.00,-,-,1.97,2.00,22.00,,.32,2.26,11.00,6.98,28.7,,
3.63,2.25,3.28,3.23,ALS,Alesco Corp,3.27,-1,2587,3.25,3.28,1.50,f,-,.72,.46,-141.41,-,,
.195,.08,.12,.12,AJX,Alexium Int'l,.12,-,400,.11,.125,-,,-,-.01,-,-4.93,-,,
.67,.17,.40,.38,AEB,Algae.Tec,.40,+1,213,.38,.40,-,,-,-,-,-,-,,
6.06,4.05,6.06,6.06,AEJDC,Alinta Energy Grp def,6.06,-,1,6.06,7.00,-,,-,-1300.00,-,-6640.00,-,,
.30,.16,.23,.22,AZG,Allmine Grp,.23,-,2315,.225,.23,-,,-,-,-,-,-,,
.83,.657,.745,.745,AIQ,Alternative Invest unt,.745,-,198,.745,.75,-,,-,1.01,-,-8.87,-,,
.28,.085,-,-,ALU,Altium,.12,-,-,.12,.14,-,,-,.01,-,-11.90,-,,
.15,.033,-,-,AMA,AMA Grp,.12,-,-,.115,.12,-,,-,-.06,-,3.48,3.4,,
6.78,5.21,6.06,6.01,AHD,Amalgamated Hldgs,6.04,+2,29,6.04,6.10,37.00,f,2.21,5.05,6.13,81.90,7.4,,
.62,.30,-,-,AMO,Ambertech,.34,-,-,.34,.355,.50,f,1.20,.58,1.47,.60,56.7,,
.42,.275,.30,.30,AMB,Ambition Grp,.30,-3,255,.295,.30,-,,-,.16,-,3.02,9.9,,
62.214,57.874,-,-,AKS,AMCB Fund No 1,60.61,-,-,60.61,98.00,359.00,f,.82,85.33,5.92,294.00,20.6,,
64.151,59.798,-,-,AKU,AMCB Fund No 3,63.34,-,-,63.34,-,326.00,f,1.06,82.49,5.15,345.00,18.4,,
34.344,31.938,-,-,AKT,AMCB Fund No 2,42.48,-,-,33.00,-,312.00,f,.70,34.71,7.34,218.00,19.5,,
