Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4125.1 at 2011-09-12T16:38:02. Report at Monday, September 12, 2011. Processed Tuesday at 2011-09-13T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
4.25,3.00,-,-,ONT,1300 Smiles,3.56,-,-,3.51,3.62,15.50,f,1.56,.24,4.35,24.20,14.7,,
.08,.041,-,-,TQH,3Q Hldgs,.08,-,-,-,-,-,,-,-.05,-,1.84,4.3,,
.044,.01,-,-,FCS,4C Sec Solution,.017,-,-,.014,.02,-,,-,.09,-,.03,56.7,,
.071,.029,-,-,AAY,AACL Hldgs,.05,-,-,-,-,-,,-,-,-,.22,22.7,,
.725,.008,.009,.009,AAQ,AAQ Hldgs,.009,-.1,278,.009,.01,-,,-,-,-,-.30,-,,
2.45,1.905,1.975,1.93,ABP,Abacus Prop stp,1.93,-4.5,56411,1.90,2.01,16.50,,.28,2.76,8.55,4.66,41.4,,
1.345,1.00,1.04,1.00,ALR,Aberdeen Leaders,1.03,-2,397,1.00,1.035,9.50,f,.34,1.16,9.22,3.24,31.8,,
.55,.45,-,-,AKG,Academies A'asia,.55,-,-,-,-,4.00,f,1.35,.09,7.27,5.40,10.2,,
4.30,1.757,3.68,3.61,ACR,Acrux,3.61,-11,6117,3.61,3.62,-,,-,-,-,34.73,10.4,,
.105,.03,-,-,ACW,Actinogen,.031,-,-,-,-,-,,-,.02,-,-1.66,-,,
.014,.001,-,-,ACWO,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.015,.003,-,-,ACWOA,  opt sep15,.003,-,-,-,-,-,,-,-,-,-,-,,
.005,.001,.002,.002,ACU,Acuvax,.002,-,16170,.001,.002,-,,-,-,-,-.05,-,,
.43,.18,.215,.215,ADA,Adacel Tech,.215,-,137,.215,.25,-,,-,.09,-,-3.60,-,,
.25,.125,.18,.175,AAU,Adcorp Aust,.18,-,1763,.17,.195,2.00,f,1.15,.09,11.11,2.29,7.9,,
.002,.001,-,-,ABN,AdEffective,.001,-,-,-,-,-,,-,-,-,-.02,-,,
3.692,2.22,2.70,2.60,ABC,Adelaide Brighton,2.66,-10,24978,2.60,2.74,16.50,f,1.38,1.17,6.20,22.80,11.7,,
