Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4132.1 at 2011-10-06T16:37:39. Report at Thursday, October 6, 2011. Processed Friday at 2011-10-07T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
4.25,3.00,-,-,ONT,1300 Smiles,3.51,-,-,-,-,15.50,f,1.56,.24,4.42,24.20,14.5,,
.08,.041,.08,.08,TQH,3Q Hldgs,.08,-,300,.08,.12,-,,-,-.05,-,1.84,4.3,,
.044,.01,-,-,FCS,4C Sec Solution,.017,-,-,-,-,-,,-,.09,-,.03,56.7,,
.071,.029,.05,.05,AAY,AACL Hldgs,.05,+1,585,.04,.06,-,,-,-,-,.22,22.7,,
.725,.007,.008,.008,AAQ,AAQ Hldgs,.008,+.1,10000,.007,.009,-,,-,-,-,-.30,-,,
2.45,1.78,2.01,1.88,ABP,Abacus Prop stp,1.99,+12.5,10631,1.915,1.99,16.50,,.28,2.76,8.29,4.66,42.7,,
1.345,.98,1.015,1.005,ALR,Aberdeen Leaders,1.015,+1.5,174,1.015,1.035,9.50,f,.34,1.11,9.36,3.24,31.3,,
.55,.45,.54,.54,AKG,Academies A'asia,.54,-1,300,.51,.54,4.00,f,1.35,.09,7.41,5.40,10.0,,
4.30,1.941,3.21,3.06,ACR,Acrux,3.21,+11,3675,3.13,3.23,-,,-,-,-,34.73,9.2,,
.105,.02,-,-,ACW,Actinogen,.025,-,-,.026,.035,-,,-,.02,-,-1.66,-,,
.014,.001,-,-,ACWO,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.015,.001,-,-,ACWOA,  opt sep15,.001,-,-,-,-,-,,-,-,-,-,-,,
.005,.001,.001,.001,ACU,Acuvax,.001,-,23500,.001,.002,-,,-,-,-,-.05,-,,
.43,.18,-,-,ADA,Adacel Tech,.22,-,-,.225,.25,-,,-,.09,-,-3.60,-,,
.25,.125,.18,.18,AAU,Adcorp Aust,.18,-1,2300,.175,.195,2.00,f,1.15,.09,11.11,2.29,7.9,,
