Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4337.9 at 2011-10-17T16:38:11. Report at Monday, October 17, 2011. Processed Tuesday at 2011-10-18T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
4.25,3.00,3.55,3.55,ONT,1300 Smiles,3.55,+1,50,3.55,3.75,15.50,f,1.56,.24,4.37,24.20,14.7,,
.08,.041,-,-,TQH,3Q Hldgs,.08,-,-,-,-,-,,-,-.05,-,1.84,4.3,,
.044,.01,-,-,FCS,4C Sec Solution,.017,-,-,-,-,-,,-,.09,-,.03,56.7,,
.071,.029,-,-,AAY,AACL Hldgs,.05,-,-,-,-,-,,-,-,-,.22,22.7,,
.725,.007,-,-,AAQ,AAQ Hldgs,.008,-,-,-,-,-,,-,-,-,-.30,-,,
2.45,1.78,1.995,1.91,ABP,Abacus Prop stp,1.95,+5,4121,1.91,1.955,16.50,,.28,2.76,8.46,4.66,41.8,,
1.345,.98,1.05,1.05,ALR,Aberdeen Leaders,1.05,+1,221,1.025,1.05,9.50,f,.34,1.11,9.05,3.24,32.4,,
.55,.45,-,-,AKG,Academies A'asia,.51,-,-,-,-,4.00,f,1.35,.09,7.84,5.40,9.4,,
4.30,1.941,3.54,3.44,ACR,Acrux,3.46,-2,2400,3.43,3.48,-,,-,-,-,34.73,10.0,,
.105,.02,-,-,ACW,Actinogen,.025,-,-,-,-,-,,-,.02,-,-1.66,-,,
.014,.001,-,-,ACWO,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.015,.001,-,-,ACWOA,  opt sep15,.001,-,-,-,-,-,,-,-,-,-,-,,
.005,.001,.002,.001,ACU,Acuvax,.001,-,75500,.001,.002,-,,-,-,-,-.05,-,,
.43,.18,.23,.23,ADA,Adacel Tech,.23,+.5,69,.225,.25,-,,-,.09,-,-3.60,-,,
.25,.125,-,-,AAU,Adcorp Aust,.18,-,-,.18,.19,2.00,f,1.15,.09,11.11,2.29,7.9,,
.002,.001,-,-,ABN,AdEffective,.001,-,-,-,-,-,,-,-,-,-.02,-,,
3.692,2.22,2.94,2.91,ABC,Adelaide Brighton,2.94,-,9398,2.90,2.95,16.50,f,1.38,1.17,5.61,22.80,12.9,,
.26,.195,.26,.26,AYT,Adelaide Mgd unt,.26,-,390,.26,.27,2.33,,4.30,.29,8.96,10.03,2.6,,
.09,.05,-,-,ADQ,ADG Global Supply,.06,-,-,-,-,-,,-,.04,-,.47,12.8,,
.038,.016,-,-,ABV,Adv Braking Tech,.02,-,-,-,-,-,,-,.01,-,.06,33.3,,
.42,.15,-,-,AMT,Adv Surg Dsgn & Mnft,.15,-,-,-,-,-,,-,.11,-,-9.25,-,,
.065,.029,-,-,AES,Advanced Energy,.035,-,-,-,-,-,,-,.01,-,-.04,-,,
.087,.036,.056,.053,ANM,Advanced Magnesium,.053,-.2,6584,.053,.06,-,,-,.02,-,-.68,-,,
1.20,.66,-,-,ASW,Advanced Share Reg,.68,-,-,.68,.70,3.85,f,1.08,.13,5.66,4.17,16.3,,
.30,.155,-,-,AEI,Aeris Environmental,.185,-,-,-,-,-,,-,.02,-,-2.16,-,,
.002,.001,-,-,AFT,AFT Corp,.001,-,-,-,-,-,,-,-,-,.03,3.3,,
.032,.011,.015,.015,AGX,Agenix,.015,-,1110,.015,.017,-,,-,-,-,-.40,-,,
16.92,12.50,15.17,14.93,AGK,AGL Energy,15.05,+9,13211,15.00,15.10,60.00,f,2.04,6.95,3.99,122.40,12.3,,
