Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4239.5 at 2012-01-04T16:39:56. Report at Wednesday, January 4, 2012. Processed Thursday at 2012-01-05T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
4.25,3.00,3.95,3.95,ONT,1300 Smiles,3.95,-,63,3.90,3.95,15.50,f,1.56,.24,3.92,24.20,16.3,,
.08,.041,-,-,TQH,3Q Hldgs,.08,-,-,.064,.072,-,,-,-.05,-,1.84,4.3,,
.09,.028,.035,.035,AYI,A1 Invest & Res,.035,-,25,.035,.04,-,,-,.01,-,-.94,-,,
.066,.02,.035,.035,AAY,AACL Hldgs,.035,-,2000,.025,.035,-,,-,-,-,.22,15.9,,
.725,.007,.009,.009,AAQ,AAQ Hldgs,.009,-,5500,.008,.01,-,,-,-,-,-.30,-,,
2.45,1.78,1.98,1.935,ABP,Abacus Prop stp,1.96,+2,5871,1.95,1.98,16.50,,.28,2.76,8.42,4.66,42.1,,
1.345,.98,1.04,1.04,ALR,Aberdeen Leaders,1.04,-,390,1.025,1.04,9.50,f,.34,1.04,9.13,3.24,32.1,,
.60,.48,-,-,AKG,Academies A'asia,.60,-,-,.44,.70,4.00,f,1.35,.09,6.67,5.40,11.1,,
4.30,2.49,3.05,2.94,ACR,Acrux,2.99,+6,4819,2.99,3.00,-,,-,-,-,34.73,8.6,,
.085,.018,-,-,ACW,Actinogen,.05,-,-,-,-,-,,-,.02,-,-1.66,-,,
.01,.001,-,-,ACWO,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.015,.001,-,-,ACWOA,  opt sep15,.002,-,-,-,-,-,,-,-,-,-,-,,
.005,.001,-,-,ACU,Acuvax,.001,-,-,-,-,-,,-,-,-,-.05,-,,
.375,.18,-,-,ADA,Adacel Tech,.24,-,-,.25,.30,-,,-,.09,-,-3.60,-,,
.25,.125,.165,.165,AAU,Adcorp Aust,.165,-.5,270,.165,.17,2.00,f,1.15,.09,12.12,2.29,7.2,,
.002,.001,-,-,ABN,AdEffective,.001,-,-,-,-,-,,-,-,-,-.02,-,,
3.514,2.22,2.99,2.95,ABC,Adelaide Brighton,2.97,+5,7017,2.93,3.00,16.50,f,1.38,1.17,5.56,22.80,13.0,,
.09,.05,-,-,ADQ,ADG Global Supply,.057,-,-,-,-,-,,-,.04,-,.47,12.1,,
.038,.016,-,-,ABV,Adv Braking Tech,.02,-,-,-,-,-,,-,.01,-,.06,33.3,,
.36,.15,-,-,AMT,Adv Surg Dsgn & Mnft,.19,-,-,-,-,-,,-,.11,-,-9.25,-,,
1.20,.605,-,-,ASW,Advanced Share Reg,.675,-,-,-,-,3.85,f,1.08,.13,5.70,4.17,16.2,,
.30,.155,-,-,AEI,Aeris Environmental,.23,-,-,-,-,-,,-,.02,-,-2.16,-,,
.002,.001,-,-,AFT,AFT Corp,.001,-,-,-,-,-,,-,-,-,.03,3.3,,
.032,.011,.012,.012,AGX,Agenix,.012,-,150,.012,.015,-,,-,-,-,-.40,-,,
15.79,12.50,14.79,14.47,AGK,AGL Energy,14.76,+36,12879,14.70,14.77,60.00,f,2.04,6.95,4.07,122.40,12.1,,
.20,.13,-,-,AGJ,Agricultural Land unt,.165,-,-,-,-,2.45,,1.09,.36,14.85,2.68,6.2,,
2.30,1.90,-,-,AHC,AHC,2.21,-,-,-,-,10.00,,.35,4.95,4.52,3.45,64.1,,
18.26,11.87,-,-,ENY,All 200 Energy etf unt,13.01,-,-,11.95,14.07,-,,-,-,-,-,-,,
4.87,3.55,-,-,FIN,All 200 Financials etf unt,4.22,-,-,3.81,4.37,-,,-,-,-,-,-,,
5.54,4.34,4.80,4.80,FIX,All 200 Fin-x-A-REIT etf unt,4.80,-5,15,4.55,5.21,-,,-,-,-,-,-,,
3.90,3.00,-,-,IDD,All 200 Industrials etf unt,3.50,-,-,3.28,3.77,-,,-,-,-,-,-,,
6.42,4.33,4.56,4.56,RSR,All 200 Resources etf unt,4.56,+12,4,4.31,4.94,-,,-,-,-,-,-,,
5.58,3.75,-,-,MAM,All 300 Metals & Mining etf unt,3.75,-,-,3.65,4.19,-,,-,-,-,-,-,,
.55,.185,.55,.52,AGI,Ainsworth Game Tech,.55,+3,3040,.55,.56,-,,-,.09,-,8.00,6.9,,
1.175,.66,.70,.69,AIZ,Air New Zealand,.69,-2,68,.69,.71,3.90,,1.51,1.03,5.65,5.87,11.8,,
.08,.035,-,-,AIG,Aircruising Aust,.079,-,-,-,-,-,,-,-.16,-,-5.00,-,,
